,Round Name,Panel,Rankings
0,Round 1,"Revan Lim TJⒸ , Tanay Jacob","['3 VIT 0 (OG)', '2 Simping for Ku**** (OO)', '1 AOT Franchise (CG)', '0 Proper Swing 1 (CO)']"
1,Round 1,"DarylⒸ , Shreya.A , T.Angga Djovangka P","['3 main prem ki diwani hoon (CG)', '2 WDA 1 (CO)', '1 Ateneo Senior High School HSHS (OG)', '0 Proud Tomatoes (OO)']"
2,Round 1,"MeghaⒸ , Precious Ahaneku , Saketh Kanumuri","['3 Kamla Ka Hamla (OG)', '2 Banarasiya (OO)', '1 Smart Club A (CO)', '0 chum bucket (CG)']"
3,Round 1,"SrijanⒸ , Kartik Mathur","[""3 Philosopher's Rock (OG)"", '2 Boulevard of Broken Teams (CO)', '1 WDA 5 (CG)', '0 Trevor Noah (OO)']"
4,Round 1,"Anirudh Anil OjhaⒸ , Ahat Sharma , Jisha Sarkar","['3 CU ACC1 (CO)', '2 Swiiing 2 (OG)', '1 CUDS B (OO)', '0 GLC 1 (CG)']"
5,Round 1,"Jewel Ⓒ , Vanshika Saraf","['3 NUJS (CO)', ""2 She doesn't study Grammar on Monda (OG)"", '1 CU ACC2 (CG)', '0 Smart Club Aandas (OO)']"
6,Round 1,"Carlo CastilloⒸ , Aditya Tripathi","['3 RM Stans (OO)', '2 CU FBDA (CG)', '1 The Rookies (OG)', '0 JLU B (CO)']"
7,Round 1,"Madhav SharmaⒸ , Ajwah Nadeem  , Matthew Conley-Evans","['3 CUDS A (OG)', ""2 It's the end (CO)"", '1 Ninja (CG)', '0 Smart Club B (OO)']"
8,Round 1,"Umar BuckusⒸ , Shruti Poddar","['3 D: (CG)', '2 Warriors (OO)', '1 WDA 4 (OG)', '0 Seth Myers (CO)']"
9,Round 1,"reedⒸ , Aniket Konnur","['3 WDA 3 (CG)', '2 WDA 2 (OO)', '1 X Æ A-12 (OG)', '0 IBAJUDC A (CO)']"
10,Round 1,"ShrutiⒸ , Ahana Chaudhuri  , Rohan Grover","['3 SWAKYOT (OG)', '2 The Flying Dutchman (CO)', '1 John Oliver (CG)', '0 No Break Bois (OO)']"
11,Round 1,"Adya SharmaⒸ , Utkarsh Mishra","['3 Karasuno (CG)', '2 Smart club Aalu Paratha (OG)', '1 The Resistance (OO)', '0 KUET 1 (CO)']"
12,Round 1,"thea madrilejoⒸ , Sujato Datta","['3 Worship And Prayer (OO)', '2 Not So Smart Debater (CO)', '1 Mastermind Uttara 1 (OG)', '0 MMU2 (CG)']"
13,Round 2,"Priyanka DasⒸ , Jisha Sarkar  , Shruti Poddar","['3 The Resistance (CG)', '2 AOT Franchise (OG)', '1 Ninja (CO)', '0 The Rookies (OO)']"
14,Round 2,"Carlo CastilloⒸ , Precious Ahaneku , Tanay Jacob","['3 Mastermind Uttara 1 (CG)', '2 Ateneo Senior High School HSHS (OO)', '1 GLC 1 (OG)', '0 WDA 5 (CO)']"
15,Round 2,"Shreya.AⒸ , Ananya , Shruti","['3 Banarasiya (CG)', '2 WDA 4 (OO)', '1 Swiiing 2 (CO)', '0 Not So Smart Debater (OG)']"
16,Round 2,"Anirudh Anil OjhaⒸ , Megha , Sujato Datta","['3 Boulevard of Broken Teams (OG)', ""2 She doesn't study Grammar on Monda (CO)"", '1 WDA 1 (OO)', '0 Smart club Aalu Paratha (CG)']"
17,Round 2,"Revan Lim TJⒸ , Vanshika Saraf","['3 KUET 1 (CG)', '2 No Break Bois (OG)', '1 IBAJUDC A (OO)', '0 chum bucket (CO)']"
18,Round 2,"reedⒸ , Trisha Agarwala  , thea madrilejo","['3 The Flying Dutchman (OO)', '2 CU ACC1 (OG)', ""1 Philosopher's Rock (CG)"", '0 Kamla Ka Hamla (CO)']"
19,Round 2,"Matthew Conley-EvansⒸ , Ahana Chaudhuri  , Daryl","['3 Warriors (CO)', '2 Simping for Ku**** (OG)', '1 CU FBDA (OO)', '0 CUDS B (CG)']"
20,Round 2,"Umar BuckusⒸ , Utkarsh Mishra","['3 NUJS (CG)', '2 CUDS A (CO)', '1 WDA 3 (OO)', '0 RM Stans (OG)']"
21,Round 2,"T.Angga Djovangka PⒸ , Aditya Tripathi , Ahat Sharma","['3 Karasuno (CO)', '2 D: (OG)', '1 SWAKYOT (OO)', ""0 It's the end (CG)""]"
22,Round 2,"Rohan GroverⒸ , Nicolas","['3 MMU2 (CO)', '2 JLU B (OO)', '1 Seth Myers (CG)', '0 Trevor Noah (OG)']"
23,Round 2,"Tawfique ElahiⒸ , Srijan","['3 John Oliver (OO)', '2 X Æ A-12 (CG)', '1 Smart Club A (OG)', '0 Proper Swing 1 (CO)']"
24,Round 2,"Kartik MathurⒸ , Jewel  , Madhav Sharma","['3 main prem ki diwani hoon (OG)', '2 Worship And Prayer (CG)', '1 VIT 0 (OO)', '0 WDA 2 (CO)']"
25,Round 2,"Saketh KanumuriⒸ , Aniket Konnur , Vedya Janardhanan","['3 Proud Tomatoes (OG)', '2 Smart Club B (CG)', '1 Nervous Shouty Caps (OO)', '0 Smart Club Aandas (CO)']"
26,Round 3,"Rohan GroverⒸ , Jisha Sarkar","['3 RM Stans (CG)', '2 X Æ A-12 (CO)', '1 AOT Franchise (OO)', '0 WDA 1 (OG)']"
27,Round 3,"Matthew Conley-EvansⒸ , reed","['3 Proud Tomatoes (CG)', '2 Ateneo Senior High School HSHS (CO)', '1 Swiiing 2 (OO)', '0 MMU2 (OG)']"
28,Round 3,"Umar BuckusⒸ , Vanshika Saraf","['3 CU ACC1 (CG)', '2 Mastermind Uttara 1 (OO)', '1 Banarasiya (CO)', '0 Worship And Prayer (OG)']"
29,Round 3,"Saketh KanumuriⒸ , Aditya Tripathi","['3 The Flying Dutchman (OG)', '2 Boulevard of Broken Teams (OO)', '1 D: (CO)', '0 CUDS A (CG)']"
30,Round 3,"Shreya.AⒸ , Srijan","['3 chum bucket (OO)', '2 GLC 1 (CO)', '1 The Rookies (CG)', '0 Seth Myers (OG)']"
31,Round 3,"Tawfique ElahiⒸ , Kartik Mathur , Vedya Janardhanan","['3 Kamla Ka Hamla (OO)', '2 CU FBDA (CO)', '1 KUET 1 (OG)', '0 WDA 4 (CG)']"
32,Round 3,"Jewel Ⓒ , Nicolas","['3 Nervous Shouty Caps (CG)', '2 Ninja (OO)', ""1 It's the end (OG)"", '0 CUDS B (CO)']"
33,Round 3,"Sujato DattaⒸ , Precious Ahaneku","['3 IBAJUDC A (OG)', '2 Smart Club A (OO)', '1 No Break Bois (CO)', '0 JLU B (CG)']"
34,Round 3,"T.Angga Djovangka PⒸ , Utkarsh Mishra","['3 John Oliver (CO)', '2 Simping for Ku**** (CG)', ""1 She doesn't study Grammar on Monda (OO)"", '0 WDA 3 (OG)']"
35,Round 3,"Carlo CastilloⒸ , Ajwah Nadeem  , Tanay Jacob","['3 main prem ki diwani hoon (CO)', '2 NUJS (OO)', '1 Karasuno (OG)', '0 Warriors (CG)']"
36,Round 3,"Revan Lim TJⒸ , Ahat Sharma , Ahana Chaudhuri Ⓣ","['3 Not So Smart Debater (OO)', '2 Smart Club B (OG)', '1 WDA 2 (CG)', '0 Smart club Aalu Paratha (CO)']"
37,Round 3,"AnanyaⒸ , Anirudh Anil Ojha , Trisha Agarwala","['3 VIT 0 (CO)', ""2 Philosopher's Rock (OO)"", '1 The Resistance (OG)', '0 SWAKYOT (CG)']"
38,Round 3,"Adya SharmaⒸ , Shruti","['3 Proper Swing 1 (OO)', '2 WDA 5 (OG)', '1 Trevor Noah (CO)', '0 Smart Club Aandas (CG)']"
39,Round 4,"AnanyaⒸ , Nicolas , Utkarsh Mishra","['3 AOT Franchise (OG)', '2 Smart Club A (OO)', '1 IBAJUDC A (CG)', '0 Smart Club B (CO)']"
40,Round 4,"Rohan GroverⒸ , Ahat Sharma","['3 The Resistance (CO)', '2 CUDS A (OO)', '1 Ateneo Senior High School HSHS (CG)', '0 Warriors (OG)']"
41,Round 4,"Kartik MathurⒸ , Aditya Tripathi , Daryl","['3 Banarasiya (OG)', '2 Mastermind Uttara 1 (CO)', '1 D: (OO)', '0 Simping for Ku**** (CG)']"
42,Round 4,"Shreya.AⒸ , Megha","['3 Boulevard of Broken Teams (CG)', '2 Karasuno (OO)', '1 VIT 0 (CO)', '0 John Oliver (OG)']"
43,Round 4,"Ajwah Nadeem Ⓒ , Jewel","['3 SWAKYOT (CO)', '2 Swiiing 2 (CG)', '1 MMU2 (OO)', '0 chum bucket (OG)']"
