,Round Name,Panel,Rankings
0,Round 1,Tawfique ElahiⒸ,"['1 Ashish Fan Club (O)', '0 Smol Bois (P)']"
1,Round 1,Akshay AkashⒸ,"['1 Bible Discussion Study Meeting (O)', '0 POWIIS (P)']"
2,Round 1,CJ SalayoⒸ,"['1 ISDS Orange (O)', '0 brain ded 💀 (P)']"
3,Round 1,"Belle BarbinⒸ , Evan Shen","['1 The funnier cats (P)', '0 Capstone ATJ (O)']"
4,Round 1,Sneha DasⒸ,"['1 ISDS Green (O)', '0 Capstone PJD (P)']"
5,Round 1,Ian QiuⒸ,"['1 Grated Cheese A (P)', '0 learningexperience (O)']"
6,Round 1,Adel Mostaque AhmedⒸ,"['1 ISDS White (O)', '0 Idk (P)']"
7,Round 1,Karla Louise AlfonsoⒸ,"['1 ISDS Blue (P)', '0 Vaccine mesti halal (O)']"
8,Round 1,Daphne WongⒸ,"['1 SudAmane (P)', '0 Last minute (O)']"
9,Round 1,"Ritabrata MitraⒸ , Xiao-ke Lu","[""1 Malaysia '20 (P)"", '0 TNextGen (O)']"
10,Round 1,"Mohamad YahiaⒸ , Naomi Panovka","['1 something fun and cool (P)', '0 WSDC Vietnam (O)']"
11,Round 1,PragyanⒸ,"['1 Swing 1 (P)', '0 we need some milk (O)']"
12,Round 2,Ritabrata MitraⒸ,"['1 Ashish Fan Club (P)', '0 Swing 1 (O)']"
13,Round 2,Daphne WongⒸ,"['1 something fun and cool (O)', '0 Bible Discussion Study Meeting (P)']"
14,Round 2,Adel Mostaque AhmedⒸ,"['1 Last minute (P)', '0 brain ded 💀 (O)']"
15,Round 2,Sneha DasⒸ,"['1 Capstone ATJ (P)', '0 TNextGen (O)']"
16,Round 2,Belle BarbinⒸ,"['1 Capstone PJD (O)', '0 Smol Bois (P)']"
17,Round 2,"Akshay AkashⒸ , Naomi Panovka","['1 ISDS Orange (P)', '0 Grated Cheese A (O)']"
18,Round 2,Karla Louise AlfonsoⒸ,"['1 we need some milk (P)', '0 Idk (O)']"
19,Round 2,Ian QiuⒸ,"['1 ISDS Green (P)', '0 ISDS Blue (O)']"
20,Round 2,"CJ SalayoⒸ , Evan Shen","['1 ISDS White (P)', ""0 Malaysia '20 (O)""]"
21,Round 2,PragyanⒸ,"['1 WSDC Vietnam (P)', '0 learningexperience (O)']"
22,Round 2,"Tawfique ElahiⒸ , Xiao-ke Lu","['1 POWIIS (O)', '0 Vaccine mesti halal (P)']"
