,Round Name,Panel,Rankings
0,Round 1,"Akosua Tiwaaⓒ , Abigail , Naomi Mawuena Mawuyram , Osei Akomeah","['3 KNUST B (CO)', '2 KNUST A (OG)', '1 UG D (OO)', '0 GIMPA A (CG)']"
1,Round 1,"Yolanda Kwadeyⓒ , Lordina","['3 UHAS C (OG)', '2 UEWK B (CG)', '1 UEWK A (OO)', '0 GIMPA B (CO)']"
2,Round 1,"HeNry Kofiⓒ , Jessica Koomson , Nadia Anyeley Wilson , Wesoamo Zempare","['3 UHAS B (CG)', '2 KNUST F (CO)', '1 UCC A (OG)', '0 GIMPA C (OO)']"
3,Round 1,"Aaron Selassieⓒ , Diana Katamaniⓣ","['3 UFS B (OG)', '2 KNUST C (CG)', '1 UCC B (OO)', '0 UG A (CO)']"
4,Round 1,"Nathanielⓒ , Alexandra","['3 UG E (OG)', '2 KNUST D (OO)', '1 UEWK E (CG)', '0 UEWK D (CO)']"
5,Round 1,"Grace Adubeaⓒ , Clement Napo , Jacinta","['3 KNUST E (CG)', '2 UG F (OO)', '1 UG B (OG)', '0 UEWK C (CO)']"
6,Round 1,"Benjamin Donkorⓒ , Mwinkuma , Selorme","['3 Swing (OO)', '2 UFS A (CO)', '1 UG G (OG)', '0 UCC C (CG)']"
7,Round 1,"Osborn Agyeiⓒ , Hamdiyyah , Mohammed Awal","['3 UFS C (CO)', '2 UG C (OO)', '1 UHAS A (CG)', '0 UHAS D (OG)']"
8,Round 2,"Yolanda Kwadeyⓒ , Nathaniel","['3 GIMPA C (CO)', '2 GIMPA A (OG)', '1 UCC C (OO)', '0 UEWK C (CG)']"
9,Round 2,"Jacintaⓒ , HeNry Kofi","['3 UHAS D (CO)', '2 UEWK D (OO)', '1 UG A (CG)', '0 GIMPA B (OG)']"
10,Round 2,"Grace Adubeaⓒ , Mohammed Awal","['3 KNUST A (OO)', '2 UG F (OG)', '1 KNUST D (CG)', '0 KNUST C (CO)']"
11,Round 2,Osborn Agyeiⓒ,"['3 UHAS B (OG)', '2 KNUST B (CG)', '1 UG E (OO)', '0 UHAS C (CO)']"
12,Round 2,"Wesoamo Zempareⓒ , Osei Akomeah","['3 Swing (CO)', '2 KNUST E (OO)', '1 UFS B (CG)', '0 UFS C (OG)']"
13,Round 2,"Alexandraⓒ , Selorme","['3 KNUST F (CG)', '2 UG C (OG)', '1 UFS A (OO)', '0 UEWK B (CO)']"
14,Round 2,Akosua Tiwaaⓒ,"['3 UCC B (CG)', '2 UCC A (OO)', '1 UG G (CO)', '0 UHAS A (OG)']"
15,Round 2,"Benjamin Donkorⓒ , Diana Katamani","['3 UEWK A (CO)', '2 UG B (OO)', '1 UG D (CG)', '0 UEWK E (OG)']"
16,Round 3,"Alexandraⓒ , Osborn Agyei","['3 KNUST C (OG)', '2 UG G (CG)', '1 UG A (OO)', '0 GIMPA A (CO)']"
17,Round 3,"Wesoamo Zempareⓒ , HeNry Kofi","['3 UHAS A (CO)', '2 UEWK C (OO)', '1 UCC C (OG)', '0 GIMPA B (CG)']"
18,Round 3,Yolanda Kwadeyⓒ,"['3 UFS C (CG)', '2 GIMPA C (OG)', '1 UHAS D (OO)', '0 KNUST D (CO)']"
19,Round 3,Akosua Tiwaaⓒ,"['3 UHAS B (OO)', '2 KNUST E (OG)', '1 Swing (CG)', '0 KNUST A (CO)']"
20,Round 3,Nathanielⓒ,"['3 KNUST F (OO)', '2 KNUST B (OG)', '1 UG C (CG)', '0 UCC B (CO)']"
21,Round 3,Jacintaⓒ,"['3 UCC A (CO)', '2 UFS A (OG)', '1 UG B (CG)', '0 UHAS C (OO)']"
22,Round 3,"Mwinkumaⓒ , Abigail , Selorme","['3 UG F (CG)', '2 UEWK A (OG)', '1 UFS B (OO)', '0 UG E (CO)']"
23,Round 3,"Grace Adubeaⓒ , Benjamin Donkor","['3 UEWK B (OG)', '2 UEWK E (OO)', '1 UG D (CO)', '0 UEWK D (CG)']"
24,Round 4,"HeNry Kofiⓒ , Wesoamo Zempare","['3 UEWK E (CO)', '2 GIMPA A (OO)', '1 UEWK C (OG)', '0 UHAS C (CG)']"
25,Round 4,"Jacintaⓒ , Jefferson Asare","['3 Nightmare swing (CG)', '2 UEWK D (OG)', '1 UCC C (CO)', '0 GIMPA B (OO)']"
26,Round 4,Akosua Tiwaaⓒ,"['3 UFS A (OG)', '2 UFS B (CO)', '1 KNUST C (OO)', '0 GIMPA C (CG)']"
27,Round 4,Nathanielⓒ,"['3 KNUST A (CG)', '2 UG C (CO)', '1 UEWK A (OG)', '0 UEWK B (OO)']"
28,Round 4,"Osborn Agyeiⓒ , Abigail","['3 KNUST F (OG)', '2 KNUST B (OO)', '1 UHAS B (CG)', '0 UG F (CO)']"
29,Round 4,"Grace Adubeaⓒ , Alexandra","['3 UG E (CG)', '2 KNUST D (OG)', '1 UG G (OO)', '0 UG D (CO)']"
30,Round 4,"Yolanda Kwadeyⓒ , Selorme","['3 Swing (OG)', '2 UCC A (CG)', '1 KNUST E (CO)', '0 UFS C (OO)']"
31,Round 4,Benjamin Donkorⓒ,"['3 UG B (CO)', '2 UCC B (OG)', '1 UHAS A (OO)', '0 UHAS D (CG)']"
32,Round 5,"Alexandraⓒ , Benjamin Donkor","['3 UCC C (OG)', '2 GIMPA A (CO)', '1 Swing from hell (CG)', '0 UEWK C (OO)']"
33,Round 5,Wesoamo Zempareⓒ,"['3 KNUST D (CO)', '2 GIMPA B (CG)', '1 UHAS C (OG)', '0 UEWK D (OO)']"
34,Round 5,"Akosua Tiwaaⓒ , Abigail","['3 KNUST A (CG)', '2 UG C (OO)', '1 UFS C (CO)', '0 GIMPA C (OG)']"
35,Round 5,"Nathanielⓒ , Yolanda Kwadey","['3 KNUST B (CG)', '2 Swing (OG)', '1 UG B (CO)', '0 UFS B (OO)']"
36,Round 5,Selormeⓒ,"['3 UCC B (CO)', '2 UEWK A (CG)', '1 KNUST C (OG)', '0 UG E (OO)']"
37,Round 5,Aaron Selassieⓒ,"['3 UG F (OG)', '2 KNUST E (CG)', '1 UEWK B (OO)', '0 UEWK E (CO)']"
38,Round 5,"Osborn Agyeiⓒ , HeNry Kofi","['3 UHAS B (CG)', '2 KNUST F (OO)', '1 UFS A (OG)', '0 UCC A (CO)']"
39,Round 5,Grace Adubeaⓒ,"['3 Nightmare swing (CG)', '2 UG D (CO)', '1 UG G (OO)', '0 UHAS D (OG)']"
40,Round 6,"Aaron Selassieⓒ , Yolanda Kwadey","['3 UHAS D (CO)', '2 GIMPA A (OO)', '1 GIMPA B (OG)', '0 UHAS C (CG)']"
41,Round 6,"Selormeⓒ , Jacinta","['3 UEWK C (OG)', '2 GIMPA C (CG)', '1 UEWK D (CO)', '0 UHAS A (OO)']"
42,Round 6,Nathanielⓒ,"['3 UG F (CG)', '2 UEWK A (OO)', '1 KNUST E (CO)', '0 KNUST A (OG)']"
43,Round 6,"Akosua Tiwaaⓒ , Abigail","['3 Swing (CG)', '2 KNUST F (OG)', '1 KNUST B (OO)', '0 UHAS B (CO)']"
44,Round 6,"Grace Adubeaⓒ , HeNry Kofi","['3 UCC A (CG)', '2 UFS C (OO)', '1 KNUST D (OG)', '0 KNUST C (CO)']"
45,Round 6,"Alexandraⓒ , Jefferson Asare","['3 UG D (OG)', '2 Nightmare swing (OO)', '1 UG G (CO)', '0 UCC C (CG)']"
46,Round 6,Osborn Agyeiⓒ,"['3 UFS A (CG)', '2 UG C (CO)', '1 UG B (OO)', '0 UCC B (OG)']"
47,Round 6,"Wesoamo Zempareⓒ , Mwinkumaⓣ","['3 UFS B (CO)', '2 UG E (OG)', '1 UEWK B (CG)', '0 UEWK E (OO)']"
48,Round 7,"Jefferson Asareⓒ , Yolanda Kwadey","['3 KNUST C (OO)', '2 UEWK E (OG)', '1 GIMPA A (CG)', '0 UCC C (CO)']"
49,Round 7,"Selormeⓒ , Mwinkuma","['3 UHAS D (CG)', '2 UHAS C (OO)', '1 GIMPA B (CO)', '0 UEWK D (OG)']"
50,Round 7,"Grace Adubeaⓒ , HeNry Kofi","['3 UEWK A (CG)', '2 KNUST E (OO)', '1 UFS B (OG)', '0 KNUST A (CO)']"
51,Round 7,"Akosua Tiwaaⓒ , Aaron Selassie","['3 UFS A (CG)', '2 KNUST B (CO)', '1 UG C (OG)', '0 UCC A (OO)']"
52,Round 7,"Nathanielⓒ , Abigail","['3 UEWK B (CO)', '2 KNUST D (OO)', '1 UFS C (OG)', '0 UG G (CG)']"
53,Round 7,"Alexandraⓒ , Osborn Agyei","['3 Swing (CO)', '2 KNUST F (CG)', '1 UG F (OO)', '0 UHAS B (OG)']"
54,Round 7,"Wesoamo Zempareⓒ , Jacinta","['3 UCC B (CG)', '2 UG B (OG)', '1 UG D (OO)', '0 UG E (CO)']"
55,Quarter Finals,"Akosua Tiwaaⓒ , Aaron Selassie , Selorme","['1 KNUST C (CO)', '1 KNUST D (OO)', '0 KNUST A (CG)', '0 KNUST B (OG)']"
56,Quarter Finals,"Nathanielⓒ , Alexandra , Mwinkuma","['1 UFS A (CG)', '1 UFS C (CO)', '0 KNUST E (OG)', '0 UCC A (OO)']"
57,Quarter Finals,"Osborn Agyeiⓒ , Benjamin Donkor , Grace Adubea , HeNry Kofi","['1 KNUST F (CO)', '1 UCC B (CG)', '0 UEWK B (OO)', '0 UG C (OG)']"
58,Quarter Finals,"Jacintaⓒ , Abigail , Jefferson Asare","['1 UFS B (CG)', '1 UG F (CO)', '0 UEWK A (OO)', '0 UG B (OG)']"
59,Semi finals,"Grace Adubeaⓒ , Benjamin Donkor , HeNry Kofi , Jefferson Asare , Nathaniel , Osborn Agyei","['1 UFS A (CG)', '1 UFS C (OG)', '0 KNUST C (OO)', '0 KNUST D (CO)']"
60,Semi finals,"Akosua Tiwaaⓒ , Aaron Selassie , Alexandra , Jacinta , Mwinkuma , Selorme","['1 KNUST F (CO)', '1 UCC B (OO)', '0 UFS B (OG)', '0 UG F (CG)']"
61,Grand Final,"Minkateko Majokoⓒ , Akosua Tiwaa , HeNry Kofi , Nathaniel , Selorme","['1 KNUST F (OG)', '0 UCC B (CG)', '0 UFS A (CO)', '0 UFS C (OO)']"
