,Round Name,Panel,Rankings
0,Round 1,"Onyido Prosperⓒ , Ogunleye Temiloluwa , Ukpe Sophia","['3 EDRW (OG)', '2 3DXML (CO)', '1 Jar (OO)', '0 SPEF (CG)']"
1,Round 1,"Adeyemi Ajibadeⓒ , Akosua Pinaman , Godswill Isek- Francis","['3 ISO (CO)', '2 AEC (OO)', '1 gzip (OG)', '0 TAR (CG)']"
2,Round 1,"Jennifer Sarkodieⓒ , Adewale Adeife , Agyei Osborn","['3 AMF (CG)', '2 BSDL (OG)', '1 WAX (CO)', '0 IMG (OO)']"
3,Round 1,"Natasha Karimakwendaⓒ , Nwanochi Joyce , Trust Shawn Inonse","['3 BIN (OG)', '2 WIM (CG)', '1 VOL (OO)', '0 PSD (CO)']"
4,Round 1,"Hillary Monroeⓒ , Babatunde Bukunmi , Irene Sena Tsawodzi","['3 DWG (OO)', '2 DSK (OG)', '1 STEP (CG)', '0 C3D (CO)']"
5,Round 1,"Awurum Jessicaⓒ , Olu June","['3 PHP (CG)', '2 OpenAccess (OO)', '1 DEF (OG)', '0 DGN (CO)']"
6,Round 1,"Umar Buckusⓒ , Gideon Addai Excel , Isaac Kwadwo Duah , Tobiloba Adebara","['3 MOV (CG)', '2 Docx (CO)', '1 zip (OO)', '0 RAR (OG)']"
7,Round 1,"Ezekiel Addyⓒ , Koyum Afolabi , Portia S. Ndlovu","['3 GIF (CO)', '2 LBR (CG)', '1 HTML (OO)', '0 MPEG (OG)']"
8,Round 2,"Hillary Monroeⓒ , Irene Sena Tsawodzi , Tobiloba Adebara","['3 Docx (OG)', '2 BSDL (CG)', '1 3DXML (OO)', '0 OpenAccess (CO)']"
9,Round 2,"Awurum Jessicaⓒ , Gideon Addai Excel , Portia S. Ndlovu","['3 DSK (CO)', '2 AEC (CG)', '1 LBR (OO)', '0 WIM (OG)']"
10,Round 2,"Gorata Chepeteⓒ , Ogunleye Temiloluwa , Olu June","['3 GIF (CG)', '2 MOV (CO)', '1 DWG (OG)', '0 AMF (OO)']"
11,Round 2,"Jacob Eyeruⓒ , Adeyemi Ajibade , Ukpe Sophia","['3 BIN (CO)', '2 EDRW (CG)', '1 ISO (OG)', '0 PHP (OO)']"
12,Round 2,"Adewale Adeifeⓒ , Akosua Pinaman , Trust Shawn Inonse","['3 IMG (CG)', '2 MPEG (OO)', '1 C3D (OG)', '0 RAR (CO)']"
13,Round 2,"Umar Buckusⓒ , Babatunde Bukunmi , Onyido Prosper","['3 VOL (CO)', '2 DEF (OO)', '1 gzip (CG)', '0 Jar (OG)']"
14,Round 2,"Natasha Karimakwendaⓒ , Isaac Kwadwo Duah , Koyum Afolabi","['3 TAR (OO)', '2 SPEF (CO)', '1 DGN (OG)', '0 PSD (CG)']"
