,Round Name,Panel,Rankings
0,Round 1,"David WuⒸ , Aanchal SrivastavaⓉ","['3 bodacious babes (CO)', '2 Bert Macklin, FBI (CG)', '1 Crush clits and win debates (OO)', '0 Judge allocations are NOT final (OG)']"
1,Round 1,"Umar FazlanⒸ , Avi Vijayvergiya , Ritul Aryan","['3 Conley-Evans-Leslie-Keefe (CO)', '2 We’re Back in Lockdown (OO)', '1 *insert funny team name here* (OG)', '0 SWING 1 (CG)']"
2,Round 1,"Judah PurwantoⒸ , Bioantika , Lame Prince","['3 Hugh Mungus (CO)', '2 Ghosted (OG)', '1 Philosopher Kings (CG)', '0 Liberalism (OO)']"
3,Round 1,"Catherine ZhouⒸ , Hugh MejosⓉ","['3 shrivelled ovaries and broken dream (OG)', '2 Jer, Ping and Arin (OO)', '1 we came here to get vaccinated (CO)', '0 girlfriend matchmaking service (CG)']"
4,Round 1,"Rob BarrieⒸ , Maison Pieterson Maphosa , David MenciasⓉ","['3 Jordyn and Udai (CG)', '2 God is Dead (OO)', '1 Redacted team (OG)', '0 That’s Valid (CO)']"
5,Round 1,"Lidya AndreaniⒸ , Charlene Yeh , Quynh Anh , Daniela FagundesⓉ","['3 Grumpy Cat and Morgan Stanley Dog (CG)', ""2 Hi I'm Aman and I'm the best! (OO)"", '1 UPDate us please crushes (OG)', '0 Psycho Song of the Year (CO)']"
6,Round 1,"Ellie StephensonⒸ , Seval JainⓉ","['3 UNISA AA (CO)', '2 sucked innnnnnnnnnnnnn (CG)', '1 Point? What Point? (OO)', '0 UNSW PX (OG)']"
7,Round 2,"Ellie StephensonⒸ , Lidya Andreani , Daniela FagundesⓉ","['3 Jer, Ping and Arin (CG)', '2 *insert funny team name here* (OO)', '1 Bert Macklin, FBI (CO)', '0 God is Dead (OG)']"
8,Round 2,"Rob BarrieⒸ , Bioantika , David MenciasⓉ","['3 shrivelled ovaries and broken dream (CO)', '2 bodacious babes (OO)', '1 Conley-Evans-Leslie-Keefe (CG)', '0 UNISA AA (OG)']"
9,Round 2,"Catherine ZhouⒸ , Lame Prince , Hugh MejosⓉ","[""3 Hi I'm Aman and I'm the best! (CG)"", '2 We’re Back in Lockdown (CO)', '1 Crush clits and win debates (OG)', '0 sucked innnnnnnnnnnnnn (OO)']"
10,Round 2,"David WuⒸ , James Cachola","['3 Jordyn and Udai (OO)', '2 Grumpy Cat and Morgan Stanley Dog (CO)', '1 Hugh Mungus (OG)', '0 Ghosted (CG)']"
