,Round Name,Panel,Rankings
0,Round 1,"Revan TJⒸ , Anjali , Vim scott , Charu Kaur AroraⓉ","['3 AwkGang (CO)', '2 Cherry Wine (OG)', '1 WAP: Wasted Academic Potential (OO)', '0 AA battery (CG)']"
1,Round 1,"Jaymal LodhaⒸ , Aishwarya C , Jessa Mae Nuevas","['3 both of us are tired all the time a (OO)', '2 rippp (CG)', '1 BUTEX A (CO)', '0 Battlegrounds (OG)']"
2,Round 1,"Ralph LeeⒸ , Chloé , Gazi MahtabⓉ","['3 IITR 1 (CG)', '2 Boink Boink (OO)', '1 Cherry Bomb (CO)', ""0 Dumbledore's Army (OG)""]"
3,Round 1,"Kanan IshizakaⒸ , Jb kobayashi , Sofia Chavez , AanchalⓉ","['3 Serangoon Secondary A (OG)', '2 New Year Resolution: No More Screwi (OO)', '1 Nusrat @ 3 am (CG)', '0 H & M (CO)']"
4,Round 1,"Sneha DasⒸ , Gelson","['3 WHYDA Dunk on Me (OO)', '2 Swing 1 (CO)', ""1 Voltaire's Heirs (OG)"", '0 I Am Am (CG)']"
5,Round 1,"Adel Mostaque AhmedⒸ , Adwait , Nidhi PrakritiⓉ","['3 SAD X (OG)', '2 I am audible (CO)', '1 why are we here (CG)', '0 Take De Bait (OO)']"
6,Round 2,"Sneha DasⒸ , Gazi Mahtab , Jessa Mae Nuevas","['3 BUTEX A (OG)', '2 why are we here (OO)', '1 Swing 2 (CG)', '0 AA battery (CO)']"
7,Round 2,"Adel Mostaque AhmedⒸ , Jaymal Lodha , Jb kobayashi , AnjaliⓉ","['3 Serangoon Secondary A (OO)', '2 AwkGang (OG)', '1 IITR 1 (CO)', '0 New Year Resolution: No More Screwi (CG)']"
8,Round 2,"Revan TJⒸ , Gelson , Sofia Chavez , AanchalⓉ","['3 Boink Boink (OG)', '2 Swing 1 (CG)', '1 I am audible (OO)', '0 rippp (CO)']"
9,Round 2,"Kanan IshizakaⒸ , Adwait , Vim scott , Nidhi PrakritiⓉ","['3 WHYDA Dunk on Me (CO)', '2 Cherry Wine (OO)', '1 both of us are tired all the time a (OG)', '0 SAD X (CG)']"
10,Round 2,"Ralph LeeⒸ , Charu Kaur AroraⓉ","['3 WAP: Wasted Academic Potential (CG)', '2 Cherry Bomb (OG)', '1 Nusrat @ 3 am (OO)', ""0 Voltaire's Heirs (CO)""]"
11,Round 2,"Jessica AwurumⒸ , Aishwarya C , ChloéⓉ","['3 Take De Bait (CG)', ""2 Dumbledore's Army (CO)"", '1 I Am Am (OO)', '0 H & M (OG)']"
12,Round 3,"GelsonⒸ , Adwait , Jb kobayashi","['3 I Am Am (CO)', '2 Swing 2 (OG)', '1 H & M (CG)', '0 AA battery (OO)']"
13,Round 3,"Sneha DasⒸ , Adel Mostaque Ahmed , Vim scott","['3 Serangoon Secondary A (CO)', '2 WHYDA Dunk on Me (OG)', '1 AwkGang (OO)', '0 Boink Boink (CG)']"
14,Round 3,"Jessica AwurumⒸ , Ralph Lee , AanchalⓉ","['3 Swing 1 (OO)', '2 both of us are tired all the time a (CG)', '1 Cherry Wine (CO)', '0 I am audible (OG)']"
15,Round 3,"Kanan IshizakaⒸ , Aishwarya C , Anjali","['3 IITR 1 (OO)', '2 why are we here (OG)', '1 WAP: Wasted Academic Potential (CO)', '0 BUTEX A (CG)']"
