,Round Name,Panel,Rankings
0,Round 1,Vipul NandaⒸ,"['1 Korea Green (O)', '0 AAL A (P)']"
1,Round 1,Marialena KalyvaⒸ,"['1 Royalty Pact Debating (P)', '0 AAL B (O)']"
2,Round 1,Zahari NikolaevⒸ,"['1 Romania Red (P)', '0 ACI (O)']"
3,Round 1,Matevž Rezman TasičⒸ,"['1 Açı A (P)', '0 Impostors (O)']"
4,Round 1,Scott RalstonⒸ,"['1 Dialogy Black (O)', '0 Açı B (P)']"
5,Round 1,Ilinca BerindeⒸ,"['1 RED Team (O)', '0 Açı C (P)']"
6,Round 1,"Selen CeltekⒸ , Yrein Aquino Canzon","['1 FDT Purple (P)', '0 ALKEV Debate (O)']"
7,Round 1,Rok HafnerⒸ,"['1 Ateneo A (P)', '0 FMV YEET (O)']"
8,Round 1,Misheel Soyol-ErdeneⒸ,"['1 RC Tulips (P)', '0 AU Debate Green (O)']"
9,Round 1,"Joshua TandionoⒸ , Roza Kavak","['1 Team China Great Wall (O)', '0 AU Debate White (P)']"
10,Round 1,Christopher Jose C. CarlosⒸ,"['1 Avatar (O)', '0 Dialogy Green (P)']"
11,Round 1,Michal PacenaⒸ,"['1 SHSID B (O)', '0 Baklava (P)']"
12,Round 1,"Eta KrpanecⒸ , Beverly Nyoni","['1 MSG (P)', '0 Charterhouse (O)']"
13,Round 1,Diana DiaconescuⒸ,"['1 SHSID A (P)', '0 Chicklings (O)']"
14,Round 1,Dimitra GeorgantakiⒸ,"['1 CNPR A (O)', '0 SC Blue (P)']"
15,Round 1,ALEXANDRU-MADALIN PENCIUⒸ,"['1 Eton College (O)', '0 Crewmates (P)']"
16,Round 1,Filip GavranovicⒸ,"['1 Koç-1 (P)', '0 DGM Blue (O)']"
17,Round 1,Ilgın SezerⒸ,"['1 Taiwan Blue (P)', '0 DGM Green (O)']"
18,Round 1,Joshua VarugheseⒸ,"['1 Dialogy Blue (P)', '0 Milky Nooriye (O)']"
19,Round 1,Sabina GrigoreⒸ,"['1 Team China Mulan (P)', '0 Dialogy Purple (O)']"
