,Round Name,Panel,Rankings
0,Round 1,"BalqisⒸ , Angellia GiovanniⓉ , KelvinⓉ","['3 Isaiah 41:10 (CG)', '2 Wangsheng Funeral (OO)', '1 ADC A (CO)', '0 Unima C (OG)']"
1,Round 1,"Jen TarunoⒸ , Hana LinⓉ , Yvonne NgⓉ","[""3 yuji'emw (OO)"", '2 Unima A (OG)', '1 ADC B (CG)', '0 Unismuh Makassar A (CO)']"
2,Round 1,"Jessica A.Ⓒ , Felicia AnggrainiⓉ , JoshⓉ , Kevin SuwitoⓉ","['3 stream aot s4p2 (OG)', '2 Kecel Lele (OO)', '1 anak kecil (CO)', '0 BNEC Alam Sutera 3 (CG)']"
3,Round 1,"GioⒸ , Elgard , Bonfilio DazzleⓉ","['3 Harkonnen (CG)', '2 BBS (OO)', '1 BNEC Alam Sutera 2 (OG)', '0 PIP Makassar (CO)']"
4,Round 1,"KevinⒸ , Omar , Kelly ChouⓉ","['3 Belum Makan Preksu (CG)', '2 Nangis di tangga (CO)', '1 The towel of coach (OO)', '0 Unismuh Makassar B (OG)']"
5,Round 1,"JessicaⒸ , Louis AdrianoⓉ , Rachel ChenⓉ","['3 Nemesis (OO)', '2 The Marauders (OG)', '1 Blukutuk (CO)', '0 Unismuh Makassar C (CG)']"
6,Round 1,"LivinaⒸ , Mayta Ciara SalsabilaⓉ","['3 NFT enthusiast (OO)', '2 reputation is a good (CO)', '1 Swing A (OG)', '0 daad issues (CG)']"
7,Round 1,"SekarⒸ , Auron Rafael HoverioⓉ , Raynathan ChristopherⓉ","['3 Specter Litt lokal (CG)', ""2 Red (Taylor's Ver.) (OO)"", '1 Unima B (OG)', '0 Spirited Away (CO)']"
8,Round 2,"LivinaⒸ , Elgard , Kevin SuwitoⓉ , Louis AdrianoⓉ","['3 The towel of coach (CO)', '2 anak kecil (OG)', '1 ADC A (CG)', '0 Unima B (OO)']"
9,Round 2,"SekarⒸ , Angellia Giovanni , Bonfilio Dazzle","['3 BNEC Alam Sutera 2 (CG)', '2 Blukutuk (OO)', '1 ADC B (OG)', '0 daad issues (CO)']"
10,Round 2,"BalqisⒸ , Rachel Chen , Kelly ChouⓉ","['3 The Marauders (CG)', '2 BBS (CO)', ""1 Red (Taylor's Ver.) (OG)"", '0 Unima A (OO)']"
11,Round 2,"JessicaⒸ , Kezia , Auron Rafael HoverioⓉ","['3 Belum Makan Preksu (OO)', '2 Specter Litt lokal (CO)', '1 Isaiah 41:10 (OG)', '0 stream aot s4p2 (CG)']"
12,Round 2,"GioⒸ , Raynathan Christopher , Yvonne Ng","['3 Spirited Away (OG)', '2 BNEC Alam Sutera 3 (CO)', '1 PIP Makassar (OO)', '0 Unismuh Makassar B (CG)']"
13,Round 2,"Jessica A.Ⓒ , Omar , KelvinⓉ","['3 NFT enthusiast (CO)', '2 Harkonnen (OO)', '1 Nemesis (OG)', ""0 yuji'emw (CG)""]"
