,Name,Team,Categories,Speaker Scores
0,Daan Spackler,Trivium SK(rrt),,"['79', '82', '80', '80', '79']"
1,Harshvardhan Ray,Harshu and Kausu escape from Guanta,,"['78', '84', '80', '80', '77']"
2,Pjotr Koster,Trivium SK(rrt),,"['78', '80', '78', '81', '79']"
3,Sneha Das,Kamikaze,,"['79', '82', '76', '78', '81']"
4,Ritabrata Mitra,Kamikaze,,"['79', '82', '77', '77', '79']"
5,Raffy Perez,UPM Paradis,,"['78', '77', '82', '80', '76']"
6,Verse Abellaneda,UPM Eldia,,"['78', '78', '79', '81', '76']"
7,Karina Kuznietsova,I promise to be fresh v2,,"['78', '80', '78', '77', '79']"
8,Cj Salayo,UPLB spam musubi,,"['76', '79', '79', '78', '79']"
9,Roman Matiushko,I promise to be fresh v2,,"['78', '80', '77', '78', '78']"
10,Charlette Inao,UPM Paradis,,"['77', '76', '82', '79', '76']"
11,JV Cabrera,UPM Eldia,,"['77', '77', '79', '80', '76']"
12,Joep van Heugten,Eindhoven 1,,"['77', '78', '76', '79', '79']"
13,Andrii Chumachov,Kyiv A,,"['76', '77', '79', '78', '79']"
14,Bob Albayda,UPLB spam musubi,Novice,"['76', '78', '79', '78', '78']"
15,Biser Angleov,This account has been suspended,,"['79', '75', '81', '79', '75']"
16,Oleh Stoiev,Kyiv A,,"['76', '76', '80', '78', '79']"
17,JF Taha,Fingers Crossed,Novice,"['76', '77', '78', '79', '78']"
18,Boyan Velev,Mangustan,Novice,"['78', '83', '76', '74', '76']"
19,Vim Scott,Fingers Crossed,,"['75', '76', '78', '79', '78']"
20,Idan Ben Avi,Eindhoven 1,Novice,"['76', '77', '75', '79', '79']"
21,Borys Pikalov,PikKaso,,"['78', '77', '81', '75', '75']"
22,Minh Chau Hoang,Tab Dancers,Novice,"['76', '78', '75', '79', '77']"
23,Mario Muawad,Mangustan,Novice,"['78', '82', '77', '73', '75']"
24,Mateusz Kosson,Wrench and Swango,Novice,"['78', '77', '78', '74', '78']"
25,Bilal Najaf,Give me a break !,Novice,"['75', '76', '82', '76', '75']"
26,Marta Sanz Wawer,Wrench and Swango,Novice,"['78', '76', '79', '73', '78']"
27,Simran Chahal,Give me a break !,Novice,"['76', '76', '81', '75', '75']"
28,Asen Dotsinski,This account has been suspended,,"['77', '74', '79', '77', '76']"
29,Dessi Mezinova,to be announced,Novice,"['76', '76', '81', '73', '76']"
30,Vladimira Šuflaj,Women on the battlefield,Novice,"['78', '75', '77', '77', '75']"
31,Andriy Kasyanenko,PikKaso,,"['77', '76', '80', '74', '75']"
32,Kirill Tamogashev,HSE,,"['77', '79', '75', '76', '75']"
33,Omer Abramovich,English Stupid Language,,"['77', '74', '74', '79', '77']"
34,Bioantika,First Trial,Novice,"['74', '77', '79', '75', '76']"
35,Alexander Yeremenko,Mujahideen,,"['75', '77', '76', '77', '75']"
36,Dmitriy Chernyshov,Mujahideen,,"['75', '77', '76', '77', '75']"
37,Akbar Rafsanzani,First Trial,Novice,"['74', '76', '78', '75', '76']"
38,Anna Filiptseva,Berlin B,,"['75', '76', '77', '77', '74']"
39,Eugene Akulov,HSE,,"['76', '78', '74', '76', '75']"
40,Roi Cohen,English Stupid Language,,"['76', '74', '73', '79', '75']"
41,Emma Hansen,Berlin B,,"['74', '78', '75', '77', '73']"
42,Artem Kurilov,That paid us the most,Novice,"['72', '78', '77', '74', '76']"
43,Olesia Matskovych,Banana Diplomats,,"['76', '76', '77', '76', '72']"
44,Silke Zwart,to be announced,,"['75', '75', '80', '72', '75']"
45,Inna Mazuryk,Undergrounder Kindrat,,"['75', '74', '77', '75', '75']"
46,Kateryna Alieko,Banana Diplomats,,"['76', '76', '76', '76', '72']"
47,Julia Fueh Mihovilović,Women on the battlefield,Novice,"['77', '75', '75', '76', '73']"
48,Ben-Joel Krause,massive stonks,,"['73', '75', '75', '79', '73']"
49,Gleb Voloskyi,The Tales of Askold and The Lies of,,"['72', '75', '75', '76', '77']"
50,Yelizaveta Shevchenko,That paid us the most,Novice,"['71', '78', '76', '74', '76']"
51,Ihor Bida,Undergrounder Kindrat,,"['75', '73', '75', '76', '76']"
52,Piotr Małkowski,The Concise Oxford Dictionary,Novice,"['77', '77', '74', '74', '72']"
53,Svitlana Izuhrafova,Hodgepodge,,"['76', '72', '76', '75', '75']"
54,Shahriar Zahid Mormo,BUPDC A,,"['72', '76', '76', '77', '73']"
55,Helga Bykova,Worst Case (Scenario),,"['76', '73', '73', '76', '73']"
56,Polina Pienkina,Worst Case (Scenario),,"['76', '73', '73', '76', '73']"
57,Farhan Israq Haque,BUPDC A,Novice,"['73', '75', '73', '77', '73']"
58,Robert Wiebalck,massive stonks,,"['72', '73', '76', '76', '74']"
59,Kanz Ur Rehman,McKenzie & Eize,,"['73', '77', '77', '75', '69']"
60,Elena Baruteva,ACS girls,Novice,"['72', '76', '74', '73', '75']"
61,Ahsan Anwar,McKenzie & Eize,Novice,"['71', '78', '77', '75', '69']"
62,Andrey Ablitsov,Top 10 anime comebacks,,"['74', '75', '70', '74', '77']"
