,Round Name,Panel,Rankings
0,Round 1,"Prateek SharmaⒸ , Chris Costello","['3 (A)sexual Chamelis (CO)', '2 Confused & Horney: but in inglish (OO)', '1 Sleep freestyle (OG)', '0 Abomination 626 (CG)']"
1,Round 1,"Alice BertoniⒸ , Adam Lambert","['3 HH fellas, is it gay to debate (CG)', '2 anarkiddie gaybysitting project (CO)', '1 Too Gay To Function (OO)', ""0 third time's the charm (OG)""]"
2,Round 1,"Jonathan TaylorⒸ , Joy Hadome , Leauren Ji","['3 Pterois Radiata (CG)', '2 East Infection (OG)', '1 Couple of Queers, but not a Couple (OO)', '0 barely getting bi (CO)']"
3,Round 1,"Kshitiz Garg / KGⒸ , Esilanna McMenamin","['3 taylor committed vehicular manslaug (CO)', ""2 lgbtphobia so when i 4th it's final (OO)"", '1 dula’s peeps (CG)', '0 ddlj (OG)']"
4,Round 1,Navin KariyawasanⒸ,"['3 Queer Cuys (OO)', '2 Transnational Queer Death Drive (OG)', '1 Robinette (CO)', '0 Smarticles (CG)']"
5,Round 2,"Jonathan TaylorⒸ , Kshitiz Garg / KG","['3 Pterois Radiata (OG)', '2 Transnational Queer Death Drive (CG)', '1 Confused & Horney: but in inglish (CO)', '0 (A)sexual Chamelis (OO)']"
6,Round 2,"Harar HallⒸ , Adam Lambert , Samik Chakraborty","['3 Abomination 626 (CO)', '2 barely getting bi (OO)', '1 Smarticles (OG)', '0 ddlj (CG)']"
7,Round 2,"Navin KariyawasanⒸ , Leauren Ji","['3 anarkiddie gaybysitting project (CG)', '2 Couple of Queers, but not a Couple (CO)', '1 Sleep freestyle (OO)', ""0 lgbtphobia so when i 4th it's final (OG)""]"
8,Round 2,"Alice BertoniⒸ , Chris Costello , Joy Hadome","['3 dula’s peeps (CO)', ""2 third time's the charm (OO)"", '1 Too Gay To Function (CG)', '0 Robinette (OG)']"
9,Round 2,"Olivia MackenderⒸ , Prateek Sharma","['3 East Infection (OO)', '2 HH fellas, is it gay to debate (CO)', '1 taylor committed vehicular manslaug (CG)', '0 Queer Cuys (OG)']"
10,Round 3,"Jonathan TaylorⒸ , Joy Hadome , Kshitiz Garg / KG","['3 (A)sexual Chamelis (OG)', '2 Queer Cuys (CO)', '1 Couple of Queers, but not a Couple (CG)', '0 Abomination 626 (OO)']"
11,Round 3,"Harar HallⒸ , Chris Costello","['3 Pterois Radiata (CO)', '2 East Infection (CG)', '1 HH fellas, is it gay to debate (OG)', '0 anarkiddie gaybysitting project (OO)']"
12,Round 3,"Alice BertoniⒸ , Leauren Ji","['3 barely getting bi (OG)', ""2 lgbtphobia so when i 4th it's final (CG)"", '1 ddlj (OO)', '0 Sleep freestyle (CO)']"
13,Round 3,"Ben FrazerⒸ , Prateek Sharma","['3 Confused & Horney: but in inglish (CG)', '2 Transnational Queer Death Drive (CO)', '1 dula’s peeps (OG)', '0 taylor committed vehicular manslaug (OO)']"
14,Round 3,"Olivia MackenderⒸ , Samik Chakraborty","['3 Smarticles (OO)', '2 Too Gay To Function (OG)', ""1 third time's the charm (CO)"", '0 Robinette (CG)']"
15,Round 4,"Jonathan TaylorⒸ , Kshitiz Garg / KG , Olivia Mackender","['3 Pterois Radiata (OO)', '2 East Infection (CO)', '1 (A)sexual Chamelis (CG)', '0 Confused & Horney: but in inglish (OG)']"
16,Round 4,"Ben FrazerⒸ , Adam Lambert , Chris Costello","['3 Abomination 626 (OG)', '2 Robinette (OO)', '1 Sleep freestyle (CG)', '0 ddlj (CO)']"
17,Round 4,"Harar HallⒸ , Joy Hadome","['3 HH fellas, is it gay to debate (CO)', '2 Queer Cuys (CG)', '1 Transnational Queer Death Drive (OO)', '0 anarkiddie gaybysitting project (OG)']"
18,Round 4,"Alice BertoniⒸ , Leauren Ji","['3 dula’s peeps (OO)', '2 Too Gay To Function (CO)', '1 swing 2 (OG)', '0 barely getting bi (CG)']"
19,Round 4,"Navin KariyawasanⒸ , Samik Chakraborty","['3 taylor committed vehicular manslaug (OG)', ""2 lgbtphobia so when i 4th it's final (CO)"", '1 Smarticles (OO)', ""0 third time's the charm (CG)""]"
20,Prefinals,"Alice BertoniⒸ , Leauren Ji , Samik Chakraborty","['1 East Infection (CG)', '1 Transnational Queer Death Drive (OG)', '0 dula’s peeps (CO)', '0 Queer Cuys (OO)']"
21,Grand Final,"Jonathan TaylorⒸ , Alice Bertoni , Harar Hall , Leauren Ji , Olivia Mackender","['1 Pterois Radiata (CO)', '0 East Infection (OO)', '0 HH fellas, is it gay to debate (CG)', '0 Transnational Queer Death Drive (OG)']"
22,ProAm Finals,"Olivia MackenderⒸ , Ben Frazer , Harar Hall , Kshitiz Garg / KG , Prateek Sharma","[""1 third time's the charm (CG)"", '0 anarkiddie gaybysitting project (OO)', '0 Robinette (OG)', '0 Too Gay To Function (CO)']"
