,Round Name,Panel,Rankings
0,Round 1,Nguyen Duc PhuⒸ,"['1 Dokdo (P)', '0 :) (O)']"
1,Round 1,Lycca TenosoⒸ,"['1 0 clue (P)', '0 Operation Uranus (O)']"
2,Round 1,Saketh AvulaⒸ,"['1 Xinlyx (O)', '0 AitekeTeam (P)']"
3,Round 1,Justin ChengⒸ,"['1 meseeks (P)', '0 am i audible? (O)']"
4,Round 1,Ahana ChaudhuriⒸ,"['1 Masterchickengodz (P)', '0 ASHS awts gege (O)']"
5,Round 1,Nguyen Kim HaⒸ,"['1 Bintang (P)', '0 UG CHAMPS! (O)']"
6,Round 1,Rodel Bryan ValdezⒸ,"['1 Cape Town DMD (P)', '0 LGS 55 - Turquoise (O)']"
7,Round 1,Daniel SheremetaⒸ,"['1 ISDS Blue (O)', '0 DCCDC B (P)']"
8,Round 1,Chan Wing Fai (Jason O. Chan)Ⓒ,"['1 sscdbce (O)', '0 DLSU-D DLSU-D SHS B (P)']"
9,Round 1,Sergei Negado MaderazoⒸ,"['1 McWeng (P)', '0 DLSU-D SHS (O)']"
10,Round 1,Daniel TenggaraⒸ,"['1 Lahore Grammar School OPF Team 3 (O)', '0 French International School (P)']"
11,Round 1,Justin Gabriel WibisonoⒸ,"['1 Stone Rockers (O)', '0 Funky Monky (P)']"
12,Round 1,Cindy ZhaoⒸ,"['1 LGS 55 - Quartz (P)', '0 good feng shui (O)']"
13,Round 1,SimranⒸ,"['1 honk gong disneyland (P)', '0 LGS OPF (O)']"
14,Round 1,Anna von WillinghⒸ,"['1 ISDS Green (P)', '0 Malaysia Kopi Lapis (O)']"
15,Round 1,Tejas Sateesha HinderⒸ,"['1 Team Morocco (O)', '0 ISDS Orange (P)']"
16,Round 1,Lame BusangⒸ,"['1 SAS A (O)', '0 ISDS White (P)']"
17,Round 1,Tu Cam NguyenⒸ,"['1 Kade (P)', '0 Underqualified Overachievers (O)']"
18,Round 1,Angus LiⒸ,"['1 Lya, Tuk, and Clueless (O)', '0 Kenya 1 (P)']"
19,Round 1,Gabrielle LukⒸ,"['1 LGS OPF Team 4 (P)', '0 KOGA (O)']"
20,Round 1,ReedⒸ,"['1 Malaysia Kopi C (O)', '0 LGS 55 - Amethyst (P)']"
21,Round 1,Tejas SubramaniamⒸ,"['1 LGS OPF 1 (O)', '0 Swamp Donkeys (P)']"
22,Round 1,Mahadi Rahman NikashⒸ,"['1 Malaysia Kopi O (P)', '0 Malaysia Kopi Ais (O)']"
23,Round 1,Manda Bagas KaraⒸ,"[""1 Wtf man this ain't no Disneyland (O)"", '0 Malaysia Kopi Tarik (P)']"
24,Round 1,"Chansol ParkⒸ , Russell RiveraⓉ","['1 skidaddle skadoodle (P)', ""0 Mike Khunt couldn't come (O)""]"
25,Round 1,Dimas Rizki MuliaⒸ,"['1 NDC-1 (P)', '0 NDC-3 (O)']"
26,Round 1,Jenna HongⒸ,"['1 THS (O)', '0 NDC-2 (P)']"
27,Round 1,Anders PangⒸ,"['1 Swing 1 (O)', '0 Team Oman (P)']"
28,Round 1,Samuel LoⒸ,"['1 Tryhards 2: Try Harder (P)', '0 WDKATUTLDOR: Chapter 3: The Time Sk (O)']"
29,Round 2,Madeleine WuⒸ,"['1 WDKATUTLDOR: Chapter 3: The Time Sk (P)', '0 :) (O)']"
30,Round 2,Tejas Sateesha HinderⒸ,"['1 0 clue (O)', '0 LGS OPF Team 4 (P)']"
31,Round 2,"Tejas SubramaniamⒸ , Russell RiveraⓉ","['1 AitekeTeam (O)', '0 DCCDC B (P)']"
32,Round 2,Daniel SheremetaⒸ,"['1 Underqualified Overachievers (P)', '0 am i audible? (O)']"
