,Round Name,Panel,Rankings
0,Round 1,Anshuman MishraⒸ,"['3 Boycott (CO)', '2 Abolish the Minimum Wage (OO)', '1 Random Factors (OG)', '0 Proportional Representation (CG)']"
1,Round 1,James AshwellⒸ,"['3 Lord of the Rings (OG)', '2 Abolish the State (CG)', '1 Fate and Destiny (OO)', '0 Determinism (CO)']"
2,Round 1,"Melinda GreenⒸ , Nirali Rout","['3 Debate Industrial Complex (OO)', '2 Amnesty (OG)', '1 Destruction of Private Property (CG)', '0 IQ For Sale (CO)']"
3,Round 1,"Matthew IliutⒸ , Haya AbdelWahab","['3 Solar Geoengineering (OG)', '2 Drone Strikes (CG)', '1 Appointed Expert Panel (OO)', '0 Human Rights (CO)']"
4,Round 1,"Will FraserⒸ , Sirish Joshi","['3 Ban Zoos (CO)', '2 Small Arms Embargo (OO)', '1 Uranium (OG)', '0 State Boarding Schools (CG)']"
5,Round 1,Anais KneppersⒸ,"['3 Feminism (OO)', '2 Credit Rating Agency (CO)', '1 Debt Relief (CG)', '0 Nationalism (OG)']"
6,Round 1,"Skylar JohnsonⒸ , Atharva Kulkarni","['3 Shadow Cabinet (CG)', ""2 Don't Die for Me (OG)"", '1 Mr. Brightside (CO)', '0 Pivot to the East (OO)']"
7,Round 1,"Eyas ValdezⒸ , Naman Gupta","['3 Free Will (OG)', '2 Pirating Academic Resources (OO)', '1 Retroactive Pardons (CG)', '0 Greece Outside the Euro (CO)']"
8,Round 2,"Ritul AryanⒸ , Will Fraser","['3 Abolish the Minimum Wage (OG)', '2 Credit Rating Agency (CG)', ""1 Don't Die for Me (OO)"", '0 Small Arms Embargo (CO)']"
9,Round 2,"Matthew IliutⒸ , Skylar Johnson","['3 Pirating Academic Resources (CG)', '2 Drone Strikes (OG)', '1 Amnesty (CO)', '0 Abolish the State (OO)']"
10,Round 2,"Diego FloresⒸ , Naman Gupta","['3 Retroactive Pardons (CO)', '2 Destruction of Private Property (OO)', '1 Appointed Expert Panel (OG)', '0 Random Factors (CG)']"
11,Round 2,James AshwellⒸ,"['3 Ban Zoos (OO)', '2 Free Will (CO)', '1 Shadow Cabinet (OG)', '0 Feminism (CG)']"
12,Round 2,"Eyas ValdezⒸ , Sherry Brudnyi","['3 Solar Geoengineering (OO)', '2 Debate Industrial Complex (CO)', '1 Lord of the Rings (CG)', '0 Boycott (OG)']"
13,Round 2,Anshuman MishraⒸ,"['3 Mr. Brightside (OO)', '2 Uranium (CO)', '1 Fate and Destiny (CG)', '0 Debt Relief (OG)']"
14,Round 2,Anais KneppersⒸ,"['3 Determinism (CG)', '2 Human Rights (OO)', '1 State Boarding Schools (CO)', '0 Pivot to the East (OG)']"
15,Round 2,Haya AbdelWahabⒸ,"['3 Proportional Representation (CO)', '2 Nationalism (OO)', '1 Greece Outside the Euro (CG)', '0 IQ For Sale (OG)']"
16,Round 3,"Ryuto SyudoⒸ , Eyas Valdez","['3 Debate Industrial Complex (OG)', '2 Abolish the Minimum Wage (CG)', '1 Credit Rating Agency (OO)', '0 Drone Strikes (CO)']"
17,Round 3,"Abigail ConradⒸ , Rody Visotski","['3 Small Arms Embargo (OG)', '2 Abolish the State (OO)', '1 Nationalism (CO)', '0 Appointed Expert Panel (CG)']"
18,Round 3,"Will FraserⒸ , Sherry Brudnyi","['3 Proportional Representation (OG)', ""2 Don't Die for Me (CO)"", '1 Determinism (OO)', '0 Amnesty (CG)']"
19,Round 3,"Anshuman MishraⒸ , Anais Kneppers","['3 Free Will (OO)', '2 Solar Geoengineering (CO)', '1 Pirating Academic Resources (OG)', '0 Ban Zoos (CG)']"
20,Round 3,Josh CohenⒸ,"['3 Boycott (OO)', '2 Uranium (CG)', '1 Feminism (CO)', '0 Human Rights (OG)']"
21,Round 3,"Skylar JohnsonⒸ , Naman Gupta","['3 Random Factors (CO)', '2 State Boarding Schools (OO)', '1 Debt Relief (CG)', '0 Greece Outside the Euro (OG)']"
22,Round 3,Melinda GreenⒸ,"['3 Swing 1 (CO)', '2 Swing 2 (OG)', '1 Pivot to the East (CG)', '0 IQ For Sale (OO)']"
23,Round 3,"Jun KimⒸ , Atharva Kulkarni","['3 Lord of the Rings (OO)', '2 Shadow Cabinet (CO)', '1 Retroactive Pardons (OG)', '0 Mr. Brightside (CG)']"
24,Round 4,Jun KimⒸ,"['3 Abolish the Minimum Wage (CO)', '2 Debate Industrial Complex (OG)', '1 Free Will (CG)', '0 Solar Geoengineering (OO)']"
25,Round 4,Anais KneppersⒸ,"['3 Feminism (OG)', '2 Drone Strikes (OO)', '1 Abolish the State (CO)', '0 Nationalism (CG)']"
26,Round 4,Anshuman MishraⒸ,"['3 Amnesty (CO)', '2 Mr. Brightside (OG)', '1 Swing 1 (CG)', '0 Random Factors (OO)']"
27,Round 4,"James AshwellⒸ , Atharva Kulkarni","['3 Ban Zoos (OG)', '2 Lord of the Rings (CO)', '1 Shadow Cabinet (OO)', '0 Boycott (CG)']"
28,Round 4,Will FraserⒸ,"['3 Pirating Academic Resources (CO)', ""2 Don't Die for Me (CG)"", '1 Proportional Representation (OO)', '0 Credit Rating Agency (OG)']"
29,Round 4,Diego FloresⒸ,"['3 Debt Relief (OO)', '2 Swing 4 (CO)', '1 Human Rights (CG)', '0 State Boarding Schools (OG)']"
30,Round 4,Ryuto SyudoⒸ,"['3 Determinism (OG)', '2 Small Arms Embargo (CG)', '1 Retroactive Pardons (CO)', '0 Uranium (OO)']"
31,Round 4,Skylar JohnsonⒸ,"['3 Swing 3 (OG)', '2 Pivot to the East (CO)', '1 Swing 2 (OO)', '0 IQ For Sale (CG)']"
32,ESL Final,"Anshuman MishraⒸ , Anais Kneppers , Josh Cohen","['1 Ban Zoos (OO)', '0 Amnesty (CO)', '0 Determinism (OG)', '0 Retroactive Pardons (CG)']"
33,Grand Final,"Ryuto SyudoⒸ , Eyas Valdez , Will Fraser","['1 Pirating Academic Resources (OG)', '0 Abolish the Minimum Wage (CO)', '0 Debate Industrial Complex (CG)', '0 Free Will (OO)']"
