,Round Name,Panel,Rankings
0,Round 1,"Ryan OquizaⒸ , Avantika Singh","['1 3 Pumbaas 0 Timons (O)', '0 DTU Rebuttably yours (G)']"
1,Round 1,"Daniel MonteiroⒸ , Pranav RaoⓉ , Tania KaleemⓉ","['1 PES Dishonest Intellectuals (O)', '0 AIL Thats what she said (G)']"
2,Round 1,"Anupa PaulchaudhuriⒸ , Snigdha Priyadarshini , Sai Ramya PaturiⓉ","['1 Amar Akbar Anthony (G)', '0 SSC Cupid 💘 (O)']"
3,Round 1,AnoushkaⒸ,"['1 Ateneo DNP (G)', '0 This is Denzelle’s 30th Tournament (O)']"
4,Round 1,"Chesta BⒸ , Aly Barranda , Rohan Grover 💢","['1 UPD stream pied piper by bts (O)', '0 Bhaukal (G)']"
5,Round 1,"Vaishnavi SharmaⒸ , Megh Mazumdar 💢 , Jade GonzalesⓉ","['1 BITS Goa A (G)', '0 Taylors A (O)']"
6,Round 1,"Pranav KagalkarⒸ , S.AishwaryaⓉ","['1 Mrigshira (O)', '0 Black Diamonds (G)']"
7,Round 1,"Nishit SinghalⒸ , Adjudicator 2 , Urmita SharmaⓉ","['1 Cereal Killers (O)', '0 Sushi (G)']"
8,Round 1,"Anushri RastogiⒸ , Ananya BhatⓉ , Kaushiki SharmaⓉ","['1 Chadpreet Tikka Masala (G)', '0 WSDC Nepal (O)']"
9,Round 1,"ReedⒸ , Geethika PriyadarshiniⓉ , Kunal ShawⓉ","['1 Debeat It (O)', '0 DU GOD (G)']"
10,Round 1,"Kimberley TegjeuⒸ , Mithannsh Jain","['1 Sultans of Swing (G)', '0 DTU Stay on Dis-course (O)']"
11,Round 1,"NeelanshⒸ , Adya Bajpai , G Bharath KrishnaⓉ","['1 Venky Opinionaters (O)', '0 DYU Team A.A.G (G)']"
12,Round 1,"Kanika KaurⒸ , Shivani JathavedanⓉ","['1 Eagle Fang Debate (O)', '0 PES Pessimists (G)']"
13,Round 1,"Tota TakahashiⒸ , Shubham BhatiaⓉ","['1 Ferdousi ka Nasha (G)', '0 SLSP We Reject D (O)']"
14,Round 1,"Sneha DasⒸ , Victoria GonsalvesⓉ","['1 SLSP Ophelia (G)', '0 Fifth Minute Please (O)']"
15,Round 1,"Aliya FairuzⒸ , PradyotⓉ , S SriramⓉ","['1 Gulabjamuns (G)', '0 Lloyd Intellectual Lloydians (O)']"
16,Round 1,"Vishakha RajⒸ , Johann Javier 💢 , Yuvraj SinghⓉ","['1 JGU B (O)', '0 Hansraj 1 (G)']"
17,Round 1,KlaudiaⒸ,"['1 Hanuman (G)', '0 JGU A (O)']"
18,Round 1,"Adya SharmaⒸ , Ishaan Mathur 💢","['1 Prep ke Adda (G)', '0 Honourable Only by Courtesy (O)']"
19,Round 1,Judah PurwantoⒸ,"['1 IITK KGP (O)', '0 NUALS Debatably Good Team (G)']"
20,Round 1,"Shrey ShahⒸ , Himanshi Aneja 💢","['1 ILM ILNU (G)', '0 SSE Les Miserables (O)']"
21,Round 1,"NamitaⒸ , UAC","['1 WDSC B WSDC Bangladesh A (G)', '0 LGS 55 Main (O)']"
22,Round 1,"PragyanⒸ , Anuvind PraveenⓉ","['1 SHA(K)IRA (G)', '0 MH.A (O)']"
23,Round 1,"Eric KazadiⒸ , Mehr","['1 WBNUJS Break ke Baad (G)', '0 MIT Deb-Gen (O)']"
24,Round 1,"Adjudicator 1Ⓒ , Krithika Ragothaman , Lavanya AgarwalⓉ","['1 Swing Koramangala (O)', '0 MNLU Mumbai (G)']"
25,Round 1,Karthik BansalⒸ,"[""1 SSE I'm Jared, 19 (O)"", '0 NLSIU Novice (G)']"
26,Round 1,"Annie GeorgeⒸ , Narayan Sharma , Revan TJⓉ","['1 Propagandu (O)', '0 NUALS Koalified Bears (G)']"
27,Round 1,"Shudipto R. AhmedⒸ , Tanaya SahooⓉ","['1 Oh Joe, we did it (G)', '0 St. Thomas pray for us (O)']"
28,Round 1,"Ethan John FloroⒸ , Anjali YadavⓉ","['1 WSDC SA SA WSDC Protea (G)', '0 pseudonym (O)']"
29,Round 1,"Jyotirmoy MishraⒸ , Anushca Thomas","['1 RMLNLU Pareshan Kisaan (O)', '0 WDSC B WSDC Bangladesh B (G)']"
30,Round 1,"Shreyash ChoudharyⒸ , KJ , Harsh SethiⓉ","['1 RT1 (O)', '0 SSC Chill Big (G)']"
31,Round 1,"Joel LawⒸ , Sanya KapoorⓉ","['1 SXC SXCM A (O)', '0 SLSH X (G)']"
32,Round 1,"VigneshⒸ , Rithvik ChandrasekharⓉ","['1 WSDC SA SA WSDC Blue Crane (O)', '0 The Ackermans (G)']"
33,Round 1,"Kartik MathurⒸ , Tulika Karmakar 💢 , Nikhil JavaliⓉ","['1 Tiss 1.0 You Are Not Alone (G)', '0 UPD Never Wrong to be Right (O)']"
34,Round 1,"Sowmya SrinivasanⒸ , Preetika Sinha , Sudarshan IyerⓉ","['1 WSDC M Malaysia Tofu (G)', '0 WBNUJS Left for Bengal (O)']"
35,Round 2,"Ethan John FloroⒸ , Yazan MuhannaⓉ","['1 3 Pumbaas 0 Timons (O)', '0 PES Dishonest Intellectuals (G)']"
36,Round 2,"Jyotirmoy MishraⒸ , Adya Sharma , Aly Barranda","['1 DU GOD (O)', '0 AIL Thats what she said (G)']"
37,Round 2,"Revan TJⒸ , Ananya BhatⓉ","['1 Amar Akbar Anthony (O)', '0 JGU B (G)']"
38,Round 2,"Daniel MonteiroⒸ , Navin Srivatsan , Isha AhlawatⓉ","['1 Ateneo DNP (O)', '0 WSDC SA SA WSDC Blue Crane (G)']"
39,Round 2,"Avantika SinghⒸ , Krithika Ragothaman , UAC","['1 Bhaukal (O)', '0 SSC Chill Big (G)']"
40,Round 2,"Kanika KaurⒸ , PradyotⓉ , Tanaya SahooⓉ","['1 BITS Goa A (O)', '0 Cereal Killers (G)']"
41,Round 2,"KJⒸ , Rohan M , Uzair Tajuddin 💢","['1 WBNUJS Left for Bengal (G)', '0 Black Diamonds (O)']"
42,Round 2,"Kimberley TegjeuⒸ , Sanya KapoorⓉ , Shubham BhatiaⓉ","['1 Propagandu (G)', '0 Chadpreet Tikka Masala (O)']"
43,Round 2,"Shudipto R. AhmedⒸ , G Bharath KrishnaⓉ , Saloni JhaⓉ","['1 SHA(K)IRA (O)', '0 Debeat It (G)']"
44,Round 2,Amrit AgastiaⒸ,"['1 DTU Rebuttably yours (G)', '0 The Ackermans (O)']"
45,Round 2,"Sowmya SrinivasanⒸ , Harsh SethiⓉ , Sarbanga MishraⓉ","['1 DTU Stay on Dis-course (G)', '0 NUALS Debatably Good Team (O)']"
46,Round 2,"Anupa PaulchaudhuriⒸ , Chesta B , Kaushiki Sharma","['1 LGS 55 Main (G)', '0 DYU Team A.A.G (O)']"
47,Round 2,"Pranav KagalkarⒸ , Anuvind PraveenⓉ , S SriramⓉ","['1 WDSC B WSDC Bangladesh A (O)', '0 Eagle Fang Debate (G)']"
48,Round 2,"Sneha DasⒸ , Kunal ShawⓉ , Yuvraj SinghⓉ","['1 Ferdousi ka Nasha (O)', '0 WSDC SA SA WSDC Protea (G)']"
49,Round 2,"NeelanshⒸ , Ishaan Mathur , Tulika Karmakar 💢","['1 Fifth Minute Please (O)', '0 MIT Deb-Gen (G)']"
50,Round 2,KlaudiaⒸ,"['1 Gulabjamuns (O)', ""0 SSE I'm Jared, 19 (G)""]"
51,Round 2,"Suhas PrasannaⒸ 💢 , Himanshi Aneja , Lavanya Agarwal","['1 Hansraj 1 (O)', '0 PES Pessimists (G)']"
52,Round 2,"Vishakha RajⒸ , Sai Ramya PaturiⓉ , Shivani JathavedanⓉ","['1 IITK KGP (G)', '0 Hanuman (O)']"
53,Round 2,"Yash ChaturvediⒸ , Anubhav Banerjee 💢 , Narayan Sharma","['1 UPD Never Wrong to be Right (G)', '0 Honourable Only by Courtesy (O)']"
54,Round 2,"Judah PurwantoⒸ , Anjali YadavⓉ","['1 ILM ILNU (O)', '0 RT1 (G)']"
55,Round 2,"Nishit SinghalⒸ , Shreyash Choudhary 💢","['1 Taylors A (G)', '0 JGU A (O)']"
56,Round 2,"Rohan GroverⒸ , Adya Bajpai , Mithannsh Jain","['1 NUALS Koalified Bears (O)', '0 Lloyd Intellectual Lloydians (G)']"
57,Round 2,"Kartik MathurⒸ , Bhuvana Bojamma , Maliha Rahman 💢","['1 MH.A (G)', '0 WDSC B WSDC Bangladesh B (O)']"
58,Round 2,"Eric KazadiⒸ , Ryan Oquiza 💢 , Urmita Sharma","['1 WSDC M Malaysia Tofu (O)', '0 Mrigshira (G)']"
59,Round 2,"Shrey ShahⒸ , Johann Javier","['1 WSDC Nepal (G)', '0 NLSIU Novice (O)']"
60,Round 2,"VigneshⒸ , Pranav RaoⓉ","['1 SLSP Ophelia (O)', '0 Oh Joe, we did it (G)']"
61,Round 2,"Anushri RastogiⒸ , S.AishwaryaⓉ","['1 Prep ke Adda (O)', '0 RMLNLU Pareshan Kisaan (G)']"
62,Round 2,"Annie GeorgeⒸ , Snigdha Priyadarshini , Sudarshan Iyer","['1 SSE Les Miserables (G)', '0 pseudonym (O)']"
63,Round 2,"AtulⒸ , Anushca Thomas , Megh Mazumdar","['1 Swing Delhi (O)', '0 SJCC Teresa  Stephen (G)']"
64,Round 2,"AnoushkaⒸ , Preetika Sinha","['1 SSC Cupid 💘 (G)', '0 SLSH X (O)']"
