,Name,Team,Categories,Speaker Scores
0,Sher May Nar,Ferdousi ka Nasha,,"['82.00', '81.00', '82.00', '81.00', '80.00', '79.00']"
1,Taha Iqbal,Ferdousi ka Nasha,,"['82.00', '82.00', '82.00', '79.00', '80.00', '79.00']"
2,Ploopy,3 Pumbaas 0 Timons,,"['78.00', '82.00', '81.00', '80.00', '80.00', '79.50']"
3,Har Naveenjeet Singh,3 Pumbaas 0 Timons,,"['78.00', '82.00', '81.00', '79.00', '79.00', '80.50']"
4,Dominic Guinane,3 Pumbaas 0 Timons,,"['78.00', '82.00', '81.00', '79.00', '80.00', '79.50']"
5,Rifayat Wafee,Ferdousi ka Nasha,,"['80.00', '81.00', '81.00', '79.00', '79.00', '78.50']"
6,Maeca Pansensoy,Ateneo DNP,,"['81.00', '79.00', '80.00', '77.50', '78.50', '80.00']"
7,Irene Dela Cruz,Ateneo DNP,,"['81.00', '79.00', '79.00', '78.00', '79.00', '78.50']"
8,Eugene Cloete,WSDC SA SA WSDC Protea,,"['79.00', '79.00', '79.00', '79.00', '79.00', '77.50']"
9,Deep Behal,Amar Akbar Anthony,,"['77.00', '79.00', '77.00', '78.00', '82.00', '78.50']"
10,Akshit Mishra,ILM ILNU,,"['78.00', '80.00', '79.00', '77.00', '78.00', '79.00']"
11,Rohan Seelamsetty,Cereal Killers,,"['78.50', '78.00', '80.00', '78.00', '79.00', '77.50']"
12,Faye Crawford,WSDC SA SA WSDC Protea,,"['79.00', '78.00', '79.00', '78.50', '79.00', '77.00']"
13,Lwandle Ntshangase,WSDC SA SA WSDC Blue Crane,,"['80.00', '78.50', '78.00', '79.00', '79.00', '76.00']"
14,Shaniaé Maharaj,WSDC SA SA WSDC Blue Crane,,"['80.00', '77.50', '77.00', '79.00', '—', '—']"
15,Kevin Santhosh,SHA(K)IRA,,"['77.00', '79.00', '80.00', '78.00', '79.00', '77.00']"
16,Vince Natera,Ateneo DNP,,"['79.00', '79.00', '77.00', '77.50', '78.50', '78.50']"
17,Astha Jakher,IITK KGP,,"['79.00', '77.00', '79.00', '79.00', '78.00', '77.50']"
18,Tanay Raghavendra,IITK KGP,,"['78.00', '78.00', '78.00', '80.00', '78.00', '77.50']"
19,Aradome Belai,SLSP Ophelia,,"['77.00', '80.00', '79.00', '78.00', '77.50', '78.00']"
20,Marcus Cordeiro,WSDC SA SA WSDC Blue Crane,,"['81.00', '78.00', '76.00', '78.00', '78.00', '—']"
21,Pratyaksha Jha,Tiss 1.0 You Are Not Alone,,"['77.50', '77.00', '77.50', '79.00', '81.00', '77.00']"
22,Jibran Khan,Sultans of Swing,,"['75.50', '79.00', '78.00', '81.00', '77.00', '78.50']"
23,Mirambika Sikdar,IITK KGP,,"['78.00', '76.00', '79.00', '80.00', '79.00', '77.00']"
24,Denzelle Jude Caro,This is Denzelle’s 30th Tournament,,"['79.00', '79.00', '78.00', '77.00', '78.00', '78.00']"
25,Ananya Ganesh,Cereal Killers,,"['78.00', '77.00', '79.00', '78.00', '80.00', '77.00']"
26,Karthik Palakodeti,Cereal Killers,,"['78.00', '78.00', '79.00', '77.00', '79.00', '78.00']"
27,Aarush Sharma,ILM ILNU,,"['77.00', '78.00', '79.00', '76.50', '79.00', '79.00']"
28,Joshua Hendricks,WSDC SA SA WSDC Protea,,"['79.00', '78.00', '78.00', '78.50', '78.00', '77.00']"
29,Shvabh Chakarwarti,Amar Akbar Anthony,,"['76.50', '78.00', '76.00', '79.00', '81.00', '77.50']"
30,Nahian Rashha,WDSC B WSDC Bangladesh B,,"['76.00', '76.67', '77.67', '81.00', '78.00', '78.50']"
31,Tejas Jaiswal,Sultans of Swing,,"['77.00', '79.00', '77.00', '79.00', '77.00', '78.50']"
32,Mozaien Tak,Bhaukal,,"['76.33', '77.67', '77.00', '79.00', '80.00', '77.50']"
33,Shakya Chandra,SHA(K)IRA,,"['76.00', '79.00', '78.00', '79.00', '78.00', '77.00']"
34,Estelle Novenka Florens,Hanuman,,"['79.00', '77.00', '79.00', '77.50', '76.00', '78.50']"
35,Ira Gosavi,SHA(K)IRA,,"['78.00', '78.00', '78.00', '77.00', '78.00', '77.50']"
36,Hemant Sangwan,Bhaukal,,"['76.33', '77.67', '78.00', '78.00', '79.00', '77.50']"
37,Shayor Khan,WDSC B WSDC Bangladesh A,,"['77.00', '78.00', '76.00', '79.00', '78.50', '78.00']"
38,Bea Legaspi,UPD stream pied piper by bts,,"['78.00', '77.00', '77.00', '78.00', '77.00', '79.50']"
39,Redacted,—,,"['77.50', '80.00', '78.00', '76.67', '76.33', '—']"
40,Priyanshi Rachchh,ILM ILNU,,"['77.50', '79.00', '78.00', '76.50', '77.00', '78.00']"
41,Swagata Mukhopadhyay,WBNUJS Break ke Baad,,"['75.00', '77.00', '78.00', '78.00', '80.00', '78.00']"
42,Prachurya Sahu,SLSP We Reject D,,"['79.00', '77.00', '75.67', '77.33', '77.50', '78.67']"
43,Rangan Majumdar,Prep ke Adda,,"['77.00', '76.00', '78.00', '79.00', '77.00', '78.00']"
44,Shivansh Raman,Debeat It,,"['78.00', '77.00', '78.00', '77.00', '—', '—']"
45,Lanz Nathan Hernandez,This is Denzelle’s 30th Tournament,,"['80.00', '78.00', '77.00', '76.50', '76.00', '—']"
46,Akshay Chauhan,Bhaukal,,"['77.00', '77.00', '77.00', '78.00', '78.00', '77.50']"
47,Altamash Kadir,Tiss 1.0 You Are Not Alone,,"['77.00', '76.00', '76.50', '78.00', '80.00', '76.50']"
48,Chinmaya Mohan,Eagle Fang Debate,,"['77.00', '77.00', '76.00', '78.00', '78.00', '78.00']"
49,Lamia Nur Rahman,WDSC B WSDC Bangladesh A,,"['76.50', '78.00', '77.00', '78.00', '77.50', '77.00']"
