,Round Name,Panel,Rankings
0,Round 1,Danesh AggarwalⒸ,"['1 Ateneo AOV (G)', '0 Sunway Lit FanFiq (O)']"
1,Round 1,Danyal MaqboolⒸ,"['1 Bishan Secondary Team C (O)', '0 TWC Tea (G)']"
2,Round 1,Hilmy YazidⒸ,"['1 Diponegoro (O)', '0 Chula A (G)']"
3,Round 1,Teo En QiⒸ,"['1 David, CJ, and Quintin (G)', '0 Chula CK (O)']"
4,Round 1,Chisato HashimaⒸ,"['1 Last 3 braYNCells 😎🥳😴 (O)', '0 Chula IDK (G)']"
5,Round 1,RalphⒸ,"['1 Chula V (G)', '0 Chula MBF (O)']"
6,Round 1,Kanan IshizakaⒸ,"['1 UPD Babes (G)', '0 Chula TMX (O)']"
7,Round 1,Karla Louise AlfonsoⒸ,"['1 Doing this for sigs (O)', '0 IIUM 3 (G)']"
8,Round 1,CynthiaⒸ,"['1 YNC B (G)', '0 GMT (O)']"
9,Round 1,"Retno Anjani Dian Shinta WulandariⒸ , Batara , Kiki Liew","['1 IIUM 2 (O)', '0 IIUM 1 (G)']"
10,Round 1,"Adya SharmaⒸ , Felix , JJ Pine","['1 Run Sara Run (G)', '0 Keiso Union (O)']"
11,Round 1,Abhishek AcharyaⒸ,"['1 The real work happens in the Knox c (O)', '0 MaDer Cowbet (G)']"
12,Round 1,Rahul DattaⒸ,"['1 UNITEN (O)', '0 Sunway Lag Ooh (G)']"
13,Round 2,Hilmy YazidⒸ,"['1 Ateneo AOV (O)', '0 Diponegoro (G)']"
14,Round 2,Rahul DattaⒸ,"['1 Sunway Lit FanFiq (G)', '0 Bishan Secondary Team C (O)']"
15,Round 2,Karla Louise AlfonsoⒸ,"['1 Chula A (O)', '0 Chula TMX (G)']"
16,Round 2,Danesh AggarwalⒸ,"['1 Keiso Union (G)', '0 Chula CK (O)']"
17,Round 2,Abhishek AcharyaⒸ,"['1 IIUM 3 (G)', '0 Chula IDK (O)']"
18,Round 2,Kiki LiewⒸ,"['1 IIUM 1 (O)', '0 Chula MBF (G)']"
19,Round 2,Retno Anjani Dian Shinta WulandariⒸ,"['1 Run Sara Run (G)', '0 Chula V (O)']"
20,Round 2,"Chisato HashimaⒸ , Ashit Kumar Dutta , JJ Pine , CynthiaⓉ","['1 David, CJ, and Quintin (O)', '0 Last 3 braYNCells 😎🥳😴 (G)']"
21,Round 2,Teo En QiⒸ,"['1 Doing this for sigs (G)', '0 UNITEN (O)']"
22,Round 2,BataraⒸ,"['1 GMT (G)', '0 TWC Tea (O)']"
23,Round 2,Kanan IshizakaⒸ,"['1 The real work happens in the Knox c (O)', '0 IIUM 2 (G)']"
24,Round 2,Danyal MaqboolⒸ,"['1 Sunway Lag Ooh (O)', '0 MaDer Cowbet (G)']"
25,Round 2,"RalphⒸ , Adya Sharma , Felix","['1 UPD Babes (O)', '0 YNC B (G)']"
26,Round 3,RalphⒸ,"['1 Run Sara Run (O)', '0 Ateneo AOV (G)']"
27,Round 3,"Karla Louise AlfonsoⒸ , Felix","['1 Bishan Secondary Team C (G)', '0 Chula A (O)']"
28,Round 3,BataraⒸ,"['1 Chula CK (G)', '0 Chula MBF (O)']"
29,Round 3,Rahul DattaⒸ,"['1 TWC Tea (G)', '0 Chula IDK (O)']"
30,Round 3,Ashit Kumar DuttaⒸ,"['1 MaDer Cowbet (O)', '0 Chula TMX (G)']"
31,Round 3,Abhishek AcharyaⒸ,"['1 YNC B (O)', '0 Chula V (G)']"
32,Round 3,Kanan IshizakaⒸ,"['1 David, CJ, and Quintin (O)', '0 The real work happens in the Knox c (G)']"
33,Round 3,Kiki LiewⒸ,"['1 Diponegoro (G)', '0 IIUM 2 (O)']"
34,Round 3,Hilmy YazidⒸ,"['1 UPD Babes (G)', '0 Doing this for sigs (O)']"
35,Round 3,JJ PineⒸ,"['1 UNITEN (G)', '0 GMT (O)']"
36,Round 3,"Danyal MaqboolⒸ , CynthiaⓉ","['1 Sunway Lit FanFiq (G)', '0 IIUM 1 (O)']"
37,Round 3,"Chisato HashimaⒸ , Danesh Aggarwal","['1 Keiso Union (G)', '0 IIUM 3 (O)']"
38,Round 3,Retno Anjani Dian Shinta WulandariⒸ,"['1 Sunway Lag Ooh (G)', '0 Last 3 braYNCells 😎🥳😴 (O)']"
39,Round 4,"Retno Anjani Dian Shinta WulandariⒸ , Felix","['1 Ateneo AOV (O)', '0 David, CJ, and Quintin (G)']"
40,Round 4,Kiki LiewⒸ,"['1 Bishan Secondary Team C (G)', '0 YNC B (O)']"
41,Round 4,Karla Louise AlfonsoⒸ,"['1 IIUM 1 (G)', '0 Chula A (O)']"
42,Round 4,Rahul DattaⒸ,"['1 IIUM 3 (O)', '0 Chula CK (G)']"
43,Round 4,Adya SharmaⒸ,"['1 Chula MBF (G)', '0 Chula IDK (O)']"
44,Round 4,RalphⒸ,"['1 Last 3 braYNCells 😎🥳😴 (G)', '0 Chula TMX (O)']"
45,Round 4,Hana ZawawiⒸ,"['1 GMT (G)', '0 Chula V (O)']"
46,Round 4,Teo En QiⒸ,"['1 The real work happens in the Knox c (G)', '0 Diponegoro (O)']"
47,Round 4,Danesh AggarwalⒸ,"['1 Keiso Union (O)', '0 Doing this for sigs (G)']"
48,Round 4,Abhishek AcharyaⒸ,"['1 IIUM 2 (G)', '0 MaDer Cowbet (O)']"
49,Round 4,"Chisato HashimaⒸ , Ashit Kumar Dutta , Batara","['1 Run Sara Run (O)', '0 UPD Babes (G)']"
50,Round 4,Kanan IshizakaⒸ,"['1 Sunway Lit FanFiq (G)', '0 Sunway Lag Ooh (O)']"
51,Round 4,JJ PineⒸ,"['1 TWC Tea (O)', '0 UNITEN (G)']"
52,Quarterfinals,"Danesh AggarwalⒸ , Batara , Rahul Datta","['1 Ateneo AOV (G)', '0 UPD Babes (O)']"
53,Quarterfinals,"Chisato HashimaⒸ , JJ Pine , Teo En Qi","['1 Run Sara Run (G)', '0 Bishan Secondary Team C (O)']"
54,Quarterfinals,"Karla Louise AlfonsoⒸ , Danyal Maqbool , Retno Anjani Dian Shinta Wulandari","['1 David, CJ, and Quintin (G)', '0 Sunway Lit FanFiq (O)']"
55,Quarterfinals,"Kanan IshizakaⒸ , Kiki Liew , Ralph","['1 Keiso Union (O)', '0 The real work happens in the Knox c (G)']"
