,Round Name,Panel,Rankings
0,Round 1,"Sumedha MandalⒸ , Chesta B , Nayara Noor","['1 :we recast Kevin (G)', '0 1 (O)']"
1,Round 1,"Pratyaksha JhaⒸ , SAI DEV ROHAN YASALAⓉ , Vedant LathiⓉ","['1 Aafat Waapis (G)', '0 UP Diliman Pub People and Miggy (O)']"
2,Round 1,"ReedⒸ , Mehar SharmaⓉ , Sanskar JainⓉ","['1 Busby Babes (O)', '0 BAD AT BREAKS (G)']"
3,Round 1,"Rohit BhatachaaryaⒸ , Pathik RajaⓉ , Smriti SultaniaⓉ","['1 BDS (O)', '0 SLCU X (G)']"
4,Round 1,"Kartik MathurⒸ , Ahana ChaudhuriⓉ , Sanjana SaxenaⓉ","['1 Calgary (G)', '0 Scooby Sandwich (O)']"
5,Round 1,"Ruth SilcoffⒸ , Marie PinedaⓉ","['1 SA Fanclub (O)', '0 DTU A (G)']"
6,Round 1,"Bhargav BhamidipatiⒸ , Sanjana S.Ⓣ","['1 DTU B (O)', '0 VIT C (G)']"
7,Round 1,"Bea LegaspiⒸ , Anwesha BhajanⓉ , Astha ShivhareⓉ","['1 HC (O)', '0 GLC X (G)']"
8,Round 1,"Tejas SubramaniamⒸ , Anusha SeshadriⓉ , Smita SinghⓉ","['1 GNLU A (O)', '0 RMLNLU A (G)']"
9,Round 1,"Sudiksha RaviⒸ , Jatin YadavⓉ , Shashank rajⓉ","['1 SLS P A (O)', '0 Hansraj A (G)']"
10,Round 1,"Karan AgrawalⒸ , Riya Singh , Shweta Shukla","['1 Hansraj B (O)', '0 SSE A (G)']"
11,Round 1,"Shreyash ChoudharyⒸ , TunanⓉ","['1 VIT A (G)', '0 MNLU (O)']"
12,Round 1,"Nikhila PushadapuⒸ , Sourya ChakrabartyⓉ","['1 NALSAR F (O)', '0 NLSIU A (G)']"
13,Round 1,"Tim GamezⒸ , Vaibhav SahuⓉ","['1 SSE B (G)', '0 NALSAR Trinetra (O)']"
14,Round 1,"NeelanshⒸ , Sambhav JainⓉ","['1 The Unfinished Casefile (G)', '0 NALSAR X (O)']"
15,Round 1,"Angad Singh MatharuⒸ , Bhavnish Kaur ChhabdaⓉ","['1 NLUD A (O)', '0 NMIMS 1 (G)']"
16,Round 1,"Dakshita SrinivasanⒸ , Jonathan Tuliao , Smitha Khandige","['1 NLUD C (O)', '0 NLUD B (G)']"
17,Round 1,"Mallika DandekarⒸ , Eeshan SonakⓉ","['1 NLUO A (O)', '0 SLS H A (G)']"
18,Round 1,Kevin SanthoshⒸ,"['1 RMLNLU Pareshan Kisan (G)', '0 WBNUJS A (O)']"
19,Round 1,"Namita PandeyⒸ , Balamugunth JⓉ , Shrugal BorkarⓉ","['1 Tomar Naam Amar Naam Vietnam 🇻🇳 (G)', '0 VIT B (O)']"
20,Round 2,"Dakshita SrinivasanⒸ , Bhavnish Kaur Chhabda , Danyal Maqbool","['1 1 (G)', '0 WBNUJS A (O)']"
21,Round 2,"Sudiksha RaviⒸ , Eeshan SonakⓉ","['1 Tomar Naam Amar Naam Vietnam 🇻🇳 (G)', '0 Aafat Waapis (O)']"
22,Round 2,"ReedⒸ , Sambhav JainⓉ","['1 VIT B (G)', '0 BAD AT BREAKS (O)']"
23,Round 2,"ainaⒸ , Marie Pineda , Riya Singh","['1 BDS (G)', '0 :we recast Kevin (O)']"
24,Round 2,"Kevin SanthoshⒸ , Sanjana SaxenaⓉ , Vedant LathiⓉ","['1 NLUO A (G)', '0 Busby Babes (O)']"
25,Round 2,Mallika DandekarⒸ,"['1 The Unfinished Casefile (G)', '0 Calgary (O)']"
26,Round 2,"AnanyaⒸ , Pavan Rao , Smriti Sultania","['1 NALSAR X (G)', '0 DTU A (O)']"
27,Round 2,"Nayara NoorⒸ , Anwesha Bhajan , Smitha Khandige","['1 SA Fanclub (O)', '0 DTU B (G)']"
28,Round 2,"Tim GamezⒸ , Jatin YadavⓉ , Smita SinghⓉ","['1 GLC X (G)', '0 SSE A (O)']"
29,Round 2,"Pratyaksha JhaⒸ , Balamugunth JⓉ , Pathik RajaⓉ","['1 GNLU A (O)', '0 NLUD A (G)']"
30,Round 2,"Bhargav BhamidipatiⒸ , Vaibhav SahuⓉ","['1 UP Diliman Pub People and Miggy (G)', '0 Hansraj A (O)']"
31,Round 2,"NeelanshⒸ , Sourya ChakrabartyⓉ","['1 Hansraj B (G)', '0 NLUD C (O)']"
32,Round 2,"Sowmya SrinivasanⒸ , Rohit Bhatachaarya , Sumedha Mandal","['1 SSE B (O)', '0 HC (G)']"
33,Round 2,"Oliver CumminsⒸ , Ahana ChaudhuriⓉ , Shrugal BorkarⓉ","['1 MNLU (G)', '0 RMLNLU A (O)']"
34,Round 2,"Shreyash ChoudharyⒸ , Anusha SeshadriⓉ","['1 SLS P A (O)', '0 NALSAR F (G)']"
