,Round Name,Panel,Rankings
0,Round 1,"Aleks BellⒸ , Andrew Kao , Jillian RompsⓉ","['3 Hawaii Manoa JM (CO)', '2 Hybrid GM (CG)', '1 UMiss HG (OO)', '0 Alaska CL (OG)']"
1,Round 1,"Wajeeh MaazⒸ , JoAnn Edwards","['3 W&M VW (OO)', '2 Alaska HS (OG)', '1 ULV GS (CG)', '0 DU DL (CO)']"
2,Round 1,"Matt CaitoⒸ , Charlie Habib , Dominique MoodyⓉ","['3 Carroll GoHo (OG)', '2 Alaska LL (CG)', '1 Lewis & Clark SM (CO)', '0 UMiss JC (OO)']"
3,Round 1,"Kelsea SchulenbergⒸ , Aidan Feighery , Ben Koch","['3 UCSD GM (OG)', '2 NorthwestU ST (CO)', '1 Yale MM (CG)', '0 Alaska MW (OO)']"
4,Round 1,"Ricky HuangⒸ , DeVante Kee-Young , Derek NishimuraⓉ","['3 Chicago BM (CO)', '2 Bard OS (OG)', '1 Cornell SG (OO)', '0 ULV RM (CG)']"
5,Round 1,"John SchultzⒸ , Max Markell","['3 Dartmouth ND (CG)', '2 Bard/Princeton TW (OG)', '1 Hoofeels like swinging today (OO)', '0 NorthwestU GS (CO)']"
6,Round 1,"Njuguna MachariaⒸ , Brent Northup , Taylor MontgomeryⓉ","['3 Clemson JC (OG)', '2 Hart House TM (CG)', '1 Tufts/Columbia AK (OO)', '0 Berkeley BD (CO)']"
7,Round 1,"Lyba BashirⒸ , Anoosha Zaki , Wyatt Skala","['3 Berkeley DG (OG)', '2 UPenn LY (CG)', '1 UMiss AE (CO)', '0 Berkeley CH (OO)']"
8,Round 1,"Kaeli MenoⒸ , Aaron Ford , Juan Ramon Riojas","['3 UCLA PW (CO)', '2 Carrol BM (OG)', '1 Clemson MS (CG)', '0 Rochester SF (OO)']"
9,Round 1,"Meg KandarpaⒸ , Akhil Rastogi , Megha JoshiⓉ","['3 LSE FR (CO)', '2 Carroll GH (CG)', '1 I foal like swinging today (OO)', '0 Wesleyan VL (OG)']"
10,Round 1,"Anshuman MishraⒸ , Rebecca Pool","['3 Hart House AS (OO)', '2 Carroll GO (CO)', '1 UCLA KP (CG)', '0 W&M WG (OG)']"
11,Round 1,"Johanna RichterⒸ , Alec","['3 Claremont CS (OG)', '2 Carroll TP (OO)', '1 COC JP (CG)', '0 LMU BK (CO)']"
12,Round 1,"Clarence BrontëⒸ , Ian McCurley , Madeleine LorieⓉ","['3 Hawaii Manoa SJ (OG)', '2 UBC Rogue (CG)', '1 Chicago GN (OO)', '0 Cornell JY (CO)']"
13,Round 1,"Becca PoliquinⒸ , Natalie Garcia , Sam Woolsey","['3 Hybrid CP (OG)', '2 Clemson DT (OO)', '1 Chicago JK (CG)', '0 LMU GN (CO)']"
14,Round 1,"Tyler WhitneyⒸ , Angelynn Nguyen , Shanzeh Faheem","['3 LMU GW (OG)', '2 ULV DI (CG)', '1 Hart House BS (CO)', '0 Cornell KG (OO)']"
15,Round 1,"Maison PietersonⒸ , Tori Hill","['3 UCLA ML (CG)', '2 Lewis & Clark MS (CO)', '1 Lewis & Clark FN (OG)', '0 DU DH (OO)']"
16,Round 1,"Umar BuckusⒸ , Anna Hoerner , Cady AbeⓉ","['3 UCLA CG (CO)', '2 Hybrid CN (CG)', '1 UBC GS (OO)', '0 USC DL (OG)']"
17,Round 2,"Maison PietersonⒸ , Andrew Kao , Madeleine LorieⓉ","['3 Cornell JY (OO)', '2 LMU GN (CG)', '1 UMiss JC (OG)', '0 Alaska CL (CO)']"
18,Round 2,"Uzair TajuddinⒸ , Charlie Habib , Max Markell","['3 Hybrid GM (OG)', '2 Lewis & Clark MS (CG)', '1 Alaska HS (CO)', '0 Carroll GO (OO)']"
19,Round 2,"Umar BuckusⒸ , Natalie Garcia , Tyler Whitney","['3 Bard OS (CO)', '2 Hart House TM (OO)', '1 Alaska LL (OG)', '0 UMiss AE (CG)']"
20,Round 2,"Aleks BellⒸ , Ben Koch , Ian McCurley","['3 Alaska MW (CG)', '2 DU DL (OG)', '1 USC DL (CO)', '0 LMU BK (OO)']"
21,Round 2,"Johanna RichterⒸ , Aaron Ford","['3 Bard/Princeton TW (OO)', '2 Carrol BM (CO)', '1 Hybrid CN (OG)', '0 Clemson DT (CG)']"
22,Round 2,"Anshuman MishraⒸ , Akhil Rastogi","['3 I foal like swinging today (OG)', '2 COC JP (OO)', '1 Berkeley BD (CG)', '0 ULV GS (CO)']"
23,Round 2,"Kelsea SchulenbergⒸ , Aidan Feighery , Juan Ramon Riojas","['3 DU DH (OG)', '2 Berkeley CH (CO)', '1 Cornell KG (CG)', '0 NorthwestU GS (OO)']"
24,Round 2,"Ricky HuangⒸ , Anoosha Zaki , Lyba Bashir","['3 UBC Rogue (OO)', '2 Berkeley DG (CG)', '1 UCLA CG (OG)', '0 Hawaii Manoa SJ (CO)']"
25,Round 2,"Chris MentisⒸ , Angelynn Nguyen , Megha JoshiⓉ","['3 UPenn LY (OO)', '2 Hoofeels like swinging today (CG)', '1 Carroll GH (CO)', '0 ULV DI (OG)']"
26,Round 2,"Wajeeh MaazⒸ , DeVante Kee-Young , Dominique MoodyⓉ","['3 LSE FR (OO)', '2 UCLA PW (OG)', '1 Carroll GoHo (CO)', '0 Carroll TP (CG)']"
27,Round 2,"Matt CaitoⒸ , Wyatt Skala","['3 W&M VW (CO)', '2 Chicago BM (OG)', '1 Clemson JC (CG)', '0 LMU GW (OO)']"
28,Round 2,"Kaeli MenoⒸ , Rebecca Pool , Derek NishimuraⓉ","['3 Chicago GN (CO)', '2 Tufts/Columbia AK (CG)', '1 Cornell SG (OG)', '0 Chicago JK (OO)']"
29,Round 2,"Njuguna MachariaⒸ , Anna Hoerner , Jillian Romps","['3 Hart House AS (CG)', '2 Claremont CS (CO)', '1 Hawaii Manoa JM (OO)', '0 NorthwestU ST (OG)']"
30,Round 2,"Meg KandarpaⒸ , Alec , Brent Northup","['3 Hart House BS (CG)', '2 Yale MM (CO)', '1 Clemson MS (OG)', '0 Lewis & Clark FN (OO)']"
