,Round Name,Panel,Rankings
0,Round 1,"Gazi MahtabⒸ , Aastha SinghⓉ , Raghav AhujaⓉ","['1 NLIU (G)', '0 ACDC (O)']"
1,Round 1,"Mihir RajoraⒸ , Manav GanapathyⓉ","['1 AITA (G)', '0 Random (O)']"
2,Round 1,"Aradome BelaiⒸ , Farheen HalderⓉ","['1 Smooth operators (G)', '0 Black Roses (O)']"
3,Round 1,Hamed Aziz SafwiⒸ,"['1 Blood Vampires (G)', '0 We have an Ishu (O)']"
4,Round 1,"Toshiya OzawaⒸ , Sarthak YadavⓉ","['1 Panic! At The Discourse™ (G)', '0 Catch 22 (O)']"
5,Round 1,"Ishan SinghⒸ , Yashvin Kumar , Prabal AggarwalⓉ","['1 CNLU 1 (G)', '0 RA Deathscythe (O)']"
6,Round 1,"Parth Sunil ShahⒸ , Komal HaswaniⓉ","['1 DCAC A (O)', '0 GOA (G)']"
7,Round 1,"AnanyaⒸ , Barkha MishraⓉ","['1 SXC 3 (G)', '0 Dead inside break outside (O)']"
8,Round 1,"Rahul DattaⒸ , Nilesh Beliraya KⓉ","['1 Ignacio, Iñaki, and Rocco (O)', '0 Suitcase full of sparks (G)']"
9,Round 1,"JewelⒸ , Tanya SinghⓉ","['1 Kalinga Institute of Industrial Tec (G)', '0 SXC 4 (O)']"
10,Round 1,Uphie AbdurrahmanⒸ,"['1 Ninjas in Pyjamas (G)', '0 LaksaMana (O)']"
11,Round 1,"Nikhila PushadapuⒸ , Muskan Singh SengarⓉ","['1 Mid-Breakdown (G)', '0 RA Tallgeese (O)']"
12,Round 1,"Beatrice CuizonⒸ , Vansh ChadhaⓉ","['1 NLS-Suits (G)', '0 Ninki Minjaj (O)']"
13,Round 1,"Estelle FlorensⒸ , Teesha SethⓉ","['1 NLS (G)', '0 SRCC1 (O)']"
14,Round 1,"S SriramⒸ , Jonathan Tuliao , ShrutiⓉ","['1 RA Epyon (O)', '0 OAT bois (G)']"
15,Round 1,"Chinmaya MohanⒸ , TejaswiⓉ","['1 Sxc 1 (O)', '0 Obsessive Compulsive Debaters (G)']"
16,Round 1,"Divyansh PundhirⒸ , Harmanpreet KaurⓉ","['1 RA Heavyarms (G)', '0 Path Setters (O)']"
17,Round 1,PrateekⒸ,"['1 POIs after 6th (O)', '0 RA Wing Zero (G)']"
18,Round 1,"Jessica AwurumⒸ , Subhapriya ChakrabortyⓉ","['1 Presidency 1 (G)', '0 RA Nataku (O)']"
19,Round 1,"Afif BellikunhiⒸ , VanshikaⓉ","['1 Tomar Naam Amar Naam Vietnam. (G)', '0 RA Sandrock (O)']"
20,Round 1,"Sane Abhilash ReddyⒸ , Soham PatilⓉ","['1 sadboii apologists (G)', '0 The Imperfectionists (O)']"
21,Round 1,"Antara RanjanⒸ , Anushree SadhuⓉ","['1 UPD Final Final (G)', '0 SRCC-2 (O)']"
22,Round 1,"Ayesha ZaidiⒸ , Arthi GaddipatiⓉ","['1 SXC 2 (O)', '0 The Deathly Hallows (G)']"
23,Round 2,"Utkarsh MishraⒸ , Manav GanapathyⓉ","['1 The Deathly Hallows (O)', '0 ACDC (G)']"
24,Round 2,"Estelle FlorensⒸ , Barkha MishraⓉ","['1 AITA (O)', '0 Smooth operators (G)']"
25,Round 2,"Adya SharmaⒸ , Antara Ranjan , Subhapriya ChakrabortyⓉ","['1 Black Roses (G)', '0 GOA (O)']"
26,Round 2,"Jessica AwurumⒸ , Soham PatilⓉ","['1 SXC 3 (O)', '0 Blood Vampires (G)']"
27,Round 2,"Sane Abhilash ReddyⒸ , Hamed Aziz Safwi 💢","['1 OAT bois (O)', '0 Catch 22 (G)']"
28,Round 2,"Uphie AbdurrahmanⒸ , VanshikaⓉ","['1 CNLU 1 (O)', '0 POIs after 6th (G)']"
29,Round 2,"Beatrice CuizonⒸ , Raghav AhujaⓉ","['1 Mid-Breakdown (O)', '0 DCAC A (G)']"
30,Round 2,"Aradome BelaiⒸ , TejaswiⓉ","['1 Dead inside break outside (G)', '0 Ninki Minjaj (O)']"
31,Round 2,"Jonathan TuliaoⒸ , Rishabh PalⓉ","['1 Kalinga Institute of Industrial Tec (G)', '0 Presidency 1 (O)']"
32,Round 2,"Mihir RajoraⒸ , ShrutiⓉ","['1 Obsessive Compulsive Debaters (O)', '0 LaksaMana (G)']"
33,Round 2,"Rahul DattaⒸ , Nilesh Beliraya KⓉ","['1 SXC 2 (G)', '0 Ninjas in Pyjamas (O)']"
