,Round Name,Panel,Rankings
0,Round 1,"Shudipto AhmedⒸ , Shahjalal Hossain Sium","['3 BRAC AS (OO)', '2 Ustc Pharma (CO)', '1 SUST SD A (OG)', '0 JUDO SHANGSHAPTAK (CG)']"
1,Round 1,"Yash ChaturvediⒸ , Pallob Poddar","['3 CUDS A (OO)', '2 নৈয়ায়িক দ্বিমাত্রিক (CO)', '1 BRAC TM (OG)', '0 IBAJUDC A (CG)']"
2,Round 1,"Al Wasee M FahimuddaulaⒸ , Hasnat , Syed Ianur Shah","['3 BUP A (CO)', '2 DU A (OO)', '1 RUDF ABC (CG)', '0 CUDS B (OG)']"
3,Round 1,"Adel Mostaque AhmedⒸ , Alvi Tonoy , Zillal Hossain Sourav","['3 CU ACC (CO)', '2 SSMC (OG)', '1 NUBTKDS (OO)', '0 PUSTDS commons (CG)']"
4,Round 1,"TunanⒸ , Abid Bin Ahmad Nur , Ragib Anjum","['3 RUDF- paris road (CG)', '2 CU FBDA (OO)', '1 JUDS-A (OG)', '0 CUSD (CO)']"
5,Round 1,"Ahmad Tousif JamiⒸ , K.M.Shadman Rahman (Shabab) , Nazmul al hossen","['3 DU B (OO)', '2 PUDS Legacy (CO)', '1 USTC_Nirvik (OG)', '0 JUDO Amar Ekushe (CG)']"
6,Round 1,"reedⒸ , aina","['3 SUDS 52 (OG)', '2 KUET 1 (OO)', '1 JUSTDC Odommo 71 (CG)', '0 KUET 2 (CO)']"
7,Round 2,Jessica MusulinⒸ,"['3 SUDS 52 (OO)', '2 BRAC AS (OG)', '1 BUP A (CG)', '0 DU B (CO)']"
8,Round 2,"Ejeta Eshrat BaarsaⒸ , Ragib Anjum","['3 SUST SD A (OO)', '2 RUDF ABC (OG)', '1 BRAC TM (CG)', '0 PUSTDS commons (CO)']"
9,Round 2,"Ahmad Tousif JamiⒸ , Zillal Hossain Sourav","['3 DU A (CO)', '2 CUDS A (CG)', '1 RUDF- paris road (OO)', '0 CU ACC (OG)']"
10,Round 2,"reedⒸ , Gazi Mahtab","['3 PUDS Legacy (CG)', '2 CU FBDA (OG)', '1 JUSTDC Odommo 71 (OO)', '0 SSMC (CO)']"
11,Round 2,"Adel Mostaque AhmedⒸ , K.M.Shadman Rahman (Shabab)","['3 KUET 2 (OO)', '2 CUSD (OG)', '1 CUDS B (CG)', '0 IBAJUDC A (CO)']"
12,Round 2,TunanⒸ,"['3 JUDO Amar Ekushe (OG)', '2 JUDO SHANGSHAPTAK (CO)', '1 JUDS-A (OO)', '0 NUBTKDS (CG)']"
13,Round 2,"Al Wasee M FahimuddaulaⒸ , Nazmul al hossen","['3 KUET 1 (CO)', '2 নৈয়ায়িক দ্বিমাত্রিক (OG)', '1 USTC_Nirvik (CG)', '0 Ustc Pharma (OO)']"
14,Round 3,Adel Mostaque AhmedⒸ,"['3 নৈয়ায়িক দ্বিমাত্রিক (OO)', '2 BRAC AS (CO)', '1 KUET 1 (OG)', '0 CU FBDA (CG)']"
15,Round 3,"Ejeta Eshrat BaarsaⒸ , Pallob Poddar","['3 SSMC (CG)', '2 JUSTDC Odommo 71 (OG)', '1 JUDO SHANGSHAPTAK (OO)', '0 BRAC TM (CO)']"
16,Round 3,Al Wasee M FahimuddaulaⒸ,"['3 RUDF- paris road (OG)', '2 JUDO Amar Ekushe (CO)', '1 BUP A (OO)', '0 SUST SD A (CG)']"
17,Round 3,"Aliya FairuzⒸ , K.M.Shadman Rahman (Shabab)","['3 CU ACC (OO)', '2 KUET 2 (OG)', '1 RUDF ABC (CO)', '0 DU B (CG)']"
18,Round 3,"Yash ChaturvediⒸ , Zillal Hossain Sourav","['3 SUDS 52 (CG)', '2 DU A (OG)', '1 CUDS A (CO)', '0 PUDS Legacy (OO)']"
19,Round 3,"Abid Bin Ahmad NurⒸ , Alvi Tonoy , Gazi Mahtab","['3 CUDS B (CG)', '2 Swing 1 (CO)', '1 IBAJUDC A (OG)', '0 PUSTDS commons (OO)']"
20,Round 3,TunanⒸ,"['3 JUDS-A (CG)', '2 CUSD (OO)', '1 Ustc Pharma (OG)', '0 USTC_Nirvik (CO)']"
21,Round 4,Al Wasee M FahimuddaulaⒸ,"['3 DU A (OG)', '2 SUDS 52 (CO)', '1 BRAC AS (OO)', '0 নৈয়ায়িক দ্বিমাত্রিক (CG)']"
22,Round 4,Adel Mostaque AhmedⒸ,"['3 DU B (OG)', '2 JUDO SHANGSHAPTAK (CO)', '1 BRAC TM (OO)', '0 Ustc Pharma (CG)']"
23,Round 4,"Ejeta Eshrat BaarsaⒸ , Pallob Poddar","['3 BUP A (OG)', '2 KUET 2 (CG)', '1 JUDO Amar Ekushe (OO)', '0 JUDS-A (CO)']"
24,Round 4,"Revan TJⒸ , Abid Bin Ahmad Nur","['3 CU ACC (CG)', '2 CUDS A (OG)', '1 RUDF- paris road (CO)', '0 KUET 1 (OO)']"
25,Round 4,"TunanⒸ , Nazmul al hossen","['3 SUST SD A (CO)', '2 CU FBDA (OG)', '1 RUDF ABC (OO)', '0 CUSD (CG)']"
26,Round 4,"Yash ChaturvediⒸ , Alvi Tonoy","['3 SSMC (OO)', '2 JUSTDC Odommo 71 (CG)', '1 PUDS Legacy (OG)', '0 CUDS B (CO)']"
27,Round 4,Gazi MahtabⒸ,"['3 IBAJUDC A (OO)', '2 Swing 1 (CG)', '1 USTC_Nirvik (CO)', '0 PUSTDS commons (OG)']"
28,Semifinals,"Al Wasee M FahimuddaulaⒸ , Ahmad Tousif Jami , K.M.Shadman Rahman (Shabab)","['1 BRAC AS (CG)', '1 DU A (CO)', '0 CU ACC (OO)', '0 RUDF- paris road (OG)']"
29,Semifinals,"Ejeta Eshrat BaarsaⒸ , Abid Bin Ahmad Nur , Tunan","['1 BUP A (CO)', '1 CUDS A (OG)', '0 SSMC (OO)', '0 SUDS 52 (CG)']"
