,Round Name,Panel,Rankings
0,Round 1,"Alexandra LovellⒸ , Laura Hallmark , Tanaya Sahoo","['3 AISB CO (OO)', '2 SPGS LS (OG)', '1 SPGS Swing (CO)', '0 CA. EB (CG)']"
1,Round 1,"Jack WilliamsⒸ , Izzie Blackburn","['3 Team Westbourne (OG)', '2 QEH BW (CG)', '1 Benenden A (CO)', '0 RPDA D (OO)']"
2,Round 1,"Elise KapfererⒸ , Matthew Hamer , Shrey Shah","['3 SPGS EN (OG)', '2 Wellington JC (OO)', '1 Brampton Manor AK (CG)', '0 Howell’s 2 (CO)']"
3,Round 1,"Rhys SteeleⒸ , Alex McCreadie , Nyse ConteⓉ","['3 Wellington MY (OG)', '2 SPGS HT (CO)', '1 QEH DS (OO)', '0 Brampton Manor IA (CG)']"
4,Round 1,"Dan WoodⒸ , Jasmin Glynne","['3 HCK 1 (OO)', '2 CSFC. BA (CO)', '1 Brampton Manor LM (CG)', '0 CA. MR (OG)']"
5,Round 1,"Olja BošnjakⒸ , Jarrod Grant , Ralph Lee","['3 Brampton Manor RM (CO)', '2 CSFC. YK (OO)', '1 SPGS AS (OG)', '0 KJG KJG B (CG)']"
6,Round 1,"Yusuf SteelⒸ , Cecil Khayat","['3 RPDA C (CG)', '2 SPGS AR (OG)', '1 Eastbourne 1 (CO)', '0 CA. LL (OO)']"
7,Round 1,"Chris Mentis CravarisⒸ , Cyrus Ma , Haroon KhanⓉ","['3 Wellington EJ (CG)', '2 RPDA B (OO)', '1 SPGS CV (CO)', ""0 Claudia & Issy Howell's 3 (OG)""]"
8,Round 1,"Parth PandyaⒸ , James Knight , Miruna Chirila","['3 CSFC. AA (OG)', '2 HCK 2 (CG)', '1 Ruhaima and Aarona (OO)', '0 RPDA A (CO)']"
9,Round 1,"Joseph LewisⒸ , Maison Pieterson Maphosa , Jakub ZegockiⓉ","['3 KJG AA Quick Charge (OG)', '2 QEH AE (CO)', '1 CSFC. IP (CG)', '0 SPGS SA (OO)']"
10,Round 1,"Olga EnikeevaⒸ , Ed Woodvine , Sean Pearce","['3 Milestone Hot Pink (OG)', '2 SPGS PA (OO)', '1 Howell’s 1 (CO)', '0 Eastbourne 2 (CG)']"
11,Round 2,"Yusuf SteelⒸ , Ed Woodvine , Olja Bošnjak","['3 Milestone Hot Pink (CO)', '2 KJG AA Quick Charge (CG)', '1 AISB CO (OG)', '0 Wellington MY (OO)']"
12,Round 2,"Ralph LeeⒸ , Izzie Blackburn , Haroon KhanⓉ","['3 Benenden A (OG)', '2 QEH DS (CG)', '1 CA. EB (CO)', '0 SPGS Swing (OO)']"
13,Round 2,"Alex McCreadieⒸ , Shrey Shah","['3 CSFC. IP (CO)', '2 Brampton Manor AK (OO)', '1 SPGS AS (CG)', '0 Brampton Manor IA (OG)']"
14,Round 2,"Maison Pieterson MaphosaⒸ , Jarrod Grant","['3 Brampton Manor LM (CO)', '2 Ruhaima and Aarona (OG)', '1 KJG KJG B (OO)', '0 Eastbourne 1 (CG)']"
15,Round 2,"Joseph LewisⒸ , Cyrus Ma , Nyse ConteⓉ","['3 Team Westbourne (CO)', '2 SPGS EN (CG)', '1 HCK 1 (OG)', '0 Brampton Manor RM (OO)']"
