,Round Name,Panel,Rankings
0,Round 1,"NaveenⒸ , Muhammad Adam bin Hasral","['3 NTU Blossom (OO)', '2 BAC MARAh (CO)', '1 NTU Bubbles (CG)', '0 KDPAP (OG)']"
1,Round 1,Celeste TanⒸ,"['3 BACDO Government (CG)', '2 Yamagoya Ramen (CO)', '1 UTP You Better Werk (OO)', '0 Mara Back to Bac (OG)']"
2,Round 1,"Eze Nwakuba NⒸ , Shuzi Ishak","['3 QAQ (CO)', '2 MWS BAC to School on April 5th (OO)', '1 UOWMKDU Denial (OG)', '0 Boom Shaka Laka (CG)']"
3,Round 1,Tasmia Toyeb LorinⒸ,"['3 UPD I Have No Preference (CO)', '2 gender neutral potato head 🥔 (CG)', '1 Challenging Challenger Squad Squad (OO)', '0 Moji (OG)']"
4,Round 1,Davida PaulⒸ,"['3 Extreme BAC Pain (CO)', '2 UNIMAS (OO)', '1 KDU SaiFoo (CG)', '0 UTP Dried Chilli Chicken (OG)']"
5,Round 1,Trimann JohlⒸ,"['3 Manila Should Have Won All Stars 4 (OG)', ""2 Taylor's A (OO)"", '1 TKC QS (CG)', '0 KDU Peace Debaters (CO)']"
6,Round 1,WinstonⒸ,"['3 MWS PiggyBAC Ride (CG)', '2 MARA Crack Your Bac (OO)', '1 MARA BAC at it again (CO)', ""0 Taylor's B (OG)""]"
7,Round 1,"Ernest MahⒸ , Eric Khiu Cheng Ying","['3 MWS 1 Malaysia Debate at BACDO (CG)', '2 UT MARA IS BAC DO (OG)', '1 TKC NK (OO)', '0 TKC KA (CO)']"
8,Round 1,Manal AfzalⒸ,"['3 socially liberal fiscal conservativ (OO)', '2 NTU Buttercup (CG)', '1 TKC AM (CO)', '0 Potato (OG)']"
9,Round 2,"Manal AfzalⒸ , Shuzi IshakⓉ","['3 BAC MARAh (CG)', '2 MARA Crack Your Bac (CO)', '1 NTU Bubbles (OG)', '0 KDU SaiFoo (OO)']"
10,Round 2,Eze Nwakuba NⒸ,"['3 UPD I Have No Preference (CG)', '2 NTU Blossom (OG)', '1 BACDO Government (CO)', '0 gender neutral potato head 🥔 (OO)']"
11,Round 2,WinstonⒸ,"['3 Moji (CG)', '2 Boom Shaka Laka (OG)', '1 TKC KA (OO)', '0 KDPAP (CO)']"
12,Round 2,"Celeste TanⒸ , Amrit Agastia","['3 Challenging Challenger Squad Squad (OG)', '2 UTP Dried Chilli Chicken (CG)', '1 TKC NK (CO)', '0 TKC QS (OO)']"
13,Round 2,Jyotirmoy MishraⒸ,"['3 MWS 1 Malaysia Debate at BACDO (CO)', '2 Yamagoya Ramen (OO)', '1 MWS PiggyBAC Ride (OG)', '0 Extreme BAC Pain (CG)']"
14,Round 2,Tasmia Toyeb LorinⒸ,"[""3 Taylor's B (CO)"", '2 Mara Back to Bac (CG)', '1 KDU Peace Debaters (OG)', '0 Potato (OO)']"
15,Round 2,"Najwa UñgaⒸ , Naveen","['3 Manila Should Have Won All Stars 4 (CG)', '2 socially liberal fiscal conservativ (OG)', '1 MWS BAC to School on April 5th (CO)', '0 QAQ (OO)']"
16,Round 2,"Davida PaulⒸ , Eric Khiu Cheng YingⓉ","['3 UTP You Better Werk (CG)', '2 MARA BAC at it again (OO)', '1 TKC AM (OG)', '0 UOWMKDU Denial (CO)']"
17,Round 2,"Ernest MahⒸ , IrrinaⓉ","['3 NTU Buttercup (OO)', '2 UNIMAS (OG)', '1 UT MARA IS BAC DO (CO)', ""0 Taylor's A (CG)""]"
18,Round 3,Eze Nwakuba NⒸ,"['3 BAC MARAh (OO)', '2 UNIMAS (CO)', '1 NTU Buttercup (OG)', '0 socially liberal fiscal conservativ (CG)']"
19,Round 3,"Ethan John FloroⒸ , Eric Khiu Cheng YingⓉ","['3 BACDO Government (OO)', '2 Yamagoya Ramen (OG)', '1 Challenging Challenger Squad Squad (CG)', '0 MWS PiggyBAC Ride (CO)']"
20,Round 3,"BalaⒸ , Amrit Agastia","['3 gender neutral potato head 🥔 (OG)', '2 TKC AM (OO)', '1 Boom Shaka Laka (CO)', '0 UOWMKDU Denial (CG)']"
21,Round 3,"Manal AfzalⒸ , Naveen , IrrinaⓉ","['3 MARA Crack Your Bac (CG)', '2 UTP You Better Werk (CO)', '1 MWS BAC to School on April 5th (OG)', '0 Extreme BAC Pain (OO)']"
22,Round 3,"Celeste TanⒸ , Winston","['3 KDU SaiFoo (CO)', '2 Potato (CG)', '1 TKC QS (OG)', '0 KDPAP (OO)']"
23,Round 3,Ernest MahⒸ,"['3 Mara Back to Bac (CO)', ""2 Taylor's A (OG)"", '1 KDU Peace Debaters (OO)', '0 TKC KA (CG)']"
24,Round 3,Tasmia Toyeb LorinⒸ,"['3 NTU Blossom (CG)', '2 MWS 1 Malaysia Debate at BACDO (OG)', '1 UPD I Have No Preference (OO)', '0 Manila Should Have Won All Stars 4 (CO)']"
25,Round 3,"Jyotirmoy MishraⒸ , Shuzi IshakⓉ","['3 MARA BAC at it again (OG)', '2 NTU Bubbles (OO)', '1 UTP Dried Chilli Chicken (CO)', '0 QAQ (CG)']"
26,Round 3,Najwa UñgaⒸ,"['3 Moji (CO)', '2 UT MARA IS BAC DO (OO)', '1 TKC NK (OG)', ""0 Taylor's B (CG)""]"
27,Round 4,Amrit AgastiaⒸ,"['3 NTU Blossom (CO)', '2 BACDO Government (OG)', '1 MWS 1 Malaysia Debate at BACDO (OO)', '0 BAC MARAh (CG)']"
28,Round 4,"Najwa UñgaⒸ , Ernest Mah , Shuzi IshakⓉ","['3 UTP Dried Chilli Chicken (OO)', '2 Extreme BAC Pain (OG)', '1 KDU Peace Debaters (CG)', '0 Boom Shaka Laka (CO)']"
29,Round 4,"Ethan John FloroⒸ , IrrinaⓉ","['3 Moji (OO)', '2 Challenging Challenger Squad Squad (CO)', '1 MARA BAC at it again (CG)', '0 UNIMAS (OG)']"
