,Round Name,Panel,Rankings
0,Round 1,"Isabel CaballeroⒸ , Diyansh SolankiⓉ","['1 Barakhamba Road (O)', '0 Dhaula Kuan (G)']"
1,Round 1,"Prarthana DeepakⒸ , Arnav DeshmukhⓉ","['1 Sarai Kale Khan (O)', '0 Belvedere Towers (G)']"
2,Round 1,"Medhansh BhardwajⒸ , Aleena Anabelly A , Indrayani Bhadra","['1 Dwarka (O)', '0 Bread Crumbs (G)']"
3,Round 1,"Aishal YousufⒸ , Arush Utkarsh , Udayan E B","['1 Dilshad Garden (O)', '0 Central Secretariat (G)']"
4,Round 1,"Suruchi RajⒸ , Aditi Chowdhury , Sarthak Sharma (ARSD)","['1 Fork and Knife With Plate (O)', '0 Chandni Chowk (G)']"
5,Round 1,"Ahmad KushayⒸ , Arsh ChhajerⓉ","['1 Kamala Nagar (G)', '0 Chattarpur (O)']"
6,Round 1,"Ruth SilcoffⒸ , Chirag GargⓉ","['1 Moolchand (O)', '0 cheese (G)']"
7,Round 1,"Bhavnish Kaur ChhabdaⒸ , Anushka Naik , shirin sehgal 💢","['1 Rajouri Garden (O)', '0 Civil Lines (G)']"
8,Round 1,"Prashasti SaxenaⒸ , Meherin Singh KalseyⓉ","['1 Hudson Lane (G)', '0 Connaught Place (O)']"
9,Round 1,"Klaudia MaciejewskaⒸ , Vishnu gopalⓉ","['1 Delhi Haat INA (O)', '0 Mayur Vihar (G)']"
10,Round 1,"Abheepsita PurkayasthaⒸ , Hari Om 💢","['1 Kahmeri Gate (G)', '0 Faridabad (O)']"
11,Round 1,Ishita SinghalⒸ,"['1 Ghitorni (G)', '0 Malviya Nagar (O)']"
12,Round 1,Rahib AminⒸ,"['1 Rohini (G)', '0 Greater Kailash (O)']"
13,Round 1,Roshan Manoj UthupⒸ,"['1 Pragati Madan (O)', '0 Green Park (G)']"
14,Round 1,"Sameer HussainⒸ , Shubhangi Sharma 💢 , Umayr Mohammad Burhan Surti","['1 Gurugram (O)', '0 Munirka (G)']"
15,Round 1,Anusha SeshadriⒸ,"['1 Mandipur (O)', '0 Hauz Khas (G)']"
16,Round 1,Kanav DwevediⒸ,"['1 Huda City Centre (O)', '0 Mandi House (G)']"
17,Round 1,"Sucharitha RaoⒸ , Aanya SinghⓉ","['1 Lodhi Garden (G)', '0 Iffco Chowk (O)']"
18,Round 1,"Saketh AvulaⒸ , Nayana Krishnan , Samriddhi Bansal","['1 Jasola (O)', '0 Tilak Nagar (G)']"
19,Round 1,Arpit GoyalⒸ,"['1 Kalkaji (O)', '0 Pitampura (G)']"
20,Round 1,"Manav TakkarⒸ , Ramitha Padnuni , Sarthak Sharma (AIL)","['1 Lajpat Nagar (O)', '0 Sikandarpur (G)']"
21,Round 1,"ReedⒸ , Kriplani ChauhanⓉ","['1 Moulsari Avenue (O)', '0 M.G. Road (G)']"
22,Round 1,"SimranⒸ , Gopal PathakⓉ","['1 Satya Niketan (O)', '0 Majlis Park (G)']"
23,Round 1,"Jessica AwurumⒸ , Urmita SharmaⓉ","['1 Naraina Vihar (O)', '0 Punjabi Bagh (G)']"
24,Round 1,"JJ PineⒸ , Akash ChandrayanⓉ","['1 Patel Chowk (G)', '0 Sarojini Nagar (O)']"
25,Round 1,"Harnoor ChahalⒸ , Keshav MohanⓉ","['1 Yamuna Bank (O)', '0 Vinobapuri (G)']"
26,Round 2,"Jessica AwurumⒸ , Keshav MohanⓉ","['1 Barakhamba Road (G)', '0 Rajouri Garden (O)']"
27,Round 2,"Anusha SeshadriⒸ 💢 , Aleena Anabelly A , Sarthak Sharma (AIL)","['1 Central Secretariat (G)', '0 Belvedere Towers (O)']"
28,Round 2,"Bhavnish Kaur ChhabdaⒸ , Suruchi Raj , Udayan E B","['1 Bread Crumbs (O)', '0 Greater Kailash (G)']"
29,Round 2,"Harnoor ChahalⒸ 💢 , Aishal Yousuf , Arnav Deshmukh","['1 Sikandarpur (G)', '0 Chandni Chowk (O)']"
30,Round 2,"Ramitha PadnuniⒸ , Aditi Chowdhury , shirin sehgal","['1 Chattarpur (G)', '0 Vinobapuri (O)']"
31,Round 2,"Arpit GoyalⒸ , Anushka Naik , Arush Utkarsh","['1 Mayur Vihar (O)', '0 cheese (G)']"
32,Round 2,"Roshan Manoj UthupⒸ , Meherin Singh KalseyⓉ","['1 Majlis Park (O)', '0 Civil Lines (G)']"
33,Round 2,"Tony WongⒸ , Diyansh SolankiⓉ","['1 Connaught Place (G)', '0 Punjabi Bagh (O)']"
34,Round 2,"Kanav DwevediⒸ , Aanya SinghⓉ","['1 Delhi Haat INA (G)', '0 Hudson Lane (O)']"
35,Round 2,Manav TakkarⒸ,"['1 Dhaula Kuan (G)', '0 Pitampura (O)']"
36,Round 2,"JJ PineⒸ , Vishnu gopalⓉ","['1 Dilshad Garden (G)', '0 Fork and Knife With Plate (O)']"
37,Round 2,Adi NarayananⒸ,"['1 Dwarka (G)', '0 Naraina Vihar (O)']"
38,Round 2,Medhansh BhardwajⒸ,"['1 Green Park (O)', '0 Faridabad (G)']"
39,Round 2,Sucharitha RaoⒸ,"['1 Ghitorni (G)', '0 Kamala Nagar (O)']"
40,Round 2,Tiyasha MitraⒸ,"['1 Kahmeri Gate (O)', '0 Gurugram (G)']"
41,Round 2,"Ishita SinghalⒸ , Prarthana Deepak , Sameer Hussain","['1 Hauz Khas (O)', '0 Tilak Nagar (G)']"
42,Round 2,Klaudia MaciejewskaⒸ,"['1 Huda City Centre (O)', '0 Moulsari Avenue (G)']"
43,Round 2,"Banun SabriⒸ , Kriplani ChauhanⓉ","['1 Iffco Chowk (G)', '0 Mandi House (O)']"
44,Round 2,"Ahmad KushayⒸ , Hari Om , Shubhangi Sharma","['1 Jasola (G)', '0 Lodhi Garden (O)']"
45,Round 2,Abheepsita PurkayasthaⒸ,"['1 Satya Niketan (G)', '0 Kalkaji (O)']"
46,Round 2,"Adel Mostaque AhmedⒸ , Gopal PathakⓉ","['1 Sarai Kale Khan (G)', '0 Lajpat Nagar (O)']"
47,Round 2,"Saketh AvulaⒸ , Indrayani Bhadra 💢 , Urmita Sharma","['1 Malviya Nagar (G)', '0 M.G. Road (O)']"
48,Round 2,Samriddhi BansalⒸ,"['1 Mandipur (O)', '0 Yamuna Bank (G)']"
49,Round 2,"Rahib AminⒸ , Arsh ChhajerⓉ","['1 Patel Chowk (O)', '0 Moolchand (G)']"
50,Round 2,"SimranⒸ , Sarthak Sharma (ARSD)","['1 Sarojini Nagar (G)', '0 Munirka (O)']"
51,Round 2,ReedⒸ,"['1 Pragati Madan (G)', '0 Rohini (O)']"
52,Round 3,"Harnoor ChahalⒸ , Vishnu gopalⓉ","['1 Barakhamba Road (G)', '0 Satya Niketan (O)']"
53,Round 3,"Rahib AminⒸ , Gopal Pathak","['1 Civil Lines (O)', '0 Belvedere Towers (G)']"
54,Round 3,"Adi NarayananⒸ , Keshav MohanⓉ","['1 Gurugram (G)', '0 Central Secretariat (O)']"
55,Round 3,"Adel Mostaque AhmedⒸ , Aanya SinghⓉ","['1 Green Park (G)', '0 Chattarpur (O)']"
56,Round 3,Medhansh BhardwajⒸ,"['1 cheese (O)', '0 Munirka (G)']"
57,Round 3,"Aishal YousufⒸ , Arnav Deshmukh , Shubhangi Sharma","['1 Connaught Place (G)', '0 Dhaula Kuan (O)']"
58,Round 3,Sucharitha RaoⒸ,"['1 Moulsari Avenue (O)', '0 Delhi Haat INA (G)']"
