,Round Name,Panel,Rankings
0,Round 1,"TulipⒸ , Vanshika AgarwalⓉ","['3 Not all who wander are lost (CO)', '2 BITSP 1 (OG)', '1 Midnight (CG)', '0 AIL 1 (OO)']"
1,Round 1,"Rahul DattaⒸ , Mihir BansalⓉ","['3 Anita Cocktail (CG)', '2 UPV 1 (OG)', '1 SV 2 (OO)', '0 DTU 1 (CO)']"
2,Round 1,"Tejas JaiswalⒸ , Aditi Singh , Tanu RajangaonkarⓉ","['3 SLSP 2 (OG)', '2 MIT 2 (CG)', '1 BITSH 2 (OO)', '0 BITSG 1 (CO)']"
3,Round 1,"Satyajit MenonⒸ , Shailendra Pratap SinghⓉ","['3 BITSG 2 (CG)', '2 Swing 2 👽 (OG)', '1 IITB 2 (OO)', '0 ILNU 1 (CO)']"
4,Round 1,"Dhruv MisraⒸ , Soham Jay ChawdaⓉ","['3 BITSG 3 (OG)', '2 IITK 1 (CO)', '1 SLSP 1 (OO)', '0 VIT 2 (CG)']"
5,Round 1,"Prerana RaiⒸ , Gunraj SinghⓉ","['3 WBNUJS 1 (OG)', '2 BITSG 4 (CG)', '1 DSNLU 3 (OO)', '0 SBS 1 (CO)']"
6,Round 1,"Carlo CastilloⒸ , Pabitra Priyadarshini Jena , Chaitanya ThakurⓉ","['3 ILNU 2 (OO)', '2 VIT 4 (CO)', '1 DSNLU 2 (CG)', '0 BITSH 1 (OG)']"
7,Round 1,"Estelle Novenka FlorensⒸ , Sarah NawarⓉ","['3 BITSH 3 (CG)', '2 SXCM 1 (OG)', '1 DSNLU 1 (CO)', '0 SV 1 (OO)']"
8,Round 1,"S. SriramⒸ , AnanyaⓉ","['3 BITSH 4 (OO)', '2 Siddaganga 2 (OG)', '1 NITR 1 (CO)', '0 WBNUJS 3 (CG)']"
9,Round 1,"TJⒸ , JaishaⓉ , Kevin K BijuⓉ","['3 MIT 1 (CO)', '2 NLUO 2 (OO)', '1 COEP 1 (OG)', '0 NALSAR 1 (CG)']"
10,Round 1,"Uphie AbdurrahmanⒸ , AKHIL H KRISHNANⓉ , Chitransh ShrivastavaⓉ","['3 IITB 3 (CG)', '2 IITB 1 (OO)', '1 CU 1 (CO)', '0 Siddaganga 1 (OG)']"
11,Round 1,"AvantikaⒸ , Vinay ChauhanⓉ","['3 UPD 1 (CO)', '2 DTU 2 (OG)', '1 Karona pyar hai (OO)', '0 WBNUJS 2 (CG)']"
12,Round 1,"Jessica AwurumⒸ , Harsha Vishak , Prantika DuttaⓉ","['3 Swing 1 🔪 (CO)', '2 IITK 2 (CG)', '1 NLUO 1 (OO)', ""0 Gimme a break for Balagangadhara's (OG)""]"
13,Round 1,"Julia OcomaⒸ , Mausam Gala , Navami KrishnamurthyⓉ","['3 VIT 1 (OG)', '2 UGM 1 (CG)', '1 IITD 1 (CO)', '0 UPES 1 (OO)']"
14,Round 1,"Nikhila PushadpauⒸ , Vivek Kiran PatilⓉ","['3 NLUD 2 (CO)', '2 NLUD 1 (OO)', '1 Siddaganga 3 (OG)', '0 IITR 1 (CG)']"
15,Round 1,"Trijit RayⒸ , Sameer Parihar , EirumⓉ","['3 NITW 1 (CO)', '2 VIT 3 (OG)', '1 IITR 2 (OO)', '0 JGU 1 (CG)']"
16,Round 2,"Dhruv MisraⒸ , Aditi Singh","['3 NALSAR 1 (OO)', '2 SBS 1 (OG)', '1 AIL 1 (CO)', '0 BITSH 1 (CG)']"
17,Round 2,"Tejas JaiswalⒸ , Shailendra Pratap SinghⓉ","['3 UPD 1 (OO)', '2 Anita Cocktail (CO)', '1 WBNUJS 1 (CG)', '0 MIT 1 (OG)']"
18,Round 2,"Sameer PariharⒸ , Mihir BansalⓉ","['3 VIT 2 (OO)', '2 BITSG 1 (OG)', '1 Siddaganga 1 (CG)', '0 SV 1 (CO)']"
19,Round 2,"Carlo CastilloⒸ , Chitransh Shrivastava , Vinay ChauhanⓉ","['3 Not all who wander are lost (OO)', '2 BITSG 2 (CO)', '1 VIT 1 (CG)', '0 BITSH 4 (OG)']"
20,Round 2,"Jessica AwurumⒸ , Tanu RajangaonkarⓉ","['3 NLUD 2 (CG)', '2 BITSG 3 (OO)', '1 BITSH 3 (CO)', '0 ILNU 2 (OG)']"
21,Round 2,"TJⒸ , Sarah NawarⓉ , Vanshika AgarwalⓉ","['3 BITSG 4 (OO)', '2 IITB 1 (OG)', '1 UPV 1 (CO)', '0 NLUD 1 (CG)']"
22,Round 2,"Satyajit MenonⒸ , Chaitanya ThakurⓉ","['3 CU 1 (OO)', '2 BITSH 2 (CG)', '1 NLUO 1 (CO)', '0 Midnight (OG)']"
23,Round 2,"Trijit RayⒸ , Harsha Vishak","['3 BITSP 1 (CO)', '2 NLUO 2 (OG)', '1 Swing 2 👽 (OO)', '0 Siddaganga 2 (CG)']"
24,Round 2,"Mausam GalaⒸ , Gunraj SinghⓉ","['3 Karona pyar hai (CO)', '2 SLSP 1 (OG)', '1 DSNLU 2 (OO)', '0 COEP 1 (CG)']"
25,Round 2,"Nikhila PushadpauⒸ , EirumⓉ","['3 IITB 2 (CG)', '2 DSNLU 1 (OG)', '1 NITR 1 (OO)', '0 SV 2 (CO)']"
26,Round 2,"TulipⒸ , JaishaⓉ","['3 DSNLU 3 (CO)', '2 IITD 1 (OO)', '1 IITR 2 (OG)', '0 Siddaganga 3 (CG)']"
27,Round 2,"Prateek SharmaⒸ , Vivek Kiran PatilⓉ","['3 DTU 1 (OO)', '2 WBNUJS 2 (CO)', '1 UPES 1 (CG)', '0 WBNUJS 3 (OG)']"
28,Round 2,"Uphie AbdurrahmanⒸ , Kevin K BijuⓉ , Prantika DuttaⓉ","['3 UGM 1 (OO)', '2 SXCM 1 (CO)', '1 DTU 2 (CG)', '0 VIT 4 (OG)']"
29,Round 2,"Prerana RaiⒸ , Soham Jay ChawdaⓉ","[""3 Gimme a break for Balagangadhara's (CG)"", '2 JGU 1 (OO)', '1 IITR 1 (CO)', '0 ILNU 1 (OG)']"
30,Round 2,"Rahul DattaⒸ , Pabitra Priyadarshini Jena , Navami KrishnamurthyⓉ","['3 IITB 3 (CO)', '2 NITW 1 (OG)', '1 Swing 1 🔪 (OO)', '0 SLSP 2 (CG)']"
31,Round 2,"S. SriramⒸ , AKHIL H KRISHNANⓉ","['3 VIT 3 (CO)', '2 IITK 2 (OG)', '1 MIT 2 (OO)', '0 IITK 1 (CG)']"
32,Round 3,"Carlo CastilloⒸ , Sarah NawarⓉ","['3 Anita Cocktail (OG)', '2 NITW 1 (OO)', '1 BITSP 1 (CG)', '0 UGM 1 (CO)']"
33,Round 3,"Rahul DattaⒸ , Shailendra Pratap SinghⓉ","['3 NLUD 1 (OG)', '2 BITSG 1 (CG)', '1 SBS 1 (OO)', '0 DSNLU 2 (CO)']"
34,Round 3,"Uphie AbdurrahmanⒸ , Prateek Sharma , Navami KrishnamurthyⓉ","['3 BITSG 3 (CO)', '2 BITSG 4 (OG)', '1 VIT 3 (CG)', '0 BITSG 2 (OO)']"
35,Round 3,"Soham Jay ChawdaⒸ , Eirum , Satyajit Menon","['3 Swing 3 😒 (CG)', '2 BITSH 1 (OO)', '1 SV 1 (OG)', '0 WBNUJS 3 (CO)']"
36,Round 3,"Jessica AwurumⒸ , AKHIL H KRISHNANⓉ , Gunraj SinghⓉ","['3 UPV 1 (OO)', '2 BITSH 2 (OG)', '1 Swing 2 👽 (CO)', '0 IITD 1 (CG)']"
37,Round 3,"Tejas JaiswalⒸ , Vivek Kiran PatilⓉ","['3 IITB 2 (CO)', '2 Swing 1 🔪 (OG)', '1 IITB 1 (CG)', '0 BITSH 3 (OO)']"
38,Round 3,"TulipⒸ , Chaitanya ThakurⓉ","['3 SLSP 1 (CG)', '2 VIT 2 (OG)', ""1 Gimme a break for Balagangadhara's (OO)"", '0 BITSH 4 (CO)']"
39,Round 3,"Trijit RayⒸ , Tanu RajangaonkarⓉ","['3 IITR 1 (OG)', '2 Siddaganga 1 (CO)', '1 SV 2 (CG)', '0 COEP 1 (OO)']"
40,Round 3,"TJⒸ , Sameer Parihar","['3 SXCM 1 (OO)', '2 CU 1 (CG)', '1 IITK 2 (CO)', '0 DSNLU 3 (OG)']"
41,Round 3,"Prerana RaiⒸ , Harsha Vishak","['3 NALSAR 1 (OG)', '2 SLSP 2 (OO)', '1 ILNU 2 (CO)', '0 DSNLU 1 (CG)']"
42,Round 3,"Nikhila PushadpauⒸ , Pabitra Priyadarshini Jena , Vanshika AgarwalⓉ","['3 MIT 1 (CG)', '2 DTU 2 (OO)', '1 DTU 1 (OG)', '0 MIT 2 (CO)']"
43,Round 3,"Janko ĐorđevicⒸ , Jaisha , Dhruv MisraⓉ","['3 IITB 3 (CO)', '2 NLUD 2 (OO)', '1 UPD 1 (CG)', '0 Not all who wander are lost (OG)']"
44,Round 3,"Chitransh ShrivastavaⒸ , Kevin K BijuⓉ","['3 JGU 1 (CO)', '2 IITK 1 (OO)', '1 NLUO 1 (CG)', '0 WBNUJS 2 (OG)']"
45,Round 3,"Mausam GalaⒸ , Vinay ChauhanⓉ","['3 VIT 4 (CG)', '2 NITR 1 (OG)', '1 IITR 2 (CO)', '0 Siddaganga 2 (OO)']"
46,Round 3,"Aditi SinghⒸ , Prantika DuttaⓉ","['3 ILNU 1 (CG)', '2 Midnight (CO)', '1 Siddaganga 3 (OO)', '0 UPES 1 (OG)']"
47,Round 3,"S. SriramⒸ , Mihir BansalⓉ","['3 Karona pyar hai (OG)', '2 WBNUJS 1 (CO)', '1 NLUO 2 (CG)', '0 VIT 1 (OO)']"
