,Round Name,Panel,Rankings
0,Round 1,"Lucie SlamovaⒸ , Estera Petrescu , Elle WinterⓉ , Sahil LalwaniⓉ","['3 Cookie (CO)', '2 Airplane (CG)', '1 The Goggles (OG)', '0 Toolbox (OO)']"
1,Round 1,"Gwen StearnsⒸ , Carmella Eunice R. BacayⓉ , John MorganⓉ","['3 Crystal Ball (OG)', '2 Nail Polish (CG)', '1 Anchor (OO)', '0 Kiwifruit (CO)']"
2,Round 1,"Shudipto AhmedⒸ , Ethan So , Kate RobinsonⓉ , Ronaldo BlakeⓉ","['3 Kangaroo (CG)', '2 Ant (OG)', '1 Ferris Wheel (OO)', '0 Liberty (CO)']"
3,Round 1,"Danyal MaqboolⒸ , Robert Coakley , Andre BarrettⓉ , Kayla PowersⓉ","['3 Paw Prints (OO)', '2 Baby Bottle (CO)', '1 Clappy Hands (CG)', '0 Carrot (OG)']"
4,Round 1,"Sam HuangⒸ , Roger Bent , Jamile Matthew R. De GuzmanⓉ , Serina ZhengⓉ","['3 Pointing Hand (CG)', '2 Scorpion (OO)', '1 Corn (CO)', '0 Battery (OG)']"
5,Round 1,"Ravi SimonⒸ , Dan Mortensen , Angelina GaoⓉ","['3 Chestnut (OG)', '2 Boar (OO)', '1 Briefcase (CG)', '0 Herb (CO)']"
6,Round 1,"Rumen MarinovⒸ , Anna EhliⓉ , Annie KaplanⓉ","['3 Broken Heart (CO)', '2 Service Bell (OG)', '1 Sunflower (OO)', '0 Thinking (CG)']"
7,Round 1,"Tejas SubramaniamⒸ , Elaine ArriolaⓉ , Rachel DamesⓉ","['3 Fist Hand (OG)', '2 Child Face (CO)', '1 Business Hi (CG)', '0 Running Shoe (OO)']"
8,Round 1,"Anthony GalipeauⒸ , Justin Morgan Parmett , Megha JoshiⓉ , Velocity LopolitoⓉ","['3 Ghost (CO)', '2 Top Hat (OO)', '1 Croissant (OG)', '0 Tiger (CG)']"
9,Round 1,"Liam OldreyⒸ , Gaby Nieves , Grace CarterⓉ","['3 Potato (OO)', '2 Medal (CO)', '1 Nose (CG)', '0 Down Trend (OG)']"
