,Round Name,Panel,Rankings
0,Round 1,"TunanⒸ , Mayank JainⓉ , Prachi NarayanⓉ","['1 Malaysia #justiceforlulu (O)', '0 Akatsuki (G)']"
1,Round 1,"Sai Keerthana ArunⒸ , Shruti SrivastavaⓉ , Tanya AgarwalⓉ","['1 BACache (O)', '0 Bedeians (G)']"
2,Round 1,"Jaymal  LodhaⒸ , Astitva sharmaⓉ , Bharti BawejaⓉ , Nitesh RajpootⓉ","['1 BAC is BACk (G)', '0 The phenomena (O)']"
3,Round 1,"Utkarsh MishraaⒸ , SOUNDARYA SINGHⓉ","['1 sadcomrades (hindu-drc cross) (O)', '0 Blitzkrieg (G)']"
4,Round 1,"Ⓒ , Naveen Kumar GopeⓉ , Sanskriti AgrawalⓉ","['1 Dancing Queen (G)', '0 MSU DEBATE TEAM (O)']"
5,Round 1,"Tiyasha MitraⒸ , Prerna KashyapⓉ , Vanshika sarafⓉ","['1 Dholakpur (G)', '0 Mind Crackers (O)']"
6,Round 1,"Anirudh Anil OjhaⒸ , Saket MishraⓉ , Shaurye SrivastavaⓉ","['1 Team DSC (O)', '0 DNLU (Ojaswini, Ashutosh, Hemant ) (G)']"
7,Round 1,"AltamashⒸ , Gaurie MehraⓉ , Vamika ChourasiyaⓉ","['1 IITB 2 (G)', '0 Dystopia Demolishers (O)']"
8,Round 1,"Bryan Ferdie PresillasⒸ , Ifrah khalilⓉ , Nirali RoutⓉ , Shruti PoddarⓉ","['1 Irodov Army (O)', '0 Faculty of Social Sciences, BHU (G)']"
9,Round 1,"Raj RishiⒸ , Akash ChandrayanⓉ , Tanmaya GuptaⓉ","['1 Goodfellas (G)', '0 The Blues (O)']"
10,Round 1,"Sera YunⒸ , Abhyudaya Raj MishraⓉ , Noor Ul AinⓉ , ShauryaⓉ","['1 JIIT (O)', '0 HNLU 1 (G)']"
11,Round 1,"Kuhan KarttikeynⒸ , Komal GuptaⓉ , Shivangi SrivastavaⓉ","['1 What the Duck? (G)', '0 IITB 1 (O)']"
12,Round 1,"Avi VijayvergiyaⒸ , Shaiwya AgrawalⓉ , Shobhit SinghalⓉ","['1 Malaysia #lulusupport (G)', '0 IITB 3 (O)']"
13,Round 1,"Toshiya  OzawaⒸ , Anwesha BhajanⓉ , Ayush TrigunayatⓉ , Chayanika D.Ⓣ","['1 IITB 4 (O)', '0 Task Force 141 (G)']"
14,Round 1,"Pratikshit AgrahariⒸ , Juhi JainⓉ , Riya SethiⓉ","['1 Malaysia #istanlulu (G)', '0 Ingenium (O)']"
