,Round Name,Panel,Rankings
0,Round 1,"Farhan ShahⒸ , RakshaⓉ","['3 AISB Green (OG)', '2 Oxpicious Cake (CG)', '1 Hot Espresso Nuts (CO)', '0 Controversial Corporations (OO)']"
1,Round 1,"Kimberley Justine TegjeuⒸ , Nathan SeeⓉ","['3 Yamete Kudasai (CG)', '2 GMA 1 (CO)', '1 AISB Red (OG)', '0 The REAL Ares (OO)']"
2,Round 1,"KuganⒸ , Rahul","['3 Up to u (CO)', '2 Am I Audible (OG)', '1 Sri KDU Aristotle (OO)', '0 IISMS 3 (CG)']"
3,Round 1,"Aaron L. RajⒸ , Vetrivel SandiranⓉ","['3 MBS PB&J (CO)', '2 MBS Xaviniesta (OO)', '1 SMSHS kawaii chan (OG)', '0 Burnt Chicken Nuggets (CG)']"
4,Round 1,Shireen AliⒸ,"['3 CLPHS NINE-NINE (CO)', '2 Sri KDU White Bread 🍞 (OO)', '1 CJC Team D (OG)', '0 CJC Dream Team (CG)']"
5,Round 1,"Ernest MahⒸ , RaniaⓉ","['3 CLPHS How I Became A Debater (CO)', '2 CLPHS How I Learnt To Grow (OG)', '1 CJC Team A (CG)', '0 IISMS 1 (OO)']"
6,Round 1,"Carlo CastilloⒸ , Nur LailaⓉ","['3 Creamed and Polished (CG)', '2 CJC Team B (OO)', '1 The REAL Zeus (CO)', '0 REALS JB (OG)']"
7,Round 1,"Amy SuhanaⒸ , Dzul Iskandar","['3 DC (OG)', '2 Zhonghua J2 (CO)', '1 CJC Team E (CG)', '0 IISMS 2 (OO)']"
8,Round 1,"Amirul AsyrafⒸ , Chang Eu-chengⓉ","['3 Zhonghua ZH2 (OO)', '2 Yuri Nation (CG)', '1 GMA 2 (OG)', '0 Straight outta CLPHS (CO)']"
9,Round 1,TJⒸ,"['3 Sri KDU Expecto Patronum (OG)', '2 Swing 2 (CG)', '1 Swing 3 (CO)', '0 Swing 1 (OO)']"
10,Round 2,Amirul AsyrafⒸ,"['3 CLPHS NINE-NINE (CG)', '2 AISB Green (CO)', '1 Yamete Kudasai (OO)', '0 Zhonghua J2 (OG)']"
11,Round 2,KuganⒸ,"['3 AISB Red (CO)', '2 Hot Espresso Nuts (OO)', '1 CJC Team E (OG)', '0 The REAL Zeus (CG)']"
12,Round 2,"TJⒸ , Chang Eu-chengⓉ","['3 Am I Audible (OO)', '2 GMA 1 (OG)', '1 CJC Team B (CG)', '0 Sri KDU White Bread 🍞 (CO)']"
13,Round 2,Amy SuhanaⒸ,"['3 Straight outta CLPHS (OG)', '2 Burnt Chicken Nuggets (OO)', '1 The REAL Ares (CG)', '0 IISMS 1 (CO)']"
14,Round 2,"RaniaⒸ , Dzul Iskandar","['3 Swing 1 (OG)', '2 CJC Dream Team (OO)', '1 IISMS 2 (CO)', '0 REALS JB (CG)']"
15,Round 2,"Nur LailaⒸ , Kimberley Justine Tegjeu","['3 Controversial Corporations (CG)', '2 GMA 2 (CO)', '1 Swing 3 (OG)', '0 CJC Team A (OO)']"
16,Round 2,"Carlo CastilloⒸ , Aaron L. Raj","['3 IISMS 3 (OG)', '2 CJC Team D (OO)', '1 SMSHS kawaii chan (CG)', '0 Sri KDU Aristotle (CO)']"
17,Round 2,"Farhan ShahⒸ , Vetrivel SandiranⓉ","['3 DC (CO)', '2 Creamed and Polished (OO)', '1 CLPHS How I Became A Debater (CG)', '0 Zhonghua ZH2 (OG)']"
18,Round 2,"Shireen AliⒸ , RakshaⓉ","['3 Yuri Nation (OO)', '2 MBS Xaviniesta (OG)', '1 Swing 2 (CO)', '0 CLPHS How I Learnt To Grow (CG)']"
19,Round 2,"Ernest MahⒸ , Nathan SeeⓉ","['3 Up to u (OO)', '2 Oxpicious Cake (OG)', '1 MBS PB&J (CG)', '0 Sri KDU Expecto Patronum (CO)']"
20,Round 3,"Ernest MahⒸ , Chang Eu-chengⓉ","['3 AISB Green (CG)', '2 Yuri Nation (OG)', '1 Am I Audible (CO)', '0 CLPHS How I Became A Debater (OO)']"
21,Round 3,"Carlo CastilloⒸ , Dzul Iskandar","['3 MBS PB&J (OO)', '2 MBS Xaviniesta (CO)', '1 AISB Red (CG)', '0 Controversial Corporations (OG)']"
22,Round 3,"RahulⒸ , Nathan SeeⓉ","['3 Sri KDU White Bread 🍞 (CG)', '2 CJC Team E (OO)', '1 Burnt Chicken Nuggets (OG)', '0 CJC Dream Team (CO)']"
23,Round 3,Shireen AliⒸ,"['3 CJC Team A (CO)', '2 Sri KDU Aristotle (CG)', '1 REALS JB (OO)', '0 The REAL Zeus (OG)']"
24,Round 3,"Amy SuhanaⒸ , RaniaⓉ","['3 Swing 1 (CG)', '2 Swing 2 (OO)', '1 Zhonghua ZH2 (CO)', '0 CJC Team B (OG)']"
