,Round Name,Panel,Rankings
0,Round 1,"Mark RotheryⒸ , April TuckerⓉ , DaniganⓉ","['1 ANU 1 (N)', '0 UNSW 4 (A)']"
1,Round 1,"Robert BarrieⒸ , Betty Zhang , Sonny Ushiroda","['1 ANU 2 (N)', '0 USU 1 (A)']"
2,Round 1,"Judah PurwantoⒸ , Daniel SanticⓉ , Jade KamⓉ","['1 ANU 3 (A)', '0 USU 9 (N)']"
3,Round 1,"Anshuman MishraⒸ , Chinmaya Mohan , Lucy Edwards , David McArthurⓉ","['1 ANU 4 (A)', '0 USU 3 (N)']"
4,Round 1,"Paul TatarovⒸ , Vedant PithiaⓉ","['1 USU 5 (N)', '0 ANU 5 (A)']"
5,Round 1,"Guy SutttnerⒸ , Kuani ClevelandⓉ","['1 ANU 6 (A)', '0 MAD 8 (N)']"
6,Round 1,"Jibran Ahmad KhanⒸ , Devashish Trivedi , Olivia Yin , Thomas CullinanⓉ","['1 USU 7 (N)', '0 ANU 7 (A)']"
7,Round 1,"Parth PandyaⒸ , Jessica BridglandⓉ","['1 UOW 1 (A)', '0 AUDS 1 (N)']"
8,Round 1,"Sweeney HughesⒸ , Jingya (Alice) LuⓉ","['1 MAD 1 (A)', '0 UNSW 7 (N)']"
9,Round 1,"Jeremiah EdagbamiⒸ , Cara RoweⓉ , JewelⓉ","['1 MAD 2 (N)', '0 UNSW 3 (A)']"
10,Round 1,"Cormac MoriartyⒸ , Nikhil ClementiⓉ","['1 USU 2 (A)', '0 MAD 3 (N)']"
11,Round 1,"Leah MercierⒸ , Davida PaulⓉ","['1 USU 10 (A)', '0 MAD 4 (N)']"
12,Round 1,"Emily KimⒸ , Ivan HouⓉ","['1 MUDS 1 (A)', '0 MAD 5 (N)']"
13,Round 1,"Ellen ThurlowⒸ , Luke Cass , Shruti Deb","['1 MAD 6 (N)', '0 UNSW 8 (A)']"
14,Round 1,"Ellie StephensonⒸ , Adya Sharma , Apratim","['1 MAD 7 (N)', '0 UNSW 9 (A)']"
15,Round 1,"David WuⒸ , EZE NWAKUBA N , Roy Chen","['1 MQU 1 (A)', '0 UTS 1 (N)']"
16,Round 1,"Jyotirmoy (Joy)Ⓒ , Ned MatinⓉ","['1 USU 6 (N)', '0 MQU 2 (A)']"
17,Round 1,"Pranav KagalkarⒸ , Ben DaviesⓉ","['1 MQU 3 (N)', '0 UNSW 10 (A)']"
18,Round 1,"Lucy MurphyⒸ , Alexander MaloufⓉ , Shaira ZaimaⓉ","['1 MUDS 2 (N)', '0 UQ 2 (A)']"
19,Round 1,"Arin Tornyi-AydinⒸ , Brodie KnoxⓉ , Joseph Hathaway-WilsonⓉ","['1 UNSW 5 (N)', '0 MUDS 3 (A)']"
20,Round 1,"Hamza FarookhiⒸ , Michael ByrneⓉ","['1 MUDS 4 (N)', '0 QUT 1 (A)']"
21,Round 1,"Kethmi GamageⒸ , Lidya Andreani , Tawfique Elahi","['1 UNSW 1 (A)', '0 MUDS 5 (N)']"
22,Round 1,"Rohan GroverⒸ , YU-XI Anatoly CHENⓉ","['1 UNSW 2 (A)', '0 USU 4 (N)']"
23,Round 1,"Abhishek AcharyaⒸ , Henry BaldwinⓉ","['1 USU 8 (A)', '0 UNSW 6 (N)']"
24,Round 1,"Daniel YimⒸ , Jessica ChungⓉ , Zoe MorrisⓉ","['1 UQ 1 (N)', '0 UTS 2 (A)']"
25,Round 2,"Oliver CumminsⒸ , Brodie KnoxⓉ","['1 ANU 1 (A)', '0 UNSW 2 (N)']"
26,Round 2,Guy SutttnerⒸ,"['1 ANU 2 (N)', '0 MAD 6 (A)']"
27,Round 2,"Cormac MoriartyⒸ , David McArthurⓉ","['1 ANU 3 (N)', '0 MUDS 4 (A)']"
28,Round 2,"Leah MercierⒸ , Kuani ClevelandⓉ","['1 ANU 4 (N)', '0 MAD 2 (A)']"
29,Round 2,"Rohan GroverⒸ , DaniganⓉ , Zoe MorrisⓉ","['1 ANU 5 (N)', '0 MQU 3 (A)']"
30,Round 2,"Emily KimⒸ , Adya Sharma , Daniel Santic","['1 ANU 6 (N)', '0 UNSW 5 (A)']"
31,Round 2,"Sweeney HughesⒸ , Carl saundersⓉ","['1 UNSW 10 (N)', '0 ANU 7 (A)']"
32,Round 2,"Vivian ZhuⒸ , Cara RoweⓉ , Shaira ZaimaⓉ","['1 MQU 2 (N)', '0 AUDS 1 (A)']"
33,Round 2,"Ellen ThurlowⒸ , Jyotirmoy (Joy) , Lidya Andreani","['1 MAD 1 (A)', '0 USU 10 (N)']"
34,Round 2,"Judah PurwantoⒸ , Apratim , Roy Chen","['1 MAD 3 (N)', '0 UNSW 7 (A)']"
35,Round 2,"Daniel YimⒸ , Jingya (Alice) LuⓉ , Nikhil ClementiⓉ","['1 UNSW 3 (N)', '0 MAD 4 (A)']"
36,Round 2,"Abhishek AcharyaⒸ , Alexander MaloufⓉ , Joseph Hathaway-WilsonⓉ","['1 MAD 5 (A)', '0 UNSW 9 (N)']"
37,Round 2,"Hamza FarookhiⒸ , Betty Zhang , Kethmi Gamage","['1 USU 5 (N)', '0 MAD 7 (A)']"
38,Round 2,Jessica MusulinⒸ,"['1 MAD 8 (A)', '0 UQ 2 (N)']"
39,Round 2,"James Manton-HallⒸ , Chinmaya Mohan , Luke Cass","['1 MQU 1 (N)', '0 MUDS 1 (A)']"
40,Round 2,"Robert BarrieⒸ , EZE NWAKUBA N , Lucy Edwards","['1 USU 2 (N)', '0 MUDS 2 (A)']"
41,Round 2,"Mark RotheryⒸ , Michael ByrneⓉ , YU-XI Anatoly CHENⓉ","['1 UTS 2 (N)', '0 MUDS 3 (A)']"
42,Round 2,"Paul TatarovⒸ , Ben DaviesⓉ , Jade KamⓉ","['1 USU 4 (N)', '0 MUDS 5 (A)']"
43,Round 2,"Pranav KagalkarⒸ , Ned MatinⓉ , Vedant PithiaⓉ","['1 UNSW 6 (A)', '0 QUT 1 (N)']"
44,Round 2,"Arin Tornyi-AydinⒸ , Davida PaulⓉ","['1 UNSW 1 (N)', '0 UQ 1 (A)']"
45,Round 2,"Lucy MurphyⒸ , Anshuman Mishra , Sonny Ushiroda","['1 UNSW 4 (N)', '0 USU 9 (A)']"
46,Round 2,"Jeremiah EdagbamiⒸ , Thomas CullinanⓉ","['1 USU 1 (N)', '0 UNSW 8 (A)']"
47,Round 2,"Dominic GuinaneⒸ , Henry Baldwin , Olivia Yin","['1 USU 6 (A)', '0 UOW 1 (N)']"
48,Round 2,"Jibran Ahmad KhanⒸ , April TuckerⓉ , Jessica BridglandⓉ","['1 USU 3 (N)', '0 UTS 1 (A)']"
49,Round 2,"David WuⒸ , Shruti Deb , Tawfique Elahi","['1 USU 7 (A)', '0 USU 8 (N)']"
50,Round 3,"Jeremiah EdagbamiⒸ , Jade KamⓉ","['1 ANU 1 (N)', '0 USU 5 (A)']"
51,Round 3,"Hamza FarookhiⒸ , Brodie KnoxⓉ","['1 ANU 2 (A)', '0 MAD 1 (N)']"
52,Round 3,"Paul TatarovⒸ , Tawfique Elahi , Vedant PithiaⓉ","['1 ANU 3 (N)', '0 USU 6 (A)']"
53,Round 3,"Cormac MoriartyⒸ , Sonny Ushiroda , Joseph Hathaway-WilsonⓉ","['1 USU 7 (A)', '0 ANU 4 (N)']"
54,Round 3,"Jibran Ahmad KhanⒸ , Lucy Murphy , Luke Cass","['1 ANU 5 (A)', '0 UNSW 2 (N)']"
55,Round 3,"Ellie StephensonⒸ , Jessica BridglandⓉ","['1 MQU 1 (N)', '0 ANU 6 (A)']"
56,Round 3,"Emily KimⒸ , Ben DaviesⓉ , Kuani ClevelandⓉ","['1 ANU 7 (N)', '0 UNSW 9 (A)']"
57,Round 3,"Leah MercierⒸ , Nikhil ClementiⓉ , Thomas CullinanⓉ","['1 MUDS 5 (A)', '0 AUDS 1 (N)']"
58,Round 3,"Mark RotheryⒸ , Daniel Santic , Henry Baldwin , Jingya (Alice) LuⓉ","['1 MAD 2 (N)', '0 UNSW 10 (A)']"
59,Round 3,Tunan RahmanⒸ,"['1 UNSW 3 (N)', '0 MAD 3 (A)']"
60,Round 3,"Guy SutttnerⒸ , Roy Chen , Betty ZhangⓉ","['1 MAD 4 (A)', '0 UQ 2 (N)']"
61,Round 3,"Oliver CumminsⒸ , Kethmi Gamage","['1 MUDS 2 (N)', '0 MAD 5 (A)']"
62,Round 3,"Anshuman MishraⒸ , Apratim","['1 MAD 6 (A)', '0 UNSW 4 (N)']"
63,Round 3,"Pranav KagalkarⒸ , Zoe MorrisⓉ","['1 USU 1 (N)', '0 MAD 7 (A)']"
64,Round 3,"Ellen ThurlowⒸ , Cara RoweⓉ , Carl saundersⓉ","['1 MAD 8 (A)', '0 USU 8 (N)']"
65,Round 3,"Devashish TrivediⒸ , Chinmaya Mohan , Rohan Grover , Alexander MaloufⓉ","['1 MQU 2 (A)', '0 MUDS 4 (N)']"
66,Round 3,"Daniel YimⒸ , Shruti Deb","['1 UNSW 5 (A)', '0 MQU 3 (N)']"
67,Round 3,Judah PurwantoⒸ,"['1 MUDS 1 (N)', '0 USU 10 (A)']"
68,Round 3,"Abhishek AcharyaⒸ , Charlie Yang , David McArthurⓉ","['1 MUDS 3 (N)', '0 USU 9 (A)']"
69,Round 3,"Sweeney HughesⒸ , Lidya Andreani , Olivia Yin , YU-XI Anatoly CHENⓉ","['1 UNSW 8 (N)', '0 QUT 1 (A)']"
70,Round 3,"Parth PandyaⒸ , Ned Matin","['1 USU 2 (N)', '0 UNSW 1 (A)']"
71,Round 3,"Vivian ZhuⒸ , EZE NWAKUBA NⓉ","['1 UNSW 6 (A)', '0 UQ 1 (N)']"
72,Round 3,"Arin Tornyi-AydinⒸ , DaniganⓉ","['1 UTS 1 (N)', '0 UNSW 7 (A)']"
73,Round 3,"Romaan DullooⒸ , April Tucker , Davida Paul","['1 USU 4 (A)', '0 UOW 1 (N)']"
74,Round 3,"David WuⒸ , Adya Sharma","['1 USU 3 (A)', '0 UTS 2 (N)']"
75,Round 4,"Ellie StephensonⒸ , Hamza Farookhi , Shruti Deb","['1 ANU 1 (A)', '0 ANU 3 (N)']"
76,Round 4,"David WuⒸ , Olivia Yin","['1 ANU 2 (A)', '0 USU 2 (N)']"
77,Round 4,"Mark RotheryⒸ , Zoe Morris , Vedant PithiaⓉ","['1 MUDS 1 (N)', '0 ANU 4 (A)']"
78,Round 4,"Devashish TrivediⒸ , Charlie Yang","['1 MAD 2 (A)', '0 ANU 5 (N)']"
79,Round 4,"Robert BarrieⒸ , Michael Byrne","['1 ANU 6 (N)', '0 USU 6 (A)']"
80,Round 4,"Arin Tornyi-AydinⒸ , Jessica BridglandⓉ","['1 MAD 5 (N)', '0 ANU 7 (A)']"
81,Round 4,"Cormac MoriartyⒸ , Ned Matin , Brodie KnoxⓉ","['1 UNSW 7 (N)', '0 AUDS 1 (A)']"
82,Round 4,"Oliver CumminsⒸ , Cara Rowe","['1 MAD 1 (A)', '0 UNSW 5 (N)']"
83,Round 4,Paul TatarovⒸ,"['1 UTS 2 (N)', '0 MAD 3 (A)']"
84,Round 4,"Henry BaldwinⒸ , Sweeney Hughes , Tawfique Elahi","['1 UNSW 4 (A)', '0 MAD 4 (N)']"
85,Round 4,"Abhishek AcharyaⒸ , Daniel Santic , Rohan Grover","['1 MAD 6 (N)', '0 USU 3 (A)']"
86,Round 4,"Romaan DullooⒸ , Kuani ClevelandⓉ , Nikhil ClementiⓉ","['1 MAD 7 (N)', '0 MUDS 4 (A)']"
87,Round 4,"Daniel YimⒸ , Jade Kam","['1 UTS 1 (A)', '0 MAD 8 (N)']"
88,Round 4,"Ellen ThurlowⒸ , Lucy Edwards , Shaira ZaimaⓉ","['1 MQU 1 (A)', '0 USU 7 (N)']"
89,Round 4,"Emily KimⒸ , Davida PaulⓉ , Joseph Hathaway-WilsonⓉ","['1 MQU 2 (N)', '0 UNSW 3 (A)']"
90,Round 4,"Anshuman MishraⒸ , April Tucker , Alexander MaloufⓉ","['1 UNSW 8 (N)', '0 MQU 3 (A)']"
91,Round 4,"Guy SutttnerⒸ , Ben DaviesⓉ , David McArthurⓉ","['1 USU 1 (N)', '0 MUDS 2 (A)']"
92,Round 4,"Jeremiah EdagbamiⒸ , EZE NWAKUBA N , Kethmi Gamage","['1 USU 8 (A)', '0 MUDS 3 (N)']"
93,Round 4,Pranav KagalkarⒸ,"['1 UOW 1 (A)', '0 MUDS 5 (N)']"
94,Round 4,"Jyotirmoy (Joy)Ⓒ , Luke Cass , Roy Chen","['1 UNSW 9 (A)', '0 QUT 1 (N)']"
95,Round 4,"Judah PurwantoⒸ , Jingya (Alice) LuⓉ , Thomas CullinanⓉ","['1 UNSW 1 (N)', '0 USU 5 (A)']"
96,Round 4,"Adya SharmaⒸ , Betty Zhang , Tunan Rahman","['1 UNSW 2 (A)', '0 UNSW 10 (N)']"
97,Round 4,"Parth PandyaⒸ , DaniganⓉ","['1 USU 4 (A)', '0 UNSW 6 (N)']"
98,Round 4,"Jibran Ahmad KhanⒸ , Chinmaya Mohan , Sonny Ushiroda","['1 UQ 1 (A)', '0 USU 10 (N)']"
99,Round 4,"Leah MercierⒸ , Jessica ChungⓉ , YU-XI Anatoly CHENⓉ","['1 USU 9 (N)', '0 UQ 2 (A)']"
100,Round 5,"Leah MercierⒸ , Oliver Cummins , Thomas CullinanⓉ","['1 ANU 1 (N)', '0 ANU 2 (A)']"
101,Round 5,"Robert BarrieⒸ , YU-XI Anatoly CHENⓉ","['1 USU 1 (N)', '0 ANU 3 (A)']"
102,Round 5,"Sweeney HughesⒸ , Daniel Santic , Jessica BridglandⓉ","['1 MAD 3 (N)', '0 ANU 4 (A)']"
103,Round 5,"Guy SutttnerⒸ , Tunan Rahman , April TuckerⓉ","['1 USU 8 (N)', '0 ANU 5 (A)']"
104,Round 5,"Mark RotheryⒸ , Jibran Ahmad Khan , Alexander MaloufⓉ","['1 UNSW 1 (N)', '0 ANU 6 (A)']"
