,Round Name,Panel,Rankings
0,Round 1,Akshit MishraⒸ,"['1 Team smarticles (O)', '0 Amigos (G)']"
1,Round 1,"Narayan SharmaⒸ , Jae Mantuano","['1 Cheeto and the Chocolate Factory (O)', '0 Swing 1 (G)']"
2,Round 1,Dianne B. AblayⒸ,"['1 Lionel Nessi (O)', '0 COEP B (G)']"
3,Round 1,Linsey KeurⒸ,"['1 COEP S (G)', '0 Russian Assassins (O)']"
4,Round 1,"Saketh KanumuriⒸ , Srishti Khairwar","[""1 Don't Google Kroor Singh (G)"", '0 JGLS Team (O)']"
5,Round 1,Daryl Isla LouisⒸ,"['1 Find the Third Wheel (O)', '0 Sad Bois (G)']"
6,Round 1,Arghya Dev Biswas AryanⒸ,"['1 guess the straight one (O)', '0 Nova corps (G)']"
7,Round 1,Adwait MitraⒸ,"['1 Hear Here (O)', '0 MNLUN (G)']"
8,Round 1,Rahul DattaⒸ,"['1 USTe, Loca! (O)', '0 HPNLU (G)']"
9,Round 1,Utkarsh MishraⒸ,"['1 Jazbati Jalebi (G)', '0 Unknowns (O)']"
10,Round 1,"Ritul AryanⒸ , Anushka Subramanian","['1 We Love Daryl (G)', '0 Kangana Ranaut Fanclub (O)']"
11,Round 1,"Odong VincentⒸ , Treenok Guha","[""1 Midsummer Night's Dread (G)"", '0 Nujs 1 (O)']"
12,Round 1,"Aradome BelaiⒸ , Bhargav Bhamidipati","['1 RMLNLU (O)', '0 Veni Vidi Vici (G)']"
13,Round 2,Odong VincentⒸ,"['1 Amigos (O)', '0 Nova corps (G)']"
14,Round 2,Rahul DattaⒸ,"['1 Cheeto and the Chocolate Factory (G)', '0 Jazbati Jalebi (O)']"
15,Round 2,Jae MantuanoⒸ,"['1 COEP B (O)', '0 HPNLU (G)']"
16,Round 2,Gazi MahtabⒸ,"['1 USTe, Loca! (G)', '0 COEP S (O)']"
17,Round 2,Daryl Isla LouisⒸ,"[""1 Midsummer Night's Dread (O)"", ""0 Don't Google Kroor Singh (G)""]"
18,Round 2,Narayan SharmaⒸ,"['1 Find the Third Wheel (G)', '0 guess the straight one (O)']"
19,Round 2,Aradome BelaiⒸ,"['1 Hear Here (G)', '0 Team smarticles (O)']"
20,Round 2,Utkarsh MishraⒸ,"['1 Swing 1 (O)', '0 JGLS Team (G)']"
21,Round 2,Akshit MishraⒸ,"['1 Kangana Ranaut Fanclub (G)', '0 MNLUN (O)']"
22,Round 2,"Ritul AryanⒸ , Adwait Mitra , Treenok Guha","['1 Sad Bois (O)', '0 Lionel Nessi (G)']"
23,Round 2,Saketh KanumuriⒸ,"['1 Nujs 1 (G)', '0 Russian Assassins (O)']"
24,Round 2,"Chinmaya MohanⒸ , Srishti Khairwar","['1 RMLNLU (G)', '0 We Love Daryl (O)']"
