,Round Name,Panel,Rankings
0,Round 1,Muhammed Ali Mianⓒ,"['1 Interritus (O)', '0 ACE (P)']"
1,Round 1,Lisa Chheangⓒ,"['1 PSHS-NGS Asterin (P)', '0 Catnosour (O)']"
2,Round 1,Prince Mohammad Zaeem Quddussiⓒ,"['1 SEF (SUPERHUMAN, EGALITARIAN, FEMIN (P)', '0 Kinnaird College (O)']"
3,Round 1,Zekiel Gulabⓒ,"['1 The Resilience (O)', '0 The Vas Trio (P)']"
4,Round 1,Rameen Liaqatⓒ,"['1 WS B (P)', '0 WS A (O)']"
5,Round 2,Sam sihak vidyaⓒ,"['1 ACE (P)', '0 PSHS-NGS Asterin (O)']"
6,Round 2,Shannen Nadeemⓒ,"['1 Kinnaird College (P)', '0 Catnosour (O)']"
7,Round 2,Prince Mohammad Zaeem Quddussiⓒ,"['1 Interritus (O)', '0 The Resilience (P)']"
8,Round 2,Lisa Chheangⓒ,"['1 SEF (SUPERHUMAN, EGALITARIAN, FEMIN (P)', '0 WS B (O)']"
9,Round 2,Zekiel Gulabⓒ,"['1 The Vas Trio (O)', '0 WS A (P)']"
10,Quarterfinals,Prince Mohammad Zaeem Quddussiⓒ,"['1 WS B (O)', '0 ACE (P)']"
11,Quarterfinals,Brigita Katlioriuteⓒ,"['1 Interritus (P)', '0 The Resilience (O)']"
12,Quarterfinals,Lisa Chheangⓒ,"['1 The Vas Trio (O)', '0 Kinnaird College (P)']"
13,Quarterfinals,"Rameen Liaqatⓒ , Zekiel Gulab","['1 SEF (SUPERHUMAN, EGALITARIAN, FEMIN (P)', '0 PSHS-NGS Asterin (O)']"
14,Semifinals,"Prince Mohammad Zaeem Quddussiⓒ , Zekiel Gulab","['1 SEF (SUPERHUMAN, EGALITARIAN, FEMIN (O)', '0 Interritus (P)']"
15,Semifinals,Lisa Chheangⓒ,"['1 The Vas Trio (P)', '0 WS B (O)']"
16,Grand Final,"Prince Mohammad Zaeem Quddussiⓒ , Lisa Chheang , Muhammed Ali Mian , Rameen Liaqat , Zekiel Gulab","['1 The Vas Trio (O)', '0 SEF (SUPERHUMAN, EGALITARIAN, FEMIN (P)']"
