,Round Name,Panel,Rankings
0,Round 1,IndyⒸ,"['1 2 Jakarta A (O)', '0 Kanisius (G)']"
1,Round 1,AstriⒸ,"['1 2 Jakarta B (O)', '0 Swing (G)']"
2,Round 1,KaiⒸ,"['1 Maitreyawira B (G)', '0 2 Jakarta C (O)']"
3,Round 1,MettioⒸ,"['1 Francis B (G)', '0 2 Tangerang Selatan A (O)']"
4,Round 1,AldoⒸ,"['1 Sidoarjo B (G)', '0 2 Tangerang Selatan B (O)']"
5,Round 1,NabilaⒸ,"['1 4 Denpasar (G)', '0 Penabur Cirebon (O)']"
6,Round 1,AmosⒸ,"['1 Smukie A (G)', '0 Al Hikmah (O)']"
7,Round 1,KrisnaⒸ,"['1 Sutomo B (G)', '0 Darma Yudha (O)']"
8,Round 1,TjiaⒸ,"['1 Francis A (O)', '0 Yogyakarta (G)']"
9,Round 1,GabeⒸ,"['1 Maitreyawira A (G)', '0 Loyola (O)']"
10,Round 1,GioⒸ,"['1 Maitreyawira C (O)', '0 Samarinda B (G)']"
11,Round 1,ZuhdiⒸ,"['1 Pekanbaru (O)', '0 Mentari A (G)']"
12,Round 1,AnggiⒸ,"['1 Smukie B (G)', '0 Pradita Dirgantara (O)']"
13,Round 1,RendyⒸ,"['1 Semarang (O)', '0 Samarinda A (G)']"
14,Round 1,ElgardⒸ,"['1 Sidoarjo A (G)', '0 SMAKYS B (O)']"
15,Round 1,DeviⒸ,"['1 Sutomo A (G)', '0 SMAKYS A (O)']"
16,Round 2,DeviⒸ,"['1 2 Jakarta A (G)', '0 Maitreyawira A (O)']"
17,Round 2,IndyⒸ,"['1 2 Jakarta B (G)', '0 Maitreyawira B (O)']"
18,Round 2,NabilaⒸ,"['1 2 Jakarta C (G)', '0 Samarinda A (O)']"
19,Round 2,KrisnaⒸ,"['1 2 Tangerang Selatan A (G)', '0 Samarinda B (O)']"
20,Round 2,MettioⒸ,"['1 Yogyakarta (O)', '0 2 Tangerang Selatan B (G)']"
21,Round 2,ElgardⒸ,"['1 4 Denpasar (O)', '0 Francis A (G)']"
22,Round 2,AstriⒸ,"['1 SMAKYS A (O)', '0 Al Hikmah (G)']"
23,Round 2,GioⒸ,"['1 Darma Yudha (O)', '0 Penabur Cirebon (G)']"
24,Round 2,TjiaⒸ,"['1 Sutomo A (O)', '0 Francis B (G)']"
25,Round 2,RendyⒸ,"['1 Kanisius (O)', '0 Mentari A (G)']"
26,Round 2,AmosⒸ,"['1 Loyola (G)', '0 Mentari B (O)']"
27,Round 2,AnggiⒸ,"['1 Sidoarjo B (O)', '0 Maitreyawira C (G)']"
28,Round 2,KindiⒸ,"['1 Sutomo B (O)', '0 Pekanbaru (G)']"
29,Round 2,AldoⒸ,"['1 SMAKYS B (O)', '0 Pradita Dirgantara (G)']"
30,Round 2,GabeⒸ,"['1 Smukie A (O)', '0 Semarang (G)']"
31,Round 2,KaiⒸ,"['1 Sidoarjo A (G)', '0 Smukie B (O)']"
32,Round 3,GioⒸ,"['1 2 Jakarta A (G)', '0 Smukie A (O)']"
33,Round 3,DeviⒸ,"['1 4 Denpasar (O)', '0 2 Jakarta B (G)']"
34,Round 3,ElgardⒸ,"['1 Maitreyawira A (G)', '0 2 Jakarta C (O)']"
35,Round 3,AnggiⒸ,"['1 2 Tangerang Selatan A (G)', '0 Loyola (O)']"
36,Round 3,IndyⒸ,"['1 2 Tangerang Selatan B (G)', '0 Samarinda B (O)']"
37,Round 3,RendyⒸ,"['1 Al Hikmah (O)', '0 Swing (G)']"
38,Round 3,AstriⒸ,"['1 Darma Yudha (G)', '0 Yogyakarta (O)']"
39,Round 3,GabeⒸ,"['1 SMAKYS A (G)', '0 Francis A (O)']"
40,Round 3,NabilaⒸ,"['1 SMAKYS B (G)', '0 Francis B (O)']"
41,Round 3,AldoⒸ,"['1 Kanisius (O)', '0 Pekanbaru (G)']"
42,Round 3,KrisnaⒸ,"['1 Smukie B (O)', '0 Maitreyawira B (G)']"
43,Round 3,KaiⒸ,"['1 Maitreyawira C (G)', '0 Semarang (O)']"
44,Round 3,TjiaⒸ,"['1 Mentari A (O)', '0 Pradita Dirgantara (G)']"
45,Round 3,MettioⒸ,"['1 Penabur Cirebon (G)', '0 Samarinda A (O)']"
46,Round 3,ZuhdiⒸ,"['1 Sutomo B (G)', '0 Sidoarjo A (O)']"
47,Round 3,AmosⒸ,"['1 Sutomo A (O)', '0 Sidoarjo B (G)']"
48,Pre-Quarter Final,"ElgardⒸ , Amos , Nabila","['1 Sidoarjo B (O)', '0 2 Tangerang Selatan A (G)']"
49,Pre-Quarter Final,"AnggiⒸ , Aldo , Gabe","['1 Darma Yudha (G)', '0 Maitreyawira A (O)']"
50,Pre-Quarter Final,"KaiⒸ , Devi , Krisna","['1 Sidoarjo A (O)', '0 Kanisius (G)']"
51,Pre-Quarter Final,"AstriⒸ , Gio , Rendy","['1 SMAKYS A (G)', '0 SMAKYS B (O)']"
52,Quarterfinals,"GabeⒸ , Kai , Zuhdi","['1 Sidoarjo B (O)', '0 2 Jakarta A (G)']"
53,Quarterfinals,"RendyⒸ , Elgard , Tjia","['1 4 Denpasar (O)', '0 Sidoarjo A (G)']"
54,Quarterfinals,"GioⒸ , Astri , Mettio","['1 Darma Yudha (G)', '0 Sutomo B (O)']"
55,Quarterfinals,"AmosⒸ , Aldo , Anggi","['1 SMAKYS A (O)', '0 Sutomo A (G)']"
56,Semifinals,"AldoⒸ , Amos , Kai , Kindi , Krisna","['1 4 Denpasar (G)', '0 SMAKYS A (O)']"
