,Round Name,Panel,Rankings
0,Round 1,"Akashraj MurthyⒸ , Trijit Ray , Varshita SigarⓉ","[""3 Atleast we didn't do as bad as Gwen (CO)"", '2 VIT E (OG)', '1 DSDC 1 (OO)', '0 BITSP A (CG)']"
1,Round 1,"Kojo AcheampongⒸ , Keshav Mohan , Talat RaisⓉ","['3 Sleepy Bears (CO)', '2 Trump 2024 (OG)', '1 Fire breathing rubber duckies (OO)', '0 BITSH A (CG)']"
2,Round 1,"Rahul DattaⒸ , Sandesh , Ishita MavinkurveⓉ","['3 RML Will x Hope (CG)', '2 did we prep for the right side?? (OO)', '1 BITSH B (OG)', '0 Team MS (CO)']"
3,Round 1,"Prerana RaiⒸ , Varshini","['3 MIT A (CG)', '2 MIST A (OO)', '1 BITSH C (OG)', '0 RML A (CO)']"
4,Round 1,"Vignesh SⒸ , Anushka Subramanian , Snigdha PriyadarshiniⓉ","['3 GMCB A (OO)', '2 High BP (OG)', '1 WBNUJS (CO)', '0 BITSH D (CG)']"
5,Round 1,"Ruth SilcoffⒸ , Agrima Nidhi Sharma , ProjwolitaⓉ","['3 HANUMAN (OO)', '2 BITSP B (OG)', '1 ParleOG (CG)', '0 NLUJ A (CO)']"
6,Round 1,"KlaudiaⒸ , Rohan Mathew Therattil , Sameer skⓉ","['3 BITSP C (OO)', '2 IIT Dhanbad A (CO)', '1 IIT-B E (OG)', '0 SBS A (CG)']"
7,Round 1,"Ellie StephensonⒸ , Neel Bhandari , Deepank DewanⓉ","['3 GLC C (OO)', '2 SSE (OG)', '1 UPV (CO)', '0 BITSP D (CG)']"
8,Round 1,"Erica LiuⒸ , Jayesh Rathi , Shikhar Raj BeriⓉ","['3 IIT-B B (CG)', '2 CU C (OO)', '1 CU A (CO)', '0 SLS-P E (OG)']"
9,Round 1,"Vishakha RajⒸ , Carlo Castillo , Fariha Tahsin HaqueⓉ","['3 DBC (CG)', '2 MSO A (CO)', '1 IIT-B G (OG)', '0 GLC B (OO)']"
10,Round 1,"Luigi AlcanesesⒸ , Antash Misra , Mausam Gala","['3 NLS A (CG)', '2 SLS-P C (OG)', '1 Gargi A (OO)', '0 VIT Karl-Marxturbation (CO)']"
11,Round 1,"Eva-Marie QuinonesⒸ , Chinmaya Mohan , Sarthak Agarwal","['3 IIT-B D (OO)', '2 GLC A (CO)', '1 NLS C (OG)', '0 SLS-P Z (CG)']"
12,Round 1,"Sanutha ShettyⒸ , Kanika Shokeen , Sejal SinghⓉ","['3 Kamikaze 2.0 (OO)', '2 VIT D (CO)', '1 GLC KT (CG)', '0 Team Revengers (OG)']"
13,Round 1,"Shirsh kumarⒸ , Gurleenkaur Khalsa","['3 UPD (CG)', '2 GNLU A (CO)', '1 Why RV Here ? (OO)', '0 Swing 1 (OG)']"
14,Round 1,"Altamash KadirⒸ , Shraddha Kulkarni , Shreya SinhaⓉ","['3 Hans Raj A (OG)', '2 Moskovi (CO)', '1 Ramjas A (CG)', '0 WAP (OO)']"
15,Round 1,"Shuvam MitraⒸ , Supriya , Neel MulayⓉ","['3 NLUJ C (CG)', '2 NLUD Revival (OG)', '1 IIT-B A (OO)', '0 SLCU A (CO)']"
16,Round 1,"Rohit BhatachaaryaⒸ , Sai Keerthana Arun , Ivy PilatanⓉ","['3 Toy Story (CG)', '2 IIT-B C (OG)', '1 VIT C (OO)', '0 NLUO Natsu & Erza (CO)']"
17,Round 1,"Vikram RaoⒸ , Chesta B , Shreyas KulkarniⓉ","['3 Lash and Shuvz invited us, so could (CO)', '2 RCL A (OO)', '1 Pareshan Kisan (OG)', '0 IIT-B F (CG)']"
18,Round 1,"Adya SharmaⒸ , Garvit Gosain , SanatⓉ","['3 MSRIT A (CO)', '2 NLUJ B (CG)', '1 NMIMS SOL A (OO)', '0 ILS A (OG)']"
19,Round 1,"Eric KazadiⒸ , Shiva Shashank Dhavala , Raunak Rai MainiⓉ","['3 VIT A (CG)', '2 Legendary Pokemon (CO)', '1 SLS-P D (OO)', '0 SLCU B (OG)']"
20,Round 1,"SameekshaⒸ , Riya Mariam Varghese , Aditya KaleⓉ","['3 SLS-P A (CO)', '2 VIT B (OO)', '1 MIT RV The Breaking (CG)', '0 Starlight (OG)']"
21,Round 2,"Vishakha RajⒸ , Keshav Mohan , Shuvam Mitra","[""3 Atleast we didn't do as bad as Gwen (OO)"", '2 GLC C (CG)', '1 Toy Story (CO)', '0 Lash and Shuvz invited us, so could (OG)']"
22,Round 2,"Prerana RaiⒸ , Nishanth Shamanna , Supriya","['3 NLUJ A (CG)', '2 BITSH A (CO)', '1 SLCU B (OO)', '0 WAP (OG)']"
23,Round 2,"Eric KazadiⒸ , Snigdha Priyadarshini","['3 CU A (OO)', '2 UPV (CG)', '1 BITSH B (CO)', '0 DSDC 1 (OG)']"
24,Round 2,"Vignesh SⒸ , Sarthak Agarwal , Vikram Rao","['3 VIT C (OG)', '2 IIT-B E (CG)', '1 GLC KT (CO)', '0 BITSH C (OO)']"
25,Round 2,"SameekshaⒸ , Ivy Pilatan , Fariha Tahsin HaqueⓉ","['3 SLS-P Z (OG)', '2 BITSP A (OO)', '1 SLCU A (CG)', '0 BITSP D (CO)']"
26,Round 2,"Carlo CastilloⒸ , Pranav A , Shreyas KulkarniⓉ","['3 GNLU A (OG)', '2 High BP (CG)', '1 RCL A (CO)', '0 BITSP B (OO)']"
27,Round 2,"Luigi AlcanesesⒸ , Agrima Nidhi Sharma , Shikhar Raj BeriⓉ","['3 IIT-B B (CO)', '2 BITSP C (OG)', '1 SLS-P A (CG)', '0 Hans Raj A (OO)']"
28,Round 2,"Rohit BhatachaaryaⒸ , Gurleenkaur Khalsa , Aditya KaleⓉ","['3 CU C (CO)', '2 Moskovi (CG)', '1 NLUD Revival (OO)', '0 MIT RV The Breaking (OG)']"
29,Round 2,"Sarah TayⒸ , Shiva Shashank Dhavala , Sejal SinghⓉ","['3 DBC (CO)', '2 VIT A (OO)', '1 IIT-B D (CG)', '0 Sleepy Bears (OG)']"
30,Round 2,"David MetzⒸ , Anushka Subramanian , Neel MulayⓉ","['3 UPD (OO)', '2 did we prep for the right side?? (OG)', '1 Kamikaze 2.0 (CG)', '0 GMCB A (CO)']"
31,Round 2,"Ellie StephensonⒸ , Chesta B , ShikharⓉ","['3 Fire breathing rubber duckies (CO)', '2 NLS C (CG)', '1 NMIMS SOL A (OG)', '0 ParleOG (OO)']"
32,Round 2,"Adya SharmaⒸ , Jayesh Rathi , Varshita SigarⓉ","['3 Why RV Here ? (CG)', '2 WBNUJS (OO)', '1 Gargi A (CO)', '0 SLS-P D (OG)']"
33,Round 2,"Sanutha ShettyⒸ , Rohan Mathew Therattil , Ishita MavinkurveⓉ","['3 GLC A (CG)', '2 SSE (CO)', '1 Ramjas A (OO)', '0 NLUJ B (OG)']"
34,Round 2,"Mausam GalaⒸ , Talat Rais","['3 Swing 1 (OO)', '2 IIT-B F (OG)', '1 GLC B (CO)', '0 Team Revengers (CG)']"
35,Round 2,"Advesh JalanⒸ , Kanika Shokeen , Shreya SinhaⓉ","['3 RML Will x Hope (OO)', '2 HANUMAN (CO)', '1 MSRIT A (CG)', '0 MIT A (OG)']"
36,Round 2,"Kojo AcheampongⒸ , Riya Mariam Varghese , Deepank DewanⓉ","['3 IIT-B G (CO)', '2 Team MS (CG)', '1 Pareshan Kisan (OO)', '0 IIT-B A (OG)']"
37,Round 2,"Akashraj MurthyⒸ , Varshini , Raunak Rai MainiⓉ","['3 Trump 2024 (OO)', '2 MSO A (OG)', '1 IIT-B C (CO)', '0 MIST A (CG)']"
38,Round 2,"Erica LiuⒸ , Trijit Ray","['3 IIT Dhanbad A (OG)', '2 VIT E (OO)', '1 VIT D (CG)', '0 VIT B (CO)']"
39,Round 2,"Rahul DattaⒸ , Paribha Vashist","['3 Swing 2 (CO)', '2 SBS A (OG)', '1 ILS A (OO)', '0 SLS-P E (CG)']"
40,Round 2,"Altamash KadirⒸ , Chinmaya Mohan , Garvit GosainⓉ","['3 NLS A (CO)', '2 SLS-P C (CG)', '1 Legendary Pokemon (OG)', '0 NLUJ C (OO)']"
41,Round 2,"Shirsh kumarⒸ , Antash Misra , ProjwolitaⓉ","['3 RML A (OG)', '2 VIT Karl-Marxturbation (OO)', '1 NLUO Natsu & Erza (CG)', '0 Starlight (CO)']"
42,Round 3,"Altamash KadirⒸ , Keshav Mohan , Deepank DewanⓉ","['3 IIT-B B (OO)', '2 RML Will x Hope (CO)', ""1 Atleast we didn't do as bad as Gwen (OG)"", '0 BITSP C (CG)']"
43,Round 3,"Adya SharmaⒸ , Neel Bhandari","['3 Pareshan Kisan (CO)', '2 Team MS (OG)', '1 BITSH A (OO)', '0 VIT B (CG)']"
44,Round 3,"Advesh JalanⒸ , Rohan Mathew Therattil","['3 Ramjas A (CO)', '2 BITSH B (CG)', '1 NLUJ B (OO)', '0 VIT Karl-Marxturbation (OG)']"
45,Round 3,"Chesta BⒸ , Sameeksha","['3 BITSH C (CO)', '2 MIT RV The Breaking (OO)', '1 ParleOG (OG)', '0 DSDC 1 (CG)']"
46,Round 3,"Kanika ShokeenⒸ , Vikram Rao","['3 BITSH D (OG)', '2 Starlight (OO)', '1 WAP (CG)', '0 SLS-P E (CO)']"
47,Round 3,"Rohit BhatachaaryaⒸ , Garvit Gosain , Sameer skⓉ","['3 NLUD Revival (CG)', '2 NLUJ C (OG)', '1 UPV (OO)', '0 BITSP A (CO)']"
48,Round 3,"Eric KazadiⒸ , Jayesh Rathi","['3 IIT-B F (OO)', '2 MIST A (OG)', '1 NMIMS SOL A (CO)', '0 BITSP B (CG)']"
49,Round 3,"Nishanth ShamannaⒸ , Agrima Nidhi Sharma","['3 IIT-B A (CO)', '2 SLCU B (CG)', '1 BITSP D (OO)', '0 GLC B (OG)']"
50,Round 3,"Ivy PilatanⒸ , Prerana Rai , Varshita SigarⓉ","['3 High BP (CO)', '2 CU A (CG)', '1 Moskovi (OG)', '0 SLS-P A (OO)']"
51,Round 3,"Mubarrat WasseyⒸ , Pranav A , Neel MulayⓉ","['3 CU C (OG)', '2 VIT A (CO)', '1 MSO A (CG)', '0 IIT Dhanbad A (OO)']"
52,Round 3,"Sarah TayⒸ , Gurleenkaur Khalsa , Paribha VashistⓉ","['3 GNLU A (CG)', '2 DBC (OG)', '1 NLS A (OO)', '0 UPD (CO)']"
53,Round 3,"Rahul DattaⒸ , Shiva Shashank Dhavala , Shreya SinhaⓉ","['3 Kamikaze 2.0 (OG)', '2 did we prep for the right side?? (CG)', '1 VIT C (CO)', '0 IIT-B G (OO)']"
54,Round 3,"Chinmaya MohanⒸ , Akashraj Murthy , Ishita MavinkurveⓉ","['3 Fire breathing rubber duckies (CG)', '2 Why RV Here ? (CO)', '1 IIT-B D (OG)', '0 SLS-P C (OO)']"
55,Round 3,"Shirsh kumarⒸ , Snigdha Priyadarshini","['3 GLC KT (OO)', '2 SLS-P D (CG)', '1 SBS A (CO)', '0 Gargi A (OG)']"
56,Round 3,"Kojo AcheampongⒸ , Luigi Alcaneses , Talat RaisⓉ","['3 Trump 2024 (CO)', '2 GLC A (OO)', '1 GLC C (OG)', '0 HANUMAN (CG)']"
57,Round 3,"Vignesh SⒸ , Supriya , Shreyas KulkarniⓉ","['3 NLS C (CO)', '2 IIT-B C (OO)', '1 GMCB A (CG)', '0 NLUJ A (OG)']"
58,Round 3,"Carlo CastilloⒸ , Antash Misra , Raunak Rai MainiⓉ","['3 WBNUJS (OG)', '2 Hans Raj A (CG)', '1 MIT A (CO)', '0 RML A (OO)']"
59,Round 3,"Shuvam MitraⒸ , Sarthak Agarwal","['3 RCL A (OG)', '2 SLS-P Z (OO)', '1 IIT-B E (CO)', '0 Legendary Pokemon (CG)']"
60,Round 3,"Anushka SubramanianⒸ , Varshini","['3 ILS A (CG)', '2 NLUO Natsu & Erza (OG)', '1 SLCU A (OO)', '0 Team Revengers (CO)']"
61,Round 3,"Mausam GalaⒸ , Trijit Ray","['3 Lash and Shuvz invited us, so could (CG)', '2 Swing 1 (CO)', '1 Sleepy Bears (OO)', '0 VIT D (OG)']"
