,Round Name,Panel,Rankings
0,Round 1,"Matt HazellⒸ , Katherine Harris","['3 Open Turkish Delights (CG)', '2 Vienna A (CO)', '1 Başkent Levent the Surgeon One (OO)', '0 Open Toilet Humour (OG)']"
1,Round 1,"Enting LeeⒸ , Ozan AybakⓉ","['3 Belgrade A (CO)', '2 WSDCI TG (OG)', '1 HHDC Banihani Bois (CG)', '0 UPD Sabawkids (OO)']"
2,Round 1,"Quynh AnhⒸ , Sena SinanⓉ","['3 Open Tarte (OO)', '2 Zagreb Souffle and Dijon (OG)', '1 BUDS Hot People Doing Hot Shit (CO)', '0 LDS Fifth Minute (CG)']"
3,Round 1,"Shudipto R. AhmedⒸ , Defne AkterⓉ","[""3 BUETDC I'm Fine (in Ross's voice) (CO)"", '2 IITR 1 (OG)', '1 NDC Nepal (OO)', '0 Swing Team 1 (CG)']"
4,Round 1,"Njuguna MachariaⒸ , Ahmet Ramazan KaradagⓉ","['3 Mcgill PF (OG)', '2 Cambridge ZS (CG)', '1 China All Work and No Debate Makes Jack a (OO)', '0 Open We Got Bo(rah) (CO)']"
5,Round 1,"Ela JurkoⒸ , Kyle Go","['3 Indonesia Gadjah Mada B (OO)', '2 Open Social Networks (CG)', '1 GSÜ A (CO)', '0 Open Too Old to Function (OG)']"
6,Round 1,Thamera NaickerⒸ,"['3 UPD East Meets West (CG)', '2 IHU ER (OO)', '1 GSÜ B (CO)', '0 Turkey Commentario Irrelevante 2 (OG)']"
7,Round 1,"Lovro ŠpremⒸ , Tomris ÖzdemirⓉ","['3 HHDC Chicken Bouquet (OO)', '2 TCDH Having the Banter, Spilling the Tea (OG)', '1 UAADS Shems (CG)', '0 IHU MM (CO)']"
8,Round 1,"Parth PandyaⒸ , Ege Atacan DoganⓉ","['3 KCL HAHAHAHAHAHAHAHAHAHAHAHA (OO)', '2 UCDLH Breaking Team to Match Our System/S (CO)', '1 MUDS OwOslap (CG)', ""0 Open My Teammate Can't Speak Englis (OG)""]"
9,Round 1,Milos MarjanovicⒸ,"['3 Sofia A (CG)', '2 Open Stressed, Depressed, Debate Ob (OG)', '1 Vienna Ischgl-Fever (OO)', '0 SUDS 52 (CO)']"
10,Round 2,"Thamera NaickerⒸ , Sena SinanⓉ","['3 UAADS Shems (OO)', '2 Başkent Levent the Surgeon One (CO)', '1 NDC Nepal (OG)', '0 China All Work and No Debate Makes Jack a (CG)']"
11,Round 2,"Lovro ŠpremⒸ , Shudipto R. Ahmed","['3 Belgrade A (OO)', '2 Indonesia Gadjah Mada B (OG)', '1 WSDCI TG (CG)', '0 Open Turkish Delights (CO)']"
12,Round 2,Njuguna MachariaⒸ,"['3 UPD Sabawkids (OG)', '2 BUDS Hot People Doing Hot Shit (CG)', '1 GSÜ A (OO)', '0 MUDS OwOslap (CO)']"
13,Round 2,"Ela JurkoⒸ , Ahmet Ramazan KaradagⓉ","['3 Sofia A (OG)', '2 Open Tarte (CO)', ""1 BUETDC I'm Fine (in Ross's voice) (CG)"", '0 UPD East Meets West (OO)']"
14,Round 2,"Enting LeeⒸ , Parth Pandya","['3 Open Social Networks (CO)', '2 Open Stressed, Depressed, Debate Ob (CG)', '1 IITR 1 (OO)', '0 Cambridge ZS (OG)']"
15,Round 2,Quynh AnhⒸ,"['3 HHDC Banihani Bois (OO)', '2 Vienna Ischgl-Fever (OG)', '1 Open Toilet Humour (CO)', '0 GSÜ B (CG)']"
16,Round 2,"Matt HazellⒸ , Defne AkterⓉ","['3 Mcgill PF (OO)', '2 HHDC Chicken Bouquet (OG)', '1 TCDH Having the Banter, Spilling the Tea (CG)', '0 KCL HAHAHAHAHAHAHAHAHAHAHAHA (CO)']"
17,Round 2,"Milos MarjanovicⒸ , Ege Atacan DoganⓉ","['3 Vienna A (OO)', '2 UCDLH Breaking Team to Match Our System/S (OG)', '1 Zagreb Souffle and Dijon (CO)', '0 IHU ER (CG)']"
18,Round 2,"Kyle GoⒸ , Tomris ÖzdemirⓉ","['3 IHU MM (OO)', '2 Turkey Commentario Irrelevante 2 (CO)', '1 SUDS 52 (OG)', ""0 Open My Teammate Can't Speak Englis (CG)""]"
19,Round 2,"Katherine HarrisⒸ , Ozan AybakⓉ","['3 Open Too Old to Function (CG)', '2 Open We Got Bo(rah) (OO)', '1 LDS Fifth Minute (OG)', '0 Swing Team 1 (CO)']"
20,Round 3,"Ela JurkoⒸ , Tomris ÖzdemirⓉ","['3 NDC Nepal (CO)', '2 GSÜ A (OG)', '1 Başkent Levent the Surgeon One (CG)', '0 BUDS Hot People Doing Hot Shit (OO)']"
21,Round 3,"Njuguna MachariaⒸ , Ege Atacan Dogan","['3 Mcgill PF (CO)', '2 Sofia A (OO)', '1 Belgrade A (OG)', '0 Open Tarte (CG)']"
22,Round 3,"Milos MarjanovicⒸ , Defne Akter","['3 IHU MM (OG)', ""2 BUETDC I'm Fine (in Ross's voice) (OO)"", '1 UCDLH Breaking Team to Match Our System/S (CG)', '0 HHDC Banihani Bois (CO)']"
23,Round 3,Thamera NaickerⒸ,"['3 Cambridge ZS (CO)', '2 Open We Got Bo(rah) (CG)', '1 Turkey Commentario Irrelevante 2 (OO)', '0 IHU ER (OG)']"
24,Round 3,Katherine HarrisⒸ,"['3 SUDS 52 (CG)', '2 LDS Fifth Minute (OO)', '1 China All Work and No Debate Makes Jack a (CO)', '0 GSÜ B (OG)']"
25,Round 3,"Matt HazellⒸ , Quynh Anh","['3 Indonesia Gadjah Mada B (CG)', '2 HHDC Chicken Bouquet (CO)', '1 Vienna A (OG)', '0 Open Social Networks (OO)']"
26,Round 3,Lovro ŠpremⒸ,"['3 Open Stressed, Depressed, Debate Ob (CO)', '2 IITR 1 (CG)', '1 UAADS Shems (OG)', '0 Open Too Old to Function (OO)']"
27,Round 3,"Shudipto R. AhmedⒸ , Ozan AybakⓉ","['3 KCL HAHAHAHAHAHAHAHAHAHAHAHA (CG)', '2 WSDCI TG (OO)', '1 UPD East Meets West (OG)', '0 UPD Sabawkids (CO)']"
28,Round 3,Parth PandyaⒸ,"['3 MUDS OwOslap (OO)', '2 Open Toilet Humour (CG)', ""1 Open My Teammate Can't Speak Englis (CO)"", '0 Swing Team 1 (OG)']"
29,Round 3,"Kyle GoⒸ , Sena SinanⓉ","['3 TCDH Having the Banter, Spilling the Tea (CO)', '2 Vienna Ischgl-Fever (CG)', '1 Open Turkish Delights (OG)', '0 Zagreb Souffle and Dijon (OO)']"
30,Round 4,"Njuguna MachariaⒸ , Ozan AybakⓉ","['3 GSÜ A (CG)', '2 UPD East Meets West (CO)', '1 SUDS 52 (OO)', '0 Başkent Levent the Surgeon One (OG)']"
31,Round 4,"Lovro ŠpremⒸ , Ege Atacan Dogan","['3 HHDC Chicken Bouquet (CG)', '2 Belgrade A (CO)', '1 TCDH Having the Banter, Spilling the Tea (OO)', ""0 BUETDC I'm Fine (in Ross's voice) (OG)""]"
32,Round 4,Thamera NaickerⒸ,"['3 Open Toilet Humour (OO)', '2 BUDS Hot People Doing Hot Shit (OG)', '1 Turkey Commentario Irrelevante 2 (CG)', '0 IHU ER (CO)']"
33,Round 4,"Milos MarjanovicⒸ , Quynh Anh","['3 Open Social Networks (OG)', '2 WSDCI TG (CO)', '1 Cambridge ZS (OO)', '0 NDC Nepal (CG)']"
34,Round 4,"Enting LeeⒸ , Katherine Harris","['3 Vienna A (CG)', '2 KCL HAHAHAHAHAHAHAHAHAHAHAHA (OG)', '1 IHU MM (OO)', '0 Vienna Ischgl-Fever (CO)']"
35,Round 4,"Matt HazellⒸ , Kyle Go","['3 IITR 1 (CO)', '2 UCDLH Breaking Team to Match Our System/S (OO)', '1 Open Tarte (OG)', '0 UAADS Shems (CG)']"
36,Round 4,"Ela JurkoⒸ , Defne Akter","['3 Mcgill PF (CG)', '2 Open Stressed, Depressed, Debate Ob (OO)', '1 Sofia A (CO)', '0 Indonesia Gadjah Mada B (OG)']"
37,Round 4,Shudipto R. AhmedⒸ,"['3 Open Turkish Delights (OO)', '2 UPD Sabawkids (CG)', '1 LDS Fifth Minute (CO)', '0 MUDS OwOslap (OG)']"
38,Round 4,"Parth PandyaⒸ , Tomris ÖzdemirⓉ","['3 Open Too Old to Function (CO)', '2 Zagreb Souffle and Dijon (CG)', '1 Swing Team 1 (OG)', ""0 Open My Teammate Can't Speak Englis (OO)""]"
