,Name,Team,Categories,Speaker Scores
0,Naomi Panovka,Mcgill PF,,"['82', '82', '82', '81']"
1,Matthew Farrell,Mcgill PF,,"['81', '81', '82', '82']"
2,Xiao-ke Lu,"Open Stressed, Depressed, Debate Ob",,"['80', '81', '81', '82']"
3,Marta Vasić,Belgrade A,,"['81', '82', '80', '80']"
4,Rumen Marinov,Sofia A,,"['82', '81', '81', '78']"
5,Đorđe Radosavljević,Belgrade A,,"['80', '80', '80', '79']"
6,Nikolay Angelov,Sofia A,,"['79', '80', '80', '79']"
7,Nikola Michaylov,"Open Stressed, Depressed, Debate Ob",,"['80', '78', '79', '80']"
8,Marius Buga,KCL HAHAHAHAHAHAHAHAHAHAHAHA,,"['82', '75', '80', '79']"
9,Miri Muntean,Vienna A,,"['79', '80', '77', '80']"
10,James Yang,HHDC Chicken Bouquet,,"['78', '77', '79', '81']"
11,Muhammad Rizki Akbar Lubis,Indonesia Gadjah Mada B,,"['77', '80', '80', '78']"
12,Muhammad Zufar Farhan Zuhdi,Indonesia Gadjah Mada B,,"['76', '80', '80', '78']"
13,Jennifer Taruno,WSDCI TG,,"['79', '77', '79', '78']"
14,Marina Kojić,Vienna A,,"['77', '81', '76', '79']"
15,Bonfilio Dazzle Valeriano Gyula,WSDCI TG,,"['80', '78', '79', '76']"
16,Shirsha Songshoptak,BUETDC I'm Fine (in Ross's voice),,"['79', '76', '81', '77']"
17,Deep,IITR 1,,"['78', '77', '77', '81']"
18,Serena Yuan,HHDC Chicken Bouquet,,"['76', '79', '78', '79']"
19,Prashasti Saxena,KCL HAHAHAHAHAHAHAHAHAHAHAHA,,"['81', '74', '80', '77']"
20,Jumana Akhter Tanuja,BUETDC I'm Fine (in Ross's voice),,"['78', '77', '80', '77']"
21,Christian Muneza,IHU MM,,"['75', '77', '83', '76']"
22,Marco Dava,UPD Sabawkids,,"['78', '79', '76', '78']"
23,Aditya,IITR 1,,"['78', '77', '77', '79']"
24,Mehdi Guenouni,IHU MM,,"['75', '76', '82', '78']"
25,Srijan Poudel,Open Tarte,,"['78', '78', '78', '77']"
26,Ariel Lim,Open Turkish Delights,,"['80', '76', '75', '79']"
27,Maliha Rahman,Open Tarte,,"['77', '78', '77', '78']"
28,Sarah Jones,UCDLH Breaking Team to Match Our System/S,,"['76', '77', '79', '78']"
