,Round Name,Panel,Rankings
0,Round 1,Odong VincentⒸ,"['3 baby pandas go meow (CO)', '2 Trying to move on (OO)', '1 2 broke girls (CG)', '0 UniSZA 3 (OG)']"
1,Round 1,"Albert PagunsanⒸ , Ralf","['3 UTP FRIED TILAPIAS (OO)', '2 ATMA 4 (CO)', '1 Saviours A (CG)', '0 AE with non-existential Z (OG)']"
2,Round 1,Justin ChengⒸ,"['3 Ateneo OP (OO)', ""2 i wasn't supposed to debate in coll (OG)"", '1 MARA All The Time (CO)', '0 PALAM A (CG)']"
3,Round 1,ClariceⒸ,"['3 Indonesia GoPed (OO)', '2 ATMA 1 (CO)', ""1 The MARA's Gambit (OG)"", '0 PALAM C (CG)']"
4,Round 1,NoniⒸ,"['3 ATMA 2 (OO)', '2 KRSS (CO)', '1 Iamyourfather (CG)', '0 Kesha (OG)']"
5,Round 1,Majo GutierrezⒸ,"['3 UPD Pub People (CG)', '2 Self Sabotage (OO)', '1 ATMA 3 (OG)', '0 The Know Nots (CO)']"
6,Round 1,Carlo CastilloⒸ,"['3 gay & tired (CO)', '2 Pakatan Takde Harapan (CG)', '1 Bottom Text (OO)', '0 Better Call Mara (OG)']"
7,Round 1,Ajwah NadeemⒸ,"['3 TOKYO 03 (CO)', '2 Duty (CG)', '1 can I ples hv a job at da goldman s (OG)', '0 UNIMAS Noicebros (OO)']"
8,Round 1,Chinmaya MohanⒸ,"[""3 ted's besties (CG)"", '2 The UmMARA Academy (OO)', '1 CLPHS Fatty Acid (CO)', '0 cheerios (OG)']"
9,Round 1,Prathik KarthikeyanⒸ,"['3 Dynamic Dwarfs (OO)', '2 we are never getting back together (CO)', '1 CLPHS Do I Wanna Know (CG)', '0 UNIMAS Hakuna Matata (OG)']"
10,Round 1,SyefⒸ,"['3 Live laugh love ❤️ (CO)', '2 CLPHS Serotonin (OG)', '1 CLPHS Khaos (OO)', '0 Pen and Paper (CG)']"
11,Round 1,SarishⒸ,"['3 UPD Return of the Comeback (CG)', '2 Indonesia GoTo (OO)', ""1 Emily Soon's Angels (OG)"", '0 Cococrunch (CO)']"
12,Round 1,Davida PaulⒸ,"['3 UPD Eton Centris (CO)', '2 the draw is out (OO)', '1 Curry Leaves (OG)', '0 Mee (CG)']"
13,Round 1,ShirishⒸ,"['3 Mario (OO)', ""2 UPM Mark Sloan's Simps (CO)"", '1 Once upon a time (CG)', '0 Epistemic Access to Epistemic Justi (OG)']"
14,Round 1,Leauren JiⒸ,"['3 f*m (CO)', '2 UNIMAS ME! (CG)', '1 Touching Fish (OO)', '0 Senzoku (OG)']"
15,Round 1,"Tengku OmarⒸ , Ahana Chaudhuri","['3 Indonesia Tokek (OO)', '2 Gay Bar Queens (CO)', '1 UniSZA 1 (CG)', '0 Frosted Flakes (OG)']"
16,Round 1,Umar FazlanⒸ,"['3 Hindi naman siguro magtatampo si Mi (OO)', '2 UNIMASyraf Zeneca (CO)', '1 Fruitloops (OG)', '0 KRSS(A) (CG)']"
17,Round 1,Ryan Adler TanⒸ,"['3 UPD Quinoa (CO)', '2 Saviours D (CG)', '1 RZ (OO)', '0 Google ran out of cool names (OG)']"
18,Round 1,AlexⒸ,"['3 Kezgard (OO)', '2 UTP At Work, From Home (CO)', '1 UTC (OG)', '0 Saviours C (CG)']"
19,Round 1,Kharl Frederick P. PagatⒸ,"['3 La MARA De Papel (CO)', '2 Sleepy (OG)', '1 Mangosteen Lovers (CG)', '0 UniSZA 2 (OO)']"
20,Round 1,[Redacted Adjudicator 1]Ⓒ,"['3 UPD Radical Centrists (CO)', '2 Tokyo 1 (OO)', '1 MARA Nine-Nine (CG)', '0 POLIKU (OG)']"
21,Round 1,Claire FlorendoⒸ,"['3 Unnecessary Outing (OO)', '2 PALAM B (CO)', '1 Sloths (OG)', '0 Young Sprouts (CG)']"
22,Round 1,"Chisato HashimaⒸ , Joy Hadome","['3 UNIMAS #CucukMyAZ (OG)', '2 Sussy Bakas (CO)', '1 Saviours E (OO)', '0 Saviours B (CG)']"
23,Round 2,RalfⒸ,"['3 2 broke girls (OG)', '2 Swing 5 (CG)', '1 ATMA 3 (CO)', '0 Saviours B (OO)']"
24,Round 2,SyefⒸ,"['3 AE with non-existential Z (CG)', '2 Mee (OO)', '1 The Know Nots (OG)', '0 PALAM A (CO)']"
25,Round 2,Leauren JiⒸ,"['3 Indonesia GoPed (CO)', '2 UPD Pub People (OO)', '1 ATMA 2 (OG)', '0 Ateneo OP (CG)']"
26,Round 2,AlexⒸ,"['3 ATMA 1 (CG)', '2 we are never getting back together (OO)', '1 Saviours D (OG)', '0 Sleepy (CO)']"
27,Round 2,ClariceⒸ,"['3 Tokyo 1 (CO)', '2 The UmMARA Academy (CG)', '1 ATMA 4 (OG)', '0 PALAM B (OO)']"
28,Round 2,Albert PagunsanⒸ,"['3 UNIMAS #CucukMyAZ (OO)', '2 Dynamic Dwarfs (CO)', '1 baby pandas go meow (OG)', '0 UPD Eton Centris (CG)']"
29,Round 2,Davida PaulⒸ,"['3 RZ (CG)', '2 Mangosteen Lovers (OO)', '1 Better Call Mara (CO)', '0 CLPHS Fatty Acid (OG)']"
30,Round 2,Gurtej SinghⒸ,"['3 can I ples hv a job at da goldman s (CG)', '2 Iamyourfather (CO)', '1 Kesha (OO)', '0 Bottom Text (OG)']"
31,Round 2,Ahana ChaudhuriⒸ,"['3 SISU A (CO)', '2 Swing 2 (OG)', '1 cheerios (OO)', '0 Swing 3 (CG)']"
32,Round 2,Majo GutierrezⒸ,"['3 UTC (CG)', '2 CLPHS Do I Wanna Know (CO)', '1 Fruitloops (OO)', '0 Saviours E (OG)']"
33,Round 2,Joy HadomeⒸ,"[""3 Emily Soon's Angels (CG)"", '2 UniSZA 1 (CO)', ""1 The MARA's Gambit (OO)"", '0 CLPHS Khaos (OG)']"
