,Round Name,Panel,Rankings
0,Round 1,ArghyaⒸ,"['3 eZ (CO)', '2 Potato Farm (OO)', '1 The A-Team (CG)', '0 Anti-Simp Squad (OG)']"
1,Round 1,Udhay Aman ChopraⒸ,"['3 Indus Water Treaty (CG)', '2 ATDT (OO)', '1 Bazinga! (OG)', '0 CUDS A (CO)']"
2,Round 1,"Keerthivasan SⒸ , Jessa Mae Nuevas","[""3 We don't know how to brake (CG)"", '2 Debating Dummies (OG)', '1 CMC (OO)', '0 Rebel (CO)']"
3,Round 1,"Shudipto AhmedⒸ , V Sayiram","['3 Yasei shānyáng (CG)', '2 CUDS B (OG)', '1 WDA 5 (OO)', '0 DSDC1 (CO)']"
4,Round 1,"Abhilash SaneⒸ , Ashutosh Bahuguna","['3 lmN (CG)', '2 Debaitors (OG)', '1 WDA 3 (CO)', '0 Swing Team-Alpha (OO)']"
5,Round 1,"Apratim ShrivastavⒸ , Dianne Ablay","['3 WDA 4 (OO)', '2 DSDC 2 (OG)', '1 Green house (CO)', '0 The Talkologers (CG)']"
6,Round 1,"Daniel Wiyarta TenggaraⒸ , Mithannsh Jain","['3 Rainbows Need More Colours (CG)', '2 Stavka (OG)', '1 Half Capital Half Social (OO)', '0 WDA 2 (CO)']"
7,Round 1,"PragyanⒸ , Lois Naomi Ang","['3 WDA 1 (OG)', '2 Troy and Abed debating (OO)', '1 The ancient mariners (CO)', '0 Hindu college, India (CG)']"
8,Round 1,"Abhishek AcharyaⒸ , Kartik Mathur","['3 NUS-JPJC (CG)', '2 Jesus-Loving Christians (OO)', '1 Swing Team-Bravo (OG)', '0 We have an idea (CO)']"
9,Round 1,"Srijan PoudelⒸ , Vansh Chadha","['3 Mical’s Bizarre Adventure (OG)', '2 Philippines’ next top losers: part (CO)', '1 pZ (OO)', '0 sqZ (CG)']"
10,Round 2,Abhishek AcharyaⒸ,"['3 Anti-Simp Squad (CO)', '2 sqZ (OG)', '1 The Talkologers (OO)', '0 Rebel (CG)']"
11,Round 2,"Dianne AblayⒸ , Ashutosh Bahuguna , Srijan Poudel","['3 ATDT (OG)', '2 Potato Farm (CG)', '1 Debating Dummies (OO)', '0 Stavka (CO)']"
