,Round Name,Panel,Rankings
0,Round 1,Srijan PoudelⒸ,"['1 ACJC A (O)', '0 NJC A (P)']"
1,Round 1,Judah PurwantoⒸ,"['1 ACS(I) A (O)', '0 ACJC B (P)']"
2,Round 1,Ryan ChanⒸ,"['1 NJC B (O)', '0 ACS(I) B (P)']"
3,Round 1,Metys NgoⒸ,"['1 ACS(Int) (O)', '0 OFS A (P)']"
4,Round 1,Ryan LimⒸ,"['1 SAJC A (P)', '0 ASRJC A (O)']"
5,Round 1,Ryan Axel KohⒸ,"['1 NYJC B (O)', '0 ASRJC B (P)']"
6,Round 1,Carina LeeⒸ,"['1 UWCSEA B (O)', '0 CJC (P)']"
7,Round 1,Ritabrata MitraⒸ,"['1 DHS A (P)', '0 TJC B (O)']"
8,Round 1,Njuguna MachariaⒸ,"['1 UWCSEA A (P)', '0 DHS B (O)']"
9,Round 1,Allen HungⒸ,"['1 EJC A (O)', '0 TMJC B (P)']"
10,Round 1,Yeo Shi WenⒸ,"['1 EJC B (P)', '0 SAS A (O)']"
11,Round 1,Issac KoⒸ,"['1 HCI A (P)', '0 TTS (O)']"
12,Round 1,Shubhankar KashyapⒸ,"['1 SAS B (P)', '0 HCI B (O)']"
13,Round 1,Annabel TanⒸ,"['1 RI B (P)', '0 JPJC A (O)']"
14,Round 1,Odong VincentⒸ,"['1 VJC A (O)', '0 JPJC B (P)']"
15,Round 1,Chua Jun YanⒸ,"['1 NUS (O)', '0 TJC A (P)']"
16,Round 1,Edwin ThamⒸ,"['1 NYJC A (P)', '0 OFS B (O)']"
17,Round 1,Prerana RaiⒸ,"['1 RI A (O)', '0 RVHS (P)']"
18,Round 1,Zekiel GulabⒸ,"['1 VJC B (P)', '0 SAJC B (O)']"
19,Round 1,Eze Nwakuba NⒸ,"['1 TMJC A (O)', '0 SJI (P)']"
20,Round 1,Kenneth PohⒸ,"['1 SJI(I) (P)', '0 Swing (O)']"
21,Round 2,Ariel TanⒸ,"['1 ACJC A (P)', '0 SAS B (O)']"
22,Round 2,Metys NgoⒸ,"['1 ACJC B (O)', '0 ASRJC A (P)']"
23,Round 2,Edwin ThamⒸ,"['1 UWCSEA A (O)', '0 ACS(I) A (P)']"
24,Round 2,Njuguna MachariaⒸ,"['1 ACS(I) B (O)', '0 JPJC A (P)']"
25,Round 2,Carina LeeⒸ,"['1 JPJC B (O)', '0 ACS(Int) (P)']"
26,Round 2,Srijan PoudelⒸ,"['1 HCI B (P)', '0 ASRJC B (O)']"
27,Round 2,Gareth LimⒸ,"['1 CJC (O)', '0 SAJC B (P)']"
28,Round 2,Ryan ChanⒸ,"['1 EJC A (P)', '0 DHS A (O)']"
29,Round 2,Judah PurwantoⒸ,"['1 DHS B (P)', '0 OFS A (O)']"
30,Round 2,Sudhiksha Krishna KumarⒸ,"['1 EJC B (O)', '0 NYJC B (P)']"
31,Round 2,Yeo Shi WenⒸ,"['1 HCI A (O)', '0 NUS (P)']"
32,Round 2,Kenneth PohⒸ,"['1 NJC A (P)', '0 TJC A (O)']"
33,Round 2,John Leo CainesⒸ,"['1 NJC B (P)', '0 SJI(I) (O)']"
34,Round 2,Henry KofiⒸ,"['1 NYJC A (O)', '0 VJC A (P)']"
35,Round 2,Chua Jun YanⒸ,"['1 RVHS (O)', '0 OFS B (P)']"
36,Round 2,Ryan LimⒸ,"['1 RI A (P)', '0 SAJC A (O)']"
