,Round Name,Panel,Rankings
0,Round 1,"Lena KolleⒸ , Raghav Mehta , Jack HodgsonⓉ","['3 LSE Brown Magic Mikes (XXL) (CO)', '2 Manchester Heavy Heuristic (OG)', '1 Confidence is key (OO)', '0 Leeds Anish + Amanda (CG)']"
1,Round 1,"Areeb SherwaniⒸ , Laura Hallmark , Tilda RichardsⓉ","['3 Warwick Toph (CO)', '2 Imperial Bulls (CG)', '1 Leeds Marwin + Jocelyn (OO)', '0 Opinionated Assholes (OG)']"
2,Round 1,"Lucy McManusⒸ , Jungwoo Park , Ewan McClellandⓉ","['3 Imperial Dune Spoilers (CO)', '2 Leeds Tom + Max (OO)', '1 Leeds Shahsharif + Gio (OG)', '0 Insert Third Team Name Here (CG)']"
3,Round 1,"Yusuf SteelⒸ , Georgia Metcalfe","['3 Warwick Azula (CG)', '2 Imperial EJ (OG)', '1 The Yorkies (OO)', '0 Leeds Yashvi + Jessica (CO)']"
4,Round 1,"Χρίστος Μέντης ΚράβαρηςⒸ , Elinor GriffithsⓉ","['3 The Bramall Blades (OO)', '2 Warwick Katara (CO)', '1 Warwick Zuko (CG)', '0 Leeds Leon + Prince (OG)']"
5,Round 1,"Katharina Margareta JansenⒸ , Abhijith Subramanian","['3 The Owlerton Owls (OO)', '2 Leeds Tyler + Nishi (OG)', '1 Warwick Aang (CG)', '0 Leeds Stella + Kirti (CO)']"
6,Round 1,"Dan WoodⒸ , Olivia Mackender","['3 This team is as dead as the queen (OO)', '2 Manchester Trophy Wives (OG)', '1 Manchester Leo and Sham (CG)', '0 Swing 1 (CO)']"
7,Round 1,"Tom KusonⒸ , Cyrus Ma , Isabella FlynnⓉ","['3 Manchester Promotion (OG)', '2 Steven hawking school of dance (OO)', '1 [redacted] (CO)', '0 Ruth and Avvayar (CG)']"
8,Round 2,"Χρίστος Μέντης ΚράβαρηςⒸ , Lucy McManus , Raghav Mehta","['3 Warwick Zuko (OG)', '2 The Yorkies (CG)', '1 Manchester Leo and Sham (OO)', '0 Confidence is key (CO)']"
9,Round 2,"Jungwoo ParkⒸ , Isabella Flynn , Yusuf Steel","['3 Imperial EJ (CO)', '2 Manchester Trophy Wives (OO)', '1 Manchester Heavy Heuristic (CG)', '0 Imperial Bulls (OG)']"
