,Round Name,Panel,Rankings
0,Round 1,Chinmaya MohanⒸ,"['3 SLSP Y (CG)', '2 MH (OG)', '1 Silver Lining (OO)', '0 1985 (CO)']"
1,Round 1,"Ramsha MatinⒸ , Suhasini ChowdhuryⓉ","['3 Aam Admi Presi (OO)', '2 IIT KGP C (CG)', '1 Aesthete (CO)', '0 We Have Our Submissions Next Week (OG)']"
2,Round 1,Shirsha SongshoptakⒸ,"['3 [REDACTED] (OO)', '2 Aan men at work (CG)', '1 Aloo chutney (CO)', '0 Goopy gyne Bagha byne (OG)']"
3,Round 1,"Udhay Aman ChopraⒸ , Manak Kataria , Suchisubhra Roy","['3 Indus Water Treaty (OG)', '2 SLSP X (CO)', '1 Am I Audible? (CG)', '0 Barbie Girls (OO)']"
4,Round 1,"Pragyan AcharyaⒸ , Avishi Taneja , Varun Goswami","['3 Vellore A (CG)', '2 Angry Feminist Type (OG)', '1 Not Up for Debate! (OO)', '0 NArcos: Chino Latino (CO)']"
5,Round 1,"Soham ChakrabortyⒸ , Rajarshi ChakrabartyⓉ","['3 trying to break, but not emotionall (OO)', '2 As flies to wanton boys (CO)', '1 IITB B (OG)', '0 Heisenberg (CG)']"
6,Round 1,"Sneha VermaⒸ , Ketaki Rajurkar , Puhumi Verma","['3 Auckland A (OG)', '2 SXC CM (CG)', '1 Peraltiago (OO)', '0 Pulverizers (CO)']"
7,Round 1,"Gowri G GokulⒸ , Christine Nicole MontojoⓉ","['3 Bite is worse than my BArc (OO)', '2 Good Cop Bad Cop (CO)', '1 Break Ke Baad (OG)', '0 B1G1 (CG)']"
8,Round 1,"David MetzⒸ , Cherishi MaheshwariⓉ","['3 BITS H A (CO)', '2 HALF TICKET (OG)', '1 TBD (CG)', '0 Ghostriders 💀💀 (OO)']"
9,Round 1,"Jessica AwurumⒸ , Shraddha KulkarniⓉ","['3 Legendary Pokemons (OO)', '2 Smol Debaters Big Impacts (OG)', '1 High BP (CG)', '0 Breaking bad (CO)']"
10,Round 1,"Flora BaekⒸ , Andy chen , Meghna Pareek","['3 IITB D (OO)', '2 Chewbacca Loves Chole (CO)', '1 Johnlock (CG)', ""0 Broca's Aphasia (OG)""]"
11,Round 1,"Njuguna MachariaⒸ , AISHWARYA NEERAJⓉ","[""3 We don't know how we got in ? (OO)"", '2 Broke but Broke (CO)', '1 Honey Mustard (OG)', ""0 Hips don't lie (CG)""]"
12,Round 1,"Arie MoraⒸ , Shasiniya SagolshemⓉ","['3 Champagne Socialists (CO)', '2 Hindu (OG)', '1 GC (CG)', '0 SGPHSDC-A² (OO)']"
13,Round 1,"Mehr KaurⒸ , Kaushik Das , Sarthak Kohli","['3 Team Blabbers (CO)', '2 SXUK 1 (CG)', '1 DDUC (OG)', '0 Oops I did it again (OO)']"
14,Round 1,"RalfⒸ , Parvathy SⓉ","['3 UST CH (CG)', '2 Losers (OO)', '1 Delegates of Gibooty (CO)', '0 This is Spar-ta (OG)']"
15,Round 1,"Aarushi KhandelwalⒸ , Sarvagya Chhabra , Tejas Baviskar","['3 Two Little Englishmen (OO)', '2 SXC AW (CO)', '1 J.A.W.S. (CG)', '0 Ethereum (OG)']"
16,Round 1,"Nasibur RahamanⒸ , Kashish Gandhi , Vanshika Malpani","['3 Panic! At The Discord (CO)', '2 Sadputins (CG)', '1 Ethically a 10$ Bribe (OO)', '0 LSR - 2 (OG)']"
17,Round 1,"Rahul DattaⒸ , Sashreek GhoshⓉ","['3 Get Vaccinated (OG)', '2 Second Cousins (CG)', '1 Matru ka mandola (OO)', ""0 L'Arc-en-ciel (CO)""]"
18,Round 1,ReedⒸ,"['3 GLC golden Brothers/lovers/farto (OG)', '2 The simp sons (CG)', '1 Knives Out (OO)', '0 MUN Rejects (CO)']"
19,Round 1,"Arjun BansalⒸ , Ashutosh Bahuguna , Parakh Ahooja","['3 GLC MC (CG)', '2 Syriasly Speaking (OO)', '1 Kuch khabar nahi (CO)', '0 IITB S (OG)']"
20,Round 1,"Diya SarkarⒸ , Kunal ShawⓉ","['3 Munnabhai mbbs (OO)', '2 IIT-D (CO)', '1 The Devils of Paradis (CG)', '0 Till Logos do us apart (OG)']"
21,Round 1,"Sanutha ShettyⒸ , Vansh Chadha , Gowri Raj VarmaⓉ","['3 Maier-Gant/Wikramanayake (CG)', '2 Team Seychelles (CO)', '1 IIT KGP A (OO)', '0 SG-AR (OG)']"
22,Round 1,"Ruchir AshⒸ , Snigdha PriyadarshiniⓉ","['3 LSE Calling (OO)', '2 IIT KGP B (OG)', '1 Sliver bullet (CG)', '0 When to break (CO)']"
23,Round 1,"Rushdoon AhmedⒸ , Eshitva Prakash , Joyoshi Barua","['3 IITB M (OG)', '2 Troy and Abed Debating (CG)', '1 No shit Sherlock (CO)', '0 Statement makers (OO)']"
24,Round 1,"Suhani DuhanⒸ , Ankon Bhattacharya , Harsith","['3 KC-A (OO)', '2 The Arguementals (CO)', ""1 We're NoWise (OG)"", '0 Tokyo Ghouls (CG)']"
25,Round 1,"Jayeesh AroraⒸ , Bhumika , Kinjal Bhardwaj","['3 LSR 1 (OO)', '2 Men on a Mission (OG)', '1 Logos (CG)', '0 Presi A (CO)']"
26,Round 1,"Shining XueⒸ , Nupur SevdaⓉ","['3 SXC DD (CG)', '2 Tsk Tsk (OG)', '1 Team Hurricane (CO)', '0 The Targaryens (OO)']"
27,Round 2,"Nasibur RahamanⒸ , Suhasini ChowdhuryⓉ","['3 We Have Our Submissions Next Week (CO)', ""2 L'Arc-en-ciel (OO)"", '1 1985 (OG)', '0 When to break (CG)']"
28,Round 2,"Pragyan AcharyaⒸ , Ankon Bhattacharya , Kinjal Bhardwaj","['3 Ed Sheeran Returns June 25th (OG)', '2 Goopy gyne Bagha byne (CO)', '1 2BrokeGirls (CG)', '0 Presi A (OO)']"
29,Round 2,"Diya SarkarⒸ , Shraddha KulkarniⓉ","['3 Auckland A (CG)', '2 IITB M (CO)', '1 Panic! At The Discord (OO)', '0 Aam Admi Presi (OG)']"
30,Round 2,"RalfⒸ , Aarushi Khandelwal , Kashish Gandhi","['3 BITS H A (CG)', '2 IITB D (OG)', '1 Aan men at work (OO)', '0 [REDACTED] (CO)']"
31,Round 2,"Vanshika MalpaniⒸ , Bhumika , Manak Kataria","['3 Am I Audible? (CO)', '2 Swing 3 (OG)', '1 Aesthete (OO)', '0 No shit Sherlock (CG)']"
32,Round 2,"Adya SharmaⒸ , Gowri Raj VarmaⓉ","['3 High BP (CO)', ""2 We're NoWise (OO)"", '1 Aloo chutney (OG)', '0 Pulverizers (CG)']"
33,Round 2,"Chinmaya MohanⒸ , Meghna Pareek , Suchisubhra Roy","['3 Angry Feminist Type (OO)', '2 Men on a Mission (CO)', '1 IIT KGP C (OG)', '0 The Arguementals (CG)']"
34,Round 2,"David MetzⒸ , Andy chen , Parakh Ahooja","['3 As flies to wanton boys (CG)', '2 Tsk Tsk (OO)', '1 Not Up for Debate! (OG)', '0 Sadputins (CO)']"
35,Round 2,"Arjun BansalⒸ , Akshat SaxenaⓉ","[""3 Hips don't lie (OO)"", '2 Till Logos do us apart (CO)', '1 B1G1 (OG)', '0 Breaking bad (CG)']"
36,Round 2,"Sanutha ShettyⒸ , Parvathy SⓉ","['3 Honey Mustard (CG)', '2 Bad Batch (OO)', '1 The Devils of Paradis (CO)', '0 Logos (OG)']"
37,Round 2,"Ruchir AshⒸ , Rajarshi ChakrabartyⓉ","['3 Barbie Girls (CO)', '2 This is Spar-ta (CG)', '1 Tokyo Ghouls (OO)', '0 Oops I did it again (OG)']"
38,Round 2,"Flora BaekⒸ , Cherishi Maheshwari , Harsith","['3 Maier-Gant/Wikramanayake (OO)', '2 Vellore A (CO)', '1 Bite is worse than my BArc (OG)', '0 Indus Water Treaty (CG)']"
39,Round 2,"Sneha VermaⒸ , Eshitva Prakash , Sarthak Kohli","['3 MUN Rejects (OG)', ""2 Broca's Aphasia (CG)"", '1 Ethereum (OO)', '0 Heisenberg (CO)']"
40,Round 2,Shining XueⒸ,"['3 SXC CM (CO)', '2 Broke but Broke (CG)', '1 Second Cousins (OO)', '0 Losers (OG)']"
41,Round 2,"Ramsha MatinⒸ , AISHWARYA NEERAJⓉ","['3 Champagne Socialists (OO)', '2 LSE Calling (CG)', '1 UST CH (CO)', '0 LSR 1 (OG)']"
42,Round 2,"Rushdoon AhmedⒸ , Joyoshi Barua , Tejas Baviskar","['3 MH (CO)', '2 SXC AW (OO)', '1 SXUK 1 (OG)', '0 Chewbacca Loves Chole (CG)']"
43,Round 2,"Mehr KaurⒸ , Nupur Sevda , Sarvagya Chhabra","['3 Knives Out (OG)', '2 IIT KGP A (CG)', '1 Sliver bullet (OO)', '0 DDUC (CO)']"
44,Round 2,"Arie MoraⒸ , Vishal garg","['3 Matru ka mandola (CO)', '2 Kuch khabar nahi (CG)', '1 Delegates of Gibooty (OO)', '0 Statement makers (OG)']"
45,Round 2,"Kavya Singh KushwahⒸ , Shasiniya SagolshemⓉ","['3 IITB B (CO)', '2 Peraltiago (OG)', '1 Team Hurricane (OO)', '0 Ethically a 10$ Bribe (CG)']"
46,Round 2,"Shirsha SongshoptakⒸ , Ashutosh Bahuguna , Ketaki Rajurkar","['3 J.A.W.S. (OO)', '2 GC (CO)', '1 Johnlock (OG)', '0 Silver Lining (CG)']"
47,Round 2,"Jessica AwurumⒸ , Avishi Taneja , Kaushik Das","['3 Get Vaccinated (OO)', '2 SLSP Y (OG)', ""1 We don't know how we got in ? (CO)"", '0 Team Blabbers (CG)']"
48,Round 2,"Njuguna MachariaⒸ , Mohammad Zaid HusainⓉ","['3 KitKat (CO)', '2 LSR - 2 (OO)', '1 NArcos: Chino Latino (CG)', '0 Ghostriders 💀💀 (OG)']"
49,Round 2,"Priyanka DasⒸ , Sashreek GhoshⓉ","['3 GLC golden Brothers/lovers/farto (OO)', '2 Legendary Pokemons (OG)', '1 KC-A (CG)', '0 Munnabhai mbbs (CO)']"
50,Round 2,"Gowri G GokulⒸ , Aishwarya Ashish BelagaliⓉ","['3 GLC MC (CO)', '2 SXC DD (OO)', '1 trying to break, but not emotionall (OG)', '0 Two Little Englishmen (CG)']"
51,Round 2,"Vansh ChadhaⒸ , Christine Nicole Montojo , Puhumi Verma","['3 Good Cop Bad Cop (CG)', '2 Smol Debaters Big Impacts (CO)', '1 SLSP X (OO)', '0 IIT-D (OG)']"
52,Round 2,"Suhani DuhanⒸ , Snigdha Priyadarshini , Soundarya","['3 Troy and Abed Debating (OO)', '2 Team Seychelles (OG)', '1 Hindu (CO)', '0 HALF TICKET (CG)']"
53,Round 2,"Jayeesh AroraⒸ , Soham Chakraborty , Varun Goswami , Kunal ShawⓉ","['3 The simp sons (OO)', '2 Syriasly Speaking (CO)', '1 TBD (OG)', '0 IIT KGP B (CG)']"
54,Round 2,Rahul DattaⒸ,"['3 IITB S (CG)', '2 pls help (OG)', '1 SG-AR (OO)', '0 SGPHSDC-A² (CO)']"
55,Round 3,"Ramsha MatinⒸ , Sashreek Ghosh","['3 2BrokeGirls (OG)', '2 Ethereum (CO)', '1 1985 (CG)', '0 NArcos: Chino Latino (OO)']"
56,Round 3,"Sanutha ShettyⒸ , Mohammad Zaid HusainⓉ","['3 Indus Water Treaty (OO)', '2 Sliver bullet (OG)', '1 Aam Admi Presi (CG)', '0 SXUK 1 (CO)']"
