,Name,Team,Categories,Speaker Scores
0,Amrit Agastia,[i] ANU 1,,"['83', '—', '83', '86', '84', '84']"
1,Dom Guinane,[i] ANU 1,,"['82', '—', '82', '85', '83', '84']"
2,Callum Dargavel,[i] It's not what heroes do,,"['—', '83', '83', '82', '82', '82']"
3,Jess Musulin,[i] It's not what heroes do,,"['—', '82', '83', '82', '82', '83']"
4,Oliver Cummins,[i] 🆒,,"['—', '81', '84', '81', '84', '81']"
5,David Africa,[o] Ateneo AA,,"['82', '—', '81', '84', '83', '81']"
6,Luigi Alcaneses,[o] Ateneo AA,,"['82', '—', '81', '84', '82', '81']"
7,Madeleine Bosler,[i] 🆒,,"['—', '81', '83', '80', '84', '81']"
8,Ignacio Villareal,[o] Inna is looking for love,,"['81', '—', '82', '84', '80', '82']"
9,Ben Jackson,[i] honk if your horny,,"['—', '81', '82', '83', '81', '82']"
10,Sher May Nar,[o] Inna is looking for love,,"['80', '—', '81', '83', '81', '82']"
11,Mark Rothery,[i] honk if your horny,,"['—', '82', '81', '81', '79', '83']"
12,Robert Barrie,[i] Lorde > Jesus,,"['82', '—', '80', '82', '81', '80']"
13,David Wu,[i] THANKS FOR THE LIFT,,"['—', '81', '81', '81', '83', '79']"
14,Udai Kamath,[i] Jessica Musulin Must Die,,"['80', '—', '81', '82', '80', '82']"
15,Seamus Dove,[i] Seamus and Dan,,"['—', '79', '84', '83', '79', '79']"
16,James Cafferky,[o] Melbourne,,"['79', '—', '79', '83', '81', '82']"
17,Luc Cazenave,[o] Melbourne,Novice,"['79', '—', '80', '83', '80', '81']"
18,Maddie Gelagin,[i] Lorde > Jesus,Novice,"['81', '—', '78', '83', '79', '81']"
19,Kat Cheng,[i] THANKS FOR THE LIFT,,"['—', '80', '81', '81', '81', '79']"
20,Jordyn Gibson,[i] Jessica Musulin Must Die,,"['80', '—', '82', '81', '80', '78']"
21,Tota Takahashi,[o] Tokyo 1,ESL,"['82', '—', '78', '82', '81', '78']"
22,Catherine Zhou,[o] Manchikanti & Zhou,,"['—', '81', '81', '81', '77', '80']"
23,Daniel Yim,[i] Seamus and Dan,,"['—', '78', '84', '82', '79', '77']"
24,Bea Legaspi,[o] UPD LS,ESL,"['—', '82', '79', '78', '82', '79']"
25,Deep Behal,[o] IITR1,ESL,"['—', '80', '81', '79', '—', '—']"
26,Kanan Ishizaka,[o] Tokyo 1,ESL,"['83', '—', '77', '81', '82', '77']"
27,Gautier Boyrie,[o] Hart House BP,,"['—', '79', '79', '82', '80', '78']"
28,Deepak Manchikanti,[o] Manchikanti & Zhou,,"['—', '80', '82', '80', '78', '78']"
29,Viha Gopakumar,[o] call us a pillow,,"['—', '81', '76', '81', '79', '81']"
30,Miguel Sulit,[o] UPD LS,,"['—', '80', '80', '79', '81', '78']"
31,Chris Pang,[o] Hart House BP,,"['—', '78', '79', '82', '80', '78']"
32,Maeca Pansensoy,[o] Ateneo OP,,"['—', '79', '81', '80', '79', '77']"
33,Farhan Musa,[o] MSG King of Flavour,,"['81', '—', '82', '79', '76', '78']"
34,Benjamin Diskin,[i] Donut Allergy,Novice,"['80', '—', '82', '81', '76', '76']"
35,Redacted,—,,"['80', '—', '80', '80', '77', '78']"
36,Irene Dela Cruz,[o] Ateneo CD,,"['80', '—', '78', '77', '79', '81']"
37,Quintin Chua,[o] Ateneo CD,,"['80', '—', '79', '78', '78', '80']"
38,Denzelle Jude Caro,[o] UST CH,"Novice, ESL","['—', '80', '78', '79', '79', '—']"
39,Julia Ocoma,[o] Ateneo OP,,"['—', '79', '80', '80', '79', '76']"
40,Ariana Haghighi,[i] Donut Allergy,Novice,"['79', '—', '83', '80', '76', '76']"
41,Lanz Nathan Hernandez,[o] UST CH,"Novice, ESL","['—', '80', '76', '80', '79', '—']"
42,Brynnie Rafe,[o] MAD A,,"['78', '—', '80', '79', '79', '77']"
