,Round Name,Panel,Rankings
0,Round 1,"Noor Malik (EO)Ⓒ , Josef Moscovici , Farheen BanuⓉ","['3 GCU A (CG)', '2 BE Yourself (OO)', '1 Come Here Only For 4th (OG)', '0 Unanimous Decision 2 (CO)']"
1,Round 1,"Flora Baek (EO)Ⓒ , Miriam Kalman , Hafsa MahmoodⓉ","['3 Car Crash (CG)', '2 Ted’ friends (OG)', '1 LGS 55 Main Emerald (OO)', '0 TNS DHA B (CO)']"
2,Round 1,"Alex LovellⒸ , Kiran Rao","['3 Cheddar Roll Paratha (OO)', '2 IBA (CG)', '1 KU A (CO)', '0 placeholder (OG)']"
3,Round 1,"Gazi MahtabⒸ , Katherine Harris , Gunika GouriⓉ","['3 City Ravi A (CG)', '2 epistemic access to epistemic justi (CO)', '1 (sadly) good 4 u (OO)', '0 Cheddar Shawarma (OG)']"
4,Round 1,"Maciej LulewiczⒸ , Pranav Anand","['3 HUFS YP (CO)', '2 Cisero (CG)', '1 JSMU C (OG)', '0 SRCC B (OO)']"
5,Round 1,"EzeⒸ , Tarannum Tasnim Sohani","[""3 Two crocodiles don't make an alliga (OG)"", '2 KEMU A (OO)', '1 UET A (CG)', '0 Gryffindor Eagles (CO)']"
6,Round 1,"Leauren JiⒸ , Ryan Patrick Thalari , Sear MahmoodⓉ","['3 Hox genes make chicken Dr.Dino (CG)', '2 KC AM (OG)', '1 Syriasly Speaking (CO)', '0 JSMU B (OO)']"
7,Round 1,"Mahad AkbarⒸ , Mehul Joshi","['3 One Hour Advantage (CG)', '2 LGS 55 Main Gold (OO)', '1 LGS 55 Main Platinum (OG)', '0 JSMU A (CO)']"
8,Round 1,"Halimat Ojone UsmanⒸ , Collins Chinonso","['3 SRCC A (CG)', '2 KC Z (CO)', '1 LGS 55 Main Supersonic (OO)', '0 PUCP CR (OG)']"
9,Round 1,"Saad FarooqiⒸ , Sofia Chavez , Uzair Tajuddin","['3 Swings 2 (OO)', '2 LGS 55 Main Black (CO)', '1 Team Rocket (OG)', '0 TNS DHA A (CG)']"
10,Round 1,"Chesta Behl (EO)Ⓒ , Uwais Parekh","['3 The Dream Journey (CO)', '2 Nixor (OG)', '1 Swings (CG)', '0 UET B (OO)']"
11,Round 2,"Mahad AkbarⒸ , Adhipatya Singh , Farheen Banu","['3 Cisero (CO)', '2 KC AM (CG)', '1 BE Yourself (OG)', '0 LGS 55 Main Black (OO)']"
12,Round 2,"Maciej LulewiczⒸ , Kinza Batool","['3 City Ravi A (OG)', '2 Car Crash (CO)', '1 epistemic access to epistemic justi (CG)', '0 One Hour Advantage (OO)']"
13,Round 2,"Chesta Behl (EO)Ⓒ , Gazi Mahtab","['3 HUFS YP (OG)', '2 Cheddar Roll Paratha (CG)', '1 GCU A (CO)', '0 Hox genes make chicken Dr.Dino (OO)']"
14,Round 2,"EzeⒸ , Maliha Rahman , Sofia Chavez","['3 Cheddar Shawarma (CO)', '2 Stun Zeed (CG)', '1 PUCP CR (OO)', '0 JSMU A (OG)']"
15,Round 2,"Halimat Ojone UsmanⒸ , Uzair Tajuddin","['3 LGS 55 Main Platinum (OO)', '2 LGS 55 Main Emerald (OG)', '1 Come Here Only For 4th (CG)', '0 Team Rocket (CO)']"
16,Round 2,"Josef MoscoviciⒸ , Kiran Rao , Ryan Patrick Thalari","['3 Unanimous Decision 2 (OO)', '2 Gryffindor Eagles (OG)', '1 TNS DHA B (CG)', '0 UET B (CO)']"
17,Round 2,"Flora Baek (EO)Ⓒ , Prince Mohammed Zaeem Quddusi","['3 SRCC A (OO)', '2 The Dream Journey (OG)', ""1 Two crocodiles don't make an alliga (CG)"", '0 IBA (CO)']"
18,Round 2,"Miriam KalmanⒸ , Leauren Ji , Sear MahmoodⓉ","['3 TNS DHA A (OO)', '2 placeholder (CO)', '1 SRCC B (OG)', '0 JSMU B (CG)']"
19,Round 2,Mehul JoshiⒸ,"['3 LGS 55 Main Supersonic (OG)', '2 KU A (CG)', '1 Swings (CO)', '0 JSMU C (OO)']"
20,Round 2,"Katherine HarrisⒸ , Hafsa Mahmood , Pranav Anand","['3 UET A (CO)', '2 Nixor (OO)', '1 KC Z (OG)', '0 LGS 55 Main Gold (CG)']"
21,Round 2,"Alex LovellⒸ , Noor Malik (EO) , Uwais Parekh","['3 (sadly) good 4 u (CO)', '2 Syriasly Speaking (OO)', '1 KEMU A (OG)', '0 Ted’ friends (CG)']"
22,Round 3,"Maciej LulewiczⒸ , Sofia Chavez , Uwais Parekh","['3 KC Z (CG)', '2 Syriasly Speaking (OG)', '1 Gryffindor Eagles (OO)', '0 BE Yourself (CO)']"
23,Round 3,"Calyxx PeckerⒸ , Maliha Rahman , Uzair Tajuddin","['3 HUFS YP (CG)', '2 Car Crash (OG)', '1 SRCC A (CO)', '0 City Ravi A (OO)']"
24,Round 3,"Alex LovellⒸ , Halimat Ojone Usman","['3 The Dream Journey (CG)', '2 Cheddar Roll Paratha (CO)', '1 Cisero (OO)', '0 UET A (OG)']"
25,Round 3,Flora Baek (EO)Ⓒ,"['3 Ted’ friends (OO)', '2 Cheddar Shawarma (CG)', '1 LGS 55 Main Emerald (CO)', '0 TNS DHA A (OG)']"
26,Round 3,"Pranav AnandⒸ , Ali Abdilatif , Hafsa MahmoodⓉ","['3 LGS 55 Main Black (OG)', '2 Come Here Only For 4th (CO)', '1 placeholder (CG)', '0 Swings (OO)']"
27,Round 3,Mahad AkbarⒸ,"['3 One Hour Advantage (CO)', '2 epistemic access to epistemic justi (OO)', '1 KEMU A (CG)', '0 Hox genes make chicken Dr.Dino (OG)']"
28,Round 3,"Katherine HarrisⒸ , Noor Malik (EO)","[""3 Two crocodiles don't make an alliga (OO)"", '2 GCU A (OG)', '1 LGS 55 Main Supersonic (CO)', '0 LGS 55 Main Platinum (CG)']"
29,Round 3,"Mehul JoshiⒸ , Farheen Banu , Tarannum Tasnim Sohani","['3 PUCP CR (CG)', '2 LGS 55 Main Gold (CO)', '1 IBA (OG)', '0 Stun Zeed (OO)']"
30,Round 3,"Leauren JiⒸ , Kinza Batool","['3 Swings 1 (OO)', '2 JSMU B (CO)', '1 JSMU A (CG)', '0 UET B (OG)']"
31,Round 3,"Collins ChinonsoⒸ , Josef Moscovici , Sear MahmoodⓉ","['3 Team Rocket (OO)', '2 TNS DHA B (OG)', '1 JSMU C (CO)', '0 SRCC B (CG)']"
32,Round 3,"Miriam KalmanⒸ , Eze","['3 (sadly) good 4 u (OG)', '2 KC AM (CO)', '1 KU A (OO)', '0 Nixor (CG)']"
33,Round 4,"Mehul JoshiⒸ , Uwais Parekh","['3 BE Yourself (CG)', '2 Hox genes make chicken Dr.Dino (CO)', '1 JSMU B (OG)', '0 IBA (OO)']"
34,Round 4,Mahad AkbarⒸ,"[""3 Two crocodiles don't make an alliga (CO)"", '2 Car Crash (OO)', '1 KC Z (CG)', '0 Cheddar Roll Paratha (OG)']"
35,Round 4,"Noor Malik (EO)Ⓒ , Adhipatya Singh , Uzair Tajuddin","['3 Cheddar Shawarma (OO)', '2 epistemic access to epistemic justi (OG)', '1 Syriasly Speaking (CG)', '0 PUCP CR (CO)']"
36,Round 4,"Leauren JiⒸ , Hafsa MahmoodⓉ","['3 City Ravi A (CO)', '2 Cisero (OG)', '1 KC AM (OO)', '0 LGS 55 Main Supersonic (CG)']"
37,Round 4,EzeⒸ,"['3 KEMU A (CO)', '2 Team Rocket (CG)', '1 Come Here Only For 4th (OO)', '0 LGS 55 Main Gold (OG)']"
38,Round 4,"Miriam KalmanⒸ , Tarannum Tasnim Sohani , Sear MahmoodⓉ","['3 One Hour Advantage (OG)', '2 LGS 55 Main Black (CG)', '1 GCU A (OO)', '0 Ted’ friends (CO)']"
