,Round Name,Panel,Rankings
0,Round 1,"Hafiz Muh RizaⒸ , Crystal LeeⓉ","['1 AYS Aim (P)', '0 SMKAA B-Team (O)']"
1,Round 1,Brian HuseinⒸ,"['1 DEKUUUU😳 (P)', '0 AYS Blue Cow (O)']"
2,Round 1,Wesley PuⒸ,"['1 SSP So What (P)', '0 AYS Name (O)']"
3,Round 1,"TJⒸ , Alex Adrian","['1 Beyond and Above (O)', '0 AYS Swag (P)']"
4,Round 1,"Amirul AsyrafⒸ , Zainab 💢","['1 AYS Uh (P)', '0 Speak To Lead (O)']"
5,Round 1,"Zazuan DaudⒸ , Jan SenⓉ , Nazeera ShafleenaⓉ","[""1 CLPHS Can't Have Semis Curse If We Don't (P)"", '0 CHS A Whaley (O)']"
6,Round 1,Priyanka DasⒸ,"['1 CLPHS breaking the curse(s) (O)', '0 CHS B Tako (P)']"
7,Round 1,"Taqiyuddin RedzuanⒸ , Lucas Lim Geng JinⓉ","['1 CIS Red Lights | Stop Signs (P)', '0 CHS C Bnan (O)']"
8,Round 1,"Shireen AliⒸ , ReyhanaⓉ","['1 CIS bit.ly/God-Its-Brutal-Out-Here (O)', '0 UNITEN (P)']"
9,Round 1,Reynaldo AryaⒸ,"['1 CIS RyanTheIron (P)', '0 Kys me more (O)']"
10,Round 1,"Jason LeeⒸ , Chang Shyuan Rhui","['1 KTJail (P)', '0 CIS Strawberry Ice Cream in Malibu (O)']"
11,Round 1,"Syafiq RazakⒸ , Zara Nur ShasmeenⓉ","['1 CLPHS Accio Champion (P)', '0 Sunway Lagoon (O)']"
12,Round 1,RahulⒸ,"['1 Sic Itur Ad Astra (P)', '0 CLPHS Dying is Far (O)']"
13,Round 1,Khalid AurnabⒸ,"['1 I KYS-ed a Girl (O)', ""0 CLPHS Please Don't Kill Us (P)""]"
14,Round 1,"Belle BarbinⒸ , Wong Zi-EuⓉ","['1 CLPHS The Geeks (O)', '0 Torch (P)']"
15,Round 1,DaphneⒸ,"['1 Order 66 (O)', '0 Lutong BOTTOM TEXT (P)']"
16,Round 1,Manda Bagas KaraⒸ,"['1 Lutong Köttbullar (O)', '0 The LOT (P)']"
17,Round 1,JewelⒸ,"['1 Sri KL (P)', '0 Lutong UPPER TEXT (O)']"
18,Round 1,"GelsonⒸ , Ravika RavichandranⓉ","['1 Sushi Monsters (P)', '0 Master Debaters (O)']"
19,Round 1,Davida PaulⒸ,"['1 you may kys the bride (O)', '0 Roti Boys from Bikini Bottom (P)']"
20,Round 1,Prince Mohammad ZaeemⒸ,"['1 SJPS (O)', '0 SMKAA A-Team (P)']"
21,Round 1,"AimanⒸ , Yasmeen AlyshaⓉ","['1 Winx Club (O)', '0 SSP MAL (P)']"
22,Round 2,"Wee ErnⒸ , ZainabⓉ","['1 CLPHS Accio Champion (O)', '0 AYS Aim (P)']"
23,Round 2,Priyanka DasⒸ,"['1 AYS Blue Cow (P)', ""0 CLPHS Please Don't Kill Us (O)""]"
24,Round 2,Alex AdrianⒸ,"['1 CHS B Tako (O)', '0 AYS Name (P)']"
25,Round 2,Hafiz Muh RizaⒸ,"['1 AYS Swag (O)', '0 Sunway Lagoon (P)']"
26,Round 2,Belle BarbinⒸ,"['1 Winx Club (P)', '0 AYS Uh (O)']"
27,Round 2,"Davida PaulⒸ , Jan SenⓉ","['1 Beyond and Above (P)', '0 CIS Red Lights | Stop Signs (O)']"
28,Round 2,Amirul AsyrafⒸ,"['1 CHS A Whaley (O)', '0 CLPHS Dying is Far (P)']"
29,Round 2,"Reynaldo AryaⒸ , Crystal LeeⓉ","['1 Lutong UPPER TEXT (P)', '0 CHS C Bnan (O)']"
30,Round 2,Zazuan DaudⒸ,"['1 CIS bit.ly/God-Its-Brutal-Out-Here (P)', '0 CLPHS The Geeks (O)']"
31,Round 2,TJⒸ,"['1 Order 66 (P)', '0 CIS RyanTheIron (O)']"
32,Round 2,Wesley PuⒸ,"['1 Speak To Lead (O)', '0 CIS Strawberry Ice Cream in Malibu (P)']"
33,Round 2,Syafiq RazakⒸ,"['1 CLPHS breaking the curse(s) (O)', '0 SJPS (P)']"
34,Round 2,"AimanⒸ , Ravika RavichandranⓉ","['1 you may kys the bride (P)', ""0 CLPHS Can't Have Semis Curse If We Don't (O)""]"
35,Round 2,"Shireen AliⒸ , Lucas Lim Geng JinⓉ , Yasmeen AlyshaⓉ","['1 DEKUUUU😳 (P)', '0 Sri KL (O)']"
36,Round 2,"Prince Mohammad ZaeemⒸ , Chang Shyuan Rhui , Gelson","['1 Sushi Monsters (O)', '0 I KYS-ed a Girl (P)']"
37,Round 2,"Khalid AurnabⒸ , Jeremy YongⓉ","['1 KTJail (O)', '0 Sic Itur Ad Astra (P)']"
38,Round 2,RahulⒸ,"['1 UNITEN (O)', '0 Kys me more (P)']"
39,Round 2,"Brian HuseinⒸ , Wong Zi-EuⓉ","['1 Lutong BOTTOM TEXT (P)', '0 SSP MAL (O)']"
40,Round 2,"Jason LeeⒸ , Zara Nur ShasmeenⓉ","['1 SSP So What (O)', '0 Lutong Köttbullar (P)']"
41,Round 2,"Taqiyuddin RedzuanⒸ , ReyhanaⓉ","['1 SMKAA A-Team (O)', '0 Master Debaters (P)']"
42,Round 2,DaphneⒸ,"['1 Roti Boys from Bikini Bottom (O)', '0 SMKAA B-Team (P)']"
43,Round 2,"Sanjiivan RajahⒸ , Nazeera ShafleenaⓉ","['1 The LOT (O)', '0 Torch (P)']"
44,Round 3,AimanⒸ,"['1 AYS Aim (O)', '0 I KYS-ed a Girl (P)']"
45,Round 3,Khalid AurnabⒸ,"['1 The LOT (P)', '0 AYS Blue Cow (O)']"
46,Round 3,Chang Shyuan RhuiⒸ,"['1 Sunway Lagoon (O)', '0 AYS Name (P)']"
47,Round 3,Wesley PuⒸ,"['1 SJPS (P)', '0 AYS Swag (O)']"
48,Round 3,Reynaldo AryaⒸ,"['1 Master Debaters (O)', '0 AYS Uh (P)']"
49,Round 3,"Shireen AliⒸ , Manda Bagas Kara , Zainab 💢","['1 CLPHS breaking the curse(s) (P)', '0 Beyond and Above (O)']"
50,Round 3,Belle BarbinⒸ,"['1 UNITEN (O)', '0 CHS A Whaley (P)']"
51,Round 3,Hafiz Muh RizaⒸ,"['1 Lutong UPPER TEXT (P)', '0 CHS B Tako (O)']"
52,Round 3,RahulⒸ,"['1 SSP MAL (O)', '0 CHS C Bnan (P)']"
53,Round 3,"Jason LeeⒸ , Alex Adrian , Yasmeen AlyshaⓉ","['1 CIS bit.ly/God-Its-Brutal-Out-Here (O)', '0 CLPHS Accio Champion (P)']"
54,Round 3,"Sanjiivan RajahⒸ , Zara Nur ShasmeenⓉ","['1 CIS Red Lights | Stop Signs (O)', '0 CLPHS The Geeks (P)']"
55,Round 3,"Davida PaulⒸ , Jeremy YongⓉ","['1 SMKAA A-Team (O)', '0 CIS RyanTheIron (P)']"
56,Round 3,Brian HuseinⒸ,"['1 CIS Strawberry Ice Cream in Malibu (O)', '0 SMKAA B-Team (P)']"
57,Round 3,"Prince Mohammad ZaeemⒸ , Wong Zi-EuⓉ","[""1 CLPHS Can't Have Semis Curse If We Don't (P)"", '0 Sic Itur Ad Astra (O)']"
58,Round 3,Priyanka DasⒸ,"['1 CLPHS Dying is Far (P)', '0 Torch (O)']"
59,Round 3,Amirul AsyrafⒸ,"['1 Kys me more (P)', ""0 CLPHS Please Don't Kill Us (O)""]"
60,Round 3,"JewelⒸ , Taqiyuddin Redzuan","['1 KTJail (P)', '0 DEKUUUU😳 (O)']"
61,Round 3,"TJⒸ , Jan SenⓉ , ReyhanaⓉ","['1 Sri KL (P)', '0 Lutong BOTTOM TEXT (O)']"
62,Round 3,"GelsonⒸ , Crystal LeeⓉ","['1 Roti Boys from Bikini Bottom (O)', '0 Lutong Köttbullar (P)']"
63,Round 3,"Wee ErnⒸ , Nazeera ShafleenaⓉ","['1 you may kys the bride (P)', '0 Order 66 (O)']"
64,Round 3,"Zazuan DaudⒸ , Ravika RavichandranⓉ","['1 Winx Club (O)', '0 Speak To Lead (P)']"
65,Round 3,"Syafiq RazakⒸ , Lucas Lim Geng JinⓉ","['1 Sushi Monsters (P)', '0 SSP So What (O)']"
66,Round 4,Chang Shyuan RhuiⒸ,"['1 AYS Aim (O)', '0 Speak To Lead (P)']"
67,Round 4,"Belle BarbinⒸ , Crystal LeeⓉ","['1 AYS Blue Cow (P)', '0 Master Debaters (O)']"
68,Round 4,Khalid AurnabⒸ,"['1 AYS Name (O)', '0 CHS C Bnan (P)']"
