,Round Name,Panel,Rankings
0,Round 1,"Mozaien TakⒸ , Manasvi Singh","['3 NTU B (CO)', '2 GUU C (OG)', '1 N/A (OO)', '0 Aberdeen BF (CG)']"
1,Round 1,"Ron LeizrowiceⒸ , Shruti Poddar","['3 TCD Hist A (CG)', '2 KNUST Z (CO)', '1 University of Macau 1 (OG)', '0 Aberdeen DW (OO)']"
2,Round 1,"Adel Mostaque AhmedⒸ , Soham Chawda","['3 oh my cod, another fish themed com (CG)', '2 ANU B(oyboss vibes) (OO)', '1 Charles University B (CO)', '0 SolBridge A (OG)']"
3,Round 1,"Anshuman MishraⒸ , Sharath Nambiar","['3 Yale/Tufts HC (CG)', '2 Ateneo de Manila AA (OO)', '1 Sheffield A (CO)', '0 call me if you get lost in the bin (OG)']"
4,Round 1,"Sneha VermaⒸ , Patrick Cowley","['3 Oxford 1 (OG)', '2 Ateneo de Manila CD (CG)', '1 BITS Goa A (CO)', '0 WDA D (OO)']"
5,Round 1,"Vladimira ŠuflajⒸ , Tulika Karmakar","['3 Ateneo de Manila OP (OO)', '2 SEMI CL (CO)', '1 SHDC GY (CG)', '0 LSE D (OG)']"
6,Round 1,"Wairimu ManyaraⒸ , Alex McCreadie","['3 UNWE A (CO)', '2 Ateneo de Manila VV (OG)', '1 WSDC Indonesia TG (OO)', '0 UT MARA B (CG)']"
7,Round 1,"Rahul DattaⒸ , Eyal Horowitz","['3 Edinburgh A (OG)', '2 Auckland A (OO)', '1 Tokeiyo A (CO)', '0 LSE C (CG)']"
8,Round 1,Jessica Musulin 🌶️Ⓒ,"['3 Auckland MGW (CO)', '2 twitch.tv/BrosephTF T (CG)', '1 Korea LN (OO)', '0 GLC MC (OG)']"
9,Round 1,"Juanita Hincapié RⒸ , Edgar Empeño","['3 Duke A (OO)', '2 IITR Dhoka (CO)', '1 Avatar A (CG)', '0 WSDC Indonesia DC (OG)']"
10,Round 1,"Harmen de JongⒸ , Oluwabukunmi Babatunde","['3 Bard A (CG)', '2 Tokyo A (OG)', '1 SACK A (OO)', '0 UPD MVK (CO)']"
11,Round 1,"Kyle GoⒸ , Andrew Chen","['3 Belgrade A(djacent) (OG)', '2 UCL A (CG)', ""1 Cambridge Tamkeen's 🌈 and Joy (OO)"", '0 BRAC AN (CO)']"
12,Round 1,"Klaudia MaciejewskaⒸ , Pao Taino","['3 Streitkultur A (CO)', '2 UCDS KK (OO)', '1 BiBo (CG)', '0 CUHKSZ 2 (OG)']"
13,Round 1,"Taha IqbalⒸ , Andy Chen , Minenhle Nzana","[""3 We'll Matt-er burn you Emery time (OO)"", '2 TCD Hist C (CO)', '1 drain gang Hong Kong (CG)', '0 BUET A (OG)']"
14,Round 1,"Abhinav Reddy BathulaⒸ , Maliha Rahman","['3 PUCV JM (CG)', '2 Cambridge PY (OO)', '1 ILNU (CO)', '0 Ghana A (OG)']"
15,Round 1,Naomi PanovkaⒸ,"['3 Harvard C (CG)', '2 Carleton OG (CO)', '1 Yumeko Jabami Fans (OG)', '0 GDUFS/CUHKSZ A (OO)']"
16,Round 1,"Ela JurkoⒸ , Ayafa Tonye","['3 year of the d(OX)bridge (OG)', '2 Charles University A (CG)', '1 NUS LT (OO)', '0 NSU A (CO)']"
17,Round 1,"Abhishek AcharyaⒸ , Leauren Ji","['3 Cornell JY (CO)', '2 [REDACTED] (OO)', '1 Vellore A (OG)', '0 Phil C (CG)']"
18,Round 1,"Cao Quynh AnhⒸ , Chesta B","['3 Vienna A (OO)', '2 Seoul 1 (CG)', '1 Strathclyde A (CO)', '0 Cornell SJ (OG)']"
19,Round 1,Hamza Tariq Chaudhry 🇩🇪Ⓒ,"['3 KCL A (OO)', '2 CU AS (OG)', '1 Lalalala lalalala elmos world (CG)', '0 The Bretton Woods System (CO)']"
20,Round 1,"Shruti DebⒸ , Wesoamo Zempare","['3 Independent BS (OG)', '2 JHU B (CO)', '1 CUHK A (OO)', '0 WDA E (CG)']"
21,Round 1,"Shudipto R. AhmedⒸ , Dongbin Lee , Peter Wu","['3 NUS LN (CO)', '2 Liverpool A (CG)', '1 CUHK B (OO)', '0 Swing B (OG)']"
22,Round 1,"Parth PandyaⒸ , Angelo Saavedra","['3 GUU D (OG)', '2 CUHK C (OO)', '1 UCDS/UADS TM (CO)', '0 St Andrews B (CG)']"
23,Round 1,"RosyⒸ , Rohan Grover","['3 Oxford B (OO)', '2 UST CH (OG)', '1 JHU A (CG)', '0 De La Salle 3 (CO)']"
24,Round 1,"Dani GeorgievⒸ , Lucy McManus","['3 Durham A (CG)', '2 De La Salle A (OO)', '1 HWS A (OG)', '0 UT MARA A (CO)']"
25,Round 1,"Ezekiel N. T. A. AddyⒸ , Brynley Hamer","['3 Zagreb A (Lovro got replaced for n (CO)', '2 De La Salle LP (OO)', '1 Yale-NUS College QP (OG)', '0 Harvard D (CG)']"
26,Round 1,"Eric KazadiⒸ , ain","['3 Duke B (CO)', '2 WSDC Indonesia LI (CG)', '1 Oxford LR (OO)', '0 Independent AJ (OG)']"
27,Round 1,"Sameer ShaikhⒸ , Adhipatya Singh","['3 UADS A (CO)', '2 Hart House BP (CG)', '1 MUST C (OG)', '0 Durham MN (OO)']"
28,Round 1,"Tim GamezⒸ , Uzair Tajuddin","['3 Edinburgh BB (CO)', '2 HunterxHunter (CG)', '1 One half of UCD l&H C and the foun (OO)', '0 UCD L&H A (OG)']"
29,Round 1,"Maciej LulewiczⒸ , Ayodele Samuel","['3 Imperial Finally an excuse to run (CO)', '2 EFL accent + EPL accent = ESL (OG)', '1 UCD L&H B (OO)', '0 WDA B (CG)']"
30,Round 1,"Jarrod GrantⒸ , Michelle Hu","['3 SHDC Biggest Gamers 29 (CO)', '2 FELS VM (OO)', '1 IITB B (OG)', '0 SJWS A (CG)']"
31,Round 1,"Janko DjordjevicⒸ , Mehul Joshi","['3 QDU A (OO)', '2 Imperial A (OG)', '1 Gadjah Mada B (CG)', '0 PUCP CE (CO)']"
32,Round 1,"Chinmaya MohanⒸ , Hasif Ahmed","['3 LSE B (CO)', '2 NLUD BR (OG)', '1 GUU A (CG)', '0 SHS A (OO)']"
33,Round 1,"Umar BuckusⒸ , Matthew Fricker","['3 GUU B (CO)', '2 Vienna BU (OG)', '1 Harvard B (CG)', '0 WDA C (OO)']"
34,Round 1,"Tawfique ElahiⒸ , Rivaldo Aquino","['3 Hart House BS (OO)', '2 Prepping for WUDC 2024 (CO)', '1 IITB DSM (OG)', '0 NYUAD A (CG)']"
35,Round 1,Lovro Šprem 🚗Ⓒ,"['3 Hart House YY (OO)', '2 WSDC Hong Kong HL (OG)', '1 TCD Hist 2 Dox 2 Bridge (CO)', '0 Leiden A (CG)']"
36,Round 1,"Udai KamathⒸ , Heidi Silvennoinen","['3 Harvard A (OG)', '2 Otago X (CG)', '1 PUCP JV (OO)', '0 NU AK (CO)']"
