,Round Name,Panel,Rankings
0,ラウンド1,Jyotirmoy MishraⒸ,"['1 AFRICAN KANG-FU NAZIS (G)', '0 「今日も生きてて偉い！はい、お小遣い100万円」。まだ？ (O)']"
1,ラウンド1,Czarina EndayaⒸ,"['1 BangTang Sonyeondan (O)', '0 おっさんと森に住むコバンザメ (G)']"
2,ラウンド1,Takeru UchiyamaⒸ,"['1 Emperor-worshipping workaholic sush (O)', '0 Shadow (G)']"
3,ラウンド1,Ryosuke YoshidaⒸ,"['1 space cat fan club (G)', '0 Hiroo (O)']"
4,ラウンド1,"SarishⒸ , Tasuku Arai , Wu Siu Hin Andrew","[""1 Sorry we're indecisive (G)"", '0 Hit-u Z (O)']"
5,ラウンド1,Chisato HashimaⒸ,"['1 あいうA (G)', '0 LAディベートクラブ東京支部 (O)']"
6,ラウンド1,"Revan Lim TJⒸ , Yohei Horiguchi , Yuta Nakashima","['1 MAD (G)', '0 Un Deux Trois Debaters (O)']"
7,ラウンド1,"Jihee YunⒸ , Emmy Howe , Hiroto Yamaguchi","['1 Owen Park fan club (O)', '0 Sophia親衛隊 (G)']"
8,ラウンド1,Kanta YamanoⒸ,"['1 SAD A (O)', '0 北関東インターナショナル (G)']"
9,ラウンド1,Khac HungⒸ,"['1 Tokyo 03 (G)', '0 大福餅 (O)']"
10,ラウンド1,Aika MiyazawaⒸ,"['1 WAD C (O)', '0 名簿前後☆リターンズ (G)']"
11,ラウンド1,"Kazuki TokunagaⒸ , Mikako Takuma , Tomoyuki Watanabe","['1 まじす (G)', '0 まさおファンクラブ (O)']"
12,ラウンド1,"Abhishek AcharyaⒸ , Shigeko Katayama , Takushi Kobayashi","['1 アフリカン・カンフー・タカシ (G)', '0 コービー (O)']"
13,ラウンド1,Himi Mymona MostariⒸ,"['1 花束みたいなダンプした (G)', '0 俺ら東京さ行グララアガア (O)']"
14,ラウンド2,"Tomoyuki WatanabeⒸ , Himi Mymona Mostari , Shigeko Katayama","['1 AFRICAN KANG-FU NAZIS (O)', ""0 Sorry we're indecisive (G)""]"
15,ラウンド2,SarishⒸ,"['1 まじす (O)', '0 BangTang Sonyeondan (G)']"
16,ラウンド2,"Kazuki TokunagaⒸ , Chisato Hashima , Wu Siu Hin Andrew","['1 Emperor-worshipping workaholic sush (G)', '0 アフリカン・カンフー・タカシ (O)']"
17,ラウンド2,Kanta YamanoⒸ,"['1 おっさんと森に住むコバンザメ (O)', '0 Hiroo (G)']"
18,ラウンド2,Czarina EndayaⒸ,"['1 Hit-u Z (G)', '0 名簿前後☆リターンズ (O)']"
19,ラウンド2,"Takeru UchiyamaⒸ , Mikako Takuma","['1 LAディベートクラブ東京支部 (G)', '0 大福餅 (O)']"
20,ラウンド2,Jihee YunⒸ,"['1 MAD (O)', '0 SAD A (G)']"
21,ラウンド2,Abhishek AcharyaⒸ,"['1 Owen Park fan club (G)', '0 あいうA (O)']"
22,ラウンド2,Khac HungⒸ,"['1 「今日も生きてて偉い！はい、お小遣い100万円」。まだ？ (G)', '0 Shadow (O)']"
23,ラウンド2,"Takushi KobayashiⒸ , Jyotirmoy Mishra , Yuta Nakashima","['1 北関東インターナショナル (O)', '0 Sophia親衛隊 (G)']"
24,ラウンド2,Owen ParkⒸ,"['1 花束みたいなダンプした (G)', '0 space cat fan club (O)']"
25,ラウンド2,Revan Lim TJⒸ,"['1 Tokyo 03 (O)', '0 WAD C (G)']"
