,Name,Team,Categories,Speaker Scores
0,Naoki Enomoto,花束みたいなダンプした,,"['78', '78', '80', '80']"
1,Maria Ikeda,Emperor-worshipping workaholic sush,,"['79', '80', '79', '78']"
2,Kana Ishikawa,Tokyo 03,,"['77', '79', '78', '79']"
3,Youngwoo Park,BangTang Sonyeondan,,"['79', '78', '78', '78']"
4,Nasa Tsuchiya,「今日も生きてて偉い！はい、お小遣い100万円」。まだ？,Rookie,"['77', '79', '78', '79']"
5,Chikara Mizokami,アフリカン・カンフー・タカシ,,"['78', '78', '76', '80']"
6,Hideto Sakurai,おっさんと森に住むコバンザメ,,"['77', '79', '78', '78']"
7,Atsuki Ito,Tokyo 03,,"['77', '77', '79', '79']"
8,Mizuki Kusaka,花束みたいなダンプした,,"['79', '77', '79', '77']"
9,Mas Urano,WAD C,,"['78', '77', '78', '79']"
10,Natsuha Nakane,space cat fan club,,"['79', '76', '78', '78']"
11,Koma Hattori,「今日も生きてて偉い！はい、お小遣い100万円」。まだ？,,"['75', '78', '78', '79']"
12,So Ushiroda,Emperor-worshipping workaholic sush,,"['78', '78', '79', '75']"
13,Mashu Kobayashi,Owen Park fan club,,"['77', '77', '79', '77']"
14,Tsubasa Goshiro,WAD C,,"['78', '78', '77', '77']"
15,Kota Okumura,おっさんと森に住むコバンザメ,,"['78', '77', '77', '77']"
16,Mina Hamada,俺ら東京さ行グララアガア,,"['78', '78', '75', '78']"
17,Sota Mitsuhashi,WAD C,,"['78', '76', '77', '78']"
18,Takayuki Watanabe,まじす,,"['77', '79', '79', '74']"
19,Seokjin Yun,BangTang Sonyeondan,,"['78', '78', '78', '75']"
20,Miyuki Shiraki,space cat fan club,,"['78', '77', '77', '77']"
21,Rino Suegami,花束みたいなダンプした,,"['77', '76', '77', '78']"
22,Ryo Hiramoto,俺ら東京さ行グララアガア,,"['78', '78', '76', '76']"
23,Ryota Yoshii,AFRICAN KANG-FU NAZIS,,"['77', '77', '78', '76']"
24,Oki Hidaka,space cat fan club,,"['77', '76', '79', '76']"
25,Ryo Narukami,MAD,Rookie,"['78', '76', '77', '77']"
26,Chiaki Mizokami,アフリカン・カンフー・タカシ,,"['76', '77', '76', '78']"
27,Naoya Kondo,俺ら東京さ行グララアガア,,"['77', '78', '75', '77']"
28,Ryo Ouchi,MAD,Rookie,"['77', '77', '77', '76']"
29,Aiko Kurano,Emperor-worshipping workaholic sush,,"['76', '78', '78', '75']"
30,Shaoang Ma,Tokyo 03,Rookie,"['75', '77', '78', '77']"
31,Takashi Imai,アフリカン・カンフー・タカシ,,"['75', '78', '76', '78']"
32,Masao Onishi,まさおファンクラブ,,"['75', '78', '77', '76']"
33,Takaki Watanabe,おっさんと森に住むコバンザメ,,"['76', '77', '77', '76']"
34,Hitoha Negoro,SAD A,,"['78', '75', '77', '76']"
35,Kazuo Waki,「今日も生きてて偉い！はい、お小遣い100万円」。まだ？,Rookie,"['75', '77', '76', '78']"
36,Haruka Saito,Owen Park fan club,,"['76', '76', '77', '77']"
37,Eiki Goro,Owen Park fan club,,"['76', '76', '78', '75']"
38,Kai Miyoshi,まさおファンクラブ,,"['77', '75', '78', '75']"
39,Hannah Lee,MAD,Rookie,"['77', '76', '76', '76']"
40,Ryunosuke Hashimoto,Hiroo,,"['76', '76', '76', '77']"
41,Wakana Furuta,SAD A,,"['77', '75', '77', '75']"
42,Miika Jarvisaari,BangTang Sonyeondan,,"['76', '76', '77', '75']"
43,Sotaro Fushimi,コービー,,"['75', '76', '76', '77']"
44,Ryouta Ojima,Sorry we're indecisive,,"['76', '76', '75', '77']"
45,Ayaka Tsubota,Hiroo,Rookie,"['75', '77', '75', '77']"
46,Kazuhisa Maeda,AFRICAN KANG-FU NAZIS,,"['76', '75', '77', '75']"
47,Anna Umeda,Hiroo,,"['75', '76', '75', '77']"
48,Yuta Shimizu,まじす,,"['75', '78', '75', '74']"
49,Kazumasa Miki,Sophia親衛隊,,"['76', '76', '74', '76']"
50,Jo Watanabe,まじす,,"['75', '77', '76', '74']"
51,Ryo Yasui,コービー,Rookie,"['75', '75', '76', '76']"
52,Speaker 3,Shadow,,"['77', '76', '75', '74']"
53,Connor Kennedy,あいうA,Rookie,"['76', '76', '74', '76']"
54,Rio Asahi,AFRICAN KANG-FU NAZIS,,"['75', '75', '75', '76']"
55,Liz Sato,Sorry we're indecisive,Rookie,"['73', '75', '76', '77']"
56,Tetsushi Kajihara,あいうA,Rookie,"['75', '75', '74', '77']"
57,Heewon Kim,Hit-u Z,Rookie,"['73', '76', '77', '75']"
58,Shota Abe,北関東インターナショナル,,"['76', '76', '74', '75']"
59,Moka Nakazawa,名簿前後☆リターンズ,,"['75', '76', '75', '75']"
60,Hikari Takeuchi,Sorry we're indecisive,Rookie,"['74', '75', '75', '76']"
61,Riku Sakata,北関東インターナショナル,Rookie,"['76', '77', '74', '73']"
62,Arina Kondo,Hit-u Z,Rookie,"['74', '76', '75', '75']"
63,Ayaka Chigasaki,Un Deux Trois Debaters,Rookie,"['76', '75', '75', '73']"
64,Asahi Nakano,名簿前後☆リターンズ,Rookie,"['75', '75', '75', '74']"
65,Momoko Hanazawa,LAディベートクラブ東京支部,Rookie,"['74', '75', '77', '73']"
66,Kiwamu Sato,あいうA,Rookie,"['74', '74', '75', '76']"
67,Kyo Nakamura,Hit-u Z,Rookie,"['75', '74', '75', '75']"
68,Yuna Matsuzaki,まさおファンクラブ,,"['75', '75', '77', '72']"
69,Yuki Saito,LAディベートクラブ東京支部,,"['75', '74', '76', '74']"
70,Ryoei Watanabe,Un Deux Trois Debaters,,"['75', '74', '75', '74']"
71,Tetsuro Ishida,コービー,Rookie,"['75', '75', '73', '75']"
72,Reiko Iwai,Sophia親衛隊,,"['75', '76', '74', '73']"
73,Erina Kondo,Un Deux Trois Debaters,Rookie,"['74', '75', '75', '74']"
74,Ryo Sato,LAディベートクラブ東京支部,Rookie,"['75', '72', '77', '74']"
75,Ayaka Kubota,Sophia親衛隊,,"['74', '75', '74', '74']"
76,Wao Kobayashi,北関東インターナショナル,Rookie,"['74', '76', '74', '73']"
77,Anju Ito,SAD A,,"['77', '75', '68', '76']"
78,Speaker 1,Shadow,,"['74', '75', '74', '73']"
79,Honoka Nagashima,名簿前後☆リターンズ,,"['74', '74', '74', '74']"
80,Emu Kamada,大福餅,Rookie,"['75', '74', '74', '73']"
81,Tomoyuki Suda,大福餅,,"['75', '73', '74', '74']"
82,Yuta Moriyama,大福餅,,"['74', '73', '74', '74']"
83,Speaker 2,Shadow,,"['72', '74', '74', '73']"
84,Kinoshita Hinata,Doshisha B,Rookie,"['—', '—', '—', '—']"
85,Ryo Okawa,Doshisha B,Rookie,"['—', '—', '—', '—']"
86,Rai Ogawa,Doshisha B,Rookie,"['—', '—', '—', '—']"
