,Round Name,Panel,Rankings
0,赛1,BellaⒸ,"['3 Old Novice (OO)', '2 Moon Old (CG)', '1 1 (CO)', '0 C.W. (OG)']"
1,赛1,AndreaⒸ,"['3 No Name (OO)', '2 Gramily (OG)', '1 Caicai Group (CO)', '0 Ace of spades (CG)']"
2,赛1,MargaritaⒸ,"['3 unqualified queer allies (OO)', '2 CARPE DIEM (OG)', '1 Always be curious (CO)', '0 For U (CG)']"
3,赛1,BruceⒸ,"['3 我想闯进你的生活 (OO)', '2 Veggie English (CO)', '1 Swing A (OG)', '0 badLogic (CG)']"
4,赛1,AsaⒸ,"['3 The Know nots (OO)', '2 innocent learners (CG)', '1 Bamboo (CO)', '0 Shinning Northerners (OG)']"
5,赛1,SherryⒸ,"['3 Iced Lemon Juice (OO)', '2 Octopuses (CO)', '1 blingbling (OG)', '0 Iron girls (CG)']"
6,赛1,LoraⒸ,"['3 Yoco (OO)', '2 boss bro (CG)', '1 Queerer (CO)', '0 Northstar (OG)']"
7,赛1,CarolⒸ,"['3 New Orientation (OG)', '2 EplusE (OO)', '1 Ravenclaw Muggles (CO)', '0 Tempoxxi and her Sugar Daddy (CG)']"
8,赛1,BenⒸ,"['3 Melbourne A (OG)', '2 Mockingjay (OO)', '1 Hema (CG)', '0 Military Training Survivors (CO)']"
9,赛1,CharlesⒸ,"['3 唯唯诺诺 (OO)', ""2 You're right (CO)"", '1 Rookies (OG)', '0 NENU (CG)']"
10,赛2,SherryⒸ,"['3 1 (CG)', '2 Rookies (CO)', '1 Caicai Group (OO)', '0 Always be curious (OG)']"
11,赛2,BenⒸ,"['3 C.W. (OO)', '2 Ace of spades (CO)', '1 Shinning Northerners (CG)', '0 Iron girls (OG)']"
12,赛2,CarolⒸ,"['3 Military Training Survivors (OO)', '2 Northstar (CG)', '1 badLogic (CO)', '0 For U (OG)']"
13,赛2,AndreaⒸ,"['3 Tempoxxi and her Sugar Daddy (CO)', '2 blingbling (CG)', '1 Queerer (OO)', '0 Bamboo (OG)']"
14,赛2,BellaⒸ,"['3 Mockingjay (CG)', '2 Veggie English (OO)', '1 boss bro (CO)', ""0 You're right (OG)""]"
15,赛2,VictoriaⒸ,"['3 Gramily (CO)', '2 EplusE (OG)', '1 CARPE DIEM (OO)', '0 Octopuses (CG)']"
16,赛2,LoraⒸ,"['3 Hema (CO)', '2 Swing A (OO)', '1 Ravenclaw Muggles (CG)', '0 NENU (OG)']"
