,Round Name,Panel,Rankings
0,Round 1A,"Fardeen AmeenⒸ , Adhipatya Singh , Sanjana Rudra","['3 Banned from Polemix (OG)', '2 Bimbofication Apologists (CG)', '1 Legendary Pokemons (OO)', '0 KNUST Z (CO)']"
1,Round 1A,"Eze NwakubaⒸ , Ashutosh Bahuguna , Sathvik Amarnath","['3 ""Indus Water Treaty"" (CO)', '2 🐢🐢🐢>🐊🐊 (OO)', '1 Birbs (OG)', ""0 Mamu's onlyfans (CG)""]"
2,Round 1A,"Maciej LulewiczⒸ , Danika Joplin , Sakshi Singhal","['3 (*･ω･)/ (CO)', '2 Keio school of Engineering and Tech (OG)', '1 ""Felt like doing so, might panic la (OO)', '0 “Now I’m just somebody that sidd us (CG)']"
3,Round 1A,"Adya SharmaⒸ , Peter Kipp , V Sayiram","['3 ""We forgot how to do this."" (OG)', '2 The Chaste Australia (cw: track and (CG)', '1 Sadboois (OO)', '0 POIson (CO)']"
4,Round 1B,"Tejas JaiswalⒸ , Archi Gupta , Vansh Chadha.","['3 Banned from Polemix (OG)', '2 Bimbofication Apologists (CG)', '1 Legendary Pokemons (OO)', '0 KNUST Z (CO)']"
5,Round 1B,"Chinmaya MohanⒸ , Dhruv Mishra , Super Nana","['3 Birbs (OG)', ""2 Mamu's onlyfans (CG)"", '1 🐢🐢🐢>🐊🐊 (OO)', '0 ""Indus Water Treaty"" (CO)']"
6,Round 1B,"Matthew Conley EvansⒸ , Pranov Suresh","['3 (*･ω･)/ (CO)', '2 ""Felt like doing so, might panic la (OO)', '1 Keio school of Engineering and Tech (OG)', '0 “Now I’m just somebody that sidd us (CG)']"
7,Round 1B,"Dominic GuinaneⒸ , Amitha Prasad , Sneha verma","['3 The Chaste Australia (cw: track and (CG)', '2 ""We forgot how to do this."" (OG)', '1 Sadboois (OO)', '0 POIson (CO)']"
8,Round 2A,"Chinmaya MohanⒸ , Dhruv Mishra , Noluthando Honono","['3 The Chaste Australia (cw: track and (OO)', '2 Banned from Polemix (CO)', '1 (*･ω･)/ (CG)', '0 🐢🐢🐢>🐊🐊 (OG)']"
9,Round 2A,"Maciej LulewiczⒸ , Erasmus Mawuli , Vansh Chadha.","['3 Bimbofication Apologists (OO)', '2 ""Indus Water Treaty"" (CG)', '1 ""We forgot how to do this."" (CO)', '0 ""Felt like doing so, might panic la (OG)']"
10,Round 2A,"Fardeen AmeenⒸ , Adya Sharma , Danika Joplin","['3 Birbs (CO)', '2 “Now I’m just somebody that sidd us (OO)', '1 Legendary Pokemons (OG)', '0 POIson (CG)']"
11,Round 2A,"Matija PusnikⒸ , Peter Kipp , Sanjana Rudra","[""3 Mamu's onlyfans (OO)"", '2 KNUST Z (CG)', '1 Keio school of Engineering and Tech (CO)', '0 Sadboois (OG)']"
12,Round 2B,"Tejas JaiswalⒸ , Shruti Deb , Super Nana","['3 Banned from Polemix (CO)', '2 The Chaste Australia (cw: track and (OO)', '1 🐢🐢🐢>🐊🐊 (OG)', '0 (*･ω･)/ (CG)']"
13,Round 2B,"Eze NwakubaⒸ , Archi Gupta , Gwen Stearns","['3 ""Indus Water Treaty"" (CG)', '2 ""We forgot how to do this."" (CO)', '1 ""Felt like doing so, might panic la (OG)', '0 Bimbofication Apologists (OO)']"
14,Round 2B,"Josef MoscoviciⒸ , Angad Singh , Pranov Suresh","['3 Birbs (CO)', '2 “Now I’m just somebody that sidd us (OO)', '1 Legendary Pokemons (OG)', '0 POIson (CG)']"
