,Round Name,Panel,Rankings
0,Round 1,Sane Abhilash ReddyⒸ,"['3 Am I Audible? (OO)', '2 2 Whips (OG)', '1 Momo vs Dumpling (CO)', '0 LGS SJ B (CG)']"
1,Round 1,"Cherishi MaheshwariⒸ , Alina Fatima ⭐ , Sumantra Sen","['3 Stawberry Daiquiri (OG)', '2 Uncovidinated (CO)', '1 Asterix and Obelix (OO)', '0 Aan: men at work (CG)']"
2,Round 1,"Muskan SrivastavaⒸ , Anuj Pradhan","['3 AC A (CO)', '2 LGS JT (CG)', '1 LGS 55 Main Chimchar (OG)', '0 UET Violet (OO)']"
3,Round 1,"Leauren JiⒸ , Ishan Suvarna","['3 AC B (CO)', '2 AMC Alpha (CG)', '1 GCU F (OO)', '0 Swag Boba (OG)']"
4,Round 1,"Matt CaitoⒸ , Lyba Asim","['3 Carried by the Stars (OO)', '2 Real HYD (CO)', '1 The less I know the better (CG)', '0 AC C (OG)']"
5,Round 1,Kartik MathurⒸ,"['3 ISL Y (OG)', '2 DRC (CO)', '1 Make Mumbai Debsocs Great Again (CG)', '0 AC D (OO)']"
6,Round 1,"Tanisi MishraⒸ , Dhairya Choudhary , Natchuda Somboonviboon","['3 Agragami 1 (CO)', '2 Pépé (OO)', '1 AMC X (CG)', '0 Haquena Batata (OG)']"
7,Round 1,"Priyank SainiⒸ , Archi gupta , Shreya Agarwal","['3 PU The University of Puns and Jabs (CO)', '2 Ateneo DP (OG)', '1 UET Orange (OO)', '0 LGS 1A1 B (CG)']"
8,Round 1,Priya PitreⒸ,"['3 JSMU A (OG)', '2 THR Capitalism (CO)', '1 BITSG 1 (CG)', '0 Family comes first (OO)']"
9,Round 1,"Shirsha SongshoptakⒸ , Fatima Faisal ⭐ , Ali EjazⓉ","['3 Estudiantes Muertos (CG)', ""2 Reys' in Peace (OO)"", '1 BITSG 3 (CO)', '0 I will NOT start in 10 seconds (OG)']"
10,Round 1,"Paulo GabicaⒸ , Abdul Rahim Hamid , Avishi Taneja","['3 Castillo Store (CO)', '2 Redacted (OO)', '1 LGS 55 Main Torchic (CG)', '0 BUP A (OG)']"
11,Round 1,Sanjana SaxenaⒸ,"['3 Sigma Male (OO)', '2 ISL Z (CO)', '1 California Rurls (CG)', '0 Dream Panda (OG)']"
12,Round 1,"Sofia ChavezⒸ , Kashif Bashir","['3 Chesta and her golden retriever (CO)', ""2 Call us swing, if we don't break (OG)"", '1 GCU A (OO)', '0 JSMU B (CG)']"
13,Round 1,"Ashar ImranⒸ , Collins ChinonsoⓉ","['3 UP Diliman W for Women (OO)', '2 Nixor Red (OG)', '1 Chicanery Piñata (CG)', '0 Team Rocket (CO)']"
14,Round 1,"Tania KaleemⒸ , Masood Ghulam Nabi","['3 Kawaii Pirates (CO)', '2 Cycle Squad (OG)', '1 LGS 1A1 A (OO)', '0 Swings A (CG)']"
15,Round 1,"CarloⒸ , Hafsa Mahmood","['3 We are Confused! (CG)', '2 We got matchmaked (CO)', '1 Da vinci (OO)', '0 ¿Por qué? (OG)']"
16,Round 1,"Aoileann Ní MhurchúⒸ , Asmita Bajaj","['3 we are just rats looking for a food (CO)', '2 Deadly Idlies (CG)', '1 MIT B (OG)', '0 Keshav Hate Club (OO)']"
17,Round 1,"Kuhan KarttikeynⒸ , Ayodele Samuel","['3 Defective Pikachu (CO)', '2 Orio Wants a Pubmat (CG)', '1 Just gimme 10 seconds (OO)', '0 UET Sigma (OG)']"
