,Round Name,Panel,Rankings
0,Round 1,"Johan LukitoⒸ , Wong Yik Hei Chris , Isaiah John A. VerdejoⓉ","[""3 won'tfallasleep (OO)"", '2 Already Won (OG)', '1 Dialogy Sojourner Truth (CO)', '0 Dialogy Frederick Douglass (CG)']"
1,Round 1,"Kathan ParmarⒸ , Adam Banihani , Rafael Kofi Adjapong Amankwah","['3 both of us are walking equity viola (CG)', '2 fetii 1 (OG)', '1 Am@tTzZ (CO)', '0 No Orientation (OO)']"
2,Round 1,"Shotaro AkehiraⒸ , Gazi Mahtab , Jahnavi Bhuptani","['3 Sakhti aur Rambhakti (OO)', '2 Arguably the best (CO)', '1 botswana bovine (CG)', '0 Debabies (OG)']"
3,Round 1,"Chris Hung 💀Ⓒ , Duc-Manh PhamⓉ , Lemuelle UyⓉ","['3 open to debate (CG)', '2 Old Cat Ladies (OG)', '1 Swing C (OO)', '0 attention deficit hyperactive debat (CO)']"
4,Round 1,"Kyle Go 😷Ⓒ , Lavanya Puri","['3 idk anyone else (OG)', '2 THR Capitalism (CG)', '1 Debakers (CO)', '0 Beelink JNP (OO)']"
5,Round 1,"Jericho LawⒸ , Hai-Phong Tran","['3 Imagine Winning (CG)', '2 breAD (OG)', '1 devis (CO)', '0 Nunu is love (OO)']"
6,Round 1,"Nishit SinghalⒸ , Archi Gupta , Patrick Lo","['3 DB8 (OO)', '2 X and O (CO)', '1 hmm who’s gonna be whip (OG)', ""0 Champorado and Ley's (CG)""]"
7,Round 1,"Mithannsh JainⒸ , Anay Srivastava , Abha DahalⓉ","['3 COEP A (OO)', '2 We swear we are not related (CO)', '1 Taiwan... Ted, we need help with cr (OG)', '0 K & C (CG)']"
8,Round 1,"Sodiq FarihanⒸ , Daniel Christopher Haduca","['3 fried cucumbers (OO)', '2 Nacho Dip (OG)', '1 COEP B (CG)', '0 STC1 (CO)']"
9,Round 1,"Siddharth PaiⒸ , Ahana Chaudhuri , Neil Sebastian","['3 Swing B (OO)', '2 Holy spirit (CG)', '1 fetii 2 (OG)', '0 Cruel Summer Supremacy (CO)']"
10,Round 1,"Soumitra TonapiⒸ , Elgin Lin , Shreya Shetty GR","['3 Swing A (CO)', '2 Not breaking, just bad (OO)', '1 Dialogy Toni Morrison (CG)', '0 fetii 3 (OG)']"
11,Round 1,"Alex Chan 🏮Ⓒ , Jade Gonzales , Curtis KoⓉ","['3 yakiniku beef bowl (CO)', '2 lowly subhumans (OG)', '1 train wreck (OO)', '0 Flash Wolves (CG)']"
12,Round 1,"Aayana Rai Bhojani 🎃Ⓒ , Nupur PadviⓉ , Sneha SinghⓉ","['3 Procrastination at its finest (CO)', '2 SPCC--AM (OO)', '1 #twins (OG)', '0 Pilipala (CG)']"
13,Round 2,"Neil SebastianⒸ , Ali Abdilatif , Anay Srivastava","['3 lowly subhumans (OO)', '2 Already Won (CO)', '1 #twins (CG)', '0 THR Capitalism (OG)']"
14,Round 2,"Denzelle Jude CaroⒸ , Lemuelle Uy , Nupur PadviⓉ","['3 Am@tTzZ (CG)', '2 botswana bovine (OO)', '1 fetii 2 (CO)', '0 Debakers (OG)']"
15,Round 2,"Jade GonzalesⒸ , Mithannsh Jain , Wong Yik Hei Chris","['3 Arguably the best (OO)', '2 X and O (OG)', '1 SPCC--AM (CG)', '0 Nacho Dip (CO)']"
16,Round 2,"Sodiq FarihanⒸ , Adjudicator 156 , Shreya Shetty GR","['3 attention deficit hyperactive debat (CG)', '2 K & C (CO)', ""1 Champorado and Ley's (OO)"", '0 Cruel Summer Supremacy (OG)']"
17,Round 2,"Jericho LawⒸ , Nishit Singhal","['3 fetii 3 (CO)', '2 Beelink JNP (CG)', '1 Pilipala (OG)', '0 Dialogy Frederick Douglass (OO)']"
18,Round 2,"Alex Chan 🏮Ⓒ , Daniel Christopher Haduca , Sneha SinghⓉ","['3 fetii 1 (OO)', '2 We swear we are not related (CG)', '1 both of us are walking equity viola (OG)', ""0 won'tfallasleep (CO)""]"
19,Round 2,"Tanush AgarwalⒸ , Adam Banihani","['3 Dialogy Toni Morrison (CO)', '2 breAD (OO)', '1 Holy spirit (OG)', '0 Not breaking, just bad (CG)']"
20,Round 2,"Chris Hung 💀Ⓒ , Jahnavi Bhuptani","['3 Swing A (OO)', '2 COEP A (OG)', '1 idk anyone else (CG)', '0 DB8 (CO)']"
21,Round 2,"Shotaro AkehiraⒸ , Archi Gupta","['3 train wreck (OG)', '2 Taiwan... Ted, we need help with cr (OO)', '1 COEP B (CO)', '0 No Orientation (CG)']"
22,Round 2,"Siddharth PaiⒸ , Abha Dahal , Kathan Parmar","['3 Debabies (OO)', '2 Nunu is love (CO)', '1 Flash Wolves (OG)', '0 STC1 (CG)']"
23,Round 2,"Soumitra TonapiⒸ , Lavanya Puri","['3 Swing C (CO)', '2 Dialogy Sojourner Truth (OG)', '1 hmm who’s gonna be whip (OO)', '0 devis (CG)']"
24,Round 2,"Johan LukitoⒸ , Patrick Lo","['3 Swing B (CO)', '2 open to debate (OG)', '1 yakiniku beef bowl (OO)', '0 fried cucumbers (CG)']"
25,Round 2,"Kyle Go 😷Ⓒ , Curtis Ko , Isaiah John A. VerdejoⓉ","['3 Sakhti aur Rambhakti (CG)', '2 Imagine Winning (OO)', '1 Old Cat Ladies (CO)', '0 Procrastination at its finest (OG)']"
26,Round 3,"Isaac Lo 🍙Ⓒ , Adjudicator 156 , Nishit Singhal","['3 both of us are walking equity viola (OO)', '2 breAD (CO)', '1 yakiniku beef bowl (OG)', '0 Already Won (CG)']"
27,Round 3,"Aayana Rai Bhojani 🎃Ⓒ , Gazi Mahtab , Curtis KoⓉ","['3 Am@tTzZ (OO)', '2 Dialogy Toni Morrison (OG)', '1 idk anyone else (CO)', '0 Swing C (CG)']"
28,Round 3,"Denzelle Jude CaroⒸ , Isaiah John A. Verdejo","['3 train wreck (CO)', '2 Arguably the best (OG)', '1 COEP A (CG)', '0 We swear we are not related (OO)']"
29,Round 3,"Jericho LawⒸ , Mithannsh Jain","['3 attention deficit hyperactive debat (OG)', '2 COEP B (OO)', '1 Debabies (CO)', '0 hmm who’s gonna be whip (CG)']"
30,Round 3,"Chris Hung 💀Ⓒ , Patrick Lo","['3 #twins (OO)', '2 fetii 2 (CG)', ""1 Champorado and Ley's (CO)"", '0 Beelink JNP (OG)']"
31,Round 3,"Kyle Go 😷Ⓒ , Kathan Parmar , Gregory WongⓉ","['3 fried cucumbers (CO)', '2 botswana bovine (OG)', '1 Holy spirit (OO)', '0 DB8 (CG)']"
32,Round 3,"Soumitra TonapiⒸ , Anay Srivastava , Sneha SinghⓉ","['3 No Orientation (OG)', '2 Dialogy Frederick Douglass (CO)', '1 Cruel Summer Supremacy (CG)', '0 STC1 (OO)']"
