,Round Name,Panel,Rankings
0,Round 1,"Jordyn GibsonⒸ , Luke Cass , Adam RipponⓉ","['1 Swing 1 (N)', '0 millie bobby brown’s final victims (A)']"
1,Round 1,Adya SharmaⒸ,"['1 Nil (A)', '0 The Avengers (N)']"
2,Round 1,"Miko BombeoⒸ , Diana Ross","['1 USU (N)', '0 RuMocracy (A)']"
3,Round 1,"Alexis RoseⒸ , Kylie Minogue","['1 UPD Powerpuff Girls (A)', '0 Team UNN (N)']"
4,Round 2,"Adya SharmaⒸ , Adam Rippon , Diana Ross","['1 millie bobby brown’s final victims (N)', '0 RuMocracy (A)']"
5,Round 2,"DMGⒸ , Luke Cass , Zynu","['1 Nil (N)', '0 Swing 1 (A)']"
6,Round 2,"Miko BombeoⒸ , Ahana Chaudhuri , Kylie Minogue","['1 The Avengers (A)', '0 Team UNN (N)']"
7,Round 2,"Matt Conley-EvansⒸ , Parth Pandya","['1 USU (A)', '0 UPD Powerpuff Girls (N)']"
8,Round 3,"Adya SharmaⒸ , Diana Ross , Zynu","['1 UPD Powerpuff Girls (N)', '0 millie bobby brown’s final victims (A)']"
9,Round 3,"DMGⒸ , Ahana Chaudhuri","['1 Team UNN (A)', ""0 Muyayo's Business School (N)""]"
10,Round 3,Parth PandyaⒸ,"['1 USU (A)', '0 Nil (N)']"
11,Round 3,"Luke CassⒸ , Adam Rippon , Kylie Minogue","['1 The Avengers (A)', '0 RuMocracy (N)']"
12,Round 4,"Alexis RoseⒸ , Kylie Minogue","['1 RuMocracy (A)', '0 millie bobby brown’s final victims (N)']"
13,Round 4,"Luke CassⒸ , Adya Sharma , DMG","['1 USU (N)', '0 Nil (A)']"
14,Round 4,"Diana RossⒸ , Jordyn Gibson","['1 The Avengers (N)', '0 UPD Powerpuff Girls (A)']"
15,Round 5,"Luke CassⒸ , Diana Ross","['1 Swing 1 (N)', '0 millie bobby brown’s final victims (A)']"
16,Round 5,"Parth PandyaⒸ , Zynu","['1 RuMocracy (N)', ""0 Muyayo's Business School (A)""]"
17,Round 5,"Matt Conley-EvansⒸ , Jordyn Gibson","['1 UPD Powerpuff Girls (A)', '0 Nil (N)']"
18,Round 5,"Miko BombeoⒸ , Adam Rippon , Kylie Minogue","['1 USU (N)', '0 The Avengers (A)']"
19,Novice Grand Finals,"Matt Conley-EvansⒸ , Kylie Minogue , Zynu","['1 millie bobby brown’s final victims (A)', '0 RuMocracy (N)']"
20,Open Grand Finals,"Luke CassⒸ , Diana Ross , Miko Bombeo","['1 UPD Powerpuff Girls (A)', '0 USU (N)']"
