,Round Name,Panel,Rankings
0,Round 1,Amy SuhanaⒸ,"['1 ACJC A (O)', '0 XMS Team Tres (P)']"
1,Round 1,KayboonⒸ,"['1 ACJC B (O)', '0 Team One Conatus (P)']"
2,Round 1,Prashanthi BalachanderⒸ,"['1 RI C (O)', '0 ACJC C (P)']"
3,Round 1,Trevor LeeⒸ,"['1 SAS B (P)', '0 Cedar Blue (O)']"
4,Round 1,WishaⒸ,"['1 HY I let you know (O)', '0 Cedar Grey (P)']"
5,Round 1,RitabrataⒸ,"['1 RGS A (P)', '0 CHIJ Sec A (O)']"
6,Round 1,Justin LimⒸ,"['1 XMS Team Uno (O)', '0 CHIJ Sec B (P)']"
7,Round 1,Justin TayⒸ,"['1 HCI (O)', '0 JPJC A (P)']"
8,Round 1,Wey KeanⒸ,"['1 HY-NJ Collective (P)', '0 SAS A (O)']"
9,Round 1,"HuiyiⒸ , Elysia BoonⓉ","['1 UWC C (P)', '0 JPJC B (O)']"
10,Round 1,"VihaⒸ , Victoria Vickie Tai AndersenⓉ","['1 XMS Team Dos (P)', '0 JPJC C (O)']"
11,Round 1,Lee Wei KangⒸ,"['1 NYGH (P)', '0 SAJC A (O)']"
12,Round 1,PoeⒸ,"['1 RGS B (P)', '0 PRCS (O)']"
13,Round 1,Ryan LimⒸ,"['1 RGS C (O)', '0 TTS A (P)']"
14,Round 1,Elysia ChungⒸ,"['1 RI A (O)', '0 TTS C (P)']"
15,Round 1,SimritaⒸ,"['1 RI B (O)', '0 TP D (P)']"
16,Round 1,Ryan Axel KohⒸ,"['1 SNGS (O)', '0 SAJC B (P)']"
17,Round 1,Joshua LowⒸ,"['1 SAS C (O)', '0 SJII Swing (P)']"
18,Round 1,Emanuele HuanⒸ,"['1 Team Loquacem Delassare (O)', '0 TTS  B (P)']"
19,Round 1,"WesleyⒸ , Ashley WeeⓉ","['1 TP C (P)', '0 Team Quaesitor Scientiam (O)']"
20,Round 1,ClaireneⒸ,"['1 TP A (P)', '0 UWC A (O)']"
21,Round 1,BevⒸ,"['1 UWC B (O)', '0 TP B (P)']"
22,Round 2,KayboonⒸ,"['1 HY-NJ Collective (O)', '0 ACJC A (P)']"
23,Round 2,CavanⒸ,"['1 UWC B (P)', '0 ACJC B (O)']"
24,Round 2,"HanaⒸ , Elysia BoonⓉ","['1 ACJC C (O)', '0 Team Quaesitor Scientiam (P)']"
25,Round 2,BevⒸ,"['1 Cedar Blue (P)', '0 Team One Conatus (O)']"
26,Round 2,"LeuvenⒸ , Victoria Vickie Tai AndersenⓉ","['1 TP B (O)', '0 Cedar Grey (P)']"
27,Round 2,Ryan Axel KohⒸ,"['1 SAS A (O)', '0 CHIJ Sec A (P)']"
28,Round 2,Emanuele HuanⒸ,"['1 UWC A (P)', '0 CHIJ Sec B (O)']"
29,Round 2,SimritaⒸ,"['1 HCI (P)', '0 XMS Team Dos (O)']"
30,Round 2,Justin LimⒸ,"['0 HY I let you know (P)', '0 UWC C (O)']"
31,Round 2,WishaⒸ,"['1 JPJC A (P)', '0 SAJC B (O)']"
32,Round 2,Lee Wei KangⒸ,"['1 TTS  B (O)', '0 JPJC B (P)']"
33,Round 2,ClaireneⒸ,"['1 JPJC C (P)', '0 TTS A (O)']"
34,Round 2,VihaⒸ,"['1 RGS B (O)', '0 NYGH (P)']"
35,Round 2,WesleyⒸ,"['1 SJII Swing (O)', '0 PRCS (P)']"
36,Round 2,Justin TayⒸ,"['1 RGS A (O)', '0 Team Loquacem Delassare (P)']"
37,Round 2,Wey KeanⒸ,"['1 SAS B (O)', '0 RGS C (P)']"
38,Round 2,RitabrataⒸ,"['1 RI A (P)', '0 TP C (O)']"
39,Round 2,Elysia ChungⒸ,"['1 RI B (P)', '0 SAS C (O)']"
40,Round 2,Joshua LowⒸ,"['1 RI C (O)', '0 XMS Team Uno (P)']"
41,Round 2,Prashanthi BalachanderⒸ,"['1 TP D (O)', '0 SAJC A (P)']"
42,Round 2,Ryan LimⒸ,"['1 TP A (O)', '0 SNGS (P)']"
43,Round 2,Trevor LeeⒸ,"['1 TTS C (O)', '0 XMS Team Tres (P)']"
44,Round 3,VihaⒸ,"['1 ACJC A (O)', '0 TTS A (P)']"
45,Round 3,SimritaⒸ,"['1 ACJC B (P)', '0 TP C (O)']"
46,Round 3,Ryan LimⒸ,"['1 TP B (P)', '0 ACJC C (O)']"
47,Round 3,ClaireneⒸ,"['1 Team Loquacem Delassare (P)', '0 Cedar Blue (O)']"
48,Round 3,Prashanthi BalachanderⒸ,"['1 PRCS (P)', '0 Cedar Grey (O)']"
