,Round Name,Panel,Rankings
0,Round 1,reedⒸ,"['3 HBG (OO)', ""2 Rey's in Peace (CO)"", '1 Wanna make it snappy (OG)', '0 A Replacement Team (CG)']"
1,Round 1,snailⒸ,"['3 Cempaka Opson (OO)', '2 the communal democratically control (CO)', '1 CR-1 (CG)', '0 VIT (OG)']"
2,Round 1,"TJⒸ , Archi Gupta","['3 Smartians (OO)', '2 TGS OrgComm (CO)', '1 The Saviour Swing (CG)', '0 Republic of compelling argument (OG)']"
3,Round 2,Pratyush Kumar ShekharⒸ,"['3 Meow Hoots (OO)', '2 Republic of compelling argument (CG)', '1 Pink panthers (CO)', '0 AY-23 (OG)']"
4,Round 2,"KuganⒸ , snail","['3 Frankly (CO)', '2 PG-18 (sorry had no choice, they to (OG)', '1 Cempaka 2D over 3D (what???) (OO)', '0 Cempaka Alpaca and TheIron (CG)']"
5,Round 2,"reedⒸ , TJⓉ","['3 HBG (CG)', ""2 Rey's in Peace (OO)"", '1 Cempaka Opson (OG)', '0 Smartians (CO)']"
6,Round 3,reedⒸ,"['3 Aara, Aara! (OG)', '2 Frankly (CO)', '1 debatession (OO)', '0 Pink panthers (CG)']"
7,Round 3,TJⒸ,"['3 PG-18 (sorry had no choice, they to (CG)', '2 Republic of compelling argument (OO)', '1 HBG (OG)', '0 TGS OrgComm (CO)']"
8,Round 4,snailⒸ,"['3 Cempaka Opson (CO)', '2 Swing A (OO)', '1 Pink panthers (OG)', '0 AY-23 (CG)']"
9,Round 4,reedⒸ,"['3 HBG (OG)', '2 Frankly (CG)', '1 PG-18 (sorry had no choice, they to (OO)', '0 Republic of compelling argument (CO)']"
