,Round Name,Panel,Rankings
0,Round 1,"Cerys WalshⒸ , Olivia Mackender , Fahamid Rahman SiamⓉ","['3 Animal Spirit? You mean John Mayna (CO)', '2 Sloths r cool (CG)', '1 We like animals! (OG)', '0 UPM Harambebe Gurl (OO)']"
1,Round 1,"Liam OldreyⒸ , Jessica Musulin","['3 THW ban banning zoos (OO)', '2 Steve Irwin Memorial Zoobate Socie (CO)', '1 Kadhe Vyakur (OG)', '0 Debate se Dar nahi lagta (CG)']"
2,Round 1,"Jeremiah EdagbamiⒸ , Pranav Anand , Omar ShalabbyⓉ","['3 UnaMOOSEd by these OTTERly irrELEP (OO)', '2 Old Monk (OG)', ""1 From the animals' perspective a zo (CO)"", '0 Sharkbait! Hoo Ha Ha! (CG)']"
3,Round 1,"Dylan McCarthyⒸ , Minseob Lee , Archi GuptaⓉ","[""3 Is this zoo Jurassic Park? I don't (OO)"", '2 I am grateful on a quantum level (OG)', '1 You can ban zoos but you will neve (CO)', '0 Panel, these teams have been gibbo (CG)']"
4,Round 1,"Lucy McManusⒸ , Ron Leizrowice , Therese SagadracaⓉ","['3 Zoo will never recover, I promise (CG)', '2 What is America if not a zoo (CO)', ""1 The group chat's worst nightmares (OO)"", '0 madrid? mad rid of this money fast (OG)']"
5,Round 2,"Liam OldreyⒸ , Archi Gupta , Pranav Anand","[""3 Is this zoo Jurassic Park? I don't (OG)"", '2 Animal Spirit? You mean John Mayna (OO)', '1 THW ban banning zoos (CO)', '0 Old Monk (CG)']"
6,Round 2,"Lucy McManusⒸ , Jessica Musulin , Minseob Lee","['3 Panel, these teams have been gibbo (OO)', '2 madrid? mad rid of this money fast (CG)', '1 Sharkbait! Hoo Ha Ha! (OG)', '0 Debate se Dar nahi lagta (CO)']"
7,Round 2,"Olivia MackenderⒸ , Ron Leizrowice","[""3 From the animals' perspective a zo (OO)"", '2 We like animals! (CO)', '1 UPM Harambebe Gurl (OG)', '0 You can ban zoos but you will neve (CG)']"
8,Round 2,"Dylan McCarthyⒸ , Omar Shalabby , Fahamid Rahman SiamⓉ","['3 Sloths r cool (OO)', '2 Zoo will never recover, I promise (OG)', '1 UnaMOOSEd by these OTTERly irrELEP (CG)', '0 I am grateful on a quantum level (CO)']"
9,Round 2,"Cerys WalshⒸ , Therese Sagadraca , David WolfeⓉ","[""3 The group chat's worst nightmares (CO)"", '2 What is America if not a zoo (OG)', '1 Steve Irwin Memorial Zoobate Socie (OO)', '0 Kadhe Vyakur (CG)']"
10,Round 3,"Liam OldreyⒸ , Minseob Lee , Ron Leizrowice","[""3 Is this zoo Jurassic Park? I don't (CO)"", '2 Sloths r cool (OG)', '1 Zoo will never recover, I promise (OO)', '0 Animal Spirit? You mean John Mayna (CG)']"
11,Round 3,"Pranav AnandⒸ , Fahamid Rahman Siam","['3 UPM Harambebe Gurl (CG)', '2 Kadhe Vyakur (OO)', '1 Debate se Dar nahi lagta (OG)', '0 Sharkbait! Hoo Ha Ha! (CO)']"
12,Round 3,"Lucy McManusⒸ , Archi Gupta , Cerys Walsh","[""3 The group chat's worst nightmares (CG)"", '2 UnaMOOSEd by these OTTERly irrELEP (CO)', ""1 From the animals' perspective a zo (OG)"", '0 We like animals! (OO)']"
13,Round 3,"Jessica MusulinⒸ , David Wolfe , Omar Shalabby","['3 I am grateful on a quantum level (CG)', '2 You can ban zoos but you will neve (OG)', '1 Old Monk (OO)', '0 madrid? mad rid of this money fast (CO)']"
14,Round 3,"Olivia MackenderⒸ , Dylan McCarthy , Therese Sagadraca","['3 What is America if not a zoo (OO)', '2 THW ban banning zoos (CG)', '1 Steve Irwin Memorial Zoobate Socie (OG)', '0 Panel, these teams have been gibbo (CO)']"
15,Round 4,"Ron LeizrowiceⒸ , Omar Shalabby","['3 I am grateful on a quantum level (OO)', '2 Steve Irwin Memorial Zoobate Socie (CG)', '1 Animal Spirit? You mean John Mayna (OG)', '0 UPM Harambebe Gurl (CO)']"
16,Round 4,"Lucy McManusⒸ , Fahamid Rahman Siam","['3 We like animals! (CG)', '2 Kadhe Vyakur (CO)', '1 Debate se Dar nahi lagta (OO)', '0 Panel, these teams have been gibbo (OG)']"
17,Round 4,"Liam OldreyⒸ , Therese Sagadraca","['3 UnaMOOSEd by these OTTERly irrELEP (OG)', '2 THW ban banning zoos (OO)', '1 Zoo will never recover, I promise (CO)', ""0 From the animals' perspective a zo (CG)""]"
18,Round 4,"Olivia MackenderⒸ , Jessica Musulin , Pranav Anand","['3 What is America if not a zoo (CG)', ""2 Is this zoo Jurassic Park? I don't (OO)"", ""1 The group chat's worst nightmares (OG)"", '0 Sloths r cool (CO)']"
19,Round 4,"Cerys WalshⒸ , Minseob Lee","['3 Swing B (CG)', '2 You can ban zoos but you will neve (OG)', '1 Old Monk (CO)', '0 madrid? mad rid of this money fast (OO)']"
20,Silver Final,"Olivia MackenderⒸ , Omar Shalabby , Therese Sagadraca","[""1 The group chat's worst nightmares (OG)"", '0 I am grateful on a quantum level (CO)', '0 Sloths r cool (CG)', '0 Zoo will never recover, I promise (OO)']"
21,Gold Final,"Liam OldreyⒸ , Lucy McManus , Pranav Anand","[""1 Is this zoo Jurassic Park? I don't (CO)"", '0 THW ban banning zoos (OG)', '0 UnaMOOSEd by these OTTERly irrELEP (OO)', '0 What is America if not a zoo (CG)']"
