,Round Name,Panel,Rankings
0,Round 1,"reed _Ⓒ , Maitreyi Arwari","['1 3 Rejects (G)', '0 swing 1 (O)']"
1,Round 1,Vans EsguerraⒸ,"['1 ANU Flu Crew (O)', '0 Slaughterhouse (G)']"
2,Round 1,"Vaishnavi SharmaⒸ , Parakh Ahooja","['1 CHRIST 21 taco weekends (O)', '0 Legendary Pokémon Upgraded (G)']"
3,Round 1,Sofia ChavezⒸ,"['1 d- d- d- d- d- duel (G)', '0 Cupcakes & Militaries (O)']"
4,Round 1,KuganⒸ,"['1 Truck (O)', '0 DCBD D (G)']"
5,Round 1,Ernest MahⒸ,"['1 DU (O)', '0 Intellectually Superior Baboons (G)']"
6,Round 1,Varun MehtaⒸ,"['1 MUA JRD (O)', '0 Knights of Favonius (G)']"
7,Round 1,Mahadi Rahman NikashⒸ,"['1 Korea LMN (O)', '0 Tridents (G)']"
8,Round 1,Varun AgarwalⒸ,"['1 SXCM Ladies (O)', '0 myvi go vroom proton shares go boom (G)']"
9,Round 2,Mahadi Rahman NikashⒸ,"['1 DU (G)', '0 3 Rejects (O)']"
10,Round 2,"Mehul JoshiⒸ , Parakh AhoojaⓉ","['1 ANU Flu Crew (O)', '0 SXCM Ladies (G)']"
11,Round 2,Varun MehtaⒸ,"['1 CHRIST 21 taco weekends (O)', '0 Truck (G)']"
12,Round 2,reed _Ⓒ,"['1 Slaughterhouse (O)', '0 Cupcakes & Militaries (G)']"
13,Round 2,"Vans EsguerraⒸ , Varun AgarwalⓉ","['1 d- d- d- d- d- duel (O)', '0 Korea LMN (G)']"
14,Round 2,"KuganⒸ , Maitreyi ArwariⓉ","['1 Tridents (O)', '0 DCBD D (G)']"
15,Round 2,Sofia ChavezⒸ,"['1 Intellectually Superior Baboons (O)', '0 Knights of Favonius (G)']"
16,Round 2,Hishah KhalishahⒸ,"['1 MUA JRD (G)', '0 Legendary Pokémon Upgraded (O)']"
17,Round 2,Ernest MahⒸ,"['1 myvi go vroom proton shares go boom (O)', '0 swing 1 (G)']"
18,Round 3,"KuganⒸ , Varun MehtaⓉ","['1 3 Rejects (G)', '0 Intellectually Superior Baboons (O)']"
19,Round 3,"Mahadi Rahman NikashⒸ , Varun AgarwalⓉ","['1 DU (O)', '0 ANU Flu Crew (G)']"
20,Round 3,"Vans EsguerraⒸ , Udita BhattacharyaⓉ","['1 Slaughterhouse (O)', '0 CHRIST 21 taco weekends (G)']"
21,Round 3,reed _Ⓒ,"['1 Cupcakes & Militaries (G)', '0 swing 1 (O)']"
22,Round 3,"Mehul JoshiⒸ , Parakh AhoojaⓉ","['1 d- d- d- d- d- duel (G)', '0 MUA JRD (O)']"
23,Round 3,Ira GosaviⒸ,"['1 DCBD D (O)', '0 Knights of Favonius (G)']"
24,Round 3,Sofia ChavezⒸ,"['1 Korea LMN (G)', '0 SXCM Ladies (O)']"
25,Round 3,Ernest MahⒸ,"['1 Legendary Pokémon Upgraded (O)', '0 Tridents (G)']"
26,Round 3,"Hishah KhalishahⒸ , Maitreyi ArwariⓉ","['1 myvi go vroom proton shares go boom (O)', '0 Truck (G)']"
27,Round 4,reed _Ⓒ,"['1 MUA JRD (G)', '0 3 Rejects (O)']"
28,Round 4,"Ernest MahⒸ , Udita BhattacharyaⓉ","['1 ANU Flu Crew (O)', '0 Legendary Pokémon Upgraded (G)']"
29,Round 4,Mehul JoshiⒸ,"['1 CHRIST 21 taco weekends (G)', '0 myvi go vroom proton shares go boom (O)']"
30,Round 4,Ira GosaviⒸ,"['1 Cupcakes & Militaries (O)', '0 Tridents (G)']"
31,Round 4,"Vans EsguerraⒸ , Varun AgarwalⓉ","['1 d- d- d- d- d- duel (O)', '0 DU (G)']"
32,Round 4,KuganⒸ,"['1 SXCM Ladies (G)', '0 DCBD D (O)']"
33,Round 4,Varun MehtaⒸ,"['1 Truck (G)', '0 Knights of Favonius (O)']"
34,Round 4,"Hishah KhalishahⒸ , Maitreyi ArwariⓉ","['1 Slaughterhouse (G)', '0 Korea LMN (O)']"
35,Pre Semi Finals,"Mehul JoshiⒸ , Parakh Ahooja , Sofia Chavez","['1 ANU Flu Crew (O)', '0 Slaughterhouse (G)']"
36,Pre Semi Finals,"Vans EsguerraⒸ , Ernest Mah , Varun Mehta","['1 MUA JRD (O)', '0 DU (G)']"
37,Semifinals,"Hishah KhalishahⒸ , Mahadi Rahman Nikash , Mehul Joshi","['1 d- d- d- d- d- duel (G)', '0 ANU Flu Crew (O)']"
38,Semifinals,"Sofia ChavezⒸ , Ira Gosavi 💢 , Varun Mehta","['1 MUA JRD (O)', '0 CHRIST 21 taco weekends (G)']"
39,Grand Final,"Hishah KhalishahⒸ , Mehul Joshi , Vans Esguerra","['1 d- d- d- d- d- duel (O)', '0 MUA JRD (G)']"
40,Pro Ams Finals,"Sofia ChavezⒸ , Kugan , Varun Mehta","['1 myvi go vroom proton shares go boom (G)', '0 Truck (O)']"
