,Round Name,Panel,Rankings
0,Round 1,"Riddhi MukherjeeⒸ , Ishita MavinkurveⓉ , Keshav BansalⓉ","['3 HINDU Hindu-A (OG)', '2 NALSAR Swing 1 (CO)', '1 ASIS oui oui we can can can (CG)', '0 NALSAR Swing 5 (OO)']"
1,Round 1,"MuskanⒸ , Aishwarya Julinka AnandⓉ , Kunal VinayakⓉ","['3 AUD Sociology Represent (CO)', '2 RG-NLU Black Hand (OG)', '1 GLC Team Ace (CG)', '0 CUSB Team HARTS (OO)']"
2,Round 1,"Raunak PrakashⒸ , Raghav Ahuja","['3 Bad taste, but good case (CO)', '2 RVCE Pattangere Metro (OO)', '1 GLC Give us a break (OG)', '0 NALSAR Swing 2 (CG)']"
3,Round 1,"Shudipto R. AhmedⒸ , Ashin BijuⓉ , Shreya VasaveⓉ","['3 ILNU p&g: peanutbutter and gelly (OO)', '2 SLS-P JT (CG)', '1 Baila Chao (CO)', '0 GNLU Akatsuki (OG)']"
4,Round 1,"Mehul JoshiⒸ , Ojas DateⓉ , SomayajiⓉ","['3 ILNU We’re about to break (up) (CO)', '2 Kant Man (OO)', '1 BITS-G Professionalism FC (CG)', '0 SLS-P NOOBS (OG)']"
5,Round 1,"Halimat Ojone UsmanⒸ , Pancham PrabhuneⓉ","['3 Chicxulub impactor (OG)', '2 VIT BD (CO)', '1 IIT-B 2 (CG)', '0 SVKM 69420 (OO)']"
6,Round 1,"Mozaien TakⒸ , Joy Hadome , Devanshi BavisiⓉ","['3 DRC DRC (CG)', ""2 SLS-H Scott's Tots (CO)"", '1 CoEP COEP B (OO)', '0 SLCU Chak de (OG)']"
7,Round 1,"Shruti PoddarⒸ , Maitreyi ChoallaⓉ","[""3 we're missing reg deadlines always (OO)"", '2 Mute Yourselves!!! (OG)', '1 R＆B (CO)', '0 CoEP JP (CG)']"
8,Round 1,"Trijit RayⒸ , Samrath Kaur Kalsi , Shrestha Ria","['3 P&W (CO)', '2 DBC A (OG)', '1 NALSAR Swing 3 (CG)', '0 CUSB Dill with it (OO)']"
9,Round 1,"Mithannsh JainⒸ , Shreyas KulkarniⓉ","['3 Delhi VA (CO)', '2 Gargi Welcome to Chilli’s 🌶 (CG)', '1 DBC cinnamon coffee (OG)', '0 NALSAR Swing 4 (OO)']"
10,Round 1,"Jotsaroop SinghⒸ , Sonali BarhateⓉ","['3 JGU Rasputin (CG)', '2 IIT-B Not Up for Debate (OO)', '1 DTU AK (OG)', '0 Gargi DeBait (CO)']"
11,Round 1,"Vinamre DharⒸ , Alankrita PathakⓉ , Avyay M CⓉ","['3 DTU CS (OG)', '2 NMIMS SOL B (CG)', '1 SLS-H Yamate Dekutasai, Oneee-Chaan (OO)', '0 ILS D (CO)']"
12,Round 1,"Mausam GalaⒸ , Ayushman SomaniⓉ","['3 Gargi Need a break (CG)', ""2 WBNUJS Whips Don't Lie (OO)"", '1 H-NLU Take De-Bait (CO)', '0 VES Conquerors (OG)']"
13,Round 1,"Priyanka DasⒸ , Ayush TrigunayatⓉ , Ronak MataiⓉ","['3 NMIMS SOL A (OO)', '2 SLS-P Viman Skies (CG)', ""1 GLC Pobody's Nerfect (CO)"", '0 SLS-N Legal eagle (OG)']"
14,Round 1,"Raghav KalraⒸ , Henry KofiⓉ","['3 ILNU Babu Bhaiya and Raju (OO)', '2 NLU-N La Cucaracha (CO)', '1 ILS B (OG)', '0 GNLU Chatterwocky (CG)']"
