,Name,Team,Categories,Speaker Scores
0,Matt Caito,Chicxulub impactor,,"['87', '81', '82', '83', '79']"
1,Ahmed El Sammak,Chicxulub impactor,,"['86', '82', '81', '84', '78']"
2,Sher May Nar,Re(tired),,"['81', '80', '82', '85', '80']"
3,Jessica Musulin,"Bad taste, but good case",,"['82', '80', '81', '83', '80']"
4,Klaudia Maciejewska,"Bad taste, but good case",,"['81', '81', '80', '82', '81']"
5,Ron Leizrowice,Re(tired),,"['81', '79', '81', '84', '80']"
6,Shakya Chandra,JGU Rasputin,,"['88', '80', '78', '79', '78']"
7,Shruti Deb,rmlXdsnlu,,"['81', '82', '78', '80', '82']"
8,Devashish Trivedi,JGU Rasputin,,"['87', '78', '79', '79', '79']"
9,S Sriram,we're missing reg deadlines always,,"['80', '79', '80', '80', '79']"
10,Tejas Jaiswal,rmlXdsnlu,,"['79', '81', '78', '79', '81']"
11,Harshvardhan Ray,Mute Yourselves!!!,,"['79', '79', '80', '82', '77']"
12,Jibran Ahmad Khan,"Kaif x Yuvraj in the club, Kingfis",,"['77', '81', '81', '80', '77']"
13,SC,"Kaif x Yuvraj in the club, Kingfis",,"['78', '80', '81', '80', '77']"
14,Shuvam Mitra,RVCE Pattangere Metro,,"['80', '78', '80', '77', '80']"
15,Rohan Seelamsetty,Mute Yourselves!!!,,"['79', '80', '77', '81', '78']"
16,Aayana Rai Bhojani,we're missing reg deadlines always,,"['79', '79', '79', '80', '78']"
17,Aarush Sharma,ILNU Babu Bhaiya and Raju,,"['77', '79', '79', '78', '81']"
18,Manasija Das,VIT BD,,"['80', '77', '79', '77', '81']"
19,Abhishek Acharya,IIT-B Not Up for Debate,,"['85', '75', '77', '79', '78']"
20,Vansh,DTU CS,,"['78', '79', '78', '81', '78']"
21,Shraddha Kulkarni,RVCE Pattangere Metro,,"['79', '79', '79', '78', '79']"
22,Vikrant Dwivedi,SLS-P Chai Sutta,,"['78', '78', '80', '77', '80']"
23,Harsith,"IIT-B A Break only comes with ""down""",,"['80', '79', '80', '77', '77']"
24,Ashutosh Bahuguna,DTU AK,,"['86', '78', '75', '77', '77']"
25,Vikrant Marda,"Not breaking, just bad",,"['77', '79', '77', '81', '79']"
26,Aviral Bhatia,VIT BD,,"['79', '77', '79', '77', '80']"
27,V Sayiram,DTU CS,,"['78', '79', '79', '80', '76']"
28,Nandita Mantha,SLS-P Chai Sutta,,"['77', '77', '82', '78', '78']"
29,Varun Bansal,"Not breaking, just bad",,"['76', '78', '78', '81', '79']"
30,Anish Shivamani,IIT-B 2,,"['79', '77', '79', '77', '79']"
31,Raya Kanakakorn,ASIS oui oui we can can can,,"['77', '78', '78', '81', '77']"
32,Aryan Khanna,IIT-B Not Up for Debate,,"['84', '75', '76', '77', '79']"
33,Akshit Mishra,ILNU Babu Bhaiya and Raju,,"['76', '79', '77', '78', '81']"
34,Shubhneet Soni,IIT-B 2,,"['77', '78', '78', '78', '79']"
35,Keshav Mohan,DTU AK,,"['82', '77', '75', '78', '78']"
36,Chahana Charles,GNLU Look what you made me cue,,"['77', '77', '76', '80', '80']"
37,Surabhi Menon,Baila Chao,,"['78', '78', '77', '79', '77']"
38,Yuenbing Ooi,ASIS oui oui we can can can,,"['77', '77', '78', '79', '78']"
39,Taera Singh,SLS-P JT,Novice,"['79', '76', '82', '75', '77']"
40,Agastya Rana,Delhi VA,,"['77', '78', '80', '75', '78']"
41,Suhas Athreya,VIT Anything Works,,"['79', '80', '76', '77', '76']"
42,Aradome Belai,SLS-P The Singye - Toddy Show,,"['77', '77', '79', '79', '76']"
43,Kartavya Asthana,VIT Anything Works,,"['78', '81', '76', '78', '75']"
44,Jessica Das,SLS-P JT,Novice,"['79', '75', '81', '76', '77']"
45,Soundarya Rajagopal,GNLU Look what you made me cue,,"['77', '77', '76', '79', '79']"
46,Nabeeha Ayaz,P&W,,"['79', '79', '77', '78', '75']"
47,Yatharth Dhingra,HINDU Hindu-A,,"['78', '77', '77', '77', '79']"
48,Manak Kataria,HINDU Hindu-A,,"['78', '76', '77', '78', '78']"
49,Aashna Mansata,SLS-P Viman Skies,,"['76', '77', '78', '79', '77']"
50,Prarthna Jhawar,Gargi DeBait,,"['83', '77', '74', '75', '78']"
51,Narayan Sharma,Baila Chao,,"['77', '77', '76', '78', '78']"
52,Pushpit Singh,"SLS-H Yamate Dekutasai, Oneee-Chaan",Novice,"['75', '78', '76', '81', '76']"
53,Jinit Sanghvi,CoEP JP,,"['76', '78', '79', '78', '75']"
54,Saakhi Mishra,SLS-P The Singye - Toddy Show,,"['76', '77', '77', '79', '77']"
55,Vaishnavi,SLS-P Viman Skies,,"['76', '78', '77', '78', '77']"
56,Aditya Nath,UwU Supremacy,,"['76', '79', '76', '78', '77']"
57,Himanshi Wadhwa,Hear Here,,"['75', '80', '77', '78', '76']"
58,Chesta B,UwU Supremacy,,"['75', '78', '77', '78', '77']"
59,Nasibur Rahaman,Kant Man,,"['76', '76', '80', '78', '75']"
60,Priyanshi Rachchh,ILNU p&g: peanutbutter and gelly,,"['80', '79', '75', '75', '76']"
61,Riya Gupta,DRC DRC,,"['77', '77', '78', '76', '77']"
62,Prateek Sarkar,SLS-P Brain No Boom,,"['80', '78', '75', '78', '74']"
63,Varsha Venkat,ILNU We’re about to break (up),,"['76', '79', '75', '77', '78']"
64,Ray Yixiao Wang,R＆B,,"['79', '77', '76', '77', '76']"
65,Nupur Sevda,Gargi Need a break,,"['77', '79', '74', '79', '76']"
66,Guru Dutt,P&W,,"['78', '78', '77', '76', '76']"
67,Priya Pitre,CoEP JP,,"['77', '77', '78', '77', '75']"
68,Abhisek,NMIMS SOL A,,"['77', '78', '78', '76', '75']"
69,Kushagra Dash,NLUO 21 guns,,"['77', '76', '78', '77', '76']"
