,Round Name,Panel,Rankings
0,Round 1,"SrijanⒸ , Ankit Kumar ShahⓉ","['1 NUS 2 (O)', '0 3 Rejects (G)']"
1,Round 1,Mahesh RⒸ,"['1 Anditagan (O)', '0 NUS 3 (G)']"
2,Round 1,"Ritabrata MitraⒸ , AbhaⓉ","['1 UNIMAS (G)', '0 Annomaliyah (O)']"
3,Round 1,Asif Mehedi AdiⒸ,"['1 Anti-mansplaining Reunion (O)', '0 Malaya 3 (G)']"
4,Round 1,Daniel WiyartaⒸ,"['1 Ateneo de Manila 1 (O)', '0 NUS 1 (G)']"
5,Round 1,Rushdoon AhmedⒸ,"['1 Ateneo de Manila 2 (G)', '0 Keio 1 (O)']"
6,Round 1,SimranⒸ,"['1 leah but nah (O)', '0 Ateneo de Manila 3 (G)']"
7,Round 1,Arjun BansalⒸ,"['1 CBC (G)', '0 LUX (O)']"
8,Round 1,"Tawfique ElahiⒸ , Curtis KoⓉ","['1 Malaya 2 (O)', '0 Depresso Expresso (G)']"
9,Round 1,Utkarsh PandeyⒸ,"['1 Love Sexy SAD (G)', '0 Devious Three (O)']"
10,Round 1,Davida PaulⒸ,"['1 UWC A (G)', '0 DLSU C (O)']"
11,Round 1,Ernest MahⒸ,"['1 don keigh (G)', '0 UWC B (O)']"
12,Round 1,Ritul Aryan TripathyⒸ,"['1 Dora-e-MARA (O)', '0 No More Top-Down (G)']"
13,Round 1,"CarloⒸ , Soumitra TonapiⓉ","['1 Good in Theory (G)', '0 NTU Viha (O)']"
14,Round 1,Momotaz Rahman MeghaⒸ,"['1 Hiroo Gakuen (O)', '0 Jujutsu MARA (G)']"
15,Round 1,Joey ManzanoⒸ,"['1 Malaya 1 (G)', '0 We hate Waffles (O)']"
16,Round 1,Anshuman MishraⒸ,"['1 UPD 1 (O)', '0 MARA Clover (G)']"
17,Round 1,Sally LeeⒸ,"['1 Novice Team Please Carry (O)', '0 masachisatoshiya (G)']"
18,Round 1,Hillary TurinaweⒸ,"['1 My brain cells are squirting with j (G)', '0 Only 1 of us is still in DA (O)']"
19,Round 1,"Wesley wongⒸ , James DaniⓉ","['1 NTU Virat (G)', '0 Pusheen The Limits (O)']"
20,Round 1,Sowmya SrinivasanⒸ,"['1 UPD E-nazuma (O)', '0 NTU Yarn (G)']"
21,Round 1,Matt Conley-EvansⒸ,"['1 Oompa Loompas (O)', '0 NUS 4 (G)']"
22,Round 1,Wairimu ManyaraⒸ,"['1 UWC C (G)', '0 Swing 1 (O)']"
23,Round 1,redactedⒸ,"['1 Tota and the Traitors (O)', '0 UPD Chicas (G)']"
24,Round 1,EZE NWAKUBAⒸ,"['1 YNC Hammered by Tan Eng Chye (out o (O)', '0 UPD Screwdrivers (G)']"
25,Round 2,"Wesley wongⒸ , Soumitra TonapiⓉ","['1 NUS 3 (O)', '0 3 Rejects (G)']"
26,Round 2,Momotaz Rahman MeghaⒸ,"['1 Anditagan (G)', '0 Dora-e-MARA (O)']"
27,Round 2,SrijanⒸ,"['1 UPD Screwdrivers (O)', '0 Annomaliyah (G)']"
28,Round 2,Daniel WiyartaⒸ,"['1 Anti-mansplaining Reunion (O)', '0 leah but nah (G)']"
29,Round 2,Asif HassanⒸ,"['1 Ateneo de Manila 1 (G)', '0 UNIMAS (O)']"
30,Round 2,Matt Conley-EvansⒸ,"['1 Love Sexy SAD (O)', '0 Ateneo de Manila 2 (G)']"
