,Round Name,Panel,Rankings
0,Round 1,byeⒸ,"['1 JHA (N)', '0 bye (A)']"
1,Round 1,Jennifer TarunoⒸ,"['1 ROGA Black (N)', '0 Enreach (A)']"
2,Round 1,Daniel Wiyarta TenggaraⒸ,"['1 Poopy Loopy (A)', '0 Team Ultra (N)']"
3,Round 1,Manal AfzalⒸ,"['1 ROGA Magenta (A)', '0 ROGA Green (N)']"
4,Round 2,byeⒸ,"['1 Team Ultra (A)', '0 bye (N)']"
5,Round 2,Daniel Wiyarta TenggaraⒸ,"['1 Enreach (N)', '0 ROGA Green (A)']"
6,Round 2,Jennifer TarunoⒸ,"['1 JHA (A)', '0 ROGA Black (N)']"
7,Round 2,"Lucy McManusⒸ , Jerry Wang","['1 ROGA Magenta (A)', '0 Poopy Loopy (N)']"
8,Round 3,byeⒸ,"['1 ROGA Green (N)', '0 bye (A)']"
9,Round 3,reedⒸ,"['1 Enreach (N)', '0 ROGA Black (A)']"
10,Round 3,"Revan Lim TJⒸ , Jerry WangⓉ","['1 ROGA Magenta (N)', '0 JHA (A)']"
11,Round 3,Jennifer TarunoⒸ,"['1 Poopy Loopy (N)', '0 Team Ultra (A)']"
12,Silver Final,Adhipatya SinghⒸ,"['1 JHA (A)', '0 Poopy Loopy (N)']"
13,Gold Final,Lucy McManusⒸ,"['1 ROGA Magenta (N)', '0 Enreach (A)']"
