,Name,Team,Categories,Speaker Scores
0,Shakya Chandra,JGU Rasputin,,"['78.00', '77.00', '79.00', '78.33', '78.33']"
1,Devashish Trivedi,JGU Rasputin,,"['77.33', '77.50', '78.50', '78.33', '78.33']"
2,Yatharth Dhingra,Hindu A,,"['76.33', '75.33', '78.75', '77.67', '78.33']"
3,Lavanya Puri,Illuminati Confirms Poplu,,"['77.00', '77.00', '78.00', '76.67', '77.67']"
4,Deepansh Jawrani,Venky-KNC-Hansraj Cross,,"['77.33', '76.67', '77.33', '77.67', '77.00']"
5,Abhisek,NMIMS SoL SOLphaQ U,,"['76.67', '76.67', '77.50', '77.75', '77.33']"
6,Robin Ahuja,Illuminati Confirms Poplu,,"['77.33', '77.33', '77.50', '75.67', '78.00']"
7,Narayan Sharma,Venky-KNC-Hansraj Cross,,"['77.00', '75.67', '78.33', '77.00', '77.67']"
8,Surabhi Chavan,SXCM Sugandhit Sumitra ki Abhilasha,,"['77.00', '—', '77.33', '76.00', '78.00']"
9,Surabhi Menon,Venky-KNC-Hansraj Cross,,"['77.00', '76.33', '78.00', '76.33', '77.67']"
10,Prathik Karthikeyan,JGU Rasputin,,"['76.33', '76.75', '76.75', '—', '78.33']"
11,Dhruv Holla,NLSIU Life is like that,,"['76.00', '77.00', '77.67', '77.00', '77.50']"
12,Khwaaish Kadiyan,NLSIU Life is like that,,"['76.33', '77.50', '76.67', '76.00', '78.00']"
13,Pallav Arora,Illuminati Confirms Poplu,,"['77.00', '77.00', '77.50', '75.33', '77.33']"
14,Aishwarya Julinka Anand,SLSH we break(down) easy,,"['75.00', '75.33', '78.67', '77.33', '77.33']"
15,Shivansh Raman,Hindu A,,"['75.67', '75.33', '77.75', '76.67', '78.00']"
16,Manak Kataria,Hindu A,,"['75.67', '76.00', '77.75', '76.33', '77.67']"
17,Speaker 1,Swing 1,,"['76.67', '—', '76.67', '75.00', '78.00']"
18,Pushpit Singh,"SLSH Pretty, Precious & Reckless",,"['77.33', '76.00', '76.67', '76.00', '76.67']"
19,Vinamra Gogia,SLSH we break(down) easy,,"['74.67', '75.33', '78.00', '76.33', '78.33']"
20,Anhad Kaur Mehta,NLSIU Life is like that,,"['76.33', '76.00', '76.33', '76.33', '77.50']"
21,Soumitri Debroy,SXCM Sugandhit Sumitra ki Abhilasha,,"['77.67', '74.67', '77.00', '76.00', '77.00']"
22,Palomita Sharma,"SLSH Pretty, Precious & Reckless",,"['77.00', '77.00', '75.67', '75.33', '77.33']"
23,NAMAN SHAH,NMIMS SoL SOLphaQ U,,"['77.00', '76.00', '75.50', '77.00', '76.33']"
24,Ananya Gudihal,NLUO Sadbois Hot Soup,,"['77.00', '76.75', '75.33', '76.75', '75.33']"
25,Shreshtha,Ganguteli,,"['77.00', '76.33', '76.67', '74.75', '—']"
26,Speaker 2,Swing 1,,"['75.67', '—', '75.67', '75.00', '78.33']"
27,Kartikay Kataria,osmnishu,,"['74.50', '76.25', '76.67', '77.00', '76.33']"
28,Ishan Puranik,NMIMS SoL SOLphaQ U,,"['75.67', '76.33', '76.00', '76.75', '76.00']"
29,Subhrotosh Banerjee,SLSH we break(down) easy,,"['75.33', '74.67', '77.67', '75.67', '77.33']"
30,Sonalika Rani,Hindu Take me on a Momo Date,,"['75.33', '76.25', '77.00', '75.25', '76.67']"
31,Chitrangda Saini,NLUO Sadbois Hot Soup,,"['77.00', '76.25', '75.67', '76.75', '74.67']"
32,Jayesh Rathi,VIT Not Magnolia,,"['77.33', '77.00', '75.25', '74.67', '76.00']"
33,Riddhiman Borooah,"SLSH Pretty, Precious & Reckless",,"['76.33', '76.00', '75.67', '75.67', '76.33']"
34,Ritabrata Mitra,GLC Zero Dark Thirty,,"['75.00', '77.33', '74.33', '76.00', '77.33']"
35,Gauri Srivastava,Hindu Take me on a Momo Date,,"['75.33', '75.75', '76.67', '75.25', '76.67']"
36,Suvaroop Saha Roy,PB&J,,"['77.33', '76.00', '74.50', '76.50', '75.33']"
37,Kumar Atul,NLUO Sadbois Hot Soup,,"['76.67', '76.50', '75.67', '75.75', '75.00']"
38,Akanksha Mishra,SXCM Sugandhit Sumitra ki Abhilasha,,"['77.00', '73.67', '76.67', '75.50', '76.67']"
39,HARSHIT MAHRISHI,Hindu Take me on a Momo Date,,"['75.67', '76.00', '76.67', '74.75', '76.33']"
40,Karina Chawla,osmnishu,,"['72.50', '76.25', '76.67', '77.33', '76.67']"
41,Mahima Dutta,SLSH The A Team,,"['76.00', '77.25', '74.67', '76.33', '75.00']"
42,Swastik Shukla,VIT Magnolia,,"['74.00', '76.75', '75.00', '75.75', '77.67']"
43,Mahika Roy,osmnishu,,"['73.50', '75.75', '77.00', '76.67', '76.00']"
44,Sara Rizwan,KC A,,"['76.33', '74.75', '76.00', '76.00', '—']"
45,Lily Poonia,GLC Zero Dark Thirty,,"['74.00', '76.00', '75.33', '—', '77.67']"
46,Timsal Fatima,KC A,,"['—', '75.50', '76.00', '75.00', '76.50']"
47,Aditya Aryan,DoLCU CUties,,"['74.67', '74.67', '76.33', '75.75', '77.00']"
48,Rohitkumar Devnani,SLSH The A Team,,"['75.33', '77.25', '75.33', '77.00', '73.33']"
49,Natasa Aziz,DoLCU CUties,,"['74.33', '75.00', '76.33', '76.50', '76.00']"
50,Sanjana Senapati,VIT Not Magnolia,,"['76.67', '75.50', '75.25', '75.00', '75.67']"
51,Vanshika Arora,AIL FOMOcrat,,"['74.67', '75.75', '76.25', '76.00', '75.33']"
52,Shobhit Singhal,Ganguteli,,"['75.33', '77.00', '76.33', '74.00', '75.00']"
53,Kunal Behal,ILS Rope-a-dope,,"['76.33', '74.33', '75.33', '76.00', '75.67']"
54,Kanishka Chopra,AIL FOMOcrat,,"['74.33', '76.00', '76.00', '76.00', '75.33']"
55,Manvi Panwar,AIL FOMOcrat,,"['75.00', '75.25', '75.75', '76.75', '74.67']"
56,Adithiyha,VIT Magnolia,,"['72.50', '75.75', '76.33', '75.50', '77.33']"
57,Mishti Kapoor,AUD The irrelephant in the room,,"['76.33', '75.00', '75.67', '75.33', '75.00']"
58,Abhinav Partap Singh Sachdeva,RGNUL Debateinators,,"['74.33', '75.33', '75.67', '76.00', '76.00']"
59,Chiranth S,NLSIU CSK,,"['74.67', '75.33', '76.75', '75.25', '75.00']"
60,Simran Singh,AUD The irrelephant in the room,,"['76.33', '74.75', '75.33', '75.33', '75.00']"
61,DILJOT SINGH ISHAR,CCET IDGAF,,"['75.67', '75.33', '74.00', '76.33', '—']"
62,Prayul Kumar,VIT Not Magnolia,,"['75.67', '75.00', '75.25', '74.67', '76.00']"
63,Samrath Singh,PB&J,,"['76.33', '75.25', '74.75', '75.25', '75.00']"
64,Vaishnavi Goel,AUD The irrelephant in the room,,"['76.00', '75.75', '75.33', '75.00', '74.50']"
65,Shaneel Mehta,NLSIU CSK,,"['76.00', '74.00', '76.00', '75.75', '74.67']"
66,Nirbhay Rasaily,SLSH The A Team,,"['74.33', '76.00', '74.67', '77.00', '74.33']"
67,Paramvir Singh Sandhu,CCET IDGAF,,"['75.33', '—', '74.25', '76.00', '—']"
68,Kajal Jamdare,NLSIU CSK,,"['75.00', '74.33', '75.50', '76.00', '75.00']"
69,Hemant singh Rajawat,DNLU We the People,,"['74.67', '76.00', '75.00', '74.33', '75.33']"
70,Yuvraj Mathur,RGNUL Debateinators,,"['73.33', '76.00', '75.67', '74.25', '76.00']"
71,Manya Chugh,NMIMS SoL Team Eminem,,"['74.00', '75.67', '75.67', '74.67', '75.00']"
72,Ghanwa sultan,KC A,,"['74.67', '74.25', '75.67', '75.33', '75.00']"
73,Karishma Maheshwari,NMIMS SoL Redrum,,"['74.33', '75.50', '75.67', '72.75', '76.67']"
74,Diali Sahana,PB&J,,"['75.67', '75.25', '73.75', '75.50', '74.33']"
75,Aishwarya Tripathi,ILS Rope-a-dope,,"['75.67', '74.33', '74.33', '74.75', '75.33']"
76,Mehaar Chaudhary,NMIMS SoL Team Eminem,,"['73.67', '75.00', '75.00', '74.67', '76.00']"
77,Pranav B Rao,VIT Magnolia,,"['73.00', '76.25', '73.33', '74.75', '77.00']"
78,Janhavi Mahalik,NLUO Trinity,,"['75.67', '75.25', '75.00', '73.67', '74.67']"
79,Anwesha Bandyopadhyay,DoLCU CUties,,"['74.33', '74.33', '75.33', '75.25', '75.00']"
80,Ojaswini Gupta,DNLU We the People,,"['75.00', '75.50', '74.67', '74.00', '75.00']"
81,Killua Zoldyck,GLC Zero Dark Thirty,,"['75.33', '—', '73.33', '75.75', '—']"
82,Shreya Mallick,TNNLU The Athena,,"['75.33', '75.00', '74.67', '72.67', '76.33']"
83,Anushka Singh,ILS Rope-a-dope,,"['76.00', '73.33', '74.33', '75.00', '75.33']"
84,Riya Barve,NMIMS SoL The Radicals,,"['75.67', '73.50', '73.67', '76.33', '74.67']"
85,Soumya Sharma,CCET IDGAF,,"['75.33', '75.00', '72.50', '75.67', '—']"
86,Manoj Arvind,TNNLU Godric,,"['73.67', '76.25', '74.33', '74.75', '74.00']"
87,ADITI SINHA,NLUO Trinity,,"['75.00', '76.00', '74.67', '73.00', '74.33']"
88,Ayushi Singh,NMIMS SoL Redrum,,"['73.33', '75.75', '75.33', '72.75', '75.67']"
89,Shivangi Phadke,ILS The Debaters,,"['73.00', '74.25', '76.00', '74.67', '74.67']"
90,Tathagat Kaushik,Ganguteli,,"['74.00', '74.67', '75.67', '73.25', '75.00']"
91,Abhinav Bhushan,NMIMS SoL Redrum,,"['73.33', '75.00', '75.00', '72.50', '76.67']"
92,Shantanu Dixit,RGNUL Debateinators,,"['73.33', '75.00', '74.33', '74.50', '75.00']"
93,Vishakha Maheswari,DRC Vibe Tribe,,"['75.00', '74.67', '74.25', '73.50', '74.67']"
94,Ashutosh Chopra,DNLU We the People,,"['75.33', '75.00', '74.00', '73.33', '74.33']"
95,Jaya Mishra,NLUO Trinity,,"['75.00', '75.25', '74.33', '72.67', '74.33']"
96,Ujjawal Vaibhav Agrahari,NLUO Listen up,,"['73.00', '74.75', '74.33', '75.00', '74.50']"
97,Pranav Vyas,RGNUL Vanilla,,"['74.00', '75.75', '74.00', '73.75', '74.00']"
98,Shivangi Gupta,UPES Malicious Debaters,,"['76.00', '73.67', '74.00', '74.00', '73.67']"
99,Rushwika Muddapappu,DRC Vibe Tribe,,"['74.33', '75.00', '74.50', '73.75', '73.67']"
