,Round Name,Panel,Rankings
0,Round 1,"Ira GosaviⒸ , Vaibhav Chadha , Devansh SinhalⓉ , TonmoyeeⓉ","['3 IITD 2 (OG)', '2 1985 (OO)', '1 SLS-P 3 (CO)', '0 CIDS 1 (CG)']"
1,Round 1,"Adi NarayananⒸ , Ankon Bhattacharya , Raghav Kalra , Varun GoswamiⓉ","['3 VIT 1 (CO)', '2 LSR-HRC (OO)', '1 SBS 2 (OG)', '0 ABES 1 (CG)']"
2,Round 1,"Vladimira ŠuflajⒸ , Aqeelah Wahid , Harshit Ranjan SinghⓉ , Shreya SharmaⓉ","['3 MAITREYI 2 (CG)', '2 ASET 1 (CO)', '1 IPCW 1 (OG)', '0 JGU 2 (OO)']"
3,Round 1,"Ishita SinghⒸ , Vanshika Malpani , Vidushi SinghaniaⓉ , Yaghika BeniwalⓉ","['3 AUD 1 (CO)', '2 PU 1 (OO)', '1 IIT-T 1 (OG)', '0 SGTB (CG)']"
4,Round 1,"Akashraj MurthyⒸ , Ashin Biju , Anay ShrivastavaⓉ , Sukanya NemaⓉ","['3 SLS-P 1 (OG)', '2 AUD 2 (CO)', '1 Jaypee 1 (CG)', '0 Jaypee 2 (OO)']"
5,Round 1,"Mehreen JavedⒸ , M Vishal Menon , Preet ChoudharyⓉ , Priyank SainiⓉ","['3 DCAC 1 (CG)', '2 DBC 1 (OG)', '1 BHU (OO)', '0 DPS-RKP (CO)']"
6,Round 1,"V SayiramⒸ , Ayodele Samuel , Vyomika Dev , Pratham SrivastavaⓉ","['3 CBS (CG)', '2 Gargi 1 (OO)', '1 DNLU (CO)', '0 CIDS 2 (OG)']"
7,Round 1,"Vibha SwaminathanⒸ , Stuti Lohani , Akriti TiwariⓉ , Sneha M SⓉ","['3 DRC 1 (OG)', '2 VIT 2 (CG)', '1 Hansraj 1 (OO)', '0 MAITREYI 1 (CO)']"
8,Round 1,"Adya SharmaⒸ , Advaya Gulati , Divyansh Kanodia (U18)Ⓣ","['3 DTU (CG)', '2 NALSAR 1 (CO)', '1 Gargi 2 (OG)', '0 SBS 1 (OO)']"
9,Round 1,"Gwen StearnsⒸ , Jayan Kumar Goel , Sanjana S ShrivastavⓉ","['3 IITD 1 (CO)', '2 SXC-M 1 (OG)', '1 SLS-H (OO)', '0 SXC-M 2 (CG)']"
10,Round 1,"Mehul JoshiⒸ , Shubhra Uniyal , Jayant NegiⓉ","['3 SLS-P 2 (OG)', '2 Suffering From Ex-Tensions (CO)', '1 JGU 1 (CG)', '0 LSR 1 (OO)']"
11,Round 2,"Vladimira ŠuflajⒸ , Parth Suri , Sneha M SⓉ","['3 VIT 2 (OO)', '2 DBC 1 (CO)', '1 AUD 2 (OG)', '0 1985 (CG)']"
12,Round 2,"Mehreen JavedⒸ , Vanshika Malpani , Anay ShrivastavaⓉ","['3 ASET 1 (OO)', '2 JGU 1 (CO)', '1 PU 1 (CG)', '0 Gargi 1 (OG)']"
13,Round 2,"Ishita SinghⒸ , Devansh SinhalⓉ","['3 DCAC 1 (OO)', '2 AUD 1 (CG)', '1 VIT 1 (OG)', '0 IITD 2 (CO)']"
14,Round 2,"V SayiramⒸ , Vaibhav Chadha , Pratham SrivastavaⓉ , Preet ChoudharyⓉ","['3 SLS-P 3 (OO)', '2 IIT-T 1 (CO)', '1 Jaypee 2 (OG)', '0 BHU (CG)']"
