,Round Name,Panel,Rankings
0,Round 1,"Ritul Aryan TripathyⒸ , Hailey ZhangⓉ , Nguyen Ba Viet DzungⓉ","['1 Ateneo 1 (O)', '0 SUST 1 (G)']"
1,Round 1,"Aiko KuranoⒸ , Ashley Rehn , Riya Jaggi","['1 NUS 2 (O)', '0 Ateneo 2 (G)']"
2,Round 1,"Fhey LaxaⒸ , Nar Sher MayⓉ","['1 IIUM 1 (G)', '0 Ateneo 3 (O)']"
3,Round 1,"Archi GuptaⒸ 💢 , Criscela Ysabelle Racelis , Sarah Aston","['1 Malaya 3 (G)', '0 Atma Jaya 1 (O)']"
4,Round 1,"Virat ChopraⒸ , Monjurul Islam ShuvroⓉ , Sowmya SrinivasanⓉ","['1 Beihang 1 (G)', '0 Mahidol 2 (O)']"
5,Round 1,"Gunraj SinghⒸ , Retno Anjani Dian Shinta Wulandari 💢 , Shruti Deb","['1 IITB 3 (G)', '0 BRAC 1 (O)']"
6,Round 1,"Third MaragañasⒸ , Rachel Chen , Rachelle Amadea","['1 BUET 1 (G)', '0 SLS Pune 1 (O)']"
7,Round 1,"Kanika KaurⒸ , Garvit GosainⓉ , Shawn KasihⓉ","['1 BUET 2 (O)', '0 UT MARA 3 (G)']"
8,Round 1,"Ryan OquizaⒸ , Carol SunⓉ , Muskan SrivastavaⓉ","['1 GLC 1 (G)', '0 BUET 3 (O)']"
9,Round 1,"Pragyan AcharyaⒸ , Sanjana S ShrivastavⓉ","['1 JGU 1 (O)', '0 Christ U 1 (G)']"
10,Round 1,"Arjun BansalⒸ , Ern See , Raghav Ahuja","['1 ILNU 1 (O)', '0 CUHK 1 (G)']"
11,Round 1,"Thea MadrilejoⒸ , Gauri RamachandranⓉ , Nikola MichaylovⓉ","['1 CUHK 2 (O)', '0 Peking 2 (G)']"
12,Round 1,"Nicolas LozanoⒸ , Fatin AlisyaⓉ , Mu’adz BahariⓉ","['1 RUC 1 (O)', '0 CUHK 3 (G)']"
13,Round 1,"Tawfique ElahiⒸ , Nur Qistina Fitri Binti ZulkifliⓉ , Tejas BaviskarⓉ","['1 CUHK 4 (O)', '0 UP Manila 1 (G)']"
14,Round 1,"Sourodip PaulⒸ , Ajay RaulⓉ","['1 De La Salle 3 (G)', '0 CUHK 5 (O)']"
15,Round 1,"Mohammed Wasif Amin KhanⒸ , Adhipatya SinghⓉ , Edward WangⓉ","['1 UP Diliman 1 (G)', '0 DAV 1 (O)']"
16,Round 1,"Tan Yao KunⒸ , Beatrice Flo YonathanⓉ , Davida PaulⓉ","['1 De La Salle 1 (O)', '0 IIUM 3 (G)']"
17,Round 1,"Kenji TateⒸ , Priyanka Das , Ralph Flores","['1 Tsinghua 1 (O)', '0 De La Salle 2 (G)']"
18,Round 1,"Anum NaseerⒸ , Ishita Mavinkurve , Rashi Sharma","['1 Dr. RMLNLU 1 (G)', '0 UP Los Baños 3 (O)']"
19,Round 1,"Jaymal LodhaⒸ , Ayushman SomaniⓉ","['1 DTU 3 (O)', '0 DTU 1 (G)']"
20,Round 1,"Jonathan Prasetyo JohanⒸ , Matthew Conley-EvansⓉ , Shvabh ChakarwartiⓉ","['1 Taylors 1 (O)', '0 DTU 2 (G)']"
21,Round 1,"Josef FlorendoⒸ , Bergas Frenli Nur VendiⓉ , Kessav N ShankarⓉ","['1 DU 1 (O)', '0 USJR 1 (G)']"
22,Round 1,"Pranjal SinglaⒸ , Jasmin Jinlin Yan , Sajid Hasnat","['1 UP Los Baños 2 (G)', '0 Fulbright 1 (O)']"
23,Round 1,"Harshvardhan JakherⒸ , Shubhankar Kashyap , Tabitha 💢","['1 Keio 1 (O)', '0 Habib 1 (G)']"
24,Round 1,"Chinmaya MohanⒸ , Shudipto AhmedⓉ , Tawfiqul WahidⓉ","['1 HUFS 1 (O)', '0 Habib 2 (G)']"
25,Round 1,"Priyanshi RachchhⒸ , Ananya , Snigdha Priyadarshini","['1 Malaya 2 (O)', '0 IDS 1 (G)']"
26,Round 1,"Vans EsguerraⒸ , Apratim , Ishita Singh","['1 IITB 1 (O)', '0 UT MARA 1 (G)']"
27,Round 1,"Revan Lim TJⒸ , Enoch Lim EeⓉ , Xiaochun “Jennette” ZhuⓉ","['1 UP Manila 2 (O)', '0 IITB 2 (G)']"
28,Round 1,"Daniel Maier-GantⒸ , Emily SongⓉ","['1 NTU 1 (O)', '0 IIUM 2 (G)']"
29,Round 1,"Kiki Liew Fook KheiⒸ , Tanvir Hossain ArnobⓉ , Thanh Nguyen VanⓉ","['1 Keio 2 (G)', '0 SLS Hyderabad 1 (O)']"
30,Round 1,"Toshiya OzawaⒸ , Asif HassanⓉ","['1 SLS Pune 2 (G)', '0 Kinnaird 1 (O)']"
31,Round 1,"Aliya FairuzⒸ , Ketaki RajurkarⓉ","['1 Sunway 1 (O)', '0 KU 1 (G)']"
32,Round 1,"Marco DavaⒸ , Junghyun MinⓉ , Tahia Emdad (Cass)Ⓣ","['1 LUMS 1 (G)', '0 UPMin 1 (O)']"
33,Round 1,"JJ PineⒸ , Shubh Pipalia , So UshirodaⓉ","['1 Solbridge 1 (O)', '0 Mahidol 1 (G)']"
34,Round 1,"Daniel LuiⒸ , Adya SharmaⓉ , Annabelle GemmellⓉ , Sally LeeⓉ","['1 Malaya 1 (G)', '0 NUS 3 (O)']"
35,Round 1,"Zachary ChambersⒸ , VarshiniⓉ","['1 UP Diliman 2 (G)', '0 MSU 1 (O)']"
36,Round 1,"Jonathan TuliaoⒸ , Maitreyi ArwariⓉ , Manal AfzalⓉ","['1 NLIUB 1 (O)', '0 SUFE 3 (G)']"
37,Round 1,"Udai KamathⒸ , Adrian PelareⓉ","['1 UP Diliman 3 (G)', '0 NSU 1 (O)']"
38,Round 1,"Imaad Hasan JafriⒸ , Muhammad Shameyl Haikal bin Shahrul Nizam , andi nurdini yuridna yudhaⓉ","['1 Yale-NUS 2 (G)', '0 NSU 2 (O)']"
39,Round 1,"Pranav KagalkarⒸ , Md. Rakib HossainⓉ","['1 NUS 1 (G)', '0 NTU 2 (O)']"
40,Round 1,"Klaudia MaciejewskaⒸ , KenⓉ , Noor Ul Ain FatimaⓉ","['1 UNIMAS 1 (O)', '0 Peking 1 (G)']"
41,Round 1,"Banun SabriⒸ , Balachander PrashanthiⓉ , Leif DalbergⓉ","['1 UT MARA 2 (O)', '0 Peking 3 (G)']"
42,Round 1,"Carlo CastilloⒸ , Vivian ZhangⓉ","['1 SLS Pune 4 (O)', '0 Peking 4 (G)']"
43,Round 1,"Chisato HashimaⒸ , Arghya Dev Biswas Aryan , Hana Nagib","[""1 St. Xavier's 1 (G)"", '0 RUPP 1 (O)']"
44,Round 1,"Kan MoritaⒸ , Momotaz Rahman Megha , Tejas Hinder","['1 SLS Pune 3 (O)', '0 SUFE 1 (G)']"
45,Round 1,"Miraz RahmanⒸ , Jisung JangⓉ","['1 UP Diliman 5 (O)', '0 SUFE 2 (G)']"
46,Round 1,"Shruti PoddarⒸ , Aitalina Shestakova , Hidayah Ayob","['1 Tokyo 1 (O)', '0 VIT 2 (G)']"
47,Round 1,"Joel LawⒸ , Chesta B 💢 , M Vishal Menon","['1 UGM 1 (G)', '0 Yale-NUS 1 (O)']"
48,Round 1,"Jill AycardoⒸ , Nirali Rout , Trijit Ray","['1 UP Diliman 4 (G)', '0 UNPAD 1 (O)']"
49,Round 1,"ainⒸ , Rushdoon Ahmed 💢 , Sanya","['1 VIT 1 (G)', '0 UP Los Baños 1 (O)']"
