,Name,Team,Categories,Speaker Scores
0,Irene Dela Cruz,Ateneo 1,,"['79.00', '81.00', '81.00', '82.00', '82.00', '81.00', '80.00', '81.00']"
1,Maeca Pansensoy,Ateneo 1,,"['80.00', '80.00', '81.00', '81.00', '81.00', '81.00', '80.50', '81.00']"
2,David Africa,Ateneo 1,,"['79.00', '80.00', '82.00', '80.00', '81.00', '82.00', '79.50', '82.00']"
3,Kanan Ishizaka,Tokyo 1,,"['78.00', '79.00', '81.00', '79.00', '82.00', '81.00', '82.00', '83.00']"
4,Tota Takahashi,Tokyo 1,EFL,"['76.67', '79.00', '81.00', '78.67', '82.00', '82.00', '81.00', '81.00']"
5,Vinodhan Kuppusamy,Malaya 1,,"['76.00', '76.50', '79.00', '80.50', '81.00', '82.00', '82.00', '83.00']"
6,Patrick Cheang,Malaya 1,,"['76.00', '79.00', '80.00', '80.00', '80.00', '82.00', '80.00', '83.00']"
7,Ryosuke Yoshida,Tokyo 1,,"['76.33', '79.00', '81.00', '79.67', '80.00', '81.00', '80.50', '82.00']"
8,Lyba Bashir Choudhry,LUMS 1,,"['79.00', '79.00', '79.00', '—', '82.00', '78.00', '80.50', '82.00']"
9,Josh Kemp,Tsinghua 1,,"['80.00', '80.00', '79.00', '79.33', '79.50', '79.67', '80.50', '81.00']"
10,Rohan Kapur,NTU 1,,"['80.00', '78.00', '81.00', '81.00', '79.50', '80.00', '78.50', '81.00']"
11,Ashar Imran,LUMS 1,,"['78.00', '81.00', '80.00', '78.33', '82.00', '78.50', '80.00', '81.00']"
12,Pep Danguilan,UP Diliman 1,,"['80.00', '79.00', '80.00', '79.67', '80.00', '79.00', '79.00', '82.00']"
13,Luc Choong,Malaya 1,,"['77.00', '80.00', '79.00', '80.50', '81.00', '81.00', '80.00', '80.00']"
14,Chris Carlos,UP Diliman 1,,"['81.00', '80.00', '79.00', '79.00', '80.00', '79.00', '80.00', '80.00']"
15,Ethan Limkakeng,De La Salle 1,,"['79.00', '80.00', '80.00', '79.00', '78.50', '79.00', '80.50', '81.00']"
16,Shaun Lee,NUS 1,,"['81.00', '80.00', '81.00', '78.00', '78.00', '79.00', '78.00', '82.00']"
17,Bea Legaspi,UP Diliman 1,,"['78.00', '81.00', '79.00', '79.00', '80.00', '79.50', '79.33', '81.00']"
18,Danyal Maqbool,LUMS 1,,"['80.00', '80.00', '79.00', '77.33', '82.00', '77.50', '79.50', '81.00']"
19,Tonie Peralta,De La Salle 1,,"['79.00', '79.00', '79.00', '78.00', '78.50', '79.00', '81.50', '82.00']"
20,Hans Xavier Wong,De La Salle 2,,"['78.67', '78.33', '81.00', '77.00', '79.50', '79.50', '82.00', '80.00']"
21,Shireen Ali,Sunway 1,,"['79.00', '78.33', '78.50', '80.00', '81.00', '79.00', '79.50', '80.00']"
22,Deon Kiew,NUS 2,,"['79.00', '80.00', '79.00', '80.00', '78.00', '79.00', '79.50', '80.00']"
23,Issac Ko,NUS 1,,"['80.00', '79.00', '80.00', '77.00', '78.00', '80.00', '78.00', '82.00']"
24,Ariel Tan,NUS 2,,"['78.67', '79.00', '79.00', '79.50', '78.50', '80.00', '78.50', '80.00']"
25,Zed Wong,NUS 2,,"['78.33', '80.00', '78.00', '80.50', '78.00', '80.00', '78.50', '79.00']"
26,S. Sriram,Christ U 1,,"['76.00', '77.00', '81.00', '78.50', '79.33', '78.33', '81.00', '81.00']"
27,Edgar Empeño,De La Salle 1,,"['78.00', '79.00', '78.50', '78.00', '77.50', '78.00', '81.00', '82.00']"
28,Ritabrata Mitra,GLC 1,,"['80.00', '78.00', '77.00', '79.00', '80.00', '79.00', '79.00', '80.00']"
29,Kuhan Karttikeyn,Malaya 2,,"['78.00', '79.00', '79.00', '81.00', '78.00', '78.00', '80.00', '79.00']"
30,Darren,NTU 1,,"['78.00', '77.00', '81.00', '80.00', '78.50', '78.33', '79.00', '80.00']"
31,Ken Alunan,De La Salle 3,,"['79.00', '78.33', '78.33', '80.00', '79.00', '78.33', '78.67', '79.50']"
32,Aly Barranda,Ateneo 2,,"['78.33', '78.00', '78.00', '78.00', '80.67', '80.00', '79.00', '79.00']"
33,Mahad Akbar,Habib 1,,"['80.00', '78.67', '78.00', '79.00', '79.00', '79.00', '79.50', '77.50']"
34,Clairene Tan,NUS 1,,"['80.00', '80.00', '80.00', '77.00', '77.00', '79.00', '77.50', '80.00']"
35,Ian Dylan Chai,Yale-NUS 2,,"['77.50', '79.00', '77.50', '80.00', '79.00', '79.00', '78.50', '80.00']"
36,Abhishek Acharya,IITB 1,,"['78.00', '80.00', '79.33', '77.33', '77.00', '77.50', '80.00', '81.00']"
37,Miggy Sulit,UP Diliman 2,,"['79.00', '81.00', '79.00', '79.00', '77.00', '77.00', '79.00', '79.00']"
38,Catherine Nathan,Malaya 2,,"['78.00', '79.00', '78.00', '79.00', '77.00', '80.00', '80.00', '79.00']"
39,Czarina Endaya,UP Diliman 2,,"['80.00', '79.00', '78.50', '80.00', '77.00', '77.33', '79.00', '79.00']"
40,Quintin Chua,Ateneo 2,,"['78.00', '76.00', '78.00', '79.00', '79.67', '80.00', '79.50', '79.67']"
41,Suman Mitra,GLC 1,,"['79.00', '78.00', '78.00', '79.50', '79.00', '78.00', '78.33', '80.00']"
42,Danesh Aggarwal,Malaya 2,,"['77.67', '79.00', '78.00', '80.00', '76.00', '79.00', '81.00', '79.00']"
43,Jeremiah Kobby Sekyi,Tsinghua 1,,"['78.33', '79.00', '78.00', '78.00', '78.50', '79.00', '79.00', '79.67']"
44,Quynh Anh,Solbridge 1,EFL,"['77.00', '79.67', '78.00', '77.33', '81.00', '78.00', '79.50', '79.00']"
45,Jay Cruz,UP Diliman 2,,"['81.00', '79.00', '78.00', '79.00', '78.00', '77.33', '78.50', '78.00']"
46,Isha Mahajan,Christ U 1,,"['76.00', '77.00', '80.00', '80.00', '79.33', '78.33', '80.00', '78.00']"
47,Ichiro Arbole,De La Salle 3,,"['80.00', '77.67', '77.67', '80.00', '78.67', '77.00', '79.00', '78.50']"
48,Najwa Uñga,UP Diliman 5,,"['78.00', '78.00', '80.00', '79.00', '76.50', '80.00', '78.00', '79.00']"
49,Akasyah,UNIMAS 1,,"['79.00', '76.33', '80.00', '77.00', '78.00', '79.00', '78.00', '81.00']"
50,Aayana Rai Bhojani,Christ U 1,,"['75.00', '78.00', '80.00', '79.00', '78.67', '78.00', '80.50', '79.00']"
51,Tejas Jaiswal,Dr. RMLNLU 1,,"['78.33', '79.00', '78.00', '78.67', '80.00', '77.00', '77.00', '80.00']"
52,Gillian Sandigan,UP Diliman 5,,"['80.00', '76.00', '79.00', '79.00', '77.50', '80.00', '78.50', '78.00']"
53,Devashish Trivedi,JGU 1,,"['78.00', '79.00', '76.33', '79.00', '77.50', '79.67', '78.50', '80.00']"
54,Shakya Chandra,JGU 1,,"['77.00', '79.00', '77.33', '78.00', '79.00', '79.67', '77.00', '81.00']"
55,Ryan Adler Tan,UNIMAS 1,,"['78.00', '77.33', '80.00', '77.00', '79.00', '79.00', '77.50', '80.00']"
56,Rohan Subagaran,Sunway 1,,"['77.00', '77.33', '77.00', '79.00', '80.00', '78.50', '79.50', '79.33']"
57,Houymean Lim,Solbridge 1,EFL,"['78.00', '78.67', '77.00', '77.67', '80.00', '78.00', '80.00', '78.00']"
58,Harsith R,IITB 1,,"['76.67', '80.00', '78.67', '77.00', '77.00', '77.00', '79.00', '82.00']"
59,Jibran Ahmad Khan,Dr. RMLNLU 1,,"['77.67', '80.00', '77.00', '78.67', '79.00', '77.50', '77.50', '79.33']"
60,Beatrice Cuizon,Ateneo 2,,"['78.33', '76.00', '77.00', '78.00', '79.00', '81.00', '79.00', '78.00']"
61,Belle Barbin,UP Los Baños 1,,"['75.50', '80.00', '79.00', '78.00', '77.00', '78.33', '79.00', '79.33']"
62,Bryan Sim,IIUM 1,,"['77.00', '79.00', '77.00', '80.00', '78.00', '76.50', '80.00', '78.50']"
63,Ha Duy Thanh,NTU 2,,"['77.00', '76.00', '80.50', '78.00', '77.00', '78.00', '78.33', '81.00']"
64,Raffy Perez,UP Manila 1,,"['77.00', '78.00', '77.00', '81.00', '78.33', '79.00', '76.50', '79.00']"
65,Charlette Inao,UP Manila 2,,"['79.00', '79.00', '78.00', '79.00', '77.00', '78.00', '77.00', '78.67']"
66,Amy Lee,NUS 3,,"['76.00', '77.00', '77.00', '78.00', '80.00', '79.50', '78.00', '80.00']"
67,Mahor Nagda,IITB 1,,"['77.00', '78.00', '78.00', '78.00', '77.00', '77.50', '79.00', '81.00']"
68,Rivaldo Aquino,Ateneo 3,,"['76.00', '77.00', '79.33', '78.00', '77.00', '78.00', '81.00', '79.00']"
69,Ha Tuan Hung,DAV 1,EFL,"['80.00', '78.50', '78.00', '78.00', '77.50', '77.00', '78.50', '77.67']"
70,Miriam Perilla,UP Los Baños 2,,"['79.00', '80.00', '77.50', '78.00', '77.50', '78.50', '76.00', '78.67']"
71,Osel,NUS 3,,"['75.00', '77.00', '80.00', '77.00', '80.00', '78.50', '76.50', '81.00']"
72,Cj Salayo,UP Los Baños 2,,"['78.33', '80.00', '78.00', '77.00', '77.00', '79.00', '77.00', '78.67']"
73,Ethan Miguel,De La Salle 3,,"['79.00', '75.33', '78.67', '79.00', '78.00', '77.67', '78.67', '78.50']"
74,Anshuman Mishra,NLIUB 1,,"['79.00', '75.00', '77.00', '81.00', '77.00', '80.00', '77.50', '78.33']"
75,Beatrice Anlacan,UP Manila 1,,"['77.00', '78.00', '77.00', '80.00', '77.67', '79.00', '77.00', '79.00']"
76,Armi Requina,UP Los Baños 1,,"['74.50', '79.00', '79.00', '77.00', '78.00', '78.00', '80.00', '79.00']"
77,Weon Bin Na,KU 1,,"['78.00', '77.00', '78.00', '78.33', '78.00', '79.50', '78.50', '77.00']"
78,Jay Parmar,Yale-NUS 2,,"['77.50', '78.00', '77.00', '79.00', '77.00', '78.33', '78.50', '79.00']"
79,Taichi Fukami,Keio 2,EFL,"['79.00', '77.67', '77.00', '76.50', '75.00', '80.00', '78.00', '81.00']"
80,Wayne Lim,NTU 1,,"['78.00', '76.00', '79.00', '79.00', '78.50', '77.67', '77.00', '79.00']"
81,Jericho Igdanes,UP Diliman 5,,"['80.00', '77.00', '78.00', '78.00', '76.50', '79.00', '77.50', '78.00']"
82,Jamoliddin Ergash-zoda,Solbridge 1,EFL,"['77.00', '78.00', '78.00', '78.00', '79.00', '78.00', '78.00', '78.00']"
83,Shayne Jefferson,De La Salle 2,,"['77.67', '76.67', '79.00', '76.50', '78.00', '78.50', '80.50', '77.00']"
84,Tarushi Sharma,Dr. RMLNLU 1,,"['77.67', '79.00', '76.50', '77.67', '79.00', '77.00', '78.00', '79.00']"
85,Tony Wang,Tsinghua 1,EFL,"['78.00', '79.00', '78.00', '77.67', '77.00', '77.33', '78.50', '78.33']"
86,Kavindra Senaratna,NUS 3,,"['74.00', '77.67', '79.00', '77.00', '79.00', '79.00', '78.00', '80.00']"
87,Vigneshwaran A/L Sundrasagar,Sunway 1,,"['77.00', '76.67', '77.00', '78.33', '79.00', '78.50', '78.00', '78.67']"
88,Arsyad Asyl,IIUM 1,,"['77.00', '79.00', '76.67', '79.00', '78.00', '76.00', '80.00', '77.50']"
89,Ahsan,Malaya 3,,"['78.50', '77.00', '79.00', '78.00', '78.50', '77.00', '77.00', '78.00']"
90,Aarush Sharma,ILNU 1,,"['78.00', '78.00', '75.00', '78.00', '79.00', '80.00', '77.00', '78.00']"
91,Johann Javier,UP Los Baños 1,,"['75.50', '78.00', '79.00', '78.00', '76.00', '77.67', '80.50', '78.33']"
92,Javi Del Mundo,Ateneo 3,,"['75.00', '78.00', '78.67', '79.00', '76.67', '77.00', '79.50', '79.00']"
93,Charlotte Reyes,De La Salle 2,,"['77.33', '77.00', '78.00', '77.50', '78.00', '78.50', '79.50', '77.00']"
94,Takua Baba,Keio 1,,"['79.50', '77.00', '79.00', '76.00', '77.00', '78.50', '77.50', '78.33']"
95,Chaitanya Gupta,NTU 2,,"['76.00', '76.00', '80.00', '78.00', '78.00', '76.50', '78.33', '80.00']"
96,Prathik Karthikeyan,JGU 1,,"['76.00', '78.00', '76.67', '78.00', '78.50', '79.00', '76.50', '80.00']"
97,Muhammad Zufar Farhan Zuhdi,UGM 1,EFL,"['76.50', '78.00', '79.00', '77.33', '77.00', '77.33', '79.50', '78.00']"
98,Sophie Echivarre,UP Manila 2,,"['79.00', '77.50', '77.00', '79.00', '77.00', '77.00', '77.50', '78.67']"
99,Paolo Taino,Ateneo 3,,"['75.00', '77.00', '79.33', '78.00', '76.00', '79.00', '80.00', '78.00']"
100,Yohei Horiguchi,Keio 2,EFL,"['79.00', '76.33', '76.00', '76.50', '76.00', '80.00', '77.50', '81.00']"
101,Siddharth Sisodia,NLIUB 1,,"['78.00', '76.00', '76.50', '78.00', '78.00', '79.50', '77.50', '78.67']"
102,Kay Sison,UP Manila 1,,"['78.00', '77.00', '77.00', '81.00', '77.33', '78.00', '76.50', '77.00']"
103,Verse Abellaneda,UP Manila 2,,"['78.00', '76.00', '78.00', '79.00', '77.00', '76.50', '77.50', '79.67']"
104,Manasija Das,VIT 1,,"['77.00', '78.00', '76.50', '79.50', '74.00', '79.00', '77.50', '80.00']"
105,Mitchell Palmer,Yale-NUS 1,,"['77.00', '77.33', '77.00', '76.00', '77.67', '77.50', '79.00', '80.00']"
106,Deepansh Jawrani,DU 1,,"['76.00', '79.00', '78.67', '77.00', '77.50', '77.00', '78.50', '77.67']"
107,Sarah Gatmen,UP Diliman 3,,"['74.00', '80.00', '78.50', '79.00', '77.50', '76.33', '77.00', '79.00']"
108,AMY SUHANA,UNIMAS 1,,"['78.00', '77.00', '78.00', '77.33', '77.50', '78.00', '76.50', '79.00']"
109,Rakyan Sekar,UGM 1,EFL,"['76.00', '78.00', '78.00', '78.33', '77.00', '77.00', '79.00', '78.00']"
110,Suhyun Lee,KU 1,EFL,"['77.00', '77.00', '77.67', '78.33', '77.67', '78.50', '78.50', '76.50']"
111,Lily Poonia,GLC 1,,"['78.00', '77.00', '76.00', '76.50', '79.00', '77.00', '77.67', '80.00']"
112,Khristine Macusi,UP Diliman 3,,"['74.00', '80.00', '78.00', '79.00', '78.00', '76.33', '76.50', '79.00']"
113,Subham Krishna Borah,ILNU 1,,"['77.00', '79.00', '73.00', '78.33', '79.00', '79.00', '77.50', '78.00']"
114,Muhammad Rizki Akbar Lubis,UGM 1,EFL,"['77.00', '77.00', '79.00', '77.67', '77.00', '77.00', '78.00', '78.00']"
115,Owen Jinwan Park,Keio 1,EFL,"['79.00', '76.00', '79.00', '76.00', '77.33', '78.50', '78.00', '76.67']"
116,Imran Shahfizal,IIUM 1,,"['76.00', '78.00', '76.67', '79.00', '78.00', '77.00', '78.00', '77.50']"
117,Saakhi Mishra,SLS Pune 4,,"['76.00', '75.67', '77.00', '79.00', '76.00', '80.50', '78.00', '78.00']"
118,Francis Vendiola,UP Los Baños 2,,"['78.33', '78.00', '77.50', '77.00', '76.50', '78.50', '76.00', '78.33']"
119,Brigita Krista Angelica,Atma Jaya 1,EFL,"['78.50', '76.00', '77.00', '77.33', '76.50', '78.00', '78.67', '78.00']"
120,Surabhi Menon,DU 1,,"['77.00', '79.00', '78.33', '77.00', '77.00', '75.00', '78.50', '77.67']"
121,Youngwoo Park,HUFS 1,EFL,"['76.00', '75.00', '81.00', '78.50', '77.00', '78.00', '76.00', '78.00']"
122,Kartavya Asthana,VIT 1,,"['76.00', '78.00', '77.50', '78.00', '73.50', '79.00', '77.50', '80.00']"
123,Mai Torres,UP Diliman 3,,"['75.00', '78.67', '78.00', '78.00', '77.00', '76.67', '77.00', '79.00']"
124,Aditya Kumar,NTU 2,,"['75.00', '75.00', '80.50', '77.00', '76.00', '76.50', '78.33', '81.00']"
125,Vaishnavi,SLS Pune 3,,"['75.67', '77.00', '76.00', '81.00', '77.00', '80.00', '75.50', '77.00']"
126,Angad Singh,DTU 3,,"['75.00', '76.00', '77.00', '77.00', '77.00', '78.00', '79.00', '80.00']"
127,Vansh Chadha,DTU 3,,"['75.00', '78.00', '76.00', '77.00', '77.00', '77.00', '79.00', '80.00']"
128,Sachin Kishan,VIT 2,,"['—', '77.50', '76.33', '77.00', '77.00', '76.00', '80.00', '77.67']"
129,Ben Niu,Peking 1,EFL,"['78.00', '76.00', '78.00', '77.00', '78.00', '76.50', '77.00', '78.00']"
130,Wasiq Imran,Habib 1,,"['76.50', '78.00', '77.00', '77.00', '78.00', '78.00', '78.50', '75.50']"
131,Neackle Mempin,UP Diliman 4,,"['77.33', '77.00', '78.00', '78.00', '77.00', '77.00', '77.00', '77.00']"
132,Crystal Tanika,Atma Jaya 1,EFL,"['78.50', '74.00', '77.00', '77.67', '76.00', '78.00', '78.67', '78.00']"
133,Narayan Sharma,DU 1,,"['75.00', '79.00', '79.00', '77.00', '76.50', '76.00', '78.00', '77.33']"
134,Takushi Kobayashi,Keio 2,EFL,"['78.00', '76.33', '77.00', '75.00', '75.00', '80.00', '76.50', '80.00']"
135,Suhas Athreya,VIT 1,,"['75.50', '77.67', '77.00', '76.50', '75.00', '79.00', '77.00', '80.00']"
136,Ray Yixiao Wang,Peking 1,EFL,"['77.00', '77.50', '78.00', '77.00', '77.67', '76.50', '77.00', '77.00']"
137,Thomas Tianhua Yang,Peking 1,EFL,"['78.00', '76.50', '78.50', '77.00', '77.67', '76.00', '76.00', '78.00']"
138,Jade Angelique Alcomendras,USJR 1,,"['76.00', '77.00', '76.00', '77.00', '75.00', '79.00', '78.50', '79.00']"
139,MJ Galendez,UPMin 1,,"['78.00', '77.33', '75.50', '76.00', '77.50', '77.00', '77.00', '79.00']"
140,Aradom Belai,SLS Pune 4,,"['76.00', '75.33', '76.00', '79.00', '76.00', '81.00', '79.00', '75.00']"
141,Akshit Mishra,ILNU 1,,"['77.00', '78.00', '75.00', '77.67', '78.00', '78.00', '76.50', '77.00']"
142,Aashna Mansata,SLS Pune 3,,"['74.67', '76.00', '76.00', '80.00', '77.00', '80.00', '75.50', '78.00']"
143,Vikrant Dwivedi,SLS Pune 4,,"['75.00', '75.00', '77.00', '78.67', '76.00', '80.50', '79.00', '76.00']"
144,Ngo Minh Kien,DAV 1,EFL,"['78.00', '78.00', '76.00', '77.00', '76.50', '77.00', '77.50', '77.00']"
145,Aviral Bhatia,VIT 2,,"['—', '77.00', '77.00', '76.00', '76.50', '76.00', '79.50', '77.67']"
146,Eiki Goro,Keio 1,EFL,"['77.00', '76.00', '79.00', '76.00', '76.67', '78.00', '77.00', '77.00']"
147,Avyay M C,VIT 2,,"['76.33', '76.50', '76.00', '77.00', '77.50', '76.00', '79.00', '78.33']"
148,Sarrah Salihan,IIUM 2,,"['77.00', '78.00', '77.33', '75.67', '77.00', '77.33', '77.00', '77.00']"
149,Elia,IIUM 2,,"['76.00', '76.00', '78.00', '76.33', '76.00', '78.00', '77.00', '79.00']"
150,Aryan Gupta,IITB 2,,"['78.00', '78.33', '76.00', '75.33', '77.50', '78.00', '78.00', '75.00']"
151,Melveer Jay Singh,Malaya 3,,"['78.50', '77.00', '76.00', '78.00', '77.00', '77.00', '75.67', '77.00']"
152,Maisha Maryam,CUHK 5,,"['79.00', '76.67', '75.50', '77.33', '75.00', '76.00', '78.67', '78.00']"
153,Shanya Sadanandan,Yale-NUS 1,,"['75.50', '76.33', '76.00', '76.00', '77.33', '78.00', '78.00', '79.00']"
154,Rey Anthony Porras,UPMin 1,,"['77.00', '77.67', '75.00', '76.67', '77.00', '77.00', '77.00', '78.50']"
155,Surabhi Chavan,St. Xavier's 1,,"['76.33', '78.00', '77.00', '78.00', '76.00', '78.50', '75.00', '—']"
156,Emilie Zhao,Yale-NUS 2,,"['75.00', '78.00', '76.00', '78.00', '76.00', '77.00', '77.50', '78.00']"
157,V Sayiram,DTU 3,,"['76.00', '75.00', '76.00', '76.00', '77.00', '77.00', '79.00', '79.00']"
158,Hafsa Khurram,Habib 1,,"['76.50', '75.67', '77.00', '77.00', '78.00', '77.00', '77.50', '76.00']"
159,V Soorya Shrinivas,SLS Hyderabad 1,,"['79.00', '77.00', '77.00', '75.00', '—', '—', '75.00', '78.00']"
160,Matt Patrick Ondangan,USJR 1,,"['76.00', '77.50', '76.00', '78.00', '73.00', '78.00', '78.00', '78.00']"
161,Tasmia Toyeb Lorin,IIUM 2,,"['76.00', '76.00', '77.67', '76.67', '76.00', '76.67', '77.50', '78.00']"
162,Haedric Daguman,UP Diliman 4,,"['77.67', '76.50', '77.00', '77.67', '76.50', '77.50', '76.00', '75.50']"
163,Albrecht Rey Asumbrado,UPMin 1,,"['77.00', '78.00', '75.50', '76.33', '77.00', '75.00', '77.00', '78.50']"
164,Seokjin Yun,HUFS 1,EFL,"['75.00', '75.00', '79.00', '77.50', '76.50', '77.50', '76.67', '77.00']"
165,Vu Duc Hung,DAV 1,EFL,"['77.00', '77.50', '77.00', '76.00', '76.50', '76.33', '77.50', '76.33']"
166,Zero Ye,Beihang 1,EFL,"['78.00', '77.00', '76.00', '76.00', '75.67', '75.50', '79.00', '77.00']"
167,Amirul Syakir,UT MARA 1,,"['76.67', '75.00', '77.00', '76.33', '76.00', '79.00', '77.50', '76.50']"
168,Anindya Alam,BUET 2,,"['76.00', '78.00', '75.67', '76.00', '76.00', '78.00', '77.67', '76.67']"
169,Yuna Koh,KU 1,EFL,"['76.00', '76.00', '76.33', '77.67', '77.33', '77.50', '77.50', '75.50']"
170,Ooi Hon Son,CUHK 2,,"['77.00', '77.00', '77.67', '77.67', '75.50', '78.00', '76.00', '75.00']"
171,Yan Sun,SUFE 3,,"['76.00', '78.00', '76.67', '77.00', '77.50', '75.00', '75.67', '78.00']"
172,Mahdee Mushfique Kamal,BUET 2,EFL,"['77.00', '78.00', '76.00', '76.50', '75.00', '78.00', '77.33', '76.00']"
173,Kamara,Malaya 3,,"['78.50', '76.00', '75.00', '78.50', '77.50', '75.00', '76.33', '76.67']"
174,Gabrielle Pacaño,UP Diliman 4,,"['78.33', '76.50', '77.00', '77.67', '76.00', '76.50', '76.50', '75.00']"
175,K Adithya Krishna,IITB 2,,"['76.00', '77.67', '76.00', '75.33', '78.00', '78.00', '77.50', '75.00']"
176,Syafiq Razak,UT MARA 1,,"['76.33', '76.33', '77.00', '76.33', '76.00', '78.00', '76.50', '77.00']"
177,Justin Doctor,MSU 1,,"['—', '76.50', '75.00', '77.67', '76.50', '78.00', '76.00', '77.00']"
178,Carol Chan,Beihang 1,EFL,"['77.00', '77.00', '76.00', '76.00', '76.33', '76.00', '78.00', '77.00']"
179,Ian Qiu,Yale-NUS 1,,"['75.00', '76.67', '77.00', '75.00', '76.00', '77.50', '77.00', '79.00']"
180,Soumitri Debroy,St. Xavier's 1,,"['77.00', '77.00', '76.00', '77.50', '75.00', '78.00', '76.00', '—']"
181,Beryl Zhang,SUFE 2,EFL,"['77.00', '77.00', '76.50', '76.00', '76.50', '78.00', '76.00', '76.00']"
182,Brylle Abella,USJR 1,,"['75.00', '77.50', '75.00', '78.00', '73.00', '78.00', '79.50', '77.00']"
183,Saadia Babar,Kinnaird 1,,"['78.00', '75.67', '77.00', '77.00', '78.00', '76.00', '74.00', '77.00']"
184,Mutiara Annisa Fathma,Atma Jaya 1,EFL,"['77.00', '74.00', '75.00', '77.00', '77.00', '78.00', '77.67', '77.00']"
185,Saloni Atul Kumar,SLS Hyderabad 1,,"['78.00', '77.00', '76.00', '74.00', '77.00', '—', '75.00', '79.00']"
186,Fatimah Az-Zahra,Taylors 1,,"['76.00', '76.67', '76.00', '77.00', '76.50', '78.00', '76.00', '76.33']"
187,Ronak Matai,IITB 2,,"['75.00', '78.00', '76.00', '76.00', '77.00', '77.00', '77.50', '75.67']"
188,Anujit Saha,CUHK 4,,"['79.00', '76.00', '75.00', '78.00', '74.67', '75.50', '77.00', '77.00']"
189,Adam Hafiz,UT MARA 2,,"['77.00', '77.00', '76.00', '77.00', '75.00', '77.00', '75.00', '78.00']"
190,Shirsha Songshoptak,BUET 1,EFL,"['76.00', '77.00', '76.00', '76.50', '76.00', '76.00', '77.33', '77.00']"
191,Miika Järvisaari,HUFS 1,EFL,"['76.00', '74.00', '78.00', '78.50', '76.50', '76.50', '75.33', '77.00']"
192,Mahatab Kabir Khandaker,NSU 1,,"['74.00', '76.00', '76.67', '77.00', '77.50', '76.50', '76.00', '78.00']"
193,Haikal,UT MARA 1,,"['76.33', '75.67', '75.00', '77.00', '75.33', '78.00', '78.00', '76.00']"
194,Tania Kaleem,Kinnaird 1,,"['77.00', '75.33', '78.00', '77.00', '77.00', '75.00', '75.00', '77.00']"
195,Sally Liu Zining,RUC 1,EFL,"['76.00', '75.50', '76.00', '77.00', '77.33', '77.00', '75.33', '77.00']"
196,Joan Li,Beihang 1,EFL,"['77.00', '77.00', '75.00', '77.00', '75.00', '76.00', '78.00', '76.00']"
197,Manvi Baid,IITB 3,,"['76.50', '79.00', '77.33', '73.33', '75.50', '76.00', '76.00', '77.33']"
