,Round Name,Panel,Rankings
0,Round 1,Isabelle GuoⒸ,"['3 You’re are wrong (OG)', '2 FDT Blue (CG)', '1 amogus (CO)', '0 AYJ 1 (OO)']"
1,Round 1,"Swetlana KumarⒸ , Sarah Carnat","['3 FDT Red (OG)', '2 APHS MM (CO)', '1 APHS GZ (OO)', '0 Team Tau (CG)']"
2,Round 1,Regis GuⒸ,"['3 FDT Cyan (OG)', '2 Asian Invasion (OO)', '1 LinkedKey WW (CG)', '0 Zhang^2 (CO)']"
3,Round 1,Ethan CurryⒸ,"['3 LinkedKey GS (OO)', '2 LinkedKey HQ (OG)', '1 BeegBrianedThonkers (CO)', '0 LinkedKey CV (CG)']"
4,Round 1,Sarah ZhaoⒸ,"['3 Blue Cheese (CG)', '2 mellonchill (OO)', '1 Team Magma (CO)', '0 Swaggy Idealists (OG)']"
5,Round 1,Rally LinⒸ,"['3 Team Omicron (CO)', '2 cazooa (CG)', '1 Sunnyside Eggs (OO)', '0 LinkedKey LX (OG)']"
6,Round 1,Arghya Dev Biswas AryanⒸ,"['3 Independent BZ (CG)', '2 WOSS FZ (OO)', '1 EEC-CN (CO)', '0 LinkedKey JR (OG)']"
7,Round 1,Silvia XieⒸ,"['3 Rubber Duccies (OO)', '2 EEC CW (OG)', '1 LinkedKey DZ (CO)', '0 *vaguely gestures* (CG)']"
8,Round 1,"Natania OlusanyaⒸ , Molly Jin","['3 Illuminated (CO)', '2 Team Zeta (OO)', '1 Moloch (OG)', '0 EEC-ML (CG)']"
9,Round 1,Serena YuanⒸ,"['3 on time (CG)', '2 EUFHDLFDKJFdFJ;ljk (CO)', '1 tall asian econ kids (OO)', '0 Paul Rudd. (OG)']"
10,Round 1,Grace ZhuⒸ,"['3 Team Epsilon (CO)', '2 FDT Green (OO)', '1 Team Omega (OG)', '0 Independent CL (CG)']"
11,Round 1,ReedⒸ,"['3 Golden United (OO)', '2 Team Pi (CG)', '1 Idea Stealers (CO)', '0 Shrimp-Duckie LZ (OG)']"
12,Round 1,Amy ZhuⒸ,"['3 WOSS DM (OG)', '2 Hammock CX (OO)', '1 RED (CG)', '0 kaitlyn and emily (CO)']"
13,Round 1,Anthony GalipeauⒸ,"['3 Mickey Mouse Fans (OG)', '2 LinkedKey CZ (OO)', '1 Kiwi (CO)', '0 WOSS GJ (CG)']"
14,Round 2,"Sarah ZhaoⒸ , Sarah Carnat","['3 tall asian econ kids (CO)', '2 RED (OG)', '1 EEC-CN (OO)', '0 amogus (CG)']"
15,Round 2,"Isabelle GuoⒸ , Rally Lin","['3 Team Omega (CG)', '2 LinkedKey CV (OG)', '1 APHS GZ (CO)', '0 WOSS GJ (OO)']"
16,Round 2,Serena YuanⒸ,"['3 EEC CW (CO)', '2 APHS MM (OO)', '1 mellonchill (OG)', '0 Team Zeta (CG)']"
17,Round 2,Ethan CurryⒸ,"['3 Team Epsilon (CG)', '2 Asian Invasion (OG)', '1 Independent BZ (OO)', '0 Rubber Duccies (CO)']"
18,Round 2,"Silvia XieⒸ , Molly Jin","['3 kaitlyn and emily (OG)', '2 LinkedKey JR (OO)', '1 AYJ 1 (CG)', '0 Shrimp-Duckie LZ (CO)']"
19,Round 2,Amy ZhuⒸ,"['3 LinkedKey DZ (CG)', '2 Moloch (CO)', '1 BeegBrianedThonkers (OO)', '0 Idea Stealers (OG)']"
20,Round 2,Angie LeiⒸ,"['3 Blue Cheese (OO)', '2 Illuminated (OG)', '1 You’re are wrong (CG)', '0 Golden United (CO)']"
21,Round 2,Swetlana KumarⒸ,"['3 cazooa (OO)', '2 Team Pi (CO)', '1 FDT Blue (OG)', '0 LinkedKey CZ (CG)']"
