,Round Name,Panel,Rankings
0,Round 1,"Matthew Conley-EvansⒸ , Ankit Kumar Shah","['3 Hybrid D (OG)', '2 Alberta A (OO)', '1 HH E (CG)', '0 Hybrid A (CO)']"
1,Round 1,"Adya SharmaⒸ , Archi Gupta","['3 Hybrid E (CG)', '2 HH B (OO)', '1 Calgary A (OG)', '0 QDU C (CO)']"
2,Round 1,"Ethan John FloroⒸ , Keshav Mohan","['3 Duke D (OG)', '2 EDS A (CG)', '1 Northwest A (OO)', '0 CC A (CO)']"
3,Round 1,"Ethan CurryⒸ , Anjani Chauhan , Mithannsh Jain","['3 CEP A (OO)', '2 Duke A (CG)', '1 Hybrid J (OG)', '0 Waterloo A (CO)']"
4,Round 1,"Mark SinclairⒸ , Kojo Acheampong","['3 JGU A (CO)', '2 Cornell A (CG)', '1 HH C (OG)', '0 CUDS A (OO)']"
5,Round 1,"Mishaal SaidⒸ , Ahana Chaudhuri","['3 Hybrid G (CO)', '2 HH D (CG)', '1 CUDS B (OO)', '0 Hybrid B (OG)']"
6,Round 1,"Daniel SvirskyⒸ , Lili Simon","['3 JHU A (CG)', '2 HH A (CO)', '1 Duke B (OG)', '0 GCU B (OO)']"
7,Round 1,"Gwen StearnsⒸ , Gaura Cappelletti , Shruti Poddar","['3 UNSW A (OO)', '2 Swarthmore A (OG)', '1 Duke C (CG)', '0 QDU E (CO)']"
8,Round 1,"Natania OlusanyaⒸ , Minseob Lee","['3 QDU A (CO)', '2 Duke E (OO)', '1 GCU A (CG)', '0 Rutgers A (OG)']"
9,Round 1,"Sebastián EzetaⒸ , Gerson Oviedo","['3 LSE A (CG)', '2 QDU B (OG)', '1 HH F (OO)', '0 UWO A (CO)']"
10,Round 1,"Devashish TrivediⒸ , Johan Lukito","['3 Hybrid C (OO)', '2 LSE B (CO)', '1 Kinnaird A (CG)', '0 HH G (OG)']"
11,Round 1,"Tengku OmarⒸ , Utkarsh Pandey","['3 Hybrid H (OG)', '2 Hybrid I (OO)', '1 Independent E (CG)', '0 Strathmore A (CO)']"
12,Round 1,"Narayan SharmaⒸ , Ashutosh Bahuguna","['3 Independent D (CO)', '2 JSMU A (OO)', '1 UWO B (CG)', '0 QDU D (OG)']"
13,Round 2,"Vidit DesaiⒸ , Gaura Cappelletti , Kojo Acheampong","['3 Alberta A (CG)', '2 Hybrid I (CO)', '1 HH D (OG)', '0 HH A (OO)']"
14,Round 2,"Wairimu ManyaraⒸ , Lili Simon , Minseob Lee","['3 LSE B (OO)', '2 QDU B (CO)', '1 Calgary A (CG)', '0 JSMU A (OG)']"
15,Round 2,"Adya SharmaⒸ , Gerson Oviedo","['3 HH G (CO)', '2 QDU D (OO)', '1 QDU E (OG)', '0 CC A (CG)']"
16,Round 2,"Devashish TrivediⒸ , Keshav Mohan","['3 Hybrid D (CO)', '2 Hybrid G (OO)', '1 Independent D (OG)', '0 CEP A (CG)']"
17,Round 2,"Ethan CurryⒸ , Archi Gupta , Shruti Poddar","['3 Duke D (CG)', '2 Cornell A (CO)', '1 QDU A (OG)', '0 JGU A (OO)']"
18,Round 2,"Utkarsh PandeyⒸ , Ashutosh Bahuguna","['3 CUDS A (CO)', '2 Waterloo A (CG)', '1 UWO A (OG)', '0 Rutgers A (OO)']"
19,Round 2,"Gwen StearnsⒸ , Adam Ursenbach , Ankit Kumar Shah","['3 CUDS B (OG)', '2 GCU A (OO)', '1 Northwest A (CG)', '0 Kinnaird A (CO)']"
20,Round 2,"Tengku OmarⒸ , Marc Pollack , Mishaal Said","['3 Duke A (OG)', '2 EDS A (OO)', '1 HH F (CG)', '0 Duke E (CO)']"
