,Round Name,Panel,Rankings
0,Round 1,"Jasmine MohebⒸ , Apratim Shrivastav , McEwen Reil","['3 AMU VB (CO)', '2 MGDU PS (OG)', '1 DU SM (CG)', '0 EDS CO (OO)']"
1,Round 1,"Jaleelah AmmarⒸ , Cam Miranda-Radbord , Cullen Roach , Khanak GuptaⓉ","['3 DUDS SS (OO)', '2 YU BN (CO)', '1 BDU KS (OG)', '0 LCC TW (CG)']"
2,Round 1,"Chris PangⒸ , Emily Coffen , Tengku Omar , Ben WhitehouseⓉ","['3 PU CM (CO)', '2 BRAC AH (OO)', '1 CU SJ (CG)', '0 UCSD BW (OG)']"
3,Round 1,"Malcolm BainboroughⒸ , Moira O’Donoghue , Ritabrata Mitra , Tracy YangⓉ","['3 HVU KR (OG)', '2 HYBRID PC (CG)', '1 CU JY (CO)', '0 BUET AS (OO)']"
4,Round 1,"Mia FeldmanⒸ , Eli Gutiérrez , Terry Luan","['3 CTU VC (CO)', '2 USMA LR (OG)', '1 BUET ST (OO)', '0 LCC DN (CG)']"
5,Round 1,"Eric ZhaoⒸ , Christopher Chua , Dihan Mashroor Niloy , Bryan HurⓉ","['3 PU LW (OG)', '2 UBC RB (OO)', '1 EDS BC (CG)', '0 BUET TM (CO)']"
6,Round 1,"Arpi YangⒸ , Anjali Mookerjea , Chinmaya Mohan","['3 YU TA (CG)', '2 ULV CM (OG)', '1 CGU DP (OO)', '0 UWODS FL (CO)']"
7,Round 1,"Tanvir ShahriarⒸ , Adrienne Roc , Gazi Mahtab","['3 HWS BL (OG)', '2 IITB JM (OO)', '1 HWS LK (CG)', '0 CTU GN (CO)']"
8,Round 1,"Katherine HarrisⒸ , Gregory Kwok , Ohara Hurtado Henríquez , Mekhi QuarshieⓉ","['3 YU CH (CO)', '2 CTU MK (OO)', '1 UWODS CU (CG)', '0 HYBRID QJ (OG)']"
9,Round 1,"Udhay Aman ChopraⒸ , Ayodele Samuel , Minseob Lee , Arman AkhmetovⓉ","['3 SU AM (OG)', '2 HYBRID BM (OO)', '1 HYBRID RA (CO)', '0 CTU OG (CG)']"
10,Round 1,"Jenny ZhengⒸ , Isabelle Feng , Samuel Tang","['3 HYBRID CT (CG)', '2 LCC GM (OO)', '1 UST TC (OG)', '0 CU EQ (CO)']"
11,Round 1,"Anser AftabⒸ , Brandon Orr , Hypatia Behar-Gryl , Joanne YangⓉ","['3 NU CS (OG)', '2 CU GK (OO)', '1 SIU CR (CO)', '0 PUCP VJ (CG)']"
12,Round 1,"Eva-Marie QuinonesⒸ , Alan Fan , Rahat Khan , Nikta GhozatiⓉ","['3 HYBRID ML (OG)', '2 CU SF (CO)', '1 KCL AR (OO)', '0 HVU CP (CG)']"
13,Round 1,"Yixiao (Carl) CaoⒸ , Bilal Najaf , Joe Gantt","['3 YU TY (OG)', '2 UPENN WR (CG)', '1 DAV HN (CO)', '0 EDS SL (OO)']"
14,Round 1,"Mahesh RⒸ , Ahana Chaudhuri , Valerie Pang","['3 QDU GM (CG)', '2 QDU AK (CO)', '1 HYBRID CE (OO)', '0 DUDS BC (OG)']"
15,Round 1,"Simren SharmaⒸ , Boomba Nishikawa , Kelvin Kwabena Asamoah Damptey , Max StanleyⓉ","['3 HYBRID HS (OO)', '2 LSE ES (CO)', '1 YU KS (CG)', '0 DUDS FR (OG)']"
16,Round 1,"Andrew ChenⒸ , Catherine Ma , Jag","['3 HYBRID WR (OG)', '2 DUDS HC (CG)', '1 YU PZ (CO)', '0 UWODS KM (OO)']"
17,Round 1,"Miranda ZiglerⒸ , Jake Sullivan , John Morgan , Arturo Orozpe LopezⓉ","['3 YU CP (CG)', '2 UROCH NI (CO)', '1 EDS BK (OG)', '0 ULV BP (OO)']"
18,Round 1,"NareyⒸ , Eli Pallrand , Sidney Filler , Chloe MarchackⓉ","['3 HVU AL (CG)', '2 UWODS MZ (CO)', '1 MSU DT (OO)', '0 VC AL (OG)']"
19,Round 1,"Saara MeghjiⒸ , Matthew Schaupp , Sarah Morrill","['3 HWS KK (CO)', '2 HVU HS (OO)', '1 NELB HS (CG)', '0 UNG CL (OG)']"
20,Round 1,"Clarence BrontëⒸ , Comfort Ayelomi , Farhan Sakkir Karepilakkiyil , Riya LiⓉ","['3 UDR RZ (CG)', '2 HYBRID GN (CO)', '1 UCSD CP (OO)', '0 HVU PR (OG)']"
21,Round 1,"Tavish LoganⒸ , Fatema Nami , Noah Hines , Valeriia BeldykⓉ","['3 HYBRID SH (CO)', '2 HWS PW (CG)', '1 LCC HS (OO)', '0 PU AB (OG)']"
22,Round 1,"Ethan CurryⒸ , Donkor Archimedes , Nicole Montojo , Tristan JonesⓉ","['3 JHU GY (OO)', '2 PU JM (OG)', '1 Swing 1 (CO)', '0 YU LT (CG)']"
23,Round 1,"Brent SchmidtⒸ , Anna Clark , Daphne Hawley , Varun LodayaⓉ","['3 YU AS (CG)', '2 UWODS DL (OG)', '1 LCC TV (CO)', '0 QDU VY (OO)']"
24,Round 1,"reedⒸ , Ankit Kumar Shah , Ari Malek","['3 UBC WP (OO)', '2 QDU CD (OG)', '1 TKC DH (CO)', '0 UA ST (CG)']"
